#{"t_start": 1522724259.400943, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.036441
0.0,1,0.036633
0.0,10,0.037175
0.0,1,0.037288
0.0,7,0.037665
0.0,7,0.038044
0.0,10,0.038563
0.0,8,0.038984
0.0,7,0.039371
0.0,3,0.039577
0.0,4,0.03982
0.0,12,0.040434
0.0,2,0.040592
0.0,13,0.04124
0.0,2,0.0414
0.0,4,0.041647
0.0,1,0.04176
0.0,3,0.041961
0.0,9,0.042439
0.0,19,0.043348
0.0,15,0.044076
0.0,12,0.044679
0.0,4,0.044925
0.0,3,0.045146
0.0,5,0.045437
0.0,7,0.045812
0.0,11,0.046373
0.0,1,0.046486
0.0,1,0.046598
0.0,12,0.047204
0.0,7,0.047581
0.0,6,0.04791
0.0,8,0.048341
0.0,12,0.048938
0.0,6,0.049283
0.0,1,0.049395
0.0,35,0.051007
0.0,4,0.051268
0.0,9,0.051732
0.0,5,0.052019
0.0,14,0.052716
0.0,2,0.052874
0.0,9,0.053346
0.0,17,0.054166
0.0,12,0.054761
0.0,4,0.055005
0.0,7,0.055402
0.0,5,0.055691
0.0,8,0.05612
0.0,6,0.056456
0.0,12,0.057055
0.0,3,0.057266
0.0,22,0.058304
0.0,23,0.059394
0.0,4,0.059639
0.0,8,0.060068
0.0,2,0.060232
0.0,6,0.06057
0.0,8,0.060987
0.0,3,0.061202
0.0,2,0.061362
0.0,13,0.062
0.0,11,0.062559
1.0,21,0.063558
0.0,11,0.064115
0.0,6,0.064452
0.0,3,0.064655
0.0,7,0.065032
0.0,9,0.06551
0.0,3,0.065713
0.0,2,0.065869
0.0,6,0.066211
0.0,4,0.066456
0.0,36,0.068116
0.0,5,0.06841
0.0,3,0.06861
0.0,7,0.068986
0.0,8,0.069417
0.0,7,0.069791
0.0,12,0.070397
0.0,10,0.070902
0.0,4,0.071157
0.0,1,0.071269
0.0,20,0.07222
0.0,18,0.073078
0.0,2,0.073247
0.0,8,0.073663
0.0,11,0.074224
0.0,7,0.074604
0.0,13,0.07526
0.0,13,0.0759
0.0,3,0.076108
0.0,2,0.076268
0.0,7,0.076644
0.0,13,0.077296
0.0,3,0.077497
0.0,5,0.077783
0.0,5,0.078069
1.0,9,0.078537
0.0,2,0.078696
0.0,6,0.079026
0.0,17,0.079845
0.0,6,0.08019
0.0,10,0.080696
0.0,32,0.082185
0.0,29,0.083539
0.0,3,0.083743
0.0,12,0.084345
0.0,6,0.084681
0.0,2,0.084839
0.0,1,0.084952
0.0,10,0.085477
0.0,5,0.085769
0.0,17,0.086587
0.0,14,0.08728
0.0,9,0.087745
0.0,24,0.088866
0.0,7,0.089261
0.0,6,0.089599
0.0,4,0.089842
0.0,5,0.090142
0.0,10,0.090652
0.0,20,0.0916
0.0,26,0.092818
1.0,6,0.093159
0.0,26,0.094382
0.0,8,0.094801
0.0,7,0.095194
0.0,7,0.095569
0.0,7,0.095941
0.0,20,0.096894
0.0,2,0.097051
0.0,1,0.097171
0.0,3,0.097374
0.0,1,0.097486
0.0,10,0.097991
0.0,3,0.098204
0.0,3,0.098404
0.0,5,0.098693
0.0,9,0.099164
0.0,1,0.099278
0.0,7,0.099657
0.0,6,0.099987
0.0,2,0.100153
0.0,13,0.100791
0.0,1,0.100901
0.0,6,0.101243
0.0,6,0.101574
0.0,15,0.102303
0.0,2,0.102463
0.0,1,0.102576
0.0,14,0.103267
0.0,3,0.103469
0.0,3,0.103671
0.0,6,0.104003
0.0,2,0.10417
0.0,3,0.104371
0.0,3,0.104573
0.0,5,0.104858
0.0,21,0.105858
0.0,4,0.106114
0.0,10,0.106632
0.0,21,0.107631
0.0,23,0.10872
0.0,5,0.109013
0.0,4,0.109272
0.0,6,0.109607
0.0,11,0.110173
0.0,2,0.110331
0.0,9,0.110791
0.0,6,0.111132
0.0,3,0.111333
0.0,43,0.1133
0.0,6,0.113633
0.0,4,0.113888
0.0,11,0.114449
0.0,5,0.114738
0.0,10,0.115265
0.0,6,0.115601
0.0,2,0.115758
0.0,11,0.116318
0.0,10,0.116827
0.0,2,0.116986
0.0,12,0.117587
0.0,15,0.118338
0.0,3,0.118543
0.0,47,0.120679
0.0,14,0.121377
0.0,8,0.121795
0.0,14,0.122483
0.0,11,0.123039
0.0,12,0.123646
0.0,20,0.124605
0.0,8,0.125025
0.0,13,0.125707
0.0,19,0.126618
0.0,3,0.126822
0.0,5,0.127121
0.0,5,0.12741
0.0,7,0.127787
0.0,3,0.127986
0.0,6,0.128328
0.0,6,0.128669
0.0,3,0.128869
0.0,4,0.12913
0.0,24,0.130258
0.0,5,0.130549
0.0,3,0.130749
0.0,8,0.131178
0.0,5,0.131469
0.0,13,0.132113
0.0,3,0.132317
0.0,3,0.132516
0.0,7,0.13289
0.0,4,0.133145
0.0,19,0.134048
0.0,15,0.13478
0.0,4,0.135026
0.0,20,0.135995
0.0,15,0.136737
0.0,6,0.137143
0.0,4,0.137389
0.0,3,0.137589
0.0,6,0.137918
0.0,11,0.138478
0.0,27,0.139737
0.0,5,0.140028
0.0,10,0.140543
0.0,2,0.140699
0.0,2,0.140858
0.0,1,0.140967
0.0,4,0.141223
0.0,6,0.141559
0.0,56,0.144082
0.0,6,0.144433
0.0,10,0.144938
0.0,7,0.145332
0.0,4,0.145579
0.0,3,0.145778
0.0,3,0.145979
0.0,2,0.146148
0.0,1,0.146259
0.0,1,0.146368
0.0,3,0.146566
0.0,21,0.147571
0.0,6,0.147907
0.0,17,0.14873
0.0,6,0.149065
0.0,8,0.149494
0.0,1,0.149625
0.0,5,0.149915
0.0,19,0.150825
0.0,6,0.151173
0.0,8,0.15159
0.0,7,0.151963
0.0,19,0.152872
0.0,12,0.153481
1.0,13,0.154127
0.0,11,0.154676
0.0,25,0.155841
0.0,8,0.156273
0.0,7,0.156653
0.0,3,0.156855
0.0,10,0.15737
0.0,19,0.15828
0.0,2,0.158437
0.0,11,0.158985
0.0,19,0.159887
0.0,16,0.160664
0.0,5,0.160954
0.0,6,0.161303
0.0,8,0.161722
0.0,37,0.163434
0.0,10,0.163943
0.0,1,0.164053
