#{"t_start": 1522716865.230159, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.036255
0.0,16,0.037107
0.0,4,0.03737
0.0,30,0.038791
0.0,3,0.039014
0.0,16,0.039907
0.0,10,0.040452
0.0,19,0.041363
0.0,11,0.041936
0.0,13,0.042589
0.0,2,0.042754
0.0,5,0.043046
0.0,3,0.043248
0.0,4,0.04351
0.0,4,0.043756
0.0,3,0.043957
0.0,14,0.044657
0.0,3,0.044863
0.0,12,0.045474
0.0,5,0.045765
0.0,3,0.045965
0.0,4,0.046214
0.0,3,0.046441
0.0,3,0.046644
0.0,9,0.047104
0.0,6,0.047451
0.0,14,0.048146
0.0,1,0.048261
0.0,8,0.048694
0.0,6,0.049027
0.0,14,0.049743
0.0,3,0.049952
0.0,10,0.050492
0.0,10,0.051002
0.0,35,0.052637
0.0,20,0.053626
0.0,7,0.054015
0.0,5,0.054304
0.0,3,0.054518
0.0,11,0.055074
0.0,4,0.055318
0.0,17,0.056145
0.0,3,0.056352
0.0,3,0.056563
0.0,18,0.057432
0.0,10,0.057947
0.0,2,0.058107
0.0,15,0.058851
0.0,6,0.059187
0.0,14,0.059907
0.0,4,0.060156
0.0,8,0.060595
0.0,1,0.060708
0.0,6,0.061044
0.0,2,0.0612
0.0,1,0.061311
0.0,6,0.06166
0.0,20,0.062624
1.0,25,0.063813
0.0,25,0.064999
0.0,3,0.065209
0.0,11,0.065778
0.0,39,0.067589
0.0,3,0.067815
0.0,36,0.0695
0.0,28,0.070831
0.0,9,0.071305
1.0,58,0.073962
0.0,6,0.074353
0.0,4,0.074617
0.0,4,0.074864
0.0,2,0.075021
0.0,11,0.075581
0.0,11,0.076143
0.0,17,0.076979
0.0,2,0.077144
0.0,1,0.077255
0.0,24,0.078405
0.0,1,0.078528
0.0,5,0.078819
0.0,4,0.079065
0.0,25,0.080251
1.0,27,0.081545
0.0,28,0.082868
0.0,4,0.083127
1.0,18,0.084001
1.0,30,0.085411
0.0,18,0.086283
0.0,23,0.087375
0.0,11,0.087945
0.0,1,0.088058
0.0,5,0.088353
0.0,5,0.088653
0.0,2,0.088813
0.0,18,0.089704
0.0,8,0.090128
0.0,4,0.090373
0.0,3,0.090584
0.0,3,0.090788
