#{"t_start": 1522692763.7913377, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.001479
0.0,5,0.001797
0.0,8,0.002239
0.0,2,0.002415
0.0,10,0.00294
0.0,3,0.003147
0.0,6,0.003504
0.0,2,0.003669
0.0,22,0.004997
0.0,6,0.005365
0.0,11,0.005934
0.0,9,0.006418
0.0,5,0.006714
0.0,5,0.007008
0.0,12,0.00763
0.0,18,0.008522
0.0,6,0.008863
0.0,5,0.009158
0.0,2,0.009318
0.0,7,0.009853
0.0,15,0.010617
0.0,9,0.011099
0.0,3,0.011305
0.0,5,0.011615
0.0,3,0.011821
0.0,9,0.012299
0.0,1,0.012425
0.0,7,0.012812
0.0,7,0.013199
0.0,6,0.013554
0.0,5,0.013849
0.0,6,0.014193
0.0,2,0.014368
0.0,8,0.0148
0.0,9,0.015369
0.0,2,0.015536
0.0,1,0.01565
0.0,3,0.015857
0.0,4,0.016126
0.0,1,0.01624
0.0,4,0.016507
0.0,3,0.016715
0.0,15,0.017475
0.0,9,0.017953
0.0,8,0.018395
0.0,5,0.018696
0.0,9,0.019169
0.0,4,0.019435
0.0,19,0.020373
0.0,3,0.020584
0.0,7,0.020967
0.0,8,0.021466
0.0,8,0.021899
0.0,9,0.022387
0.0,4,0.022638
0.0,12,0.023248
0.0,16,0.024047
0.0,4,0.024301
0.0,4,0.024559
0.0,3,0.024766
0.0,7,0.025149
0.0,5,0.025462
0.0,1,0.025577
0.0,3,0.025783
0.0,4,0.026036
0.0,4,0.026393
0.0,22,0.027464
0.0,7,0.027849
0.0,9,0.028335
0.0,6,0.028676
0.0,17,0.029531
0.0,2,0.029695
0.0,2,0.029857
0.0,3,0.030067
0.0,8,0.03051
0.0,5,0.030806
0.0,19,0.031837
0.0,5,0.032139
0.0,1,0.032252
0.0,8,0.032697
1.0,11,0.033268
0.0,6,0.033622
0.0,26,0.034874
0.0,25,0.036084
0.0,13,0.036813
0.0,3,0.037019
0.0,3,0.037224
0.0,20,0.038203
0.0,4,0.038469
0.0,6,0.038812
0.0,3,0.03902
0.0,2,0.039179
0.0,12,0.039801
0.0,6,0.040144
0.0,1,0.040258
0.0,22,0.04133
0.0,7,0.041789
0.0,32,0.043316
0.0,3,0.043537
0.0,20,0.044517
0.0,40,0.04641
0.0,32,0.047976
0.0,11,0.048561
0.0,1,0.048676
0.0,14,0.049391
0.0,2,0.049554
0.0,5,0.049851
0.0,5,0.050151
0.0,8,0.050596
1.0,24,0.051757
0.0,5,0.052054
0.0,1,0.05217
0.0,22,0.053341
0.0,1,0.05346
0.0,13,0.054118
0.0,1,0.054234
0.0,6,0.054592
0.0,3,0.054799
0.0,9,0.055272
0.0,30,0.056717
0.0,9,0.057194
0.0,17,0.058171
0.0,4,0.05844
0.0,12,0.059053
0.0,16,0.05986
0.0,4,0.060114
0.0,32,0.061652
0.0,7,0.062038
0.0,1,0.062151
0.0,2,0.06231
0.0,11,0.062888
0.0,9,0.063435
0.0,10,0.063955
0.0,18,0.064863
0.0,4,0.065114
0.0,7,0.065517
0.0,10,0.066036
0.0,8,0.066477
0.0,20,0.067455
0.0,14,0.068154
0.0,7,0.068554
0.0,4,0.068804
0.0,12,0.069466
0.0,2,0.06963
0.0,2,0.069788
0.0,5,0.070086
0.0,11,0.070663
0.0,7,0.071049
