#{"t_start": 1522716414.9033458, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,12,0.034901
0.0,18,0.036246
0.0,18,0.037557
0.0,12,0.038334
0.0,25,0.039521
0.0,1,0.039639
0.0,7,0.04003
0.0,36,0.041701
0.0,15,0.042445
0.0,7,0.042836
0.0,12,0.043437
0.0,100,0.047979
1.0,19,0.0489
0.0,3,0.049109
0.0,9,0.049576
0.0,27,0.050857
0.0,15,0.051595
0.0,17,0.052429
0.0,22,0.053481
0.0,18,0.05436
0.0,1,0.054476
0.0,20,0.055439
0.0,5,0.055732
0.0,11,0.056301
0.0,12,0.056914
0.0,28,0.05823
0.0,9,0.0587
0.0,5,0.059003
0.0,6,0.059343
0.0,11,0.059911
0.0,10,0.060419
0.0,10,0.060944
0.0,6,0.061283
0.0,6,0.06162
0.0,10,0.062138
0.0,21,0.063139
0.0,33,0.064677
0.0,6,0.065022
0.0,10,0.065534
0.0,9,0.066014
0.0,19,0.06693
0.0,10,0.067444
0.0,1,0.067558
1.0,20,0.068529
0.0,4,0.068774
0.0,2,0.068942
0.0,10,0.06945
0.0,2,0.06961
0.0,7,0.069999
0.0,16,0.070769
0.0,19,0.071679
0.0,3,0.071895
0.0,4,0.07214
0.0,12,0.072738
0.0,11,0.073298
0.0,10,0.073815
0.0,5,0.074112
0.0,6,0.074444
0.0,13,0.075093
0.0,22,0.076142
0.0,9,0.076613
0.0,16,0.077394
0.0,9,0.077875
0.0,20,0.07883
0.0,25,0.080006
0.0,4,0.080254
0.0,2,0.080413
0.0,4,0.080657
0.0,17,0.081488
0.0,20,0.082444
0.0,11,0.083006
0.0,9,0.083473
0.0,3,0.083673
0.0,3,0.083888
0.0,2,0.084048
0.0,12,0.084647
0.0,11,0.08521
0.0,33,0.086729
0.0,17,0.087556
0.0,2,0.087718
0.0,12,0.088336
0.0,3,0.08854
0.0,2,0.088699
0.0,16,0.089477
0.0,42,0.091401
0.0,5,0.091694
0.0,1,0.091814
0.0,1,0.091928
0.0,2,0.092086
0.0,1,0.092198
0.0,3,0.092401
1.0,22,0.093451
0.0,9,0.093931
0.0,1,0.094046
0.0,13,0.094685
0.0,16,0.095471
0.0,6,0.095816
0.0,9,0.096279
0.0,1,0.096392
0.0,1,0.096503
0.0,12,0.09711
0.0,2,0.09727
0.0,6,0.097603
0.0,6,0.097953
0.0,32,0.09944
0.0,1,0.099553
0.0,11,0.100116
0.0,7,0.100502
0.0,4,0.100749
0.0,15,0.101483
0.0,56,0.104028
1.0,15,0.104755
0.0,1,0.104878
0.0,29,0.106234
0.0,12,0.106845
0.0,7,0.107224
0.0,16,0.108014
0.0,6,0.108349
0.0,4,0.108595
0.0,4,0.108851
0.0,7,0.109231
0.0,1,0.109342
0.0,7,0.109717
1.0,28,0.111026
0.0,7,0.111408
0.0,77,0.114913
0.0,4,0.115161
0.0,23,0.116253
0.0,28,0.117564
0.0,32,0.119066
0.0,8,0.11949
0.0,5,0.11978
0.0,19,0.120689
0.0,5,0.120989
0.0,19,0.121906
0.0,8,0.122335
0.0,10,0.122854
0.0,15,0.123593
0.0,8,0.124024
0.0,12,0.124619
0.0,7,0.125009
0.0,66,0.128017
0.0,12,0.12862
0.0,5,0.128922
0.0,14,0.129607
0.0,17,0.130435
0.0,7,0.130826
0.0,12,0.131427
0.0,37,0.133135
0.0,7,0.133522
0.0,48,0.135719
0.0,17,0.136609
0.0,7,0.137
0.0,2,0.13716
1.0,11,0.137709
0.0,1,0.137835
0.0,21,0.138844
0.0,28,0.140151
0.0,42,0.142086
0.0,13,0.142728
0.0,27,0.144
0.0,10,0.144508
0.0,7,0.144896
0.0,16,0.145672
0.0,3,0.145884
0.0,13,0.146526
0.0,19,0.147443
0.0,35,0.149083
0.0,4,0.149333
0.0,1,0.149447
0.0,9,0.149929
0.0,1,0.150042
0.0,5,0.150333
0.0,5,0.150624
0.0,22,0.151675
0.0,3,0.151888
