#{"t_start": 1522728811.6816785, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,38,0.035813
0.0,7,0.036224
0.0,2,0.036396
0.0,1,0.03651
0.0,21,0.037509
0.0,5,0.0378
0.0,3,0.038002
0.0,11,0.038569
0.0,8,0.038991
0.0,11,0.039547
0.0,4,0.039789
0.0,16,0.040562
0.0,11,0.041112
0.0,14,0.041797
0.0,4,0.042042
0.0,25,0.043211
0.0,2,0.043377
0.0,3,0.043577
0.0,1,0.043686
0.0,6,0.044017
0.0,10,0.044535
0.0,1,0.044647
0.0,23,0.045722
0.0,14,0.046411
0.0,10,0.046919
0.0,5,0.047204
0.0,4,0.047458
0.0,6,0.047788
0.0,17,0.048608
0.0,15,0.049329
0.0,10,0.04984
0.0,29,0.051174
0.0,18,0.052042
0.0,20,0.052992
0.0,4,0.053238
0.0,11,0.053799
0.0,17,0.05463
0.0,4,0.054875
0.0,10,0.055387
0.0,2,0.055546
0.0,26,0.056748
0.0,2,0.056904
0.0,15,0.057637
0.0,19,0.058542
0.0,3,0.058747
0.0,16,0.059517
0.0,25,0.060685
0.0,15,0.061418
0.0,8,0.061837
0.0,1,0.061946
0.0,33,0.063456
0.0,15,0.064177
0.0,2,0.064335
0.0,7,0.064721
0.0,24,0.065834
0.0,5,0.066121
0.0,12,0.066716
0.0,3,0.066916
0.0,8,0.067334
0.0,14,0.068021
0.0,31,0.069453
0.0,6,0.069786
0.0,1,0.069896
0.0,6,0.070229
0.0,3,0.070437
0.0,23,0.071517
0.0,7,0.071892
0.0,19,0.072797
0.0,15,0.073524
0.0,9,0.073985
0.0,4,0.074226
0.0,1,0.074336
0.0,17,0.075158
0.0,1,0.075274
0.0,5,0.075572
0.0,1,0.075683
0.0,24,0.076795
0.0,9,0.077258
0.0,14,0.077945
0.0,13,0.078594
0.0,12,0.079181
1.0,21,0.080174
0.0,12,0.080773
0.0,22,0.081817
0.0,25,0.082983
0.0,3,0.083188
0.0,4,0.083441
0.0,3,0.083641
0.0,3,0.083839
1.0,10,0.084344
1.0,9,0.084814
0.0,6,0.085146
0.0,3,0.085345
0.0,16,0.086114
0.0,4,0.086358
0.0,11,0.086917
0.0,17,0.08773
1.0,18,0.08859
0.0,6,0.088923
0.0,10,0.08944
0.0,2,0.089597
0.0,8,0.090011
0.0,8,0.090435
0.0,11,0.090986
0.0,19,0.091888
0.0,2,0.092045
0.0,10,0.092565
0.0,3,0.09277
0.0,4,0.093011
0.0,5,0.093295
0.0,5,0.093593
0.0,6,0.093923
0.0,5,0.09421
0.0,1,0.094321
0.0,9,0.094792
0.0,9,0.095253
0.0,4,0.095505
0.0,6,0.095835
0.0,33,0.097336
0.0,15,0.098072
0.0,5,0.09836
0.0,8,0.098785
0.0,1,0.098897
0.0,9,0.099358
0.0,1,0.099482
0.0,16,0.10024
0.0,15,0.100976
0.0,6,0.101311
0.0,2,0.101476
0.0,5,0.101768
0.0,3,0.101968
0.0,5,0.102256
0.0,14,0.102948
0.0,2,0.103105
0.0,5,0.103405
0.0,3,0.103605
0.0,21,0.104603
0.0,4,0.104846
0.0,21,0.10583
0.0,3,0.10603
0.0,30,0.107419
0.0,8,0.107834
0.0,5,0.108122
0.0,11,0.108678
0.0,8,0.109102
0.0,18,0.109959
0.0,5,0.110247
0.0,10,0.110766
0.0,27,0.112013
0.0,9,0.112485
0.0,21,0.113472
0.0,15,0.114192
0.0,2,0.114349
0.0,14,0.11504
0.0,4,0.115283
0.0,7,0.115664
0.0,8,0.116079
0.0,5,0.116374
0.0,10,0.116875
0.0,12,0.117476
0.0,14,0.118152
1.0,19,0.119054
0.0,2,0.119213
0.0,6,0.119553
0.0,3,0.119756
0.0,9,0.120216
0.0,5,0.120511
1.0,11,0.12106
0.0,18,0.121918
0.0,13,0.122562
