#{"t_start": 1522714053.1654015, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.036069
0.0,8,0.036742
0.0,25,0.038531
0.0,5,0.038989
0.0,13,0.039974
0.0,16,0.041168
0.0,24,0.042618
0.0,7,0.043015
0.0,3,0.04322
0.0,5,0.043511
0.0,5,0.043802
0.0,21,0.044824
0.0,20,0.045792
0.0,48,0.048015
0.0,7,0.048396
0.0,4,0.048642
0.0,1,0.048753
0.0,1,0.048875
0.0,5,0.049171
0.0,4,0.04942
0.0,8,0.049844
0.0,9,0.050324
0.0,9,0.050798
0.0,1,0.050921
0.0,10,0.051439
0.0,6,0.051774
0.0,4,0.052043
0.0,4,0.052291
0.0,14,0.052996
0.0,5,0.053289
0.0,38,0.055064
0.0,7,0.055449
0.0,15,0.056195
0.0,16,0.05699
0.0,26,0.058224
0.0,2,0.058386
1.0,24,0.059533
0.0,11,0.060108
0.0,13,0.060756
0.0,6,0.061106
0.0,25,0.062306
0.0,27,0.063587
0.0,13,0.064253
0.0,4,0.064503
0.0,2,0.064663
0.0,8,0.0651
0.0,16,0.065887
0.0,8,0.066313
0.0,13,0.066971
0.0,3,0.067179
0.0,7,0.067563
1.0,12,0.068178
0.0,6,0.06852
0.0,10,0.069051
0.0,21,0.070067
0.0,10,0.07058
0.0,7,0.070971
0.0,41,0.072884
0.0,5,0.073178
0.0,3,0.073383
0.0,7,0.073762
0.0,1,0.073884
0.0,19,0.074802
0.0,12,0.07542
0.0,29,0.076786
0.0,1,0.07691
0.0,5,0.077205
0.0,5,0.077499
0.0,20,0.07847
0.0,23,0.079571
0.0,3,0.079775
0.0,5,0.080081
0.0,4,0.08033
0.0,18,0.081205
0.0,12,0.081809
0.0,9,0.082297
0.0,4,0.082548
0.0,3,0.08275
0.0,4,0.083012
0.0,1,0.083125
1.0,10,0.083634
0.0,11,0.084207
0.0,1,0.084323
0.0,1,0.084434
0.0,45,0.08654
0.0,19,0.087467
0.0,16,0.088259
0.0,3,0.088462
0.0,8,0.088899
0.0,12,0.08951
0.0,5,0.089802
0.0,9,0.090284
0.0,7,0.090666
0.0,16,0.091457
0.0,11,0.092041
0.0,23,0.093147
0.0,14,0.093836
0.0,4,0.094096
0.0,20,0.095068
0.0,9,0.095544
0.0,5,0.095838
0.0,1,0.09596
0.0,6,0.096298
0.0,14,0.097
0.0,15,0.097736
0.0,13,0.0984
0.0,4,0.098652
0.0,19,0.099573
0.0,8,0.10001
0.0,13,0.100656
0.0,14,0.101361
0.0,10,0.101897
0.0,11,0.102456
0.0,8,0.102895
0.0,13,0.103545
0.0,2,0.103703
0.0,5,0.104008
0.0,5,0.1043
0.0,3,0.104503
0.0,1,0.104614
0.0,16,0.105406
0.0,10,0.105936
0.0,3,0.106142
0.0,5,0.106436
0.0,14,0.107134
0.0,6,0.107472
0.0,5,0.107766
0.0,16,0.108564
0.0,3,0.108768
0.0,3,0.108982
0.0,1,0.109098
0.0,7,0.109481
0.0,2,0.109641
0.0,2,0.109801
0.0,6,0.110148
0.0,5,0.110445
0.0,7,0.110825
0.0,3,0.11104
0.0,2,0.111198
0.0,4,0.111444
0.0,6,0.111783
0.0,7,0.112181
0.0,6,0.112517
0.0,7,0.112912
0.0,5,0.113208
0.0,9,0.113678
0.0,2,0.113837
0.0,4,0.114094
0.0,52,0.116516
0.0,23,0.117622
0.0,3,0.117829
0.0,5,0.118132
0.0,10,0.118646
0.0,1,0.118757
0.0,12,0.119371
0.0,4,0.119618
0.0,7,0.120011
0.0,15,0.120751
0.0,6,0.121098
0.0,11,0.121656
0.0,5,0.121966
0.0,9,0.122438
0.0,2,0.122599
0.0,15,0.123342
0.0,3,0.123546
0.0,9,0.124032
0.0,3,0.124236
0.0,1,0.124347
0.0,1,0.124459
0.0,16,0.125248
0.0,3,0.125452
0.0,16,0.126245
0.0,21,0.127256
0.0,10,0.127767
0.0,25,0.128986
0.0,21,0.129998
0.0,1,0.130114
0.0,7,0.130494
0.0,13,0.131155
0.0,7,0.131543
0.0,10,0.132081
0.0,15,0.13282
0.0,8,0.133254
0.0,1,0.133368
0.0,1,0.13348
0.0,1,0.13359
0.0,3,0.133794
0.0,1,0.133916
0.0,1,0.134029
0.0,10,0.134547
0.0,1,0.134661
0.0,10,0.135187
0.0,7,0.135573
0.0,6,0.135983
0.0,3,0.136187
0.0,4,0.136433
0.0,5,0.136725
0.0,1,0.136839
0.0,8,0.137276
0.0,6,0.137611
0.0,11,0.138178
0.0,12,0.138776
0.0,9,0.139262
0.0,3,0.139465
0.0,7,0.139845
0.0,5,0.140147
0.0,11,0.140708
0.0,3,0.140922
0.0,3,0.141124
0.0,8,0.141546
0.0,4,0.141792
0.0,29,0.143172
0.0,2,0.143333
0.0,13,0.143993
0.0,1,0.144109
0.0,2,0.144267
0.0,17,0.145097
0.0,6,0.145437
0.0,1,0.14555
0.0,7,0.145944
0.0,10,0.146463
0.0,8,0.146896
0.0,12,0.147494
0.0,10,0.148018
0.0,8,0.148445
0.0,5,0.148734
0.0,1,0.148848
0.0,3,0.149064
0.0,6,0.1494
0.0,10,0.14992
0.0,13,0.150571
0.0,7,0.15096
0.0,3,0.151165
0.0,1,0.151276
0.0,51,0.153636
0.0,9,0.154122
0.0,1,0.154235
0.0,3,0.154437
0.0,15,0.155177
0.0,19,0.156099
0.0,6,0.15644
0.0,8,0.156877
0.0,3,0.157083
0.0,3,0.157285
0.0,15,0.158024
0.0,3,0.158227
0.0,12,0.158823
0.0,1,0.158942
1.0,15,0.15968
1.0,8,0.160133
0.0,3,0.160336
0.0,2,0.160496
0.0,12,0.161109
0.0,19,0.162036
0.0,21,0.163049
0.0,12,0.16365
0.0,16,0.164443
0.0,10,0.164967
0.0,9,0.165436
0.0,11,0.166007
0.0,6,0.166344
0.0,7,0.166721
0.0,18,0.167602
0.0,5,0.167907
0.0,5,0.1682
0.0,17,0.169033
0.0,10,0.16955
0.0,1,0.169665
0.0,10,0.17019
0.0,26,0.171414
0.0,17,0.172261
0.0,11,0.172816
0.0,6,0.173163
0.0,12,0.173766
0.0,11,0.174335
1.0,12,0.174949
0.0,1,0.175062
0.0,11,0.175619
0.0,11,0.176194
0.0,4,0.176442
0.0,5,0.176734
0.0,12,0.177346
0.0,16,0.178135
0.0,9,0.178608
0.0,8,0.179044
0.0,6,0.17938
0.0,2,0.17954
0.0,3,0.179741
0.0,15,0.180482
0.0,5,0.180777
0.0,14,0.181481
0.0,4,0.181732
0.0,6,0.182087
0.0,9,0.182554
0.0,4,0.182801
0.0,10,0.183321
0.0,9,0.183795
0.0,1,0.183917
0.0,4,0.184165
0.0,5,0.184457
0.0,9,0.184937
0.0,3,0.185144
0.0,4,0.185393
0.0,2,0.18555
0.0,11,0.186119
0.0,4,0.186367
0.0,6,0.186707
0.0,13,0.187366
0.0,12,0.187983
0.0,18,0.188839
0.0,4,0.189101
0.0,5,0.189394
0.0,5,0.189687
0.0,6,0.190033
0.0,8,0.19046
0.0,8,0.190897
0.0,41,0.192787
0.0,5,0.193093
0.0,3,0.193296
0.0,10,0.193806
0.0,3,0.194021
0.0,6,0.194359
0.0,14,0.195059
0.0,6,0.195395
0.0,12,0.196008
0.0,9,0.196478
0.0,3,0.196681
0.0,10,0.19721
0.0,12,0.197808
0.0,12,0.198423
0.0,6,0.198758
0.0,7,0.199145
0.0,8,0.199567
0.0,6,0.199916
0.0,10,0.200429
0.0,1,0.200542
0.0,6,0.200887
0.0,4,0.201137
0.0,1,0.201249
0.0,13,0.201908
0.0,8,0.202335
0.0,2,0.202495
0.0,15,0.203238
0.0,58,0.205888
0.0,10,0.206399
0.0,14,0.207095
0.0,9,0.20757
0.0,18,0.20844
0.0,8,0.208875
0.0,7,0.209257
0.0,19,0.21018
0.0,1,0.210295
0.0,16,0.21108
0.0,5,0.211375
0.0,5,0.211671
0.0,16,0.212472
0.0,17,0.213307
0.0,3,0.213515
0.0,9,0.213993
0.0,6,0.214329
0.0,8,0.214751
0.0,6,0.215099
0.0,18,0.215979
0.0,8,0.216409
0.0,34,0.218011
0.0,9,0.218486
0.0,29,0.219846
0.0,5,0.220153
0.0,3,0.220356
0.0,4,0.220602
0.0,7,0.220994
0.0,18,0.221882
0.0,1,0.221997
0.0,11,0.222554
0.0,6,0.2229
0.0,14,0.22359
0.0,22,0.224654
0.0,20,0.225618
0.0,6,0.225965
0.0,15,0.226698
0.0,7,0.227092
0.0,9,0.227564
0.0,8,0.228001
0.0,13,0.228648
0.0,10,0.229172
0.0,10,0.22968
0.0,8,0.230115
0.0,4,0.230364
0.0,5,0.230653
0.0,1,0.230765
0.0,12,0.231374
0.0,11,0.231945
0.0,12,0.232548
0.0,1,0.23266
0.0,20,0.233629
0.0,6,0.233978
0.0,55,0.236492
0.0,14,0.237258
0.0,1,0.237373
0.0,10,0.237894
0.0,17,0.238725
0.0,31,0.240195
0.0,15,0.240949
0.0,14,0.241637
0.0,3,0.241839
0.0,20,0.242809
0.0,22,0.243877
0.0,3,0.244082
0.0,2,0.24424
0.0,13,0.2449
0.0,8,0.245331
0.0,3,0.245534
0.0,2,0.245694
0.0,5,0.246001
0.0,3,0.246207
0.0,8,0.246632
0.0,10,0.24716
0.0,4,0.247414
0.0,9,0.247895
0.0,8,0.248321
0.0,18,0.249197
0.0,12,0.249806
0.0,1,0.249928
0.0,26,0.251163
0.0,11,0.251721
0.0,4,0.251987
0.0,3,0.252191
0.0,13,0.252836
0.0,18,0.253714
0.0,22,0.254773
0.0,17,0.255614
0.0,7,0.256006
0.0,7,0.256389
0.0,3,0.256594
0.0,21,0.257605
0.0,22,0.258671
0.0,3,0.258886
0.0,16,0.259669
0.0,1,0.259782
0.0,11,0.260348
0.0,23,0.261455
0.0,4,0.261706
0.0,8,0.262146
0.0,6,0.262482
0.0,27,0.263757
0.0,21,0.264771
1.0,17,0.265603
0.0,12,0.266217
0.0,5,0.266512
0.0,14,0.267213
0.0,4,0.26746
0.0,8,0.267893
0.0,28,0.269215
0.0,5,0.269512
0.0,1,0.269626
0.0,4,0.269884
0.0,7,0.270264
0.0,2,0.270422
0.0,6,0.270758
0.0,9,0.271241
0.0,22,0.272308
0.0,7,0.272688
0.0,3,0.272901
0.0,11,0.273466
0.0,10,0.273992
0.0,6,0.274335
0.0,10,0.274846
0.0,7,0.27524
0.0,24,0.276382
0.0,12,0.276996
0.0,1,0.277111
0.0,7,0.277489
0.0,4,0.277738
0.0,28,0.279073
0.0,13,0.279721
0.0,8,0.28016
0.0,3,0.280367
0.0,28,0.28169
0.0,43,0.283694
0.0,25,0.284894
0.0,5,0.285186
0.0,21,0.286204
0.0,5,0.2865
0.0,8,0.286941
0.0,15,0.287676
1.0,21,0.288692
0.0,13,0.289346
0.0,8,0.289771
0.0,20,0.29074
0.0,5,0.291043
0.0,5,0.291338
0.0,1,0.29145
