#{"t_start": 1522762510.633047, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.036439
0.0,8,0.0369
0.0,6,0.037237
0.0,9,0.037717
0.0,6,0.038068
0.0,6,0.038423
0.0,6,0.038762
0.0,26,0.039999
0.0,11,0.040659
0.0,10,0.041176
0.0,7,0.04157
0.0,1,0.041684
0.0,3,0.041886
0.0,50,0.044186
0.0,7,0.044585
0.0,3,0.044791
0.0,2,0.044948
0.0,2,0.04511
0.0,7,0.045499
0.0,13,0.046151
0.0,22,0.047205
0.0,10,0.04774
0.0,1,0.047853
0.0,22,0.048911
0.0,11,0.049486
0.0,6,0.049824
0.0,11,0.050397
0.0,31,0.051851
0.0,7,0.052235
0.0,14,0.052937
0.0,16,0.053728
0.0,21,0.054741
0.0,3,0.054946
0.0,4,0.055191
0.0,2,0.055357
0.0,5,0.055651
0.0,3,0.055852
0.0,2,0.056011
0.0,9,0.056493
0.0,3,0.056695
0.0,1,0.056809
0.0,8,0.057236
0.0,13,0.05789
0.0,3,0.058094
1.0,19,0.05901
0.0,7,0.059413
0.0,17,0.060233
0.0,22,0.061286
0.0,1,0.061412
0.0,10,0.061926
0.0,8,0.062355
1.0,7,0.062733
1.0,9,0.063201
0.0,4,0.063457
0.0,5,0.063747
0.0,10,0.064258
0.0,10,0.064787
0.0,24,0.06592
0.0,20,0.066887
0.0,2,0.06705
0.0,18,0.067921
0.0,44,0.069954
0.0,8,0.070391
0.0,16,0.07117
0.0,1,0.071284
0.0,2,0.071454
0.0,21,0.072458
0.0,7,0.072842
1.0,10,0.073364
0.0,30,0.074762
0.0,6,0.075099
0.0,3,0.075301
0.0,19,0.076218
0.0,7,0.07662
0.0,11,0.077181
0.0,1,0.077293
0.0,8,0.077728
0.0,5,0.07802
0.0,10,0.078547
1.0,8,0.078971
0.0,5,0.079262
0.0,24,0.080426
0.0,12,0.081028
0.0,8,0.081462
0.0,6,0.081798
0.0,1,0.08191
0.0,8,0.082331
0.0,12,0.082944
0.0,7,0.083322
0.0,2,0.083492
0.0,11,0.084048
0.0,6,0.084394
0.0,4,0.084641
0.0,2,0.084797
0.0,3,0.084997
0.0,3,0.085199
0.0,22,0.086256
0.0,6,0.086606
0.0,13,0.087249
0.0,7,0.087641
0.0,5,0.087934
0.0,3,0.088135
0.0,4,0.088398
0.0,3,0.088602
0.0,7,0.08898
0.0,2,0.089136
0.0,5,0.089442
0.0,11,0.090002
0.0,12,0.090617
0.0,13,0.091264
0.0,1,0.091387
0.0,2,0.091546
0.0,4,0.091796
0.0,2,0.091955
0.0,2,0.092113
0.0,5,0.092415
0.0,24,0.09355
0.0,2,0.09371
0.0,7,0.094086
0.0,1,0.094199
0.0,15,0.094936
0.0,2,0.095097
0.0,6,0.095446
0.0,8,0.095869
0.0,5,0.096157
0.0,7,0.096546
0.0,22,0.097596
0.0,4,0.097851
1.0,14,0.098551
0.0,5,0.098844
0.0,8,0.099261
0.0,3,0.099483
0.0,2,0.099641
0.0,1,0.099754
0.0,6,0.100089
0.0,4,0.10034
0.0,9,0.100821
0.0,7,0.1012
0.0,2,0.101366
0.0,1,0.101481
0.0,4,0.101727
0.0,4,0.101972
0.0,7,0.102363
0.0,5,0.102661
0.0,3,0.102867
0.0,15,0.103611
0.0,5,0.103907
0.0,4,0.104154
0.0,9,0.104632
0.0,4,0.104887
0.0,9,0.105363
0.0,5,0.105657
0.0,10,0.106167
0.0,31,0.107614
0.0,12,0.108215
0.0,21,0.109215
1.0,23,0.110323
0.0,12,0.110931
0.0,7,0.111309
0.0,13,0.111956
0.0,20,0.112915
0.0,4,0.113164
0.0,27,0.114444
0.0,5,0.114738
0.0,4,0.114987
0.0,7,0.115378
1.0,13,0.116023
0.0,3,0.116223
0.0,3,0.116437
0.0,7,0.11682
0.0,8,0.117243
0.0,3,0.117455
0.0,24,0.118601
0.0,9,0.119068
0.0,12,0.119698
0.0,11,0.120257
0.0,2,0.120431
0.0,6,0.120766
0.0,7,0.121146
0.0,24,0.122291
0.0,18,0.123166
0.0,17,0.124001
0.0,29,0.125372
0.0,31,0.126825
0.0,13,0.127478
0.0,9,0.12795
0.0,16,0.128738
0.0,3,0.128941
0.0,55,0.131457
0.0,15,0.13219
0.0,14,0.132889
0.0,10,0.133414
0.0,10,0.133924
0.0,11,0.134491
0.0,13,0.135139
0.0,2,0.135299
0.0,12,0.135909
0.0,7,0.136289
0.0,10,0.13699
0.0,42,0.138946
0.0,8,0.139388
0.0,1,0.139506
0.0,3,0.139715
0.0,23,0.140819
0.0,3,0.141022
0.0,7,0.141413
0.0,1,0.141528
0.0,3,0.14173
0.0,4,0.141979
0.0,11,0.14255
0.0,11,0.143111
1.0,15,0.143863
1.0,28,0.145182
0.0,20,0.146151
0.0,7,0.146547
0.0,44,0.148593
0.0,3,0.1488
0.0,5,0.149091
0.0,2,0.149248
0.0,4,0.149511
0.0,2,0.149674
0.0,8,0.150097
0.0,11,0.150675
0.0,5,0.15097
0.0,2,0.151126
0.0,7,0.151517
0.0,6,0.151856
0.0,11,0.152427
1.0,10,0.152941
0.0,3,0.153144
0.0,8,0.153577
0.0,9,0.154045
0.0,3,0.154247
0.0,6,0.154595
0.0,4,0.154847
0.0,19,0.155776
0.0,18,0.156658
0.0,2,0.156817
0.0,15,0.157565
0.0,4,0.157815
0.0,9,0.158287
0.0,7,0.158682
0.0,12,0.159285
0.0,2,0.159459
0.0,3,0.159662
0.0,3,0.159865
0.0,7,0.160245
0.0,5,0.160548
0.0,3,0.160777
0.0,4,0.161023
0.0,4,0.161271
0.0,2,0.16144
0.0,4,0.161687
0.0,20,0.162656
0.0,1,0.16277
0.0,8,0.163198
0.0,5,0.163502
0.0,9,0.163973
0.0,3,0.164178
0.0,6,0.164528
0.0,9,0.165002
0.0,15,0.165751
0.0,10,0.166264
0.0,8,0.166705
0.0,5,0.166998
0.0,18,0.167875
0.0,4,0.168124
0.0,4,0.168386
0.0,4,0.16864
0.0,1,0.168754
0.0,9,0.169229
0.0,26,0.170482
0.0,18,0.171357
0.0,17,0.172182
0.0,5,0.172486
0.0,1,0.1726
0.0,3,0.172801
0.0,7,0.173182
0.0,1,0.173294
0.0,9,0.17377
0.0,14,0.174471
0.0,9,0.174939
0.0,2,0.175096
0.0,13,0.17575
0.0,8,0.176175
0.0,1,0.176288
0.0,2,0.176457
0.0,2,0.176618
0.0,2,0.176777
0.0,5,0.177067
1.0,9,0.177547
0.0,9,0.178018
0.0,12,0.178637
0.0,18,0.179521
0.0,1,0.179637
0.0,12,0.180238
0.0,2,0.180411
0.0,21,0.181421
0.0,18,0.182288
0.0,14,0.182987
0.0,6,0.183325
0.0,11,0.18389
0.0,1,0.184001
0.0,9,0.184482
0.0,6,0.184817
1.0,15,0.185561
0.0,5,0.185854
1.0,9,0.186323
0.0,9,0.1868
0.0,5,0.187093
0.0,5,0.187402
0.0,22,0.188462
0.0,4,0.188715
0.0,3,0.188917
0.0,17,0.189758
0.0,11,0.190319
0.0,7,0.190708
0.0,10,0.191224
0.0,2,0.191395
0.0,10,0.191911
0.0,9,0.19239
0.0,5,0.192686
0.0,8,0.193109
1.0,7,0.193501
1.0,9,0.193974
0.0,3,0.194175
0.0,6,0.194523
0.0,6,0.194862
0.0,12,0.195477
0.0,5,0.195771
0.0,8,0.196193
0.0,16,0.196982
0.0,3,0.197187
0.0,10,0.19771
0.0,9,0.19818
0.0,11,0.198751
0.0,12,0.199369
0.0,5,0.199665
0.0,6,0.200003
0.0,2,0.20016
0.0,3,0.200372
0.0,1,0.200486
0.0,2,0.200644
0.0,6,0.200979
0.0,3,0.20118
0.0,15,0.201928
0.0,10,0.202455
0.0,2,0.202614
0.0,6,0.202951
1.0,11,0.203525
0.0,3,0.203728
0.0,9,0.204196
0.0,25,0.205396
0.0,9,0.205869
0.0,15,0.206613
0.0,7,0.207004
0.0,13,0.207663
0.0,8,0.20809
0.0,1,0.208202
0.0,10,0.208725
0.0,2,0.208886
0.0,3,0.209088
0.0,5,0.209398
0.0,15,0.210131
0.0,8,0.210571
0.0,14,0.211259
0.0,22,0.212315
0.0,8,0.212748
0.0,8,0.213169
0.0,4,0.213427
0.0,19,0.214335
0.0,4,0.214593
1.0,11,0.215149
0.0,4,0.215411
0.0,5,0.215701
0.0,11,0.216259
0.0,16,0.21704
0.0,12,0.217657
0.0,4,0.217904
0.0,15,0.218648
0.0,5,0.218941
1.0,14,0.219647
0.0,10,0.220161
0.0,8,0.220596
0.0,1,0.22071
0.0,28,0.222032
0.0,6,0.222382
0.0,4,0.222633
0.0,9,0.223104
0.0,6,0.223454
0.0,6,0.223789
0.0,8,0.224215
0.0,3,0.22443
0.0,1,0.224543
0.0,5,0.224833
0.0,4,0.225078
0.0,7,0.225472
0.0,10,0.225982
1.0,32,0.227479
0.0,12,0.228081
0.0,1,0.228195
0.0,10,0.22872
0.0,5,0.229015
0.0,14,0.229736
0.0,10,0.230248
0.0,1,0.230374
0.0,5,0.230675
0.0,6,0.231009
0.0,1,0.231124
0.0,9,0.231603
0.0,11,0.232162
0.0,3,0.232378
0.0,17,0.233196
0.0,6,0.233543
0.0,16,0.234321
0.0,12,0.234932
0.0,6,0.235267
0.0,3,0.235482
0.0,17,0.236306
0.0,11,0.236984
0.0,3,0.23719
0.0,10,0.237719
0.0,9,0.238192
0.0,13,0.238849
0.0,8,0.239275
0.0,2,0.239449
0.0,6,0.239789
0.0,8,0.24021
0.0,3,0.240426
0.0,5,0.240718
1.0,12,0.241319
0.0,2,0.241485
0.0,6,0.241818
0.0,4,0.242063
0.0,5,0.242365
0.0,4,0.242612
0.0,12,0.243206
0.0,6,0.243556
0.0,6,0.243893
0.0,10,0.244414
0.0,6,0.24475
0.0,3,0.244951
0.0,8,0.245383
0.0,6,0.245723
0.0,9,0.246191
0.0,7,0.246584
0.0,12,0.247184
0.0,7,0.247573
0.0,2,0.247731
0.0,8,0.248157
1.0,27,0.249451
0.0,39,0.251254
0.0,7,0.251646
1.0,11,0.2522
0.0,15,0.252944
0.0,20,0.253905
0.0,27,0.255182
0.0,10,0.255706
0.0,17,0.256543
0.0,8,0.256968
0.0,15,0.257716
0.0,3,0.257922
0.0,2,0.258081
0.0,18,0.258968
0.0,6,0.259307
0.0,13,0.259967
0.0,1,0.260083
0.0,20,0.261053
0.0,22,0.262109
0.0,22,0.263171
0.0,1,0.263284
0.0,13,0.263941
0.0,8,0.264376
0.0,5,0.264671
0.0,2,0.264829
0.0,8,0.265254
0.0,23,0.266358
0.0,11,0.266919
0.0,9,0.267396
0.0,7,0.267781
1.0,10,0.268293
0.0,11,0.268862
0.0,4,0.269109
0.0,14,0.269812
0.0,9,0.270279
0.0,6,0.270626
0.0,16,0.271415
0.0,5,0.271707
0.0,5,0.271995
0.0,18,0.272881
0.0,7,0.273264
0.0,4,0.273526
0.0,9,0.273998
0.0,19,0.274928
0.0,9,0.275409
0.0,3,0.275615
0.0,5,0.275906
0.0,7,0.276284
0.0,4,0.276544
0.0,9,0.277012
0.0,10,0.277533
0.0,1,0.277656
0.0,5,0.277952
0.0,2,0.278112
1.0,9,0.278592
0.0,5,0.278884
0.0,3,0.279084
0.0,7,0.27948
0.0,6,0.279818
0.0,14,0.280522
0.0,3,0.280728
0.0,3,0.280932
0.0,5,0.281221
0.0,3,0.281436
0.0,13,0.282084
0.0,11,0.282658
0.0,5,0.282953
0.0,4,0.283201
0.0,2,0.283368
0.0,14,0.284061
0.0,15,0.284809
0.0,12,0.28542
0.0,6,0.285755
0.0,11,0.286316
0.0,8,0.286744
0.0,5,0.287037
0.0,7,0.287431
0.0,7,0.287812
0.0,6,0.288151
0.0,2,0.288312
0.0,5,0.288611
0.0,16,0.289408
0.0,4,0.28966
1.0,6,0.289994
0.0,4,0.290242
0.0,15,0.290984
0.0,9,0.291468
0.0,35,0.293085
0.0,3,0.293292
0.0,5,0.293596
0.0,5,0.293888
0.0,3,0.294091
0.0,28,0.295417
0.0,3,0.295626
0.0,2,0.295784
0.0,3,0.295987
0.0,12,0.296593
0.0,5,0.296885
0.0,21,0.297889
0.0,22,0.298938
0.0,3,0.299142
0.0,12,0.299757
0.0,3,0.299961
0.0,6,0.300294
0.0,3,0.300505
0.0,6,0.300846
0.0,4,0.301095
0.0,5,0.301399
0.0,9,0.301869
0.0,10,0.302395
0.0,7,0.302778
0.0,21,0.303785
0.0,4,0.304035
0.0,37,0.305759
0.0,8,0.306186
0.0,1,0.306298
0.0,14,0.306993
0.0,8,0.307432
0.0,18,0.308297
0.0,13,0.308949
0.0,7,0.309333
0.0,9,0.309821
0.0,6,0.310157
0.0,4,0.310414
0.0,8,0.310842
0.0,5,0.311132
0.0,15,0.311876
0.0,8,0.312305
0.0,9,0.31278
1.0,37,0.314509
0.0,6,0.314849
0.0,2,0.315007
0.0,14,0.315705
0.0,30,0.31711
0.0,9,0.317593
0.0,8,0.318019
0.0,7,0.31841
0.0,1,0.318526
0.0,13,0.319169
0.0,21,0.320185
0.0,4,0.32045
0.0,3,0.320655
0.0,6,0.320992
0.0,12,0.32161
0.0,3,0.321814
0.0,8,0.322239
0.0,8,0.322679
0.0,2,0.322838
1.0,8,0.323258
0.0,2,0.323432
0.0,4,0.323679
0.0,2,0.323836
0.0,8,0.32426
0.0,7,0.324651
0.0,2,0.32481
0.0,1,0.324924
0.0,3,0.325126
0.0,1,0.325238
0.0,3,0.325452
0.0,2,0.325613
0.0,3,0.325816
0.0,8,0.326238
0.0,4,0.326499
0.0,6,0.326837
0.0,6,0.327174
0.0,3,0.327391
0.0,17,0.328217
0.0,3,0.328433
0.0,4,0.328683
0.0,6,0.32902
0.0,9,0.329507
0.0,3,0.329711
0.0,2,0.329869
0.0,19,0.330793
0.0,16,0.331585
0.0,7,0.331965
0.0,7,0.332355
0.0,6,0.332691
0.0,25,0.333879
0.0,5,0.334173
0.0,6,0.334521
0.0,4,0.334769
0.0,3,0.334971
0.0,8,0.335409
0.0,7,0.33579
0.0,4,0.336039
0.0,3,0.336241
0.0,6,0.336589
0.0,6,0.337027
0.0,5,0.337322
0.0,1,0.337442
0.0,7,0.337826
0.0,5,0.338118
0.0,6,0.338461
0.0,2,0.338619
0.0,3,0.33882
0.0,4,0.339068
0.0,19,0.339995
0.0,12,0.340605
0.0,7,0.340983
1.0,20,0.341945
0.0,40,0.343794
0.0,42,0.345733
0.0,11,0.346293
0.0,2,0.346463
0.0,13,0.347108
0.0,4,0.347368
0.0,15,0.348104
0.0,3,0.348306
0.0,6,0.348649
0.0,3,0.348851
0.0,2,0.349008
0.0,7,0.349404
0.0,3,0.34961
0.0,20,0.350574
0.0,7,0.350954
0.0,3,0.351155
0.0,24,0.352299
0.0,7,0.35269
0.0,1,0.352803
0.0,13,0.353466
0.0,3,0.353673
0.0,4,0.353917
0.0,5,0.354213
0.0,2,0.35438
0.0,17,0.355199
0.0,3,0.355413
0.0,4,0.355663
0.0,8,0.356086
0.0,5,0.356386
0.0,5,0.356687
0.0,5,0.356977
0.0,11,0.357541
0.0,7,0.357919
0.0,6,0.358258
0.0,5,0.358562
1.0,9,0.359029
0.0,1,0.359139
0.0,8,0.359582
0.0,6,0.359917
0.0,4,0.360165
0.0,3,0.360382
0.0,5,0.360679
1.0,9,0.361152
0.0,6,0.361508
0.0,4,0.361756
0.0,23,0.362854
0.0,4,0.363102
0.0,16,0.363921
0.0,5,0.364215
0.0,6,0.364562
0.0,9,0.365031
1.0,12,0.365644
0.0,4,0.365893
1.0,23,0.36699
0.0,6,0.367325
0.0,3,0.367542
0.0,3,0.367744
0.0,14,0.368446
0.0,7,0.368825
0.0,31,0.370278
0.0,7,0.370667
0.0,2,0.370828
1.0,7,0.371208
0.0,5,0.371511
0.0,26,0.372746
0.0,11,0.373301
1.0,18,0.374178
0.0,10,0.374701
0.0,16,0.375494
0.0,4,0.375741
0.0,4,0.375987
0.0,9,0.376462
0.0,5,0.376756
0.0,3,0.376959
0.0,5,0.377248
0.0,3,0.377463
0.0,2,0.377621
0.0,3,0.377821
0.0,2,0.377977
0.0,1,0.378088
0.0,2,0.378244
0.0,8,0.378676
1.0,8,0.379103
0.0,6,0.379488
0.0,3,0.379694
0.0,5,0.379984
0.0,5,0.380277
0.0,2,0.380446
0.0,2,0.380604
0.0,5,0.380897
0.0,10,0.381424
0.0,3,0.38163
0.0,1,0.381741
0.0,2,0.381897
0.0,2,0.382053
0.0,20,0.383019
0.0,4,0.38327
0.0,6,0.383621
0.0,28,0.384934
0.0,8,0.385371
0.0,13,0.386019
0.0,12,0.386638
0.0,5,0.386929
0.0,2,0.387101
0.0,4,0.387356
0.0,6,0.387691
0.0,10,0.388203
0.0,14,0.388908
0.0,9,0.389392
0.0,1,0.389505
0.0,8,0.389929
0.0,1,0.390041
0.0,5,0.390331
0.0,6,0.390676
1.0,17,0.391523
0.0,4,0.39177
0.0,1,0.391881
0.0,10,0.392405
1.0,14,0.393097
0.0,3,0.393296
0.0,11,0.39386
0.0,6,0.394201
0.0,3,0.394416
0.0,4,0.394664
1.0,8,0.395084
0.0,20,0.396047
0.0,12,0.396659
0.0,8,0.397084
0.0,7,0.39748
0.0,6,0.397815
0.0,3,0.39802
0.0,9,0.398502
0.0,3,0.398705
0.0,22,0.399758
0.0,5,0.400051
0.0,1,0.400163
0.0,4,0.400421
0.0,6,0.40076
0.0,11,0.401317
0.0,1,0.401438
0.0,16,0.402215
0.0,2,0.402387
0.0,15,0.403123
0.0,3,0.403326
0.0,3,0.403539
0.0,13,0.404188
0.0,9,0.404669
0.0,5,0.40496
0.0,2,0.405118
0.0,5,0.405422
1.0,13,0.406069
0.0,3,0.40627
0.0,3,0.406485
0.0,5,0.406776
0.0,1,0.40689
0.0,11,0.407459
0.0,16,0.408235
0.0,21,0.409254
0.0,1,0.409386
0.0,6,0.409726
0.0,2,0.409886
0.0,25,0.411079
0.0,1,0.411193
0.0,8,0.411631
0.0,23,0.412731
0.0,15,0.413475
0.0,21,0.414489
0.0,15,0.415221
0.0,9,0.415702
0.0,3,0.415905
0.0,2,0.416063
0.0,3,0.416265
0.0,4,0.416526
0.0,7,0.416908
1.0,18,0.417785
0.0,5,0.418076
0.0,12,0.418692
0.0,13,0.419337
1.0,8,0.419779
0.0,6,0.420118
0.0,27,0.421401
0.0,1,0.421516
0.0,10,0.422028
0.0,19,0.422954
0.0,8,0.423391
0.0,3,0.423597
0.0,21,0.424608
1.0,15,0.425341
0.0,11,0.42591
0.0,5,0.426201
0.0,4,0.426461
0.0,19,0.427379
1.0,7,0.42776
0.0,8,0.428185
0.0,2,0.428352
0.0,16,0.429132
0.0,8,0.429578
0.0,5,0.429871
1.0,11,0.430437
0.0,7,0.430818
0.0,3,0.431019
0.0,16,0.431808
0.0,18,0.43269
0.0,2,0.432851
0.0,1,0.432965
1.0,13,0.433622
0.0,1,0.433738
0.0,10,0.434251
0.0,1,0.434375
0.0,5,0.43467
0.0,8,0.435091
0.0,13,0.435744
0.0,4,0.435995
0.0,3,0.436196
1.0,13,0.436851
0.0,5,0.437248
0.0,5,0.437554
0.0,1,0.437669
0.0,13,0.438309
0.0,12,0.438922
0.0,3,0.439126
0.0,5,0.439433
0.0,4,0.439679
0.0,4,0.439924
0.0,10,0.440466
0.0,2,0.440625
0.0,3,0.440826
1.0,15,0.441576
0.0,4,0.441826
0.0,15,0.442574
0.0,3,0.442779
0.0,8,0.443201
0.0,2,0.443372
0.0,5,0.443663
0.0,7,0.444043
0.0,7,0.444433
0.0,10,0.444946
0.0,17,0.445778
0.0,3,0.445985
0.0,8,0.44642
0.0,4,0.44667
0.0,10,0.447182
0.0,8,0.447616
0.0,2,0.447777
0.0,9,0.448244
0.0,3,0.448459
0.0,7,0.448841
0.0,4,0.449087
0.0,2,0.449245
0.0,8,0.449686
0.0,4,0.449933
0.0,6,0.450267
0.0,1,0.450392
0.0,10,0.450909
0.0,13,0.451566
0.0,15,0.452305
0.0,20,0.453269
0.0,4,0.45353
0.0,6,0.453868
0.0,1,0.453979
1.0,25,0.455167
0.0,9,0.455647
0.0,3,0.45585
0.0,4,0.456097
0.0,6,0.456442
0.0,10,0.456954
0.0,7,0.457332
0.0,10,0.457855
0.0,6,0.45819
0.0,14,0.458891
0.0,2,0.459051
0.0,15,0.459803
0.0,4,0.46005
0.0,9,0.460534
0.0,4,0.460781
0.0,2,0.460938
0.0,2,0.461097
0.0,8,0.461529
0.0,18,0.462402
0.0,4,0.462652
0.0,3,0.462853
0.0,4,0.463104
0.0,2,0.463263
0.0,8,0.463699
0.0,1,0.463813
0.0,5,0.464103
0.0,4,0.464359
0.0,16,0.465138
0.0,11,0.465708
0.0,3,0.465917
0.0,3,0.46612
0.0,3,0.466321
0.0,5,0.466619
0.0,6,0.466955
0.0,9,0.467435
0.0,3,0.467638
0.0,2,0.467794
0.0,9,0.468262
0.0,10,0.468788
0.0,12,0.469412
0.0,26,0.470644
1.0,20,0.471612
0.0,3,0.471814
0.0,7,0.472194
0.0,13,0.472849
0.0,10,0.473376
0.0,13,0.474025
0.0,4,0.474272
0.0,35,0.475908
0.0,8,0.47633
0.0,40,0.47818
0.0,6,0.478533
0.0,16,0.479309
0.0,5,0.479613
0.0,10,0.480123
0.0,14,0.480827
1.0,20,0.481797
0.0,2,0.481956
0.0,31,0.483418
0.0,1,0.483533
0.0,31,0.484979
0.0,10,0.485501
0.0,8,0.485928
0.0,7,0.486307
0.0,26,0.487546
0.0,19,0.488472
1.0,25,0.48967
0.0,18,0.490545
0.0,8,0.490968
0.0,4,0.491215
0.0,2,0.491385
0.0,7,0.491764
0.0,3,0.491969
0.0,4,0.492219
0.0,1,0.49233
0.0,8,0.492767
0.0,3,0.492969
0.0,9,0.493448
0.0,11,0.494005
0.0,9,0.494488
0.0,2,0.494655
0.0,5,0.494945
0.0,12,0.495556
0.0,1,0.495671
0.0,3,0.495874
0.0,7,0.496252
0.0,17,0.497086
0.0,16,0.497879
0.0,3,0.498081
0.0,5,0.498382
0.0,4,0.49863
0.0,11,0.499183
1.0,9,0.49967
0.0,8,0.500097
0.0,15,0.500845
0.0,16,0.501654
0.0,2,0.501816
0.0,2,0.501974
0.0,19,0.502903
0.0,4,0.50315
0.0,19,0.504076
0.0,4,0.504323
0.0,3,0.504539
0.0,2,0.504696
0.0,9,0.505162
0.0,5,0.505467
0.0,3,0.505673
0.0,1,0.505786
0.0,16,0.506572
0.0,11,0.507127
0.0,1,0.507241
0.0,11,0.507809
0.0,3,0.508012
0.0,10,0.508537
0.0,22,0.509599
0.0,3,0.509804
0.0,11,0.510366
0.0,8,0.510791
0.0,29,0.51215
0.0,14,0.512848
0.0,3,0.51305
0.0,22,0.514106
0.0,8,0.514541
0.0,4,0.514788
0.0,14,0.515486
1.0,11,0.516044
0.0,1,0.516155
0.0,13,0.516808
0.0,8,0.517235
0.0,8,0.51767
0.0,20,0.518636
0.0,19,0.519562
1.0,15,0.520298
0.0,21,0.521307
0.0,2,0.521479
0.0,2,0.521638
0.0,9,0.522104
0.0,4,0.52236
0.0,8,0.522789
0.0,7,0.523168
0.0,2,0.523327
0.0,5,0.523633
0.0,5,0.523924
0.0,10,0.524449
0.0,4,0.524697
0.0,2,0.524855
0.0,1,0.524966
1.0,14,0.525667
0.0,17,0.526501
0.0,2,0.526663
0.0,14,0.527358
0.0,7,0.527738
0.0,12,0.52834
0.0,16,0.529127
0.0,14,0.529832
0.0,28,0.531159
0.0,19,0.532082
0.0,4,0.532333
0.0,4,0.532591
0.0,8,0.533016
0.0,4,0.533262
0.0,1,0.533388
0.0,11,0.533948
0.0,2,0.534106
0.0,1,0.53422
0.0,9,0.534701
0.0,6,0.535036
0.0,10,0.535564
0.0,1,0.535679
0.0,3,0.535883
0.0,11,0.536447
0.0,4,0.536695
0.0,4,0.536943
0.0,3,0.537247
0.0,1,0.537372
0.0,4,0.537623
0.0,2,0.537782
0.0,4,0.538025
0.0,10,0.538547
0.0,17,0.53938
0.0,20,0.540333
0.0,16,0.541117
0.0,3,0.54132
0.0,8,0.541748
0.0,9,0.542211
0.0,12,0.54282
0.0,8,0.543245
0.0,21,0.544251
0.0,25,0.545446
0.0,9,0.545913
0.0,2,0.546069
0.0,4,0.546314
0.0,12,0.546922
0.0,1,0.547035
0.0,20,0.547993
1.0,11,0.548561
0.0,7,0.548938
0.0,12,0.549561
0.0,28,0.550884
