#{"t_start": 1522730486.7949166, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,17,0.034691
0.0,4,0.034981
0.0,2,0.035139
0.0,15,0.035874
0.0,4,0.036121
0.0,7,0.036511
0.0,26,0.03773
0.0,18,0.038599
0.0,9,0.03908
0.0,18,0.039951
0.0,6,0.04029
0.0,17,0.041116
0.0,7,0.041494
0.0,4,0.041753
0.0,7,0.042133
0.0,2,0.042292
0.0,2,0.042449
0.0,1,0.042561
0.0,3,0.04278
0.0,4,0.043026
0.0,4,0.04327
0.0,9,0.043732
0.0,17,0.044561
0.0,5,0.04486
0.0,8,0.045284
0.0,10,0.045808
0.0,4,0.04606
0.0,2,0.046217
0.0,1,0.046328
0.0,16,0.047112
0.0,6,0.047447
0.0,1,0.047558
0.0,4,0.047814
0.0,9,0.048284
0.0,8,0.048712
0.0,5,0.049013
0.0,8,0.049438
0.0,1,0.049551
0.0,2,0.049709
0.0,14,0.050397
0.0,10,0.050922
0.0,7,0.051304
0.0,14,0.051998
0.0,3,0.052201
0.0,11,0.052771
0.0,4,0.053018
0.0,8,0.053437
0.0,7,0.053827
0.0,1,0.053942
0.0,11,0.054498
0.0,3,0.054702
0.0,7,0.055089
0.0,9,0.055558
0.0,8,0.055995
0.0,2,0.056157
0.0,4,0.056402
0.0,1,0.056514
0.0,10,0.057036
0.0,3,0.05724
0.0,17,0.058072
0.0,10,0.058583
0.0,7,0.058969
0.0,3,0.059174
0.0,8,0.059591
0.0,19,0.060503
0.0,11,0.061069
0.0,1,0.061184
0.0,5,0.061474
0.0,7,0.06186
0.0,4,0.062109
0.0,3,0.06231
0.0,3,0.062514
0.0,6,0.062868
0.0,7,0.063255
0.0,15,0.063996
0.0,8,0.064419
0.0,25,0.065595
0.0,15,0.066337
0.0,36,0.06802
0.0,16,0.068811
0.0,24,0.069946
0.0,2,0.070105
0.0,26,0.071331
0.0,15,0.072068
0.0,5,0.072361
0.0,23,0.073467
0.0,7,0.073859
0.0,2,0.074018
0.0,7,0.074395
0.0,14,0.075089
0.0,5,0.07538
0.0,5,0.075669
0.0,1,0.07579
0.0,9,0.076262
0.0,21,0.077267
0.0,27,0.078536
0.0,8,0.078973
0.0,17,0.0798
0.0,5,0.080091
0.0,1,0.080203
0.0,3,0.080406
0.0,10,0.080922
1.0,8,0.081346
0.0,13,0.082003
0.0,2,0.082162
0.0,6,0.082498
0.0,5,0.082806
0.0,12,0.083409
0.0,7,0.083797
0.0,8,0.084217
0.0,20,0.085178
0.0,22,0.086228
0.0,3,0.086432
0.0,5,0.086724
0.0,10,0.087242
0.0,3,0.087443
0.0,1,0.087554
0.0,12,0.088159
0.0,5,0.088449
0.0,15,0.089185
0.0,13,0.089834
0.0,2,0.089995
0.0,1,0.090108
0.0,19,0.091024
0.0,15,0.091763
0.0,6,0.092097
0.0,17,0.092928
0.0,4,0.093178
0.0,4,0.093422
0.0,1,0.093534
0.0,2,0.093693
0.0,6,0.094035
0.0,3,0.094237
0.0,1,0.094348
0.0,5,0.094636
0.0,58,0.097274
0.0,4,0.097521
0.0,14,0.098213
0.0,4,0.098459
0.0,6,0.098804
0.0,10,0.099312
0.0,2,0.099472
0.0,28,0.100794
0.0,2,0.100956
0.0,14,0.101639
0.0,5,0.101938
0.0,1,0.102051
0.0,1,0.102162
0.0,12,0.102783
0.0,25,0.10397
0.0,20,0.104932
0.0,9,0.105402
0.0,2,0.10556
0.0,5,0.105864
0.0,10,0.106377
0.0,6,0.106711
0.0,10,0.10723
0.0,3,0.107431
0.0,16,0.108213
0.0,37,0.109932
0.0,30,0.111331
0.0,10,0.111853
0.0,1,0.111969
0.0,7,0.112346
0.0,8,0.112782
0.0,5,0.113076
0.0,3,0.113277
0.0,16,0.114056
0.0,6,0.114394
0.0,7,0.114784
0.0,7,0.115166
0.0,1,0.115278
0.0,22,0.116325
0.0,27,0.11759
1.0,30,0.11902
0.0,3,0.119224
0.0,15,0.119964
0.0,5,0.120255
0.0,8,0.120678
0.0,3,0.120893
0.0,9,0.121361
0.0,32,0.122865
0.0,4,0.123113
0.0,2,0.12327
0.0,18,0.124145
0.0,21,0.125152
0.0,13,0.125817
0.0,20,0.126777
0.0,12,0.127376
0.0,4,0.127623
0.0,10,0.128144
0.0,7,0.128523
0.0,11,0.129089
0.0,12,0.129689
0.0,17,0.130521
0.0,16,0.131305
0.0,32,0.13282
0.0,6,0.133159
0.0,5,0.133452
0.0,3,0.133654
0.0,4,0.133913
0.0,1,0.134084
0.0,10,0.1346
0.0,10,0.135122
0.0,6,0.135459
0.0,2,0.135615
0.0,11,0.136181
0.0,13,0.136838
0.0,7,0.137217
0.0,3,0.137418
0.0,11,0.137982
0.0,6,0.138319
0.0,4,0.138567
0.0,17,0.139395
0.0,2,0.139554
0.0,2,0.139713
0.0,7,0.140101
0.0,13,0.140755
0.0,6,0.141089
0.0,9,0.141554
0.0,1,0.141668
0.0,4,0.141929
0.0,1,0.142041
0.0,5,0.14233
0.0,8,0.142767
0.0,4,0.143016
0.0,3,0.143219
0.0,2,0.143376
0.0,1,0.143488
0.0,6,0.143834
0.0,17,0.144652
0.0,2,0.144821
0.0,9,0.145285
0.0,4,0.14553
0.0,7,0.145923
0.0,10,0.146436
0.0,7,0.146827
0.0,7,0.147204
0.0,1,0.147315
0.0,1,0.147428
0.0,15,0.148171
0.0,3,0.148375
0.0,21,0.149373
0.0,11,0.149936
0.0,9,0.150406
0.0,6,0.150754
0.0,8,0.151179
0.0,2,0.151335
0.0,6,0.15169
0.0,4,0.151949
0.0,3,0.152154
0.0,17,0.152984
0.0,14,0.153672
0.0,4,0.153929
0.0,13,0.154574
0.0,3,0.154788
0.0,21,0.155801
0.0,6,0.156134
0.0,12,0.156732
0.0,7,0.157124
0.0,5,0.157419
0.0,2,0.157576
0.0,1,0.157687
0.0,11,0.158251
0.0,6,0.158589
0.0,3,0.158801
0.0,8,0.159224
0.0,14,0.15992
0.0,1,0.160036
0.0,5,0.160326
0.0,5,0.16062
0.0,7,0.161015
0.0,8,0.161437
0.0,6,0.161783
0.0,5,0.162076
0.0,17,0.16291
0.0,1,0.163025
0.0,9,0.163489
0.0,2,0.163649
0.0,2,0.163817
0.0,6,0.164153
0.0,3,0.164354
0.0,1,0.164466
0.0,7,0.164852
0.0,8,0.165274
0.0,2,0.165435
0.0,1,0.165546
0.0,9,0.166023
0.0,8,0.166445
0.0,10,0.16697
0.0,8,0.167395
0.0,23,0.168485
0.0,6,0.168834
0.0,5,0.169125
0.0,1,0.169236
0.0,5,0.169525
0.0,7,0.169912
0.0,1,0.170028
0.0,11,0.170584
0.0,4,0.170841
0.0,9,0.171312
0.0,2,0.171473
0.0,7,0.171865
0.0,5,0.172157
0.0,3,0.172358
0.0,9,0.172842
0.0,14,0.173528
0.0,19,0.174445
0.0,3,0.174648
0.0,10,0.175172
0.0,15,0.175916
0.0,4,0.176163
0.0,7,0.17654
0.0,8,0.176971
0.0,2,0.177133
0.0,10,0.177644
0.0,5,0.177952
0.0,6,0.178284
0.0,6,0.178617
0.0,3,0.178829
0.0,16,0.179605
0.0,4,0.18073
0.0,7,0.181155
0.0,13,0.18184
1.0,21,0.182872
0.0,21,0.183991
0.0,3,0.184213
0.0,5,0.184503
0.0,2,0.18466
1.0,22,0.185712
0.0,10,0.186255
0.0,20,0.18722
0.0,5,0.18752
0.0,3,0.187725
0.0,5,0.188035
0.0,4,0.188285
1.0,10,0.188808
1.0,30,0.190212
0.0,22,0.191269
0.0,5,0.191573
0.0,4,0.191842
0.0,6,0.192179
0.0,2,0.192337
0.0,8,0.192779
0.0,6,0.193118
0.0,11,0.193674
0.0,12,0.194287
0.0,5,0.194584
0.0,3,0.194808
0.0,2,0.194967
0.0,3,0.195167
0.0,7,0.195546
0.0,2,0.195704
0.0,2,0.195876
0.0,9,0.196345
0.0,4,0.196603
0.0,3,0.196819
0.0,9,0.197282
0.0,7,0.197666
0.0,5,0.197976
0.0,5,0.198267
0.0,4,0.198512
0.0,6,0.19886
0.0,16,0.199631
0.0,9,0.200118
0.0,4,0.200365
0.0,16,0.201148
0.0,5,0.201445
0.0,5,0.201747
0.0,8,0.202174
0.0,9,0.202633
0.0,4,0.202903
0.0,7,0.203284
0.0,7,0.203663
0.0,10,0.204189
0.0,7,0.204566
0.0,9,0.205045
0.0,19,0.205971
0.0,18,0.206853
0.0,3,0.207065
0.0,1,0.207177
0.0,1,0.207292
1.0,7,0.207671
0.0,15,0.208418
0.0,20,0.209374
0.0,3,0.209589
0.0,19,0.210519
0.0,5,0.210828
0.0,24,0.211972
0.0,6,0.212314
0.0,4,0.212564
0.0,2,0.212721
0.0,52,0.215119
0.0,6,0.215501
0.0,10,0.216037
0.0,18,0.216914
0.0,6,0.217254
0.0,14,0.217961
0.0,1,0.218078
0.0,10,0.218592
0.0,5,0.218899
0.0,12,0.219499
0.0,4,0.219765
0.0,2,0.219923
0.0,5,0.22021
0.0,3,0.220418
0.0,8,0.220873
0.0,2,0.221033
0.0,2,0.221194
0.0,5,0.221487
0.0,10,0.22202
0.0,15,0.222775
0.0,3,0.222982
0.0,4,0.223233
0.0,18,0.22412
0.0,3,0.224329
0.0,5,0.224616
0.0,10,0.225141
0.0,4,0.225391
0.0,10,0.22592
0.0,13,0.226559
0.0,5,0.226865
0.0,18,0.227751
0.0,8,0.228182
0.0,1,0.228294
0.0,2,0.228454
0.0,3,0.228654
0.0,15,0.229394
0.0,11,0.22997
0.0,3,0.230173
0.0,3,0.230374
0.0,2,0.230536
0.0,6,0.230884
0.0,3,0.231088
0.0,4,0.231333
0.0,2,0.23149
0.0,16,0.232276
0.0,12,0.232914
0.0,12,0.233513
0.0,20,0.234482
0.0,2,0.234754
0.0,7,0.235166
0.0,33,0.236693
0.0,52,0.239078
0.0,2,0.23924
1.0,16,0.240031
0.0,4,0.240277
0.0,17,0.241108
0.0,7,0.24149
0.0,6,0.241838
0.0,15,0.242578
0.0,2,0.242749
0.0,5,0.243044
0.0,7,0.243424
0.0,5,0.243716
0.0,6,0.244061
0.0,6,0.244395
0.0,11,0.244959
0.0,18,0.245833
1.0,6,0.246172
0.0,17,0.247001
0.0,6,0.247335
0.0,7,0.247713
0.0,15,0.248477
0.0,11,0.249044
0.0,3,0.249246
0.0,1,0.24936
0.0,2,0.249517
0.0,4,0.249773
0.0,3,0.249975
0.0,1,0.250086
0.0,3,0.25029
0.0,8,0.250712
0.0,9,0.251186
0.0,6,0.25152
0.0,3,0.251724
0.0,6,0.252067
0.0,1,0.252181
0.0,6,0.252511
0.0,14,0.253216
0.0,4,0.253463
0.0,6,0.253807
0.0,7,0.254184
0.0,38,0.255936
0.0,8,0.256361
0.0,11,0.256927
0.0,19,0.257844
0.0,17,0.258662
0.0,1,0.258785
0.0,4,0.259032
0.0,15,0.259771
0.0,14,0.260456
0.0,17,0.261282
0.0,14,0.26198
0.0,15,0.262715
0.0,7,0.263109
0.0,3,0.263313
0.0,8,0.263744
0.0,5,0.264039
0.0,2,0.264197
0.0,10,0.264704
0.0,7,0.265112
0.0,7,0.265488
0.0,6,0.265833
0.0,8,0.26626
0.0,2,0.266417
0.0,7,0.266808
1.0,15,0.267542
0.0,4,0.267797
0.0,8,0.268218
0.0,2,0.268375
0.0,7,0.268759
0.0,4,0.269005
0.0,2,0.269164
0.0,4,0.269408
0.0,1,0.26952
0.0,6,0.269867
0.0,1,0.269981
0.0,5,0.270269
0.0,5,0.270565
0.0,1,0.270676
0.0,2,0.270846
0.0,1,0.270958
0.0,7,0.271336
0.0,1,0.271447
0.0,1,0.271558
0.0,1,0.271669
0.0,4,0.27193
0.0,1,0.272043
0.0,3,0.272248
0.0,1,0.272362
1.0,10,0.272891
0.0,3,0.273093
0.0,7,0.273469
0.0,11,0.274033
0.0,7,0.274416
0.0,2,0.274576
1.0,15,0.275316
0.0,19,0.276233
0.0,7,0.27661
0.0,7,0.277003
0.0,8,0.277427
0.0,10,0.277949
0.0,12,0.278551
0.0,4,0.278808
0.0,15,0.27954
0.0,7,0.27993
0.0,3,0.280135
0.0,7,0.280511
0.0,8,0.280947
0.0,23,0.282036
0.0,12,0.282627
0.0,7,0.283022
0.0,20,0.283988
0.0,7,0.284366
0.0,48,0.286537
0.0,6,0.286884
0.0,16,0.287654
0.0,21,0.288655
0.0,2,0.288826
0.0,4,0.289072
0.0,2,0.289231
0.0,1,0.289345
0.0,11,0.289912
1.0,6,0.290248
0.0,7,0.29063
0.0,5,0.290931
0.0,4,0.291183
0.0,5,0.291476
