#{"t_start": 1522759327.607782, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.035735
0.0,5,0.036221
0.0,6,0.036739
0.0,23,0.038387
0.0,14,0.039423
0.0,11,0.040217
0.0,54,0.04267
0.0,6,0.043016
0.0,13,0.043656
0.0,8,0.044086
0.0,6,0.044422
0.0,17,0.045249
0.0,4,0.045494
0.0,5,0.045783
0.0,4,0.04604
0.0,25,0.047217
0.0,1,0.047329
0.0,11,0.047887
0.0,9,0.048348
0.0,4,0.048592
0.0,35,0.050212
0.0,11,0.050763
0.0,12,0.051365
0.0,1,0.051477
0.0,18,0.052353
0.0,3,0.052557
0.0,32,0.054052
0.0,10,0.054561
0.0,1,0.054673
0.0,11,0.055239
0.0,10,0.055744
0.0,4,0.056005
0.0,37,0.057696
0.0,3,0.057912
0.0,14,0.0586
0.0,66,0.061588
0.0,9,0.062064
0.0,8,0.062483
1.0,16,0.063266
0.0,9,0.06373
0.0,5,0.064032
0.0,3,0.064234
0.0,2,0.06439
0.0,16,0.065169
0.0,8,0.065597
0.0,9,0.066075
0.0,10,0.066587
1.0,18,0.067449
0.0,3,0.067652
0.0,5,0.067949
0.0,2,0.068106
0.0,21,0.069101
0.0,6,0.069434
0.0,4,0.069679
0.0,29,0.071048
0.0,3,0.07125
0.0,2,0.071408
0.0,2,0.071564
0.0,6,0.071905
0.0,10,0.072418
0.0,52,0.074766
1.0,10,0.075291
0.0,11,0.075842
0.0,9,0.076313
0.0,6,0.076646
0.0,27,0.077918
0.0,1,0.07803
0.0,8,0.078449
0.0,1,0.078561
0.0,23,0.079643
0.0,4,0.079908
0.0,13,0.080551
0.0,5,0.080842
0.0,4,0.0811
0.0,23,0.082187
0.0,7,0.082563
0.0,10,0.083081
0.0,8,0.083503
0.0,2,0.083658
0.0,7,0.08405
0.0,7,0.084423
0.0,4,0.084668
0.0,11,0.085228
0.0,11,0.085785
0.0,3,0.085997
0.0,2,0.086154
0.0,38,0.087894
0.0,22,0.088929
0.0,10,0.089442
0.0,7,0.089822
0.0,8,0.090256
0.0,4,0.090505
0.0,16,0.091284
0.0,7,0.091658
0.0,9,0.092133
0.0,3,0.092335
0.0,10,0.092841
0.0,25,0.094023
0.0,16,0.094791
0.0,10,0.095308
0.0,8,0.095728
0.0,5,0.096032
0.0,14,0.096714
0.0,13,0.097359
