#{"t_start": 1522725900.74028, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.146077
0.0,48,0.148543
0.0,22,0.149594
0.0,18,0.150461
0.0,3,0.150676
0.0,25,0.151863
0.0,11,0.152414
1.0,37,0.154115
1.0,65,0.157058
0.0,1,0.157173
0.0,31,0.158633
0.0,29,0.15999
1.0,21,0.160989
0.0,1,0.161106
1.0,77,0.164578
0.0,36,0.16624
1.0,8,0.16668
0.0,9,0.167146
0.0,4,0.167391
1.0,58,0.170027
0.0,59,0.172699
0.0,17,0.173513
0.0,4,0.173767
1.0,30,0.175157
1.0,23,0.176244
0.0,15,0.176988
0.0,18,0.177854
1.0,24,0.178989
1.0,7,0.179366
1.0,30,0.180776
1.0,13,0.181413
0.0,3,0.181628
1.0,16,0.182401
0.0,2,0.182568
0.0,10,0.183074
0.0,35,0.1847
0.0,43,0.186678
0.0,4,0.186927
0.0,28,0.188225
0.0,10,0.188746
0.0,1,0.188859
0.0,6,0.189193
0.0,3,0.189395
0.0,12,0.189998
0.0,44,0.192005
0.0,3,0.192211
0.0,22,0.193259
0.0,58,0.195908
0.0,39,0.197702
0.0,55,0.200192
0.0,2,0.200352
0.0,7,0.200741
0.0,5,0.201032
1.0,18,0.201897
0.0,32,0.203366
0.0,29,0.204729
0.0,27,0.206001
0.0,12,0.206617
0.0,2,0.206775
0.0,6,0.207112
0.0,16,0.207893
0.0,4,0.208141
1.0,19,0.209049
0.0,2,0.209208
1.0,31,0.210654
0.0,10,0.21117
0.0,26,0.212386
0.0,24,0.213526
0.0,9,0.214
1.0,15,0.214733
1.0,19,0.215646
1.0,15,0.216373
1.0,34,0.217951
0.0,4,0.218202
0.0,2,0.21836
1.0,67,0.221386
0.0,15,0.222124
0.0,31,0.223579
0.0,10,0.224089
0.0,16,0.224867
0.0,6,0.225202
0.0,29,0.226563
0.0,13,0.227203
0.0,27,0.228468
0.0,24,0.229611
1.0,24,0.230736
0.0,11,0.231292
0.0,11,0.231858
0.0,11,0.23241
0.0,9,0.232891
0.0,27,0.234156
0.0,41,0.236041
0.0,3,0.236245
0.0,29,0.237613
0.0,5,0.237904
0.0,20,0.238859
1.0,12,0.239452
0.0,1,0.239629
1.0,20,0.240596
0.0,7,0.240976
0.0,33,0.242501
1.0,36,0.244159
0.0,1,0.244271
0.0,25,0.245459
0.0,21,0.246459
0.0,6,0.24681
0.0,20,0.247766
0.0,11,0.248326
0.0,15,0.249059
1.0,35,0.250684
0.0,36,0.252337
0.0,24,0.253466
1.0,62,0.256273
0.0,9,0.256755
0.0,11,0.257304
0.0,9,0.257784
0.0,20,0.258743
0.0,5,0.259034
1.0,21,0.260026
0.0,5,0.260314
0.0,12,0.260921
0.0,7,0.261298
0.0,72,0.264528
0.0,30,0.265926
0.0,44,0.267952
0.0,23,0.26904
1.0,35,0.270657
1.0,15,0.271384
0.0,16,0.272173
0.0,6,0.27251
0.0,23,0.273598
0.0,10,0.274106
0.0,12,0.274708
1.0,27,0.275974
0.0,19,0.276894
0.0,12,0.277491
0.0,11,0.278052
0.0,2,0.278209
0.0,1,0.278322
0.0,8,0.278755
0.0,24,0.279883
1.0,9,0.280349
0.0,11,0.280912
0.0,10,0.281421
1.0,29,0.282778
0.0,11,0.283329
1.0,75,0.286723
0.0,3,0.28693
0.0,66,0.289908
0.0,2,0.29007
0.0,1,0.290181
1.0,10,0.290702
0.0,19,0.291615
0.0,3,0.291821
0.0,43,0.293783
0.0,39,0.295577
1.0,10,0.296088
0.0,20,0.297077
1.0,37,0.298809
0.0,23,0.299895
0.0,4,0.300144
0.0,1,0.300255
0.0,2,0.300411
0.0,10,0.300935
0.0,11,0.301485
0.0,16,0.302257
0.0,4,0.302505
0.0,6,0.302846
0.0,18,0.303712
0.0,26,0.304924
1.0,15,0.305656
1.0,14,0.306343
0.0,2,0.306499
0.0,14,0.307196
1.0,21,0.308203
1.0,10,0.308723
1.0,20,0.309685
0.0,1,0.309798
0.0,1,0.309911
0.0,46,0.312024
0.0,13,0.312676
1.0,12,0.313274
0.0,18,0.314134
0.0,17,0.314957
1.0,31,0.316396
0.0,41,0.318299
1.0,13,0.318949
0.0,17,0.319774
0.0,7,0.320151
0.0,15,0.32089
0.0,6,0.321225
0.0,52,0.32359
0.0,30,0.324982
1.0,47,0.327142
0.0,6,0.327478
1.0,18,0.32835
0.0,3,0.328563
0.0,3,0.328768
0.0,53,0.331171
0.0,17,0.332007
0.0,29,0.333354
0.0,1,0.333467
0.0,8,0.333903
0.0,3,0.334108
0.0,1,0.334218
0.0,27,0.335476
0.0,3,0.33569
0.0,37,0.337397
0.0,47,0.33954
0.0,24,0.340743
0.0,17,0.341573
0.0,1,0.341686
0.0,21,0.342693
0.0,1,0.342804
0.0,50,0.345081
0.0,16,0.345868
0.0,17,0.346702
0.0,52,0.349068
0.0,3,0.349272
0.0,23,0.350363
0.0,1,0.350475
0.0,15,0.351218
0.0,1,0.351331
0.0,14,0.352025
0.0,5,0.352314
0.0,5,0.352613
0.0,59,0.355284
0.0,25,0.356476
0.0,3,0.356696
0.0,8,0.357118
1.0,22,0.358159
0.0,4,0.358404
0.0,7,0.358792
0.0,16,0.359571
1.0,26,0.360795
1.0,33,0.36232
0.0,13,0.362974
1.0,9,0.363445
1.0,19,0.364362
1.0,25,0.365543
0.0,38,0.367304
0.0,6,0.36765
0.0,3,0.367852
0.0,17,0.368695
0.0,19,0.369613
1.0,52,0.371995
0.0,10,0.372503
0.0,1,0.372624
1.0,7,0.372998
0.0,18,0.373866
0.0,1,0.37398
0.0,12,0.374593
0.0,18,0.375455
0.0,9,0.375937
0.0,2,0.376096
0.0,6,0.376426
1.0,6,0.376775
0.0,12,0.377372
0.0,32,0.378869
0.0,7,0.379248
0.0,19,0.380165
1.0,23,0.381258
0.0,41,0.383137
0.0,4,0.383388
0.0,14,0.384089
1.0,12,0.384697
0.0,1,0.384809
0.0,11,0.385363
1.0,37,0.387075
1.0,35,0.388706
0.0,45,0.390756
1.0,18,0.391625
0.0,16,0.392395
0.0,7,0.392786
0.0,4,0.393034
1.0,16,0.393819
1.0,11,0.394373
0.0,1,0.394484
1.0,19,0.395394
0.0,13,0.396047
0.0,65,0.398994
1.0,10,0.399503
0.0,42,0.401423
0.0,31,0.402883
0.0,12,0.403479
0.0,4,0.403737
1.0,33,0.40526
0.0,5,0.405564
0.0,6,0.405901
0.0,1,0.406015
1.0,19,0.40694
0.0,14,0.407637
0.0,24,0.40877
0.0,10,0.409283
0.0,46,0.411394
0.0,7,0.411787
1.0,50,0.414063
0.0,4,0.41431
0.0,30,0.41572
0.0,1,0.415833
0.0,53,0.418245
1.0,11,0.418816
0.0,13,0.419461
0.0,10,0.419984
0.0,14,0.420683
0.0,15,0.421412
1.0,7,0.421801
1.0,7,0.422177
0.0,4,0.422423
0.0,20,0.423382
0.0,11,0.423953
0.0,4,0.424202
1.0,10,0.424725
0.0,8,0.42515
0.0,8,0.425581
1.0,16,0.426348
1.0,31,0.427802
1.0,19,0.428708
1.0,23,0.429786
1.0,18,0.430657
0.0,1,0.430768
0.0,16,0.431539
0.0,16,0.432321
0.0,10,0.43284
0.0,19,0.433758
0.0,14,0.434446
0.0,13,0.435103
0.0,14,0.435802
0.0,16,0.436594
0.0,20,0.437541
1.0,19,0.438457
0.0,4,0.438716
0.0,18,0.439591
0.0,14,0.440336
0.0,16,0.44112
1.0,32,0.442613
1.0,19,0.443521
0.0,72,0.446793
0.0,7,0.447175
1.0,26,0.448391
0.0,38,0.45014
0.0,17,0.450968
1.0,32,0.452446
0.0,9,0.452924
0.0,4,0.453173
1.0,12,0.45378
1.0,73,0.457062
0.0,3,0.457269
0.0,2,0.457425
0.0,9,0.4579
0.0,3,0.458103
0.0,31,0.459556
0.0,52,0.461921
0.0,1,0.462036
0.0,22,0.463083
0.0,17,0.463919
0.0,5,0.464209
0.0,6,0.464542
0.0,30,0.465944
1.0,97,0.470291
0.0,7,0.470683
0.0,7,0.471065
0.0,5,0.471354
0.0,2,0.471512
0.0,32,0.473006
1.0,61,0.475773
1.0,37,0.477484
0.0,4,0.477741
0.0,2,0.477901
1.0,8,0.47832
0.0,4,0.478574
1.0,30,0.479963
1.0,41,0.481842
0.0,12,0.482432
0.0,8,0.482865
1.0,32,0.48434
1.0,27,0.485609
0.0,3,0.485813
0.0,11,0.486364
0.0,36,0.488032
0.0,16,0.488816
0.0,13,0.489461
0.0,3,0.489674
0.0,34,0.49125
0.0,2,0.49141
0.0,9,0.491888
0.0,23,0.492973
0.0,28,0.494274
0.0,42,0.496186
0.0,10,0.496718
0.0,22,0.497765
0.0,8,0.498188
0.0,9,0.498663
0.0,22,0.499703
0.0,2,0.499863
0.0,15,0.500601
0.0,11,0.501151
0.0,68,0.504215
0.0,26,0.505432
0.0,29,0.5068
1.0,19,0.507704
1.0,21,0.508706
0.0,26,0.509922
0.0,47,0.512077
0.0,3,0.51228
1.0,24,0.513416
0.0,6,0.513768
0.0,11,0.514323
0.0,12,0.514933
0.0,4,0.515179
0.0,9,0.515654
0.0,6,0.515987
1.0,36,0.51766
0.0,3,0.517866
1.0,12,0.518456
0.0,41,0.520349
0.0,3,0.520564
0.0,8,0.520985
0.0,7,0.521361
1.0,14,0.522055
0.0,34,0.52363
0.0,13,0.524271
1.0,13,0.524923
0.0,9,0.525395
0.0,14,0.526091
1.0,27,0.527363
0.0,4,0.52762
0.0,8,0.528046
0.0,38,0.529812
0.0,21,0.530823
0.0,4,0.531072
0.0,3,0.531276
0.0,6,0.531622
1.0,29,0.532978
0.0,4,0.533224
1.0,32,0.53473
0.0,34,0.536301
0.0,15,0.537051
0.0,44,0.53908
0.0,6,0.539418
0.0,50,0.541726
1.0,39,0.543597
0.0,5,0.543891
0.0,14,0.544585
1.0,30,0.545987
0.0,13,0.546646
0.0,2,0.546806
1.0,45,0.548882
0.0,2,0.549042
0.0,15,0.549788
0.0,26,0.551008
1.0,6,0.551342
1.0,19,0.55225
0.0,12,0.552855
0.0,13,0.553495
1.0,15,0.554237
0.0,9,0.554713
0.0,11,0.555269
0.0,9,0.555751
0.0,3,0.555953
1.0,20,0.556916
0.0,6,0.557253
0.0,13,0.557911
1.0,14,0.558613
1.0,45,0.56068
0.0,27,0.561951
1.0,17,0.562788
0.0,37,0.564499
0.0,3,0.564714
0.0,1,0.564826
0.0,4,0.565073
0.0,3,0.565273
0.0,33,0.566815
1.0,23,0.567914
0.0,9,0.568382
0.0,65,0.571312
0.0,8,0.571749
0.0,7,0.572126
0.0,3,0.572326
1.0,29,0.573685
1.0,35,0.575299
0.0,2,0.575458
1.0,19,0.576363
1.0,7,0.576756
1.0,35,0.578371
0.0,1,0.578484
1.0,17,0.579308
0.0,17,0.580138
0.0,28,0.581433
0.0,13,0.58209
0.0,31,0.583533
0.0,3,0.58376
1.0,28,0.585064
0.0,4,0.585311
0.0,3,0.585513
0.0,14,0.586207
0.0,25,0.587391
0.0,35,0.589014
0.0,41,0.590899
0.0,2,0.591057
1.0,15,0.59179
1.0,7,0.592165
1.0,40,0.594009
0.0,7,0.594389
0.0,3,0.594599
0.0,8,0.595023
0.0,10,0.595531
0.0,2,0.595699
0.0,9,0.596164
0.0,3,0.596368
0.0,5,0.596675
0.0,36,0.598334
1.0,22,0.599382
0.0,3,0.599595
1.0,11,0.600147
1.0,41,0.602037
0.0,8,0.602458
0.0,17,0.603287
1.0,47,0.605448
0.0,2,0.605618
0.0,6,0.605953
0.0,1,0.606063
0.0,12,0.606674
0.0,30,0.608069
1.0,15,0.60881
1.0,12,0.609407
0.0,13,0.610056
