#{"t_start": 1522747422.8874688, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,15,0.002167
0.0,10,0.002699
0.0,15,0.00346
0.0,8,0.003886
0.0,3,0.004089
0.0,5,0.004394
0.0,7,0.00478
0.0,5,0.005073
0.0,5,0.005379
0.0,25,0.006582
0.0,3,0.006786
0.0,1,0.006898
0.0,3,0.007101
0.0,15,0.007846
0.0,7,0.008242
0.0,10,0.008758
0.0,15,0.009511
0.0,5,0.009804
0.0,4,0.01005
0.0,6,0.010401
0.0,6,0.010743
0.0,2,0.010901
0.0,2,0.011058
0.0,9,0.011536
0.0,4,0.011783
0.0,5,0.012073
0.0,4,0.012334
0.0,14,0.01302
0.0,3,0.013233
0.0,13,0.013876
0.0,12,0.014491
0.0,1,0.014605
0.0,9,0.015078
0.0,3,0.015293
0.0,1,0.015408
0.0,3,0.015611
0.0,3,0.015817
0.0,1,0.015928
0.0,16,0.016726
0.0,8,0.017153
0.0,3,0.017365
0.0,8,0.017793
0.0,12,0.018409
0.0,4,0.018659
0.0,9,0.019129
0.0,5,0.019442
0.0,28,0.020766
0.0,20,0.021736
0.0,13,0.0224
0.0,8,0.022828
0.0,19,0.023758
0.0,7,0.024142
0.0,3,0.024356
0.0,1,0.024469
0.0,1,0.024583
0.0,7,0.024966
0.0,9,0.025449
0.0,3,0.025653
0.0,7,0.026033
0.0,6,0.026386
0.0,14,0.027075
0.0,6,0.027422
0.0,22,0.028478
0.0,4,0.028729
0.0,1,0.028841
0.0,20,0.029815
0.0,14,0.030522
0.0,2,0.030683
0.0,1,0.030794
0.0,4,0.031044
0.0,9,0.031528
0.0,12,0.032132
0.0,17,0.032968
0.0,7,0.033363
0.0,4,0.033613
0.0,10,0.034128
0.0,4,0.034389
0.0,6,0.034726
0.0,5,0.035017
0.0,10,0.035543
0.0,12,0.036147
0.0,10,0.036671
1.0,29,0.03803
0.0,4,0.03829
0.0,5,0.038584
0.0,18,0.039472
0.0,5,0.039767
0.0,12,0.040377
0.0,5,0.040673
0.0,10,0.041188
0.0,4,0.041446
0.0,1,0.041557
0.0,14,0.042258
0.0,2,0.042419
1.0,25,0.043603
1.0,31,0.045058
0.0,9,0.045541
0.0,15,0.046288
0.0,4,0.046541
0.0,4,0.04679
0.0,4,0.047036
0.0,3,0.047252
0.0,7,0.047639
0.0,6,0.047976
1.0,19,0.048902
0.0,6,0.049256
0.0,6,0.049592
0.0,3,0.049798
0.0,1,0.04991
0.0,5,0.050214
0.0,9,0.050683
0.0,5,0.050974
0.0,1,0.051086
0.0,5,0.051389
1.0,15,0.052123
0.0,4,0.052382
0.0,7,0.052762
0.0,4,0.053008
0.0,3,0.053222
0.0,4,0.054035
0.0,4,0.054297
0.0,2,0.054459
0.0,14,0.055151
0.0,5,0.055451
0.0,6,0.055788
0.0,5,0.056078
0.0,10,0.056605
0.0,6,0.056942
0.0,4,0.057188
0.0,15,0.057928
0.0,5,0.058231
0.0,1,0.058344
0.0,2,0.058502
1.0,8,0.058928
0.0,3,0.059131
1.0,10,0.05966
0.0,2,0.059818
0.0,7,0.060213
0.0,1,0.060326
0.0,6,0.060665
0.0,2,0.060823
0.0,2,0.060982
0.0,9,0.061465
0.0,8,0.06189
0.0,2,0.062048
1.0,22,0.063103
0.0,3,0.063319
0.0,4,0.063572
0.0,2,0.063731
0.0,4,0.063978
0.0,8,0.064416
0.0,12,0.06502
0.0,6,0.065368
0.0,3,0.065571
0.0,3,0.065776
0.0,4,0.066025
0.0,4,0.066287
0.0,1,0.066401
0.0,2,0.066561
0.0,1,0.066672
0.0,7,0.067055
0.0,3,0.067271
0.0,5,0.067566
0.0,3,0.067769
0.0,1,0.067881
0.0,3,0.068082
0.0,3,0.0683
0.0,3,0.068505
0.0,6,0.068843
0.0,2,0.069001
0.0,9,0.069492
0.0,3,0.069697
0.0,2,0.069854
0.0,2,0.070014
0.0,10,0.070545
0.0,7,0.070925
0.0,8,0.071359
1.0,10,0.071891
0.0,11,0.072459
0.0,4,0.072709
0.0,2,0.072867
0.0,5,0.073161
0.0,6,0.073504
0.0,5,0.073796
0.0,9,0.074279
0.0,6,0.074615
0.0,7,0.074997
0.0,4,0.075255
0.0,18,0.07612
1.0,19,0.077044
0.0,19,0.077969
0.0,4,0.078233
0.0,8,0.078665
0.0,2,0.078823
0.0,28,0.080155
