#{"t_start": 1522753794.883708, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.034269
0.0,3,0.034667
0.0,8,0.035313
0.0,2,0.035562
0.0,12,0.036476
0.0,5,0.036927
0.0,20,0.038393
0.0,16,0.039592
0.0,10,0.040365
0.0,15,0.041481
0.0,5,0.041932
0.0,20,0.043393
0.0,8,0.043955
0.0,11,0.044513
0.0,3,0.044723
0.0,11,0.045281
0.0,4,0.04553
0.0,35,0.047179
0.0,5,0.047471
0.0,11,0.048047
0.0,5,0.04834
0.0,1,0.048452
0.0,15,0.049195
0.0,4,0.049443
0.0,6,0.049793
0.0,8,0.050218
0.0,5,0.050509
0.0,23,0.051617
0.0,4,0.051866
0.0,1,0.05198
0.0,6,0.052316
0.0,3,0.052519
0.0,6,0.052862
0.0,7,0.053242
0.0,19,0.054175
0.0,10,0.054706
0.0,10,0.055221
0.0,17,0.056052
0.0,4,0.0563
0.0,6,0.056651
0.0,35,0.058282
0.0,8,0.058719
0.0,12,0.059319
0.0,4,0.059577
0.0,6,0.059913
0.0,9,0.060383
0.0,10,0.060906
0.0,1,0.061022
0.0,1,0.061135
0.0,10,0.061664
0.0,13,0.062314
0.0,2,0.062472
0.0,2,0.062643
0.0,21,0.063663
0.0,1,0.063778
0.0,19,0.064703
0.0,9,0.065176
0.0,7,0.065567
0.0,1,0.065683
0.0,5,0.065982
0.0,9,0.066453
0.0,2,0.066622
0.0,10,0.067137
0.0,6,0.067476
0.0,8,0.067912
0.0,1,0.068027
0.0,4,0.068277
0.0,14,0.068979
0.0,1,0.069093
0.0,5,0.069387
0.0,7,0.069778
0.0,10,0.070297
0.0,8,0.070734
0.0,3,0.070945
0.0,3,0.071148
0.0,3,0.071353
0.0,9,0.071832
0.0,3,0.072038
0.0,45,0.074124
0.0,3,0.074329
0.0,20,0.075299
0.0,5,0.075607
0.0,32,0.077101
0.0,18,0.077987
0.0,5,0.078283
0.0,2,0.078442
0.0,14,0.079148
0.0,8,0.079586
0.0,9,0.080058
1.0,9,0.080535
0.0,2,0.080705
0.0,6,0.081042
0.0,5,0.081333
0.0,7,0.081728
0.0,16,0.082507
0.0,2,0.082676
0.0,3,0.082879
0.0,5,0.083172
0.0,2,0.08333
0.0,7,0.083729
0.0,7,0.084114
0.0,13,0.084779
0.0,2,0.084938
1.0,10,0.085454
0.0,6,0.085799
0.0,14,0.086491
0.0,10,0.087014
0.0,3,0.087223
