#{"t_start": 1522696417.1892047, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.03578
0.0,14,0.036548
0.0,51,0.038916
0.0,1,0.039055
0.0,35,0.040718
0.0,100,0.045306
0.0,9,0.045802
0.0,30,0.047266
0.0,6,0.047615
0.0,3,0.04782
0.0,21,0.048831
0.0,17,0.049674
0.0,6,0.050036
0.0,21,0.051058
0.0,20,0.052017
0.0,31,0.053517
0.0,1,0.053639
0.0,2,0.053798
0.0,9,0.054276
0.0,7,0.05466
0.0,45,0.056777
0.0,8,0.057222
0.0,20,0.058204
0.0,12,0.058834
0.0,9,0.059317
0.0,56,0.061911
0.0,5,0.06223
0.0,12,0.062835
0.0,37,0.064582
0.0,20,0.06558
0.0,6,0.065918
0.0,91,0.070111
0.0,26,0.071448
0.0,13,0.072112
0.0,100,0.07671
0.0,4,0.07699
0.0,3,0.077213
0.0,7,0.077592
0.0,46,0.079775
0.0,41,0.081686
0.0,12,0.08232
0.0,43,0.084332
0.0,4,0.084584
0.0,6,0.084931
0.0,13,0.085621
0.0,98,0.090114
0.0,30,0.091562
0.0,23,0.092665
0.0,97,0.097142
0.0,5,0.097469
0.0,86,0.101417
0.0,45,0.103534
0.0,53,0.105975
0.0,61,0.108799
0.0,23,0.109932
0.0,1,0.110068
0.0,13,0.110709
0.0,21,0.111731
0.0,89,0.115784
0.0,30,0.117222
0.0,48,0.119482
0.0,70,0.12278
0.0,42,0.124779
0.0,18,0.12567
0.0,63,0.128617
0.0,85,0.132657
0.0,26,0.133935
0.0,83,0.137744
0.0,30,0.139341
0.0,12,0.139948
0.0,100,0.144505
0.0,20,0.145524
0.0,7,0.145908
0.0,2,0.146083
0.0,4,0.146336
0.0,22,0.147388
0.0,1,0.147502
0.0,2,0.147663
0.0,9,0.148159
0.0,38,0.149943
0.0,25,0.151165
0.0,29,0.152542
0.0,9,0.153008
0.0,31,0.154488
0.0,9,0.154961
0.0,25,0.156164
0.0,28,0.15753
0.0,25,0.158733
0.0,27,0.160023
0.0,100,0.164594
0.0,17,0.165443
0.0,3,0.165655
0.0,8,0.166095
0.0,3,0.166324
0.0,6,0.166659
0.0,32,0.168176
0.0,28,0.169513
0.0,14,0.170222
0.0,7,0.170601
0.0,23,0.171746
0.0,10,0.172296
0.0,8,0.172719
0.0,10,0.173249
0.0,11,0.173803
0.0,16,0.174597
0.0,24,0.175755
0.0,14,0.176461
0.0,55,0.17902
0.0,100,0.183607
0.0,5,0.183924
0.0,3,0.184144
0.0,8,0.184568
0.0,15,0.185318
0.0,67,0.188407
0.0,2,0.188578
0.0,72,0.191877
0.0,100,0.19647
0.0,24,0.19764
0.0,9,0.198132
0.0,92,0.202368
1.0,20,0.203366
1.0,78,0.206921
0.0,22,0.208033
0.0,97,0.212482
0.0,35,0.214169
0.0,58,0.216833
0.0,24,0.21801
0.0,54,0.220543
0.0,48,0.222829
0.0,26,0.224088
0.0,100,0.228681
0.0,10,0.229261
0.0,6,0.2296
0.0,4,0.22985
0.0,33,0.231416
0.0,3,0.231627
0.0,30,0.23307
0.0,16,0.233849
0.0,14,0.234565
1.0,36,0.236277
0.0,14,0.23697
0.0,16,0.237796
0.0,22,0.238986
0.0,18,0.239866
0.0,37,0.241653
0.0,15,0.242412
0.0,5,0.242704
0.0,6,0.243044
0.0,4,0.243305
0.0,5,0.243603
0.0,6,0.243962
0.0,26,0.245205
0.0,3,0.245409
0.0,50,0.247744
0.0,8,0.248202
0.0,2,0.248363
0.0,5,0.248651
0.0,28,0.249996
1.0,14,0.250705
0.0,30,0.252126
0.0,9,0.252615
0.0,21,0.253629
0.0,2,0.25379
0.0,7,0.254185
0.0,21,0.255205
0.0,4,0.255457
0.0,1,0.255572
0.0,16,0.256387
0.0,2,0.256545
0.0,4,0.256791
0.0,7,0.257179
0.0,6,0.257518
0.0,12,0.25815
0.0,15,0.258909
0.0,7,0.259321
0.0,17,0.260151
0.0,26,0.261393
0.0,5,0.261711
0.0,8,0.262147
0.0,17,0.262976
0.0,2,0.263144
0.0,11,0.263698
0.0,7,0.264106
0.0,4,0.264375
0.0,18,0.265256
0.0,3,0.265464
0.0,4,0.265714
0.0,13,0.266368
0.0,5,0.26666
0.0,11,0.267243
0.0,10,0.267779
0.0,7,0.268184
0.0,30,0.269602
0.0,2,0.269763
0.0,8,0.270218
0.0,40,0.272135
0.0,12,0.272737
0.0,10,0.273291
0.0,1,0.273406
0.0,21,0.274422
0.0,4,0.274672
0.0,34,0.27628
0.0,41,0.27823
0.0,16,0.279013
0.0,48,0.281267
1.0,9,0.281747
0.0,23,0.282879
0.0,12,0.283496
0.0,10,0.284013
0.0,6,0.284363
0.0,1,0.284478
0.0,3,0.284685
0.0,12,0.285327
0.0,10,0.285847
0.0,5,0.286161
0.0,2,0.286324
0.0,5,0.286619
0.0,27,0.287913
0.0,34,0.289558
0.0,27,0.290851
0.0,2,0.291016
0.0,4,0.291275
0.0,4,0.29154
0.0,19,0.292462
1.0,12,0.29307
0.0,31,0.294552
0.0,1,0.29467
0.0,6,0.295002
0.0,8,0.295445
0.0,49,0.29773
0.0,6,0.298101
0.0,29,0.299459
0.0,35,0.30113
0.0,2,0.301295
0.0,2,0.30147
0.0,1,0.301581
0.0,7,0.301962
0.0,32,0.303483
0.0,11,0.304059
0.0,11,0.304617
0.0,22,0.305681
0.0,27,0.306972
0.0,38,0.30895
0.0,6,0.309316
0.0,1,0.309477
0.0,1,0.309592
0.0,14,0.310309
1.0,12,0.310923
0.0,10,0.311447
0.0,31,0.31291
0.0,14,0.31363
0.0,13,0.314425
1.0,18,0.315322
0.0,13,0.315979
0.0,6,0.316351
0.0,4,0.316601
0.0,55,0.319158
0.0,7,0.319575
0.0,29,0.320954
0.0,32,0.322513
0.0,4,0.322774
0.0,36,0.324461
0.0,3,0.32468
0.0,6,0.325018
0.0,5,0.325325
0.0,3,0.325532
0.0,3,0.325734
0.0,3,0.325936
0.0,8,0.32638
0.0,41,0.328297
0.0,13,0.328971
0.0,15,0.329721
0.0,31,0.331215
0.0,5,0.331527
0.0,11,0.332106
0.0,9,0.332585
0.0,5,0.332881
0.0,4,0.333144
0.0,46,0.335268
0.0,9,0.335755
0.0,3,0.335958
0.0,13,0.336624
0.0,18,0.337507
0.0,15,0.338266
0.0,10,0.338885
0.0,11,0.339463
