#{"t_start": 1522758112.4340894, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.043226
0.0,5,0.043598
0.0,11,0.044169
0.0,12,0.044794
0.0,12,0.045403
0.0,15,0.04616
0.0,6,0.046512
0.0,64,0.049491
1.0,22,0.050629
0.0,55,0.057293
0.0,23,0.058563
1.0,27,0.059864
1.0,24,0.061013
0.0,23,0.062129
0.0,10,0.062668
0.0,25,0.064087
0.0,11,0.064661
1.0,21,0.065689
0.0,9,0.066158
0.0,10,0.066687
0.0,27,0.067979
0.0,3,0.068185
0.0,3,0.068389
0.0,11,0.0691
0.0,17,0.069943
0.0,1,0.07006
0.0,6,0.070399
0.0,12,0.071017
0.0,47,0.073204
0.0,3,0.07341
0.0,2,0.07358
0.0,50,0.076001
0.0,16,0.076799
0.0,49,0.079076
0.0,8,0.079506
0.0,4,0.079765
0.0,4,0.080069
1.0,12,0.080694
0.0,4,0.080942
0.0,9,0.081419
0.0,26,0.082674
0.0,10,0.083193
0.0,54,0.085788
0.0,20,0.086765
0.0,12,0.087369
0.0,11,0.087939
0.0,8,0.088365
0.0,14,0.097631
1.0,24,0.098866
0.0,10,0.099382
0.0,15,0.100134
0.0,20,0.10111
1.0,35,0.10815
0.0,11,0.108803
0.0,8,0.109238
0.0,12,0.109855
0.0,9,0.11033
0.0,3,0.110536
0.0,24,0.111703
0.0,22,0.118917
0.0,23,0.120118
1.0,23,0.121228
0.0,12,0.121854
0.0,30,0.131438
0.0,1,0.131634
0.0,24,0.132802
0.0,9,0.133282
1.0,17,0.134123
0.0,6,0.134464
0.0,8,0.134907
0.0,2,0.135069
0.0,51,0.137424
0.0,23,0.138532
0.0,27,0.142946
1.0,22,0.150794
0.0,1,0.150967
0.0,13,0.151626
0.0,20,0.152603
0.0,21,0.15362
0.0,11,0.154182
0.0,7,0.154565
0.0,50,0.156878
0.0,1,0.156994
0.0,45,0.159087
0.0,1,0.159203
0.0,7,0.163267
0.0,15,0.164155
0.0,33,0.165719
0.0,3,0.165923
1.0,10,0.166444
0.0,8,0.166883
0.0,5,0.167176
0.0,31,0.168648
0.0,16,0.169435
0.0,13,0.170094
1.0,45,0.172187
0.0,13,0.172855
0.0,11,0.173415
0.0,31,0.174886
1.0,37,0.176626
0.0,11,0.177186
0.0,17,0.17803
0.0,38,0.179813
0.0,7,0.180195
1.0,66,0.18322
0.0,9,0.183706
0.0,35,0.185337
0.0,15,0.186091
1.0,43,0.188087
0.0,13,0.188753
0.0,1,0.188867
0.0,31,0.190327
0.0,33,0.191895
0.0,13,0.192547
0.0,16,0.193338
0.0,13,0.194001
0.0,20,0.194972
0.0,15,0.195727
0.0,15,0.196467
0.0,26,0.19772
0.0,10,0.198235
0.0,2,0.198394
0.0,16,0.199191
0.0,4,0.199441
0.0,10,0.199967
0.0,13,0.200636
0.0,19,0.201549
0.0,25,0.202759
0.0,7,0.203147
0.0,18,0.204031
0.0,35,0.205688
0.0,58,0.208363
0.0,40,0.210234
0.0,16,0.211039
0.0,21,0.212056
0.0,3,0.212262
0.0,8,0.212705
0.0,11,0.213262
0.0,18,0.214144
0.0,55,0.216694
0.0,11,0.217258
0.0,17,0.218094
0.0,42,0.220053
0.0,5,0.220348
0.0,1,0.220463
0.0,9,0.220951
0.0,7,0.221334
0.0,11,0.221904
0.0,4,0.222154
0.0,44,0.224211
0.0,10,0.224752
0.0,9,0.225226
0.0,30,0.226649
0.0,13,0.227295
1.0,25,0.228477
1.0,12,0.22909
0.0,15,0.229845
0.0,13,0.230494
0.0,1,0.23062
1.0,15,0.231358
0.0,8,0.231797
1.0,12,0.232399
0.0,49,0.234685
0.0,7,0.235077
0.0,2,0.23524
0.0,12,0.235857
0.0,13,0.236507
0.0,14,0.237216
0.0,10,0.237752
0.0,8,0.238185
0.0,17,0.239029
0.0,10,0.239547
0.0,14,0.240254
0.0,18,0.241141
0.0,1,0.241262
0.0,18,0.242153
0.0,4,0.242404
0.0,8,0.24285
1.0,20,0.243824
0.0,71,0.247273
0.0,13,0.247941
0.0,24,0.249086
0.0,23,0.250186
0.0,26,0.251424
1.0,7,0.251825
0.0,27,0.253113
0.0,6,0.25345
0.0,27,0.254739
0.0,10,0.255257
0.0,20,0.256229
0.0,8,0.256666
0.0,29,0.258034
1.0,23,0.259134
0.0,21,0.260151
0.0,6,0.260489
0.0,16,0.26128
0.0,22,0.262337
0.0,16,0.263135
0.0,9,0.263621
0.0,7,0.264005
0.0,1,0.264117
0.0,45,0.266205
0.0,14,0.266912
0.0,8,0.267338
0.0,26,0.26859
1.0,51,0.270939
0.0,1,0.271052
0.0,14,0.271761
0.0,26,0.273
0.0,1,0.273114
0.0,21,0.274123
1.0,25,0.275316
0.0,13,0.275982
0.0,4,0.276231
0.0,27,0.277509
0.0,1,0.277636
0.0,6,0.277977
0.0,5,0.278268
0.0,23,0.279371
0.0,1,0.279486
0.0,2,0.279661
0.0,10,0.280179
0.0,46,0.28231
1.0,17,0.283156
0.0,12,0.283776
0.0,19,0.284703
0.0,9,0.285176
0.0,16,0.285978
0.0,3,0.286184
0.0,30,0.287611
1.0,26,0.28885
0.0,2,0.289011
0.0,25,0.290203
0.0,10,0.290733
0.0,4,0.290987
0.0,7,0.291368
0.0,46,0.293504
0.0,27,0.294801
0.0,13,0.295456
0.0,6,0.295806
1.0,14,0.296503
0.0,6,0.296851
0.0,6,0.297189
