#{"t_start": 1522702319.3011892, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.007336
0.0,19,0.008256
0.0,10,0.008778
0.0,3,0.008979
0.0,3,0.009181
0.0,33,0.010711
0.0,11,0.011263
0.0,6,0.011596
0.0,12,0.012198
0.0,1,0.012311
0.0,13,0.012963
0.0,29,0.014302
0.0,37,0.016011
0.0,5,0.016302
0.0,20,0.017259
1.0,49,0.019484
0.0,6,0.019833
1.0,27,0.021098
1.0,17,0.02192
1.0,15,0.022652
1.0,12,0.023249
0.0,15,0.023992
0.0,15,0.024729
0.0,33,0.026258
1.0,13,0.026909
0.0,13,0.027544
0.0,13,0.028195
0.0,9,0.02867
0.0,26,0.02988
0.0,35,0.031489
0.0,19,0.032401
0.0,15,0.03314
0.0,4,0.033389
1.0,20,0.034341
0.0,17,0.035163
0.0,10,0.035688
0.0,18,0.036553
0.0,26,0.03778
0.0,5,0.038073
0.0,8,0.038493
0.0,12,0.039099
1.0,31,0.040533
0.0,41,0.042418
0.0,15,0.043162
0.0,31,0.044598
0.0,6,0.044943
1.0,16,0.045733
0.0,3,0.045937
0.0,6,0.046266
1.0,15,0.047002
1.0,23,0.048089
0.0,7,0.048463
0.0,27,0.049732
0.0,25,0.050904
0.0,24,0.052029
0.0,9,0.052494
0.0,2,0.052662
0.0,18,0.053518
0.0,6,0.053867
0.0,3,0.054075
0.0,35,0.0557
0.0,27,0.056967
0.0,1,0.05708
0.0,24,0.058214
0.0,9,0.058689
0.0,36,0.060351
0.0,7,0.060738
0.0,4,0.060982
0.0,12,0.061576
0.0,10,0.062099
1.0,20,0.063057
0.0,2,0.063213
0.0,4,0.06346
0.0,15,0.064196
0.0,8,0.064617
0.0,13,0.065267
0.0,20,0.066224
0.0,9,0.066703
0.0,5,0.066993
0.0,31,0.068422
0.0,15,0.069158
0.0,69,0.072248
0.0,5,0.072539
0.0,30,0.07394
0.0,3,0.074147
0.0,13,0.074797
1.0,31,0.076235
0.0,5,0.076527
0.0,4,0.076782
0.0,6,0.077118
1.0,34,0.078692
1.0,27,0.079962
0.0,41,0.081852
0.0,5,0.082139
1.0,25,0.08331
0.0,11,0.083873
0.0,31,0.085308
0.0,13,0.085963
0.0,3,0.086166
1.0,29,0.08751
1.0,19,0.088419
0.0,3,0.088622
0.0,55,0.091126
0.0,19,0.092039
1.0,9,0.092499
1.0,35,0.094109
0.0,10,0.094613
0.0,26,0.095848
0.0,1,0.09596
0.0,1,0.096072
0.0,18,0.096936
0.0,8,0.097356
1.0,18,0.098219
1.0,18,0.099091
0.0,12,0.0997
0.0,9,0.100164
0.0,43,0.10213
0.0,16,0.102974
0.0,19,0.10389
1.0,15,0.104618
0.0,22,0.105667
0.0,20,0.10661
0.0,54,0.109064
0.0,34,0.110633
0.0,21,0.11163
0.0,3,0.11184
0.0,1,0.111949
0.0,19,0.112857
