#{"t_start": 1522150767.3406503, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,30,0.011301
0.0,9,0.0116
0.0,38,0.012588
0.0,14,0.013021
0.0,24,0.013682
0.0,10,0.014007
0.0,10,0.014316
0.0,14,0.014726
0.0,38,0.015701
0.0,36,0.016633
0.0,31,0.017457
0.0,15,0.017899
0.0,15,0.01833
0.0,61,0.019863
0.0,30,0.020668
0.0,100,0.023113
0.0,68,0.024826
1.0,98,0.027218
0.0,14,0.027626
0.0,82,0.02968
1.0,34,0.030554
0.0,39,0.031544
0.0,17,0.032029
1.0,77,0.033943
0.0,50,0.035196
1.0,10,0.035506
1.0,80,0.03748
0.0,60,0.038982
0.0,46,0.040161
0.0,44,0.041278
1.0,25,0.041952
0.0,47,0.043176
0.0,16,0.043643
1.0,25,0.044316
0.0,61,0.045849
1.0,6,0.046078
1.0,34,0.046975
1.0,23,0.047583
1.0,53,0.048916
1.0,26,0.049595
1.0,59,0.051079
1.0,28,0.051822
1.0,19,0.052362
1.0,68,0.054072
0.0,22,0.054672
0.0,30,0.05546
1.0,90,0.05772
1.0,51,0.059004
1.0,93,0.061294
1.0,38,0.06229
1.0,67,0.063949
1.0,6,0.064162
1.0,29,0.064917
0.0,100,0.067366
0.0,16,0.067819
0.0,100,0.070287
0.0,14,0.07069
1.0,35,0.071594
0.0,84,0.073687
1.0,13,0.074081
0.0,100,0.076524
1.0,40,0.077565
1.0,29,0.078329
0.0,100,0.080753
0.0,100,0.083215
1.0,49,0.084467
1.0,26,0.085171
1.0,31,0.085993
1.0,66,0.087642
1.0,90,0.089843
1.0,20,0.090398
0.0,79,0.092373
1.0,58,0.093843
1.0,34,0.094736
1.0,9,0.095031
1.0,99,0.097445
1.0,25,0.098139
1.0,45,0.099277
0.0,100,0.10184
1.0,30,0.102645
1.0,13,0.103024
1.0,56,0.104424
1.0,75,0.106261
0.0,14,0.106658
1.0,14,0.107076
0.0,73,0.108914
0.0,100,0.111394
0.0,46,0.112653
1.0,32,0.113532
