#{"t_start": 1522149275.9714303, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,85,0.010244
0.0,100,0.012955
0.0,15,0.013446
0.0,14,0.013884
0.0,65,0.015662
0.0,38,0.01672
0.0,33,0.017687
0.0,26,0.018454
0.0,49,0.019831
0.0,26,0.02059
0.0,38,0.021669
0.0,35,0.02266
0.0,25,0.02341
1.0,48,0.024825
1.0,17,0.025421
0.0,45,0.026688
0.0,59,0.028308
0.0,41,0.029444
0.0,21,0.030067
0.0,35,0.031047
0.0,100,0.033736
0.0,40,0.034856
0.0,24,0.035573
1.0,46,0.036838
0.0,22,0.037534
0.0,34,0.038487
0.0,50,0.039918
0.0,19,0.040499
0.0,20,0.041103
1.0,18,0.041638
0.0,49,0.042996
1.0,51,0.044412
1.0,32,0.045354
1.0,29,0.04623
0.0,49,0.047608
0.0,49,0.048949
0.0,5,0.049153
0.0,31,0.050043
0.0,13,0.050461
0.0,37,0.051517
1.0,18,0.052059
1.0,38,0.053123
1.0,11,0.053475
1.0,17,0.053982
1.0,42,0.055156
0.0,59,0.056782
0.0,56,0.05833
1.0,23,0.059011
0.0,100,0.061712
1.0,10,0.062036
0.0,5,0.062242
0.0,60,0.063884
0.0,17,0.064412
0.0,100,0.067136
1.0,19,0.067698
0.0,47,0.069006
0.0,6,0.069233
0.0,33,0.070198
1.0,70,0.072095
0.0,21,0.072724
1.0,20,0.073318
0.0,28,0.074119
1.0,16,0.074596
1.0,24,0.075316
0.0,15,0.075784
1.0,7,0.07603
1.0,64,0.077797
1.0,93,0.080325
1.0,23,0.081002
1.0,37,0.082069
0.0,25,0.082793
0.0,72,0.08477
1.0,21,0.085485
1.0,57,0.087086
0.0,100,0.089808
0.0,4,0.089987
1.0,13,0.090441
1.0,20,0.091025
0.0,3,0.091193
1.0,24,0.091912
1.0,22,0.092551
0.0,15,0.093005
1.0,24,0.09371
1.0,29,0.094538
1.0,23,0.095225
1.0,21,0.095838
1.0,45,0.097095
1.0,37,0.098137
1.0,9,0.098431
0.0,22,0.09908
0.0,31,0.099954
1.0,57,0.101538
0.0,22,0.102183
1.0,24,0.102868
0.0,16,0.103367
1.0,35,0.104371
0.0,41,0.105506
1.0,17,0.106016
1.0,35,0.10701
1.0,27,0.107794
1.0,82,0.110196
0.0,100,0.11293
1.0,12,0.113319
0.0,37,0.114389
0.0,21,0.114999
0.0,33,0.115984
1.0,40,0.117105
1.0,19,0.117663
1.0,27,0.11848
1.0,29,0.119333
0.0,43,0.120531
1.0,13,0.120929
0.0,57,0.122572
0.0,100,0.125249
0.0,100,0.12795
0.0,10,0.128291
0.0,20,0.128892
0.0,18,0.129452
0.0,10,0.129786
1.0,16,0.130286
0.0,33,0.131231
0.0,5,0.13143
1.0,13,0.13184
0.0,94,0.134352
0.0,100,0.137076
0.0,100,0.13994
0.0,23,0.140602
0.0,35,0.141593
1.0,28,0.142394
1.0,39,0.143467
1.0,35,0.144449
0.0,5,0.14464
1.0,30,0.145498
0.0,14,0.14598
0.0,14,0.146456
0.0,8,0.146733
1.0,50,0.14813
1.0,72,0.15008
1.0,23,0.150802
1.0,89,0.153252
1.0,32,0.154164
1.0,78,0.156288
0.0,55,0.15781
0.0,61,0.159524
1.0,22,0.160198
1.0,44,0.161468
1.0,39,0.162675
0.0,34,0.163643
1.0,19,0.164223
1.0,15,0.164677
0.0,9,0.164981
0.0,10,0.16532
1.0,10,0.165655
0.0,20,0.166259
0.0,22,0.166888
1.0,38,0.167953
1.0,17,0.168481
1.0,47,0.169779
0.0,6,0.170003
1.0,31,0.170904
1.0,68,0.172792
1.0,11,0.173157
1.0,29,0.173969
0.0,30,0.174816
1.0,8,0.175097
1.0,25,0.175812
0.0,100,0.178518
0.0,62,0.180232
1.0,27,0.181
0.0,6,0.181234
0.0,100,0.183982
1.0,22,0.184635
0.0,50,0.186034
0.0,79,0.188194
0.0,11,0.188556
0.0,17,0.189068
1.0,71,0.191007
0.0,75,0.193089
0.0,44,0.194317
0.0,45,0.195558
0.0,52,0.196982
1.0,40,0.198106
0.0,62,0.199784
1.0,47,0.201085
1.0,11,0.201433
1.0,55,0.20299
0.0,100,0.205697
1.0,25,0.206431
1.0,14,0.206862
0.0,19,0.207493
1.0,12,0.207872
0.0,45,0.209255
1.0,25,0.209989
1.0,16,0.210526
1.0,94,0.213068
1.0,12,0.213444
1.0,42,0.214613
0.0,10,0.214951
1.0,16,0.215437
0.0,7,0.215681
0.0,5,0.215883
0.0,100,0.218603
1.0,6,0.218829
0.0,8,0.219124
0.0,45,0.220377
0.0,8,0.220651
1.0,22,0.221291
1.0,13,0.221699
1.0,42,0.222878
0.0,100,0.225606
1.0,61,0.227308
0.0,8,0.227579
0.0,9,0.2279
1.0,53,0.229386
1.0,78,0.231533
0.0,26,0.232373
1.0,12,0.232747
1.0,21,0.233372
1.0,13,0.233767
1.0,68,0.235601
0.0,37,0.236646
1.0,60,0.238316
0.0,47,0.239639
0.0,11,0.239992
0.0,29,0.240825
1.0,14,0.241258
1.0,12,0.24163
0.0,17,0.242136
0.0,27,0.242899
1.0,61,0.244558
1.0,26,0.245331
0.0,28,0.246134
0.0,96,0.24873
0.0,42,0.249913
0.0,81,0.252116
0.0,100,0.254771
0.0,32,0.255698
1.0,15,0.256172
0.0,11,0.256534
1.0,85,0.258914
0.0,33,0.259878
0.0,39,0.260961
0.0,17,0.261536
0.0,27,0.262312
0.0,7,0.262563
1.0,30,0.263417
1.0,55,0.2649
1.0,21,0.265524
1.0,31,0.266407
1.0,17,0.266918
0.0,21,0.26757
1.0,20,0.268178
1.0,16,0.268679
1.0,90,0.271114
1.0,20,0.271687
0.0,69,0.273563
1.0,28,0.274425
1.0,60,0.276104
1.0,8,0.276374
1.0,63,0.278071
1.0,11,0.27843
