#{"t_start": 1522149787.6328075, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.00819
0.0,19,0.008713
0.0,5,0.008895
0.0,6,0.009091
0.0,15,0.009483
0.0,33,0.010289
0.0,8,0.010534
0.0,35,0.011362
0.0,24,0.011951
0.0,9,0.01222
0.0,32,0.012965
0.0,24,0.013547
0.0,80,0.015358
0.0,10,0.015647
0.0,14,0.01603
0.0,11,0.016347
0.0,21,0.01689
0.0,7,0.017107
0.0,7,0.017327
0.0,84,0.01925
0.0,2,0.019365
0.0,59,0.020747
1.0,61,0.022136
0.0,68,0.023668
1.0,11,0.023994
0.0,100,0.02624
0.0,38,0.027175
0.0,20,0.027673
0.0,4,0.027835
0.0,2,0.027941
0.0,5,0.028118
0.0,17,0.028557
0.0,2,0.028668
0.0,4,0.028823
1.0,48,0.029938
0.0,2,0.030049
0.0,11,0.030361
0.0,50,0.031492
0.0,8,0.031744
0.0,34,0.032514
1.0,8,0.032766
0.0,54,0.033985
0.0,29,0.034696
0.0,57,0.036003
1.0,73,0.037672
0.0,21,0.038188
1.0,43,0.039178
0.0,94,0.041281
1.0,22,0.041843
0.0,10,0.042126
1.0,8,0.042368
1.0,22,0.042922
1.0,10,0.043206
0.0,41,0.044154
0.0,25,0.044781
1.0,21,0.045309
1.0,21,0.04584
1.0,38,0.046716
1.0,77,0.048479
0.0,21,0.049007
1.0,16,0.049432
0.0,40,0.050383
0.0,26,0.051025
1.0,61,0.052428
0.0,15,0.052827
1.0,23,0.053378
0.0,15,0.053781
0.0,4,0.053939
0.0,33,0.054782
0.0,23,0.055337
0.0,21,0.055884
0.0,100,0.058124
0.0,6,0.058323
0.0,51,0.059504
0.0,95,0.061644
0.0,24,0.062253
0.0,20,0.062771
0.0,8,0.063012
0.0,63,0.064441
1.0,29,0.065166
0.0,72,0.066784
0.0,58,0.068098
0.0,44,0.069125
1.0,24,0.06973
0.0,13,0.07007
0.0,11,0.07038
0.0,22,0.070926
0.0,81,0.072761
1.0,91,0.0748
0.0,13,0.075156
0.0,7,0.075374
0.0,39,0.076292
1.0,30,0.077022
0.0,2,0.077133
0.0,25,0.077748
1.0,49,0.078902
0.0,55,0.080189
1.0,10,0.080487
0.0,4,0.08064
1.0,15,0.081036
0.0,100,0.08326
0.0,3,0.083393
1.0,8,0.083641
1.0,17,0.084076
1.0,80,0.085894
0.0,2,0.086011
0.0,24,0.086598
0.0,4,0.08677
0.0,100,0.089027
1.0,18,0.089475
1.0,90,0.091487
1.0,34,0.092286
0.0,4,0.092443
1.0,23,0.093012
0.0,37,0.093884
1.0,20,0.094371
1.0,30,0.095113
0.0,100,0.097321
0.0,6,0.09753
0.0,32,0.098324
0.0,13,0.098687
0.0,7,0.098909
0.0,28,0.099571
1.0,54,0.100827
1.0,13,0.101192
1.0,77,0.102921
1.0,37,0.103785
0.0,27,0.104432
0.0,10,0.104759
