#{"t_start": 1522157962.8995428, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.060187
0.0,100,0.066882
0.0,15,0.06774
0.0,70,0.070851
0.0,100,0.075271
0.0,31,0.076692
0.0,24,0.077813
0.0,24,0.078933
0.0,88,0.082831
0.0,16,0.083606
0.0,10,0.084119
0.0,26,0.085327
0.0,6,0.085661
0.0,16,0.086431
1.0,7,0.086805
0.0,82,0.090454
0.0,20,0.0914
0.0,28,0.092689
0.0,8,0.093118
0.0,14,0.093791
0.0,11,0.094348
1.0,7,0.094725
0.0,54,0.097151
0.0,11,0.097697
0.0,6,0.098035
0.0,12,0.098624
0.0,15,0.099354
0.0,8,0.099767
0.0,7,0.100149
0.0,33,0.10165
1.0,21,0.102635
1.0,11,0.103188
0.0,29,0.104519
0.0,29,0.105846
0.0,8,0.106273
0.0,11,0.106817
0.0,25,0.10798
0.0,63,0.110792
0.0,10,0.111308
0.0,6,0.111639
0.0,9,0.112108
1.0,36,0.113736
1.0,21,0.114715
0.0,18,0.115572
0.0,14,0.116255
0.0,29,0.117591
0.0,13,0.118233
1.0,78,0.121688
0.0,11,0.122248
1.0,86,0.126048
0.0,31,0.127466
1.0,38,0.129184
0.0,15,0.1299
0.0,13,0.130536
0.0,18,0.131402
0.0,32,0.132866
0.0,22,0.133894
1.0,13,0.134538
1.0,8,0.134958
0.0,8,0.13538
0.0,84,0.139126
0.0,59,0.141752
0.0,78,0.145243
0.0,8,0.145661
1.0,25,0.146822
0.0,8,0.147254
1.0,31,0.148664
0.0,9,0.149139
1.0,22,0.150166
0.0,8,0.15058
0.0,72,0.15375
1.0,7,0.154136
0.0,20,0.155073
0.0,18,0.155927
1.0,6,0.156265
0.0,10,0.156762
1.0,12,0.157364
1.0,16,0.158132
1.0,20,0.159076
1.0,27,0.160323
0.0,60,0.163069
0.0,35,0.164663
1.0,20,0.165605
0.0,5,0.165892
0.0,22,0.166919
0.0,44,0.1689
0.0,30,0.170271
0.0,24,0.171382
0.0,14,0.172061
0.0,10,0.172565
0.0,18,0.173422
1.0,7,0.173793
0.0,14,0.174472
0.0,24,0.175581
0.0,13,0.176222
0.0,27,0.177472
0.0,13,0.178116
0.0,10,0.178612
0.0,46,0.180678
0.0,6,0.181005
0.0,32,0.182462
0.0,14,0.183145
0.0,14,0.183811
0.0,31,0.185238
