#{"t_start": 1522156939.5814438, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,91,0.063351
0.0,100,0.068313
0.0,14,0.068999
0.0,27,0.070242
0.0,16,0.071013
0.0,43,0.072946
0.0,60,0.075616
0.0,51,0.077886
0.0,88,0.081758
0.0,70,0.084866
0.0,100,0.089249
0.0,9,0.089715
0.0,33,0.0912
0.0,16,0.091971
0.0,14,0.092653
0.0,8,0.093068
0.0,13,0.093705
0.0,78,0.097168
0.0,23,0.098229
0.0,19,0.09912
0.0,13,0.099753
0.0,25,0.100904
0.0,100,0.105272
0.0,23,0.106334
1.0,13,0.106969
0.0,20,0.107908
0.0,100,0.112304
0.0,100,0.116711
1.0,29,0.118035
0.0,29,0.119363
0.0,14,0.120049
1.0,85,0.123799
0.0,39,0.12555
1.0,10,0.126056
0.0,13,0.126694
0.0,23,0.127766
0.0,23,0.128837
0.0,30,0.130208
0.0,38,0.131917
0.0,22,0.132945
1.0,74,0.136215
0.0,15,0.136936
0.0,45,0.138948
1.0,49,0.14114
1.0,60,0.143803
1.0,12,0.144386
1.0,23,0.145454
1.0,45,0.147478
0.0,13,0.148116
0.0,29,0.149444
0.0,22,0.15047
0.0,10,0.150983
1.0,20,0.151921
1.0,61,0.154628
0.0,9,0.155087
0.0,31,0.156495
1.0,17,0.157301
1.0,47,0.159473
1.0,32,0.160928
1.0,44,0.162892
0.0,15,0.163606
0.0,46,0.165671
0.0,23,0.166735
1.0,9,0.167188
0.0,18,0.168036
1.0,11,0.168577
1.0,61,0.171266
1.0,13,0.171898
1.0,9,0.172353
1.0,11,0.1729
0.0,18,0.173754
0.0,6,0.174084
0.0,5,0.174365
0.0,48,0.176511
0.0,21,0.177487
0.0,4,0.177741
1.0,47,0.179835
0.0,66,0.182743
0.0,44,0.184714
0.0,11,0.185253
0.0,19,0.186145
0.0,15,0.186873
0.0,19,0.187763
1.0,21,0.188745
0.0,28,0.190023
0.0,14,0.190701
0.0,60,0.193347
0.0,91,0.197338
0.0,21,0.198312
1.0,9,0.198781
0.0,8,0.199193
0.0,3,0.199389
1.0,14,0.200066
1.0,48,0.202199
1.0,38,0.203901
0.0,18,0.204759
0.0,48,0.206892
1.0,23,0.207953
0.0,82,0.211527
0.0,21,0.212507
1.0,40,0.214293
1.0,16,0.215062
1.0,23,0.216121
1.0,51,0.21838
0.0,13,0.219017
1.0,17,0.219824
1.0,12,0.220407
0.0,12,0.221005
1.0,26,0.222196
1.0,69,0.225238
1.0,18,0.226088
1.0,36,0.227718
0.0,6,0.228049
1.0,28,0.229322
0.0,19,0.230221
0.0,50,0.232467
0.0,30,0.233851
1.0,9,0.234308
1.0,24,0.23542
1.0,19,0.236316
1.0,53,0.23867
1.0,12,0.239255
0.0,39,0.241003
0.0,40,0.242792
0.0,7,0.243166
1.0,62,0.245926
0.0,23,0.246987
0.0,18,0.24784
0.0,38,0.249539
1.0,41,0.251377
1.0,55,0.253813
1.0,21,0.254787
1.0,23,0.255841
1.0,7,0.25621
0.0,19,0.257098
1.0,35,0.258681
1.0,31,0.260135
0.0,24,0.261245
1.0,30,0.262619
0.0,22,0.26364
0.0,32,0.265081
0.0,74,0.268341
1.0,43,0.27026
1.0,32,0.271713
0.0,11,0.272253
0.0,83,0.275918
1.0,36,0.277538
0.0,3,0.277745
1.0,19,0.278643
0.0,21,0.27962
1.0,40,0.281402
0.0,39,0.283151
0.0,8,0.283564
0.0,11,0.284114
0.0,54,0.286524
0.0,8,0.286948
0.0,13,0.28757
0.0,28,0.28885
1.0,45,0.290857
0.0,16,0.291618
0.0,79,0.295097
0.0,5,0.295384
0.0,21,0.29636
1.0,42,0.29826
0.0,16,0.299029
0.0,27,0.300266
0.0,10,0.300778
1.0,21,0.301753
0.0,17,0.302548
0.0,3,0.302758
0.0,69,0.305815
1.0,16,0.306572
0.0,44,0.308544
1.0,20,0.309479
0.0,4,0.309733
1.0,73,0.312942
0.0,17,0.31375
1.0,9,0.314203
0.0,35,0.315809
0.0,38,0.317501
0.0,15,0.318229
0.0,100,0.322613
0.0,21,0.323584
0.0,18,0.324433
0.0,10,0.324945
0.0,8,0.325355
0.0,4,0.325593
0.0,100,0.329978
0.0,41,0.33182
1.0,14,0.332492
0.0,34,0.334031
0.0,30,0.335405
0.0,4,0.335665
0.0,16,0.336423
0.0,41,0.33826
0.0,8,0.338682
0.0,58,0.341247
1.0,35,0.342831
1.0,20,0.343765
0.0,4,0.344004
0.0,37,0.345692
0.0,41,0.347516
1.0,18,0.348368
0.0,16,0.349135
0.0,30,0.350495
1.0,27,0.351736
0.0,31,0.353148
0.0,100,0.357541
1.0,8,0.357966
1.0,43,0.359898
0.0,20,0.360893
1.0,34,0.362426
0.0,71,0.365577
0.0,22,0.366606
0.0,100,0.370986
0.0,36,0.372623
0.0,46,0.374689
1.0,12,0.375273
0.0,33,0.376767
0.0,22,0.377795
1.0,29,0.37911
0.0,15,0.379835
0.0,23,0.380898
0.0,13,0.381525
0.0,23,0.382589
0.0,7,0.382967
1.0,11,0.383502
0.0,18,0.384348
0.0,8,0.384778
0.0,36,0.3864
0.0,5,0.386697
0.0,100,0.391085
1.0,22,0.392112
1.0,27,0.393341
0.0,33,0.394844
0.0,13,0.395466
1.0,28,0.396745
1.0,46,0.398802
1.0,21,0.39978
0.0,13,0.400405
0.0,3,0.400633
1.0,18,0.401471
0.0,60,0.404136
0.0,45,0.406157
0.0,49,0.408348
1.0,20,0.409286
1.0,44,0.411261
1.0,25,0.412412
0.0,18,0.413262
0.0,12,0.413858
1.0,46,0.415918
1.0,77,0.419319
0.0,92,0.423367
0.0,8,0.423796
0.0,7,0.424165
0.0,29,0.425494
1.0,26,0.426698
1.0,40,0.42849
1.0,18,0.429342
0.0,14,0.430028
1.0,23,0.431093
0.0,10,0.431594
1.0,14,0.432274
0.0,6,0.432606
0.0,27,0.433853
0.0,22,0.434883
0.0,8,0.4353
0.0,34,0.43685
0.0,50,0.439088
0.0,10,0.439589
0.0,34,0.441127
0.0,13,0.441771
0.0,14,0.442446
0.0,12,0.44304
1.0,19,0.443936
1.0,27,0.445182
0.0,3,0.445383
0.0,38,0.447097
0.0,42,0.448988
0.0,4,0.449234
0.0,26,0.45042
0.0,45,0.452433
1.0,17,0.45324
0.0,5,0.453525
0.0,4,0.453777
1.0,13,0.454402
0.0,17,0.455219
0.0,44,0.457185
0.0,33,0.458684
0.0,44,0.460656
1.0,30,0.46209
1.0,14,0.462773
0.0,18,0.46362
0.0,11,0.464161
1.0,60,0.466825
0.0,89,0.470752
0.0,17,0.471551
0.0,13,0.472182
1.0,36,0.473805
0.0,57,0.476314
0.0,36,0.477941
0.0,7,0.478308
0.0,38,0.480015
1.0,51,0.482277
1.0,19,0.483169
0.0,11,0.483723
1.0,13,0.484349
1.0,51,0.486634
1.0,22,0.487649
0.0,28,0.488922
1.0,15,0.489642
0.0,25,0.490792
0.0,19,0.491681
0.0,20,0.49261
1.0,30,0.493974
0.0,45,0.496005
0.0,13,0.496652
0.0,26,0.497847
1.0,14,0.498513
1.0,16,0.49927
0.0,26,0.500463
0.0,21,0.50144
0.0,14,0.50212
0.0,11,0.502673
0.0,17,0.503469
