#{"t_start": 1522157517.226888, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,40,0.059569
0.0,2,0.059826
0.0,7,0.060373
0.0,4,0.060749
0.0,2,0.060979
0.0,7,0.061538
0.0,4,0.061897
0.0,10,0.062657
0.0,4,0.063015
0.0,12,0.063895
0.0,7,0.064442
0.0,24,0.06598
0.0,2,0.066137
0.0,25,0.067273
0.0,12,0.067861
0.0,15,0.068577
0.0,13,0.069192
0.0,36,0.070804
0.0,6,0.071127
0.0,11,0.07167
0.0,55,0.074072
0.0,18,0.074913
1.0,49,0.077077
0.0,15,0.077793
0.0,11,0.07833
0.0,21,0.079299
0.0,23,0.080355
0.0,18,0.081203
1.0,57,0.083692
1.0,46,0.085718
1.0,55,0.088135
0.0,11,0.08868
1.0,54,0.091053
1.0,63,0.093807
0.0,7,0.094173
1.0,6,0.094493
0.0,20,0.095419
0.0,60,0.09805
0.0,31,0.099436
0.0,8,0.099857
1.0,50,0.102071
0.0,4,0.10231
0.0,9,0.102773
0.0,10,0.103271
0.0,18,0.10411
1.0,27,0.105328
1.0,38,0.107026
0.0,12,0.107617
0.0,21,0.108588
1.0,25,0.109726
0.0,5,0.110014
0.0,20,0.11094
1.0,12,0.111526
1.0,57,0.114016
0.0,2,0.114172
1.0,23,0.115222
0.0,31,0.116623
0.0,42,0.11847
0.0,5,0.118762
0.0,25,0.119897
0.0,15,0.120615
0.0,3,0.120812
0.0,13,0.121431
0.0,23,0.122479
0.0,14,0.12315
0.0,31,0.124548
0.0,22,0.125564
1.0,18,0.126389
0.0,13,0.127017
0.0,52,0.129301
0.0,9,0.129761
0.0,17,0.130556
1.0,49,0.13271
1.0,13,0.133329
1.0,47,0.135394
0.0,11,0.135946
1.0,12,0.136537
0.0,14,0.137197
0.0,14,0.137865
0.0,45,0.139855
0.0,20,0.140786
0.0,2,0.140942
1.0,6,0.141266
1.0,13,0.141897
0.0,4,0.142136
0.0,3,0.142333
1.0,13,0.142963
0.0,47,0.145046
0.0,7,0.145414
0.0,6,0.145762
0.0,16,0.146521
1.0,49,0.148667
0.0,4,0.148905
0.0,4,0.149144
0.0,2,0.149296
1.0,18,0.150135
0.0,67,0.153054
1.0,14,0.153727
1.0,27,0.154943
0.0,4,0.155184
0.0,16,0.155953
1.0,49,0.158116
0.0,33,0.159673
0.0,2,0.159831
0.0,28,0.161095
0.0,2,0.161253
0.0,6,0.161591
1.0,13,0.162218
0.0,12,0.162802
0.0,12,0.163381
0.0,17,0.164177
0.0,22,0.16518
0.0,5,0.165461
0.0,5,0.165756
0.0,10,0.166249
0.0,19,0.167134
0.0,7,0.167513
0.0,5,0.167798
0.0,11,0.168327
0.0,59,0.170905
0.0,5,0.171192
0.0,3,0.171387
0.0,18,0.17223
1.0,27,0.173457
0.0,8,0.173875
0.0,67,0.176804
0.0,19,0.177689
1.0,24,0.178782
1.0,58,0.181316
0.0,99,0.185823
0.0,9,0.186275
0.0,3,0.186469
0.0,22,0.187469
