#{"t_start": 1522150066.2205434, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.008823
0.0,3,0.008999
0.0,2,0.009127
0.0,33,0.010143
0.0,4,0.010325
0.0,4,0.010503
0.0,5,0.010712
0.0,6,0.010962
0.0,2,0.011084
0.0,7,0.011343
0.0,16,0.011877
0.0,28,0.012712
0.0,12,0.013123
0.0,10,0.013466
0.0,18,0.014048
0.0,5,0.014264
0.0,17,0.014821
0.0,30,0.015708
0.0,70,0.017724
0.0,12,0.018154
0.0,28,0.018981
0.0,11,0.019359
1.0,13,0.019772
0.0,50,0.021174
0.0,18,0.021708
0.0,12,0.022098
0.0,15,0.022568
0.0,20,0.023169
0.0,15,0.023623
0.0,17,0.024151
0.0,10,0.024482
0.0,13,0.024908
0.0,14,0.025354
0.0,28,0.026161
0.0,39,0.02726
0.0,6,0.027491
0.0,6,0.027721
0.0,9,0.028057
0.0,71,0.029941
0.0,100,0.032595
0.0,10,0.032931
0.0,11,0.033288
0.0,5,0.033485
0.0,13,0.033889
0.0,4,0.034054
0.0,2,0.034166
0.0,5,0.034355
0.0,10,0.034682
0.0,38,0.035725
0.0,2,0.035851
0.0,3,0.035998
0.0,11,0.036346
0.0,6,0.036575
0.0,8,0.036853
0.0,32,0.037733
0.0,5,0.037937
0.0,27,0.038685
0.0,8,0.038953
0.0,4,0.039114
0.0,28,0.039871
0.0,17,0.04036
0.0,8,0.040623
1.0,39,0.041663
0.0,23,0.042302
0.0,42,0.043416
0.0,16,0.043893
0.0,37,0.044859
0.0,3,0.045001
0.0,63,0.046631
0.0,22,0.047257
1.0,14,0.047678
0.0,15,0.048123
0.0,2,0.048243
0.0,16,0.048678
0.0,6,0.048895
0.0,7,0.049127
0.0,4,0.049288
0.0,6,0.04949
0.0,40,0.05051
0.0,17,0.050997
0.0,12,0.051353
0.0,12,0.051702
1.0,11,0.052037
0.0,17,0.052506
0.0,4,0.05266
0.0,11,0.052995
0.0,5,0.053179
0.0,7,0.053411
0.0,16,0.05388
0.0,33,0.054721
0.0,6,0.05493
0.0,93,0.05723
0.0,2,0.057339
0.0,4,0.057494
0.0,30,0.058274
0.0,3,0.058405
0.0,40,0.059396
0.0,23,0.059996
0.0,2,0.060101
0.0,19,0.060585
0.0,36,0.061485
0.0,35,0.062364
0.0,2,0.06247
0.0,11,0.062776
0.0,2,0.062888
1.0,14,0.063275
0.0,10,0.063568
1.0,8,0.063833
0.0,18,0.064311
0.0,27,0.064995
1.0,25,0.065624
0.0,10,0.065929
0.0,2,0.066034
0.0,6,0.066237
0.0,13,0.0666
0.0,27,0.067291
0.0,31,0.068093
0.0,9,0.068358
0.0,11,0.068667
0.0,5,0.068852
0.0,9,0.06912
0.0,21,0.06966
0.0,2,0.069762
0.0,7,0.069983
0.0,21,0.070509
0.0,36,0.071388
0.0,7,0.071605
0.0,28,0.072315
0.0,14,0.072689
0.0,10,0.072981
0.0,5,0.073157
0.0,31,0.073922
0.0,37,0.074811
0.0,12,0.075136
0.0,21,0.075659
0.0,55,0.076966
0.0,15,0.07737
0.0,17,0.077827
1.0,9,0.078094
0.0,50,0.079296
0.0,2,0.079398
0.0,14,0.07977
0.0,8,0.080014
0.0,21,0.080564
0.0,9,0.08083
0.0,2,0.080936
0.0,26,0.081591
0.0,2,0.081694
0.0,11,0.082015
0.0,4,0.082168
0.0,14,0.082545
0.0,14,0.082931
0.0,17,0.083366
0.0,36,0.08423
0.0,41,0.085238
0.0,2,0.085344
0.0,3,0.08547
0.0,10,0.085756
0.0,2,0.085867
0.0,18,0.086341
0.0,13,0.086694
0.0,35,0.087551
0.0,41,0.088529
0.0,31,0.089288
0.0,33,0.090097
0.0,10,0.090388
0.0,13,0.090742
0.0,6,0.090949
0.0,2,0.091052
0.0,14,0.091428
0.0,28,0.092204
0.0,9,0.092473
0.0,4,0.092619
0.0,62,0.094169
0.0,8,0.094416
0.0,11,0.094718
0.0,3,0.094859
0.0,6,0.095062
0.0,44,0.096119
0.0,55,0.097555
0.0,11,0.097902
0.0,17,0.098384
0.0,7,0.098601
0.0,4,0.098755
0.0,22,0.099313
0.0,17,0.099755
0.0,39,0.100701
0.0,21,0.10126
0.0,15,0.101659
0.0,5,0.101846
0.0,8,0.102085
0.0,17,0.102532
0.0,10,0.10283
0.0,6,0.103024
0.0,13,0.103367
0.0,17,0.103814
0.0,8,0.104058
0.0,31,0.104824
0.0,6,0.105015
