#{"t_start": 1522150767.8732772, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.011839
0.0,4,0.012011
0.0,15,0.012454
0.0,10,0.012751
0.0,3,0.012883
0.0,2,0.01299
0.0,5,0.013163
0.0,8,0.013419
0.0,15,0.013818
0.0,2,0.013925
0.0,5,0.014099
0.0,5,0.014289
0.0,5,0.014464
0.0,34,0.015297
0.0,4,0.015457
0.0,2,0.015569
1.0,8,0.015818
0.0,34,0.016636
0.0,11,0.016961
0.0,10,0.017261
0.0,10,0.017549
0.0,5,0.017731
0.0,28,0.018431
0.0,12,0.018765
0.0,10,0.019061
0.0,14,0.019452
0.0,69,0.021027
0.0,68,0.022605
0.0,19,0.023089
0.0,49,0.024241
0.0,35,0.025061
0.0,11,0.025396
0.0,30,0.026128
0.0,33,0.026939
0.0,24,0.027543
0.0,6,0.027742
0.0,21,0.028292
0.0,46,0.029372
0.0,16,0.029801
0.0,20,0.03031
0.0,11,0.030624
0.0,10,0.030917
0.0,10,0.031219
0.0,16,0.031643
0.0,28,0.032341
0.0,39,0.033328
0.0,45,0.034432
0.0,23,0.035012
0.0,9,0.035292
0.0,19,0.035786
0.0,13,0.036144
0.0,22,0.036706
0.0,19,0.037203
0.0,78,0.038959
0.0,6,0.039165
0.0,7,0.03942
0.0,40,0.040382
0.0,39,0.041329
0.0,22,0.041894
0.0,18,0.042382
0.0,13,0.042748
0.0,17,0.043205
0.0,10,0.043497
0.0,50,0.044658
0.0,14,0.045042
0.0,29,0.045749
0.0,11,0.046055
0.0,41,0.047033
0.0,4,0.047195
0.0,10,0.047492
0.0,2,0.047605
0.0,51,0.048817
0.0,5,0.048997
0.0,7,0.049229
0.0,13,0.049573
0.0,38,0.05048
0.0,25,0.051083
0.0,51,0.052307
0.0,36,0.053151
0.0,9,0.053431
0.0,35,0.054271
0.0,3,0.054408
0.0,7,0.054628
0.0,12,0.054956
0.0,11,0.055282
1.0,48,0.056417
0.0,35,0.057252
0.0,25,0.057874
0.0,15,0.058279
0.0,10,0.058578
0.0,14,0.058954
0.0,9,0.059243
0.0,10,0.059534
0.0,23,0.060096
0.0,32,0.060891
0.0,21,0.061428
0.0,26,0.062059
0.0,19,0.062551
0.0,28,0.063247
0.0,4,0.063401
0.0,24,0.064004
0.0,23,0.064591
0.0,6,0.064793
0.0,7,0.065008
0.0,43,0.06603
0.0,2,0.066144
0.0,42,0.067146
0.0,11,0.067462
0.0,37,0.06835
0.0,27,0.068997
0.0,2,0.069109
0.0,49,0.070248
0.0,27,0.070914
0.0,10,0.071213
0.0,16,0.071633
0.0,20,0.072138
0.0,19,0.072631
0.0,8,0.07289
0.0,5,0.073064
0.0,7,0.0733
0.0,37,0.07417
0.0,8,0.074417
0.0,2,0.074524
0.0,17,0.074964
0.0,6,0.075159
0.0,7,0.075383
0.0,5,0.075557
0.0,32,0.076345
0.0,2,0.076454
0.0,26,0.077094
0.0,10,0.077403
0.0,3,0.077534
0.0,34,0.078375
0.0,10,0.078659
0.0,7,0.078872
0.0,12,0.0792
0.0,6,0.079404
0.0,50,0.080568
0.0,28,0.081273
0.0,23,0.081865
0.0,16,0.082294
0.0,2,0.082403
0.0,5,0.082577
0.0,13,0.082935
0.0,11,0.08326
0.0,19,0.083741
0.0,39,0.084672
0.0,2,0.084783
0.0,12,0.085117
