#{"t_start": 1522149541.5660272, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.012399
0.0,4,0.012652
0.0,15,0.013145
0.0,3,0.01331
0.0,3,0.013467
0.0,15,0.013975
0.0,2,0.014105
0.0,2,0.014231
0.0,12,0.014658
0.0,5,0.014871
0.0,4,0.015052
0.0,6,0.015298
0.0,5,0.015538
0.0,7,0.015823
0.0,14,0.016304
0.0,16,0.016823
0.0,5,0.017035
0.0,100,0.019906
0.0,9,0.020252
0.0,5,0.020464
0.0,21,0.021132
0.0,8,0.021438
0.0,41,0.02267
0.0,10,0.023025
0.0,7,0.0233
0.0,16,0.023846
1.0,14,0.024307
0.0,33,0.0253
0.0,5,0.025543
0.0,11,0.025935
1.0,26,0.026748
1.0,16,0.027282
0.0,7,0.027567
1.0,24,0.028324
0.0,47,0.029707
1.0,9,0.030028
0.0,43,0.031491
0.0,44,0.032829
0.0,78,0.035067
0.0,20,0.035721
0.0,55,0.037318
0.0,7,0.037612
0.0,6,0.037859
1.0,19,0.038471
0.0,57,0.040153
0.0,12,0.040584
0.0,29,0.041475
0.0,2,0.041611
0.0,13,0.042051
0.0,20,0.042698
1.0,76,0.044869
0.0,9,0.045191
0.0,10,0.045567
0.0,3,0.04573
1.0,21,0.0464
0.0,21,0.047062
0.0,20,0.047709
1.0,22,0.048383
0.0,25,0.049188
0.0,52,0.050734
0.0,4,0.050919
0.0,7,0.051191
1.0,29,0.052089
0.0,2,0.052217
0.0,2,0.052343
1.0,14,0.05281
0.0,18,0.053402
0.0,13,0.053856
0.0,10,0.054212
1.0,42,0.055459
0.0,17,0.056015
0.0,22,0.056703
0.0,9,0.057034
1.0,23,0.057764
0.0,24,0.058524
0.0,8,0.058829
0.0,12,0.059247
0.0,24,0.060001
0.0,7,0.06027
1.0,9,0.060603
1.0,17,0.061139
0.0,24,0.0619
0.0,11,0.062291
1.0,10,0.062663
0.0,6,0.0629
1.0,25,0.06368
0.0,79,0.065949
0.0,4,0.066142
1.0,22,0.066836
0.0,19,0.067457
0.0,10,0.067825
1.0,26,0.06863
1.0,47,0.070052
0.0,6,0.070292
0.0,20,0.070922
1.0,24,0.071675
0.0,31,0.072634
1.0,34,0.07366
0.0,13,0.074094
0.0,23,0.074826
0.0,7,0.075092
0.0,2,0.075217
1.0,30,0.076116
0.0,8,0.076423
0.0,7,0.076708
0.0,13,0.077161
0.0,10,0.077525
1.0,22,0.078226
1.0,39,0.07939
0.0,10,0.079757
0.0,39,0.080921
0.0,17,0.081466
0.0,8,0.081768
0.0,33,0.082787
0.0,10,0.083145
0.0,43,0.084419
1.0,10,0.084782
1.0,23,0.085481
0.0,4,0.085678
0.0,31,0.086655
0.0,2,0.086782
0.0,38,0.087928
0.0,24,0.088686
0.0,2,0.088815
0.0,33,0.089842
0.0,13,0.090287
0.0,18,0.090873
0.0,16,0.091396
0.0,35,0.092487
0.0,38,0.093654
0.0,3,0.093817
0.0,13,0.094256
0.0,47,0.095644
1.0,36,0.09674
1.0,14,0.097196
0.0,34,0.098232
0.0,14,0.098707
1.0,47,0.100089
0.0,5,0.100299
0.0,13,0.100751
1.0,14,0.101215
0.0,53,0.102779
0.0,23,0.103496
1.0,21,0.104172
0.0,6,0.10441
1.0,24,0.105159
1.0,25,0.105945
0.0,17,0.106517
1.0,21,0.1072
0.0,23,0.107931
0.0,15,0.108439
0.0,8,0.108753
1.0,23,0.109477
0.0,44,0.110795
1.0,22,0.111496
1.0,13,0.111945
1.0,40,0.113156
0.0,4,0.113415
0.0,4,0.113625
0.0,57,0.115294
0.0,3,0.115451
1.0,26,0.116269
1.0,17,0.116842
0.0,2,0.116969
0.0,4,0.117151
0.0,31,0.118109
0.0,6,0.118356
0.0,23,0.119091
0.0,6,0.119343
0.0,11,0.11973
1.0,13,0.120171
0.0,3,0.120324
1.0,10,0.120695
0.0,6,0.120947
0.0,7,0.121212
0.0,28,0.122071
0.0,26,0.122876
0.0,17,0.12343
0.0,12,0.123881
1.0,13,0.124319
0.0,32,0.125303
0.0,24,0.126078
0.0,2,0.126211
0.0,7,0.126482
0.0,14,0.126972
0.0,5,0.127193
0.0,28,0.128055
0.0,14,0.12852
1.0,38,0.129662
0.0,5,0.129884
0.0,32,0.130874
0.0,14,0.131343
0.0,2,0.131469
0.0,21,0.132143
1.0,50,0.133623
0.0,22,0.13431
0.0,7,0.134593
0.0,5,0.134813
1.0,20,0.135445
0.0,11,0.135844
0.0,24,0.136611
1.0,26,0.137418
0.0,5,0.13765
0.0,27,0.13847
0.0,59,0.140204
0.0,55,0.141835
0.0,9,0.142165
0.0,34,0.143199
0.0,12,0.14362
0.0,3,0.143782
0.0,49,0.14526
0.0,47,0.146647
0.0,4,0.146832
0.0,18,0.147424
0.0,24,0.148216
0.0,7,0.148484
0.0,2,0.148645
0.0,23,0.149363
0.0,24,0.150119
1.0,31,0.151081
1.0,41,0.152327
0.0,9,0.152666
0.0,13,0.153103
0.0,36,0.15419
0.0,32,0.155165
0.0,9,0.155487
1.0,60,0.157242
0.0,10,0.157617
0.0,14,0.158087
0.0,14,0.158554
0.0,18,0.159127
0.0,31,0.160053
0.0,31,0.161011
0.0,27,0.161864
1.0,9,0.162194
0.0,31,0.163157
0.0,2,0.163285
0.0,4,0.163474
0.0,22,0.164159
0.0,31,0.165117
0.0,3,0.165274
0.0,4,0.165461
0.0,51,0.16696
0.0,9,0.167294
1.0,10,0.167664
0.0,11,0.168052
1.0,13,0.168499
1.0,8,0.168803
0.0,8,0.169103
0.0,68,0.171109
1.0,10,0.17146
0.0,9,0.171812
1.0,15,0.172301
0.0,34,0.173353
1.0,11,0.173755
0.0,42,0.175005
0.0,20,0.175654
0.0,24,0.176422
0.0,16,0.176966
0.0,5,0.177181
0.0,5,0.177404
0.0,4,0.177605
0.0,24,0.178349
1.0,11,0.178736
0.0,18,0.179323
0.0,14,0.17981
1.0,29,0.180711
0.0,16,0.18124
0.0,7,0.181523
1.0,21,0.182176
0.0,25,0.182965
0.0,50,0.184439
0.0,4,0.184635
1.0,24,0.185386
0.0,30,0.186304
0.0,11,0.186702
0.0,29,0.187597
0.0,5,0.187809
0.0,10,0.188155
0.0,13,0.188594
0.0,20,0.189238
0.0,12,0.189672
0.0,21,0.190328
0.0,6,0.190586
0.0,25,0.191365
0.0,12,0.191787
1.0,18,0.192354
0.0,21,0.193031
0.0,15,0.193546
0.0,2,0.193681
0.0,9,0.194008
0.0,41,0.19524
0.0,53,0.196804
0.0,9,0.197137
0.0,5,0.197353
0.0,27,0.1982
0.0,12,0.198617
0.0,33,0.199618
0.0,91,0.202256
0.0,7,0.202542
0.0,39,0.203696
0.0,27,0.204523
0.0,13,0.20496
0.0,22,0.205657
0.0,21,0.206316
0.0,15,0.206833
1.0,11,0.20721
1.0,8,0.207528
1.0,49,0.208975
1.0,32,0.209925
0.0,25,0.210721
1.0,33,0.211715
0.0,29,0.212623
0.0,15,0.213102
0.0,12,0.213521
1.0,46,0.214962
0.0,5,0.215185
1.0,17,0.215753
0.0,35,0.21681
0.0,11,0.217201
0.0,22,0.21791
0.0,6,0.218149
1.0,29,0.219043
1.0,24,0.219798
0.0,14,0.220263
0.0,44,0.221596
0.0,15,0.222097
0.0,50,0.223569
0.0,4,0.223753
0.0,11,0.22414
0.0,6,0.224387
1.0,18,0.224957
0.0,4,0.225142
0.0,10,0.225507
1.0,10,0.225863
1.0,7,0.226131
0.0,12,0.226568
1.0,11,0.226949
0.0,3,0.2271
0.0,25,0.227878
0.0,22,0.228584
0.0,4,0.228782
1.0,16,0.229297
0.0,7,0.229581
0.0,50,0.231032
0.0,28,0.231902
0.0,15,0.232395
1.0,41,0.233641
0.0,2,0.233773
0.0,7,0.234041
0.0,13,0.234472
0.0,32,0.235437
0.0,7,0.235723
0.0,5,0.235934
0.0,41,0.237158
0.0,5,0.237379
0.0,8,0.23769
1.0,15,0.238173
1.0,28,0.239027
1.0,22,0.239724
0.0,23,0.240439
0.0,32,0.241414
0.0,29,0.242306
0.0,10,0.242673
0.0,31,0.243626
0.0,26,0.244431
0.0,35,0.245481
1.0,27,0.246309
0.0,12,0.246732
0.0,7,0.247007
0.0,3,0.247167
0.0,9,0.247486
0.0,85,0.249914
0.0,31,0.250867
0.0,26,0.251683
0.0,51,0.253172
0.0,2,0.253305
0.0,12,0.253746
0.0,24,0.254495
1.0,26,0.255311
0.0,34,0.25635
0.0,22,0.257042
1.0,27,0.257877
0.0,2,0.258009
0.0,43,0.2593
0.0,14,0.25978
0.0,89,0.262298
0.0,28,0.263157
1.0,10,0.263514
0.0,11,0.263897
0.0,15,0.264392
0.0,12,0.264826
0.0,31,0.265776
0.0,22,0.266448
0.0,37,0.26757
0.0,28,0.268425
0.0,25,0.269181
0.0,9,0.269515
0.0,40,0.270718
1.0,17,0.271272
0.0,7,0.271553
0.0,39,0.272713
0.0,19,0.273319
0.0,19,0.273941
0.0,18,0.274508
0.0,9,0.274844
0.0,28,0.27571
0.0,9,0.276041
0.0,19,0.276661
0.0,48,0.278075
0.0,24,0.278827
0.0,25,0.279623
0.0,20,0.280275
0.0,31,0.281234
0.0,12,0.281669
1.0,40,0.282879
0.0,3,0.283036
0.0,13,0.283489
0.0,33,0.284486
0.0,12,0.284912
0.0,2,0.285043
0.0,26,0.285847
0.0,8,0.286148
0.0,33,0.287138
1.0,20,0.287819
0.0,2,0.287951
0.0,4,0.288142
0.0,29,0.289039
0.0,12,0.289442
1.0,17,0.289997
0.0,34,0.291035
1.0,18,0.291614
1.0,40,0.29281
0.0,24,0.293567
0.0,41,0.29479
