#{"t_start": 1522157418.2434707, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,55,0.066128
0.0,79,0.06972
0.0,25,0.070887
0.0,19,0.071786
0.0,73,0.077003
0.0,100,0.085526
0.0,52,0.087883
0.0,49,0.095113
0.0,9,0.095604
0.0,44,0.097594
0.0,30,0.103993
0.0,11,0.104563
0.0,50,0.106806
0.0,44,0.113814
0.0,79,0.117315
0.0,21,0.118309
1.0,26,0.124548
0.0,100,0.133983
0.0,7,0.134384
1.0,27,0.13563
0.0,4,0.135877
0.0,2,0.136034
0.0,2,0.13619
0.0,8,0.136624
0.0,9,0.137087
0.0,8,0.137518
0.0,10,0.138024
0.0,7,0.139319
0.0,5,0.139615
0.0,24,0.140728
0.0,42,0.142619
0.0,84,0.146326
0.0,100,0.150714
0.0,14,0.151409
0.0,5,0.151698
0.0,2,0.151858
0.0,24,0.152972
0.0,15,0.153705
1.0,23,0.154779
0.0,5,0.155065
0.0,19,0.155968
0.0,17,0.156787
0.0,2,0.156947
0.0,21,0.157931
1.0,12,0.158553
1.0,10,0.159054
0.0,24,0.160169
0.0,13,0.160813
1.0,12,0.161415
1.0,18,0.162258
1.0,18,0.163108
1.0,56,0.169778
0.0,11,0.171065
0.0,17,0.171901
1.0,36,0.176408
0.0,61,0.179147
0.0,23,0.180228
1.0,21,0.185426
0.0,4,0.185685
0.0,6,0.186019
1.0,41,0.187884
0.0,13,0.18853
0.0,23,0.194458
1.0,30,0.195851
1.0,29,0.197177
0.0,14,0.197866
0.0,4,0.198114
0.0,4,0.202546
0.0,19,0.2043
0.0,24,0.205429
0.0,8,0.205853
1.0,15,0.206587
0.0,4,0.206831
0.0,2,0.206995
0.0,3,0.207196
0.0,49,0.214446
0.0,24,0.215589
0.0,67,0.222747
0.0,15,0.224355
0.0,15,0.22509
0.0,19,0.226129
0.0,3,0.226491
0.0,36,0.228154
1.0,11,0.233025
0.0,10,0.234493
0.0,16,0.235272
0.0,6,0.23562
1.0,25,0.236773
0.0,12,0.237374
1.0,7,0.237758
1.0,34,0.244332
0.0,45,0.246378
1.0,28,0.247671
0.0,10,0.248173
0.0,11,0.252882
1.0,38,0.255503
0.0,8,0.255927
0.0,33,0.257439
0.0,6,0.25777
1.0,47,0.264905
0.0,11,0.265478
0.0,20,0.266422
0.0,77,0.274862
0.0,14,0.276415
1.0,27,0.277666
0.0,20,0.278608
0.0,3,0.278812
0.0,2,0.278974
0.0,2,0.279129
0.0,28,0.285049
0.0,31,0.286479
0.0,18,0.287321
0.0,35,0.288918
1.0,13,0.294015
0.0,11,0.294583
1.0,44,0.296576
1.0,26,0.297777
1.0,12,0.302972
0.0,23,0.304489
1.0,13,0.305119
0.0,35,0.306714
0.0,4,0.306958
0.0,48,0.314139
0.0,25,0.315309
0.0,15,0.316029
0.0,2,0.316186
0.0,10,0.316706
0.0,68,0.321391
0.0,11,0.321943
0.0,10,0.32246
1.0,16,0.323221
1.0,38,0.32495
0.0,18,0.325807
0.0,74,0.329081
0.0,21,0.330064
0.0,11,0.330626
0.0,6,0.330958
1.0,46,0.333017
1.0,34,0.334571
0.0,32,0.336034
1.0,33,0.337549
0.0,32,0.339008
1.0,32,0.340474
0.0,14,0.341151
0.0,3,0.341354
0.0,6,0.341692
0.0,4,0.341942
0.0,13,0.342587
0.0,24,0.343718
0.0,36,0.345354
0.0,2,0.345523
1.0,23,0.350768
1.0,30,0.352228
1.0,31,0.356983
0.0,53,0.359355
0.0,14,0.360045
0.0,7,0.360429
0.0,15,0.361147
0.0,6,0.366215
0.0,6,0.366576
0.0,8,0.366991
0.0,18,0.36785
1.0,24,0.368969
0.0,13,0.36962
1.0,24,0.375058
0.0,15,0.37643
0.0,11,0.376983
0.0,11,0.377552
0.0,5,0.377839
0.0,27,0.379083
0.0,63,0.386593
0.0,13,0.387257
0.0,34,0.39218
0.0,21,0.393194
0.0,5,0.395265
0.0,12,0.395874
1.0,28,0.397173
1.0,21,0.398165
0.0,12,0.398769
1.0,24,0.404153
0.0,100,0.414008
0.0,37,0.41579
0.0,5,0.416083
1.0,19,0.416984
0.0,25,0.418145
0.0,5,0.418451
1.0,13,0.419087
0.0,28,0.420383
1.0,20,0.421321
1.0,32,0.422783
1.0,17,0.423598
0.0,94,0.427666
0.0,38,0.429409
0.0,12,0.430001
0.0,28,0.431301
0.0,60,0.433969
1.0,40,0.435746
1.0,50,0.437956
1.0,32,0.439435
0.0,10,0.43994
0.0,26,0.441153
1.0,18,0.442008
1.0,20,0.442947
0.0,6,0.443272
1.0,29,0.444588
0.0,8,0.444997
0.0,19,0.44587
0.0,2,0.446027
1.0,25,0.447151
1.0,18,0.448004
1.0,15,0.448742
0.0,20,0.449697
1.0,9,0.450159
1.0,15,0.450897
0.0,6,0.451228
0.0,24,0.452345
0.0,32,0.453787
0.0,12,0.454369
0.0,39,0.456087
1.0,20,0.457007
0.0,24,0.458114
1.0,24,0.459264
0.0,4,0.459521
1.0,49,0.461737
0.0,10,0.462245
0.0,4,0.462498
0.0,22,0.463516
1.0,36,0.465107
0.0,4,0.465344
1.0,30,0.466688
0.0,13,0.467305
1.0,19,0.468199
0.0,21,0.469197
0.0,10,0.469711
0.0,17,0.470536
0.0,45,0.472564
0.0,19,0.473448
0.0,10,0.473939
0.0,6,0.474261
0.0,43,0.476154
0.0,17,0.477048
0.0,28,0.478349
1.0,24,0.479498
0.0,21,0.480493
0.0,12,0.481086
0.0,27,0.482327
0.0,37,0.483965
0.0,13,0.484593
1.0,34,0.486098
0.0,48,0.488217
0.0,23,0.48929
0.0,25,0.490466
0.0,12,0.491059
0.0,12,0.491651
0.0,29,0.492941
0.0,50,0.495128
0.0,7,0.495507
0.0,15,0.49623
0.0,38,0.497951
0.0,24,0.499074
1.0,22,0.500104
0.0,5,0.500406
0.0,46,0.502496
1.0,32,0.503966
1.0,14,0.504655
0.0,30,0.506028
0.0,12,0.506629
1.0,40,0.50844
0.0,8,0.50886
0.0,9,0.509321
0.0,35,0.51093
0.0,17,0.511751
0.0,87,0.515617
1.0,16,0.516391
0.0,10,0.516897
0.0,6,0.517228
1.0,24,0.518337
0.0,51,0.520633
1.0,43,0.522585
0.0,23,0.523666
0.0,75,0.526992
0.0,52,0.529315
0.0,16,0.530089
0.0,18,0.530956
1.0,29,0.532285
0.0,48,0.534463
0.0,19,0.535349
1.0,38,0.537082
0.0,12,0.537684
1.0,34,0.539226
0.0,8,0.539657
0.0,31,0.541068
0.0,15,0.541794
0.0,26,0.543015
0.0,33,0.54454
1.0,46,0.546609
0.0,15,0.547328
0.0,36,0.548963
0.0,8,0.549393
0.0,2,0.549551
0.0,3,0.549754
0.0,12,0.550343
0.0,5,0.550645
1.0,39,0.552409
0.0,55,0.554871
0.0,11,0.555425
0.0,36,0.55705
1.0,12,0.557652
0.0,15,0.558385
0.0,44,0.560362
1.0,72,0.563582
0.0,7,0.563962
0.0,5,0.56425
0.0,38,0.566102
0.0,35,0.567879
1.0,35,0.569537
0.0,7,0.570008
0.0,28,0.571417
0.0,15,0.572157
0.0,13,0.572784
0.0,16,0.573563
1.0,18,0.574405
0.0,17,0.575197
0.0,10,0.575711
0.0,25,0.576965
0.0,23,0.57842
0.0,2,0.578633
1.0,8,0.579051
0.0,24,0.580184
0.0,3,0.580401
1.0,11,0.580951
1.0,38,0.582729
0.0,56,0.585252
0.0,18,0.58612
0.0,4,0.58638
0.0,11,0.58693
1.0,18,0.587793
0.0,24,0.588911
0.0,9,0.589386
0.0,19,0.590282
1.0,47,0.592404
0.0,7,0.592773
0.0,37,0.594438
0.0,2,0.594595
0.0,11,0.595154
0.0,4,0.595417
0.0,17,0.596252
0.0,20,0.59739
1.0,13,0.598085
0.0,3,0.598305
1.0,12,0.598917
0.0,9,0.599422
0.0,10,0.599954
0.0,18,0.60085
1.0,20,0.601812
0.0,32,0.603302
0.0,5,0.603616
0.0,38,0.60533
0.0,10,0.605857
0.0,16,0.606633
0.0,29,0.607965
1.0,46,0.610043
0.0,43,0.611976
0.0,4,0.612217
0.0,29,0.613559
1.0,70,0.616898
0.0,6,0.617476
0.0,8,0.617933
0.0,7,0.618333
0.0,22,0.619353
0.0,10,0.619863
0.0,7,0.620225
0.0,11,0.620769
0.0,21,0.621743
0.0,12,0.622319
0.0,41,0.624263
0.0,15,0.625087
0.0,5,0.625407
0.0,9,0.625872
0.0,4,0.626116
1.0,40,0.627959
0.0,56,0.630511
0.0,8,0.630948
0.0,17,0.631765
0.0,68,0.634808
0.0,31,0.636247
0.0,17,0.637056
0.0,3,0.63727
1.0,41,0.639326
1.0,8,0.640026
0.0,2,0.640218
0.0,10,0.640824
0.0,2,0.641032
0.0,74,0.644284
1.0,9,0.644754
0.0,14,0.645423
0.0,9,0.645878
0.0,29,0.647339
0.0,32,0.649046
0.0,30,0.650455
1.0,13,0.65107
0.0,36,0.652673
0.0,12,0.653249
0.0,4,0.653566
0.0,35,0.65512
0.0,49,0.657319
1.0,21,0.658291
0.0,12,0.658883
1.0,24,0.659967
0.0,13,0.660602
0.0,12,0.661179
1.0,14,0.661846
0.0,5,0.66213
0.0,4,0.662379
0.0,26,0.66356
1.0,41,0.665378
0.0,3,0.665577
0.0,13,0.666192
1.0,25,0.667322
1.0,18,0.668151
0.0,10,0.668659
0.0,63,0.671418
0.0,4,0.671658
0.0,19,0.672535
0.0,9,0.672986
1.0,20,0.67392
0.0,15,0.674638
0.0,28,0.675899
0.0,8,0.67631
0.0,9,0.676774
1.0,15,0.67749
1.0,40,0.679333
1.0,28,0.680594
0.0,3,0.680791
0.0,2,0.680945
0.0,67,0.683852
1.0,67,0.686764
0.0,21,0.687724
0.0,5,0.688005
1.0,14,0.688675
0.0,25,0.689801
0.0,21,0.690767
0.0,5,0.69105
1.0,32,0.692484
0.0,31,0.693866
0.0,11,0.69441
0.0,6,0.694734
1.0,9,0.695177
0.0,9,0.695641
0.0,5,0.695921
0.0,5,0.696203
0.0,11,0.696745
0.0,2,0.696902
0.0,24,0.697984
0.0,21,0.698944
0.0,23,0.699988
0.0,27,0.701204
0.0,15,0.701911
0.0,36,0.703513
0.0,31,0.704887
0.0,48,0.706991
0.0,4,0.707231
0.0,44,0.709284
0.0,39,0.711375
1.0,11,0.712025
0.0,8,0.712453
1.0,41,0.714253
1.0,14,0.714923
1.0,15,0.715674
0.0,82,0.719424
1.0,14,0.720159
1.0,40,0.721923
1.0,41,0.723738
1.0,29,0.725158
0.0,35,0.726986
0.0,15,0.727867
0.0,14,0.72861
0.0,28,0.729871
0.0,14,0.73054
0.0,17,0.731325
0.0,70,0.734465
0.0,15,0.735278
1.0,24,0.736573
0.0,17,0.737488
0.0,13,0.738182
0.0,31,0.739736
0.0,7,0.740192
0.0,18,0.741181
0.0,13,0.741897
0.0,7,0.742305
0.0,22,0.743421
1.0,30,0.744807
0.0,50,0.747058
0.0,10,0.74758
1.0,14,0.74825
1.0,51,0.750629
0.0,9,0.751138
0.0,56,0.753668
1.0,32,0.755141
0.0,15,0.755874
0.0,79,0.759395
1.0,17,0.76024
0.0,34,0.761803
1.0,23,0.762882
1.0,27,0.764141
0.0,2,0.764309
1.0,40,0.766135
0.0,7,0.766531
0.0,100,0.770948
0.0,27,0.772226
0.0,56,0.774765
0.0,7,0.77516
0.0,3,0.775375
1.0,16,0.776132
1.0,7,0.77652
0.0,43,0.778458
0.0,25,0.779746
1.0,20,0.780701
0.0,41,0.78257
0.0,49,0.784783
1.0,9,0.785253
1.0,11,0.785813
1.0,18,0.786677
1.0,32,0.788136
0.0,23,0.789222
0.0,16,0.789998
0.0,12,0.790606
0.0,82,0.79421
1.0,64,0.797148
1.0,16,0.798165
1.0,97,0.802534
1.0,30,0.803909
0.0,26,0.805152
0.0,9,0.805691
1.0,47,0.80798
0.0,20,0.809062
0.0,24,0.81015
0.0,36,0.811751
1.0,34,0.813319
0.0,13,0.814049
0.0,7,0.814477
0.0,12,0.815107
1.0,13,0.815822
0.0,5,0.816148
0.0,48,0.818451
0.0,20,0.819455
0.0,13,0.820091
0.0,15,0.820849
0.0,4,0.821125
0.0,5,0.821459
1.0,73,0.824895
0.0,2,0.825144
0.0,16,0.825929
1.0,43,0.827893
1.0,24,0.829021
1.0,12,0.829636
0.0,6,0.829977
0.0,37,0.831675
0.0,6,0.832017
0.0,29,0.833349
0.0,33,0.834889
0.0,28,0.836181
0.0,4,0.836438
0.0,51,0.838729
1.0,10,0.839244
0.0,7,0.839636
0.0,37,0.84132
0.0,16,0.842103
0.0,10,0.842618
1.0,96,0.846881
1.0,62,0.849683
1.0,22,0.85073
0.0,19,0.851638
0.0,3,0.851845
0.0,39,0.853624
0.0,31,0.855053
1.0,11,0.855619
1.0,12,0.856204
0.0,36,0.857849
0.0,26,0.859052
0.0,6,0.859401
0.0,50,0.861655
0.0,55,0.864132
0.0,3,0.864345
0.0,18,0.865202
0.0,6,0.865553
0.0,10,0.86606
0.0,17,0.866876
0.0,4,0.867123
0.0,31,0.868566
0.0,11,0.869172
0.0,26,0.870553
0.0,35,0.872475
0.0,6,0.872985
0.0,8,0.873486
0.0,6,0.873821
0.0,9,0.874273
1.0,6,0.874609
0.0,30,0.875955
1.0,19,0.876842
0.0,20,0.877764
0.0,7,0.878129
0.0,14,0.878868
0.0,7,0.879461
0.0,2,0.879617
0.0,33,0.881213
0.0,8,0.881803
0.0,14,0.882576
0.0,9,0.883144
0.0,13,0.88384
1.0,9,0.884287
1.0,9,0.884742
0.0,44,0.886674
0.0,30,0.888185
1.0,16,0.889123
0.0,11,0.889783
1.0,48,0.892078
0.0,7,0.892494
0.0,2,0.892649
0.0,27,0.893873
0.0,41,0.895673
0.0,33,0.897237
0.0,8,0.89775
0.0,10,0.898285
1.0,13,0.898974
0.0,4,0.899266
0.0,6,0.899649
0.0,64,0.902474
0.0,56,0.904936
0.0,6,0.905287
1.0,43,0.907386
1.0,30,0.908907
0.0,4,0.909156
0.0,43,0.911174
0.0,2,0.911469
1.0,11,0.912024
1.0,15,0.912757
0.0,8,0.913181
1.0,15,0.913927
1.0,14,0.914629
0.0,22,0.915662
0.0,53,0.91804
0.0,2,0.918211
1.0,16,0.918986
0.0,46,0.921062
0.0,15,0.921809
0.0,8,0.922231
0.0,3,0.922446
1.0,19,0.923327
1.0,17,0.924144
0.0,31,0.925575
0.0,23,0.926646
1.0,22,0.927675
1.0,49,0.929874
0.0,15,0.930607
1.0,53,0.932973
1.0,19,0.933903
0.0,9,0.93439
0.0,3,0.9346
0.0,4,0.934856
0.0,23,0.935984
0.0,11,0.936589
1.0,9,0.93707
0.0,2,0.937235
0.0,32,0.938746
0.0,45,0.940737
0.0,50,0.942923
0.0,28,0.944247
0.0,27,0.945591
0.0,11,0.946192
0.0,8,0.946644
0.0,23,0.947781
0.0,13,0.948478
0.0,14,0.949141
0.0,8,0.949562
1.0,91,0.953506
0.0,17,0.954401
0.0,15,0.955195
0.0,10,0.955777
0.0,38,0.957651
0.0,23,0.958903
0.0,31,0.960291
0.0,62,0.962991
0.0,7,0.963388
0.0,49,0.965762
0.0,12,0.966627
0.0,26,0.967991
1.0,40,0.969901
0.0,34,0.971412
0.0,10,0.971905
0.0,67,0.975006
0.0,80,0.979005
0.0,42,0.981056
0.0,31,0.982459
1.0,13,0.983078
0.0,21,0.98419
1.0,32,0.985954
0.0,9,0.986634
0.0,5,0.986979
1.0,28,0.988427
1.0,20,0.989399
1.0,38,0.991076
0.0,16,0.991856
1.0,18,0.992698
0.0,13,0.993312
0.0,11,0.99393
0.0,12,0.994633
0.0,32,0.996282
0.0,22,0.997588
0.0,19,0.998655
0.0,10,0.999164
1.0,30,1.000512
0.0,8,1.000922
0.0,9,1.001378
1.0,18,1.002206
1.0,15,1.002919
1.0,34,1.004597
1.0,47,1.007011
0.0,26,1.008266
0.0,33,1.009742
0.0,3,1.009942
1.0,16,1.010698
0.0,36,1.012285
0.0,9,1.012751
0.0,30,1.014098
0.0,18,1.014942
1.0,12,1.015529
0.0,92,1.019512
0.0,24,1.020614
0.0,15,1.021316
0.0,22,1.02232
1.0,18,1.023158
0.0,28,1.024438
0.0,29,1.025761
0.0,42,1.027625
0.0,15,1.028323
0.0,23,1.029386
0.0,8,1.029794
0.0,42,1.031651
0.0,6,1.031978
1.0,39,1.033714
1.0,9,1.034166
0.0,4,1.034419
0.0,16,1.035163
0.0,49,1.037303
0.0,22,1.038296
0.0,26,1.039482
1.0,59,1.042057
0.0,75,1.04533
0.0,19,1.04621
0.0,16,1.046973
0.0,46,1.048998
0.0,8,1.049416
0.0,37,1.051049
0.0,36,1.052645
0.0,23,1.0537
0.0,70,1.056743
0.0,4,1.056988
0.0,22,1.057983
0.0,5,1.058264
0.0,41,1.060062
0.0,28,1.061323
0.0,4,1.061576
0.0,11,1.062109
0.0,38,1.063792
0.0,17,1.06459
0.0,3,1.064788
0.0,4,1.065026
1.0,38,1.066707
1.0,11,1.067235
0.0,12,1.067821
0.0,30,1.069166
0.0,42,1.071027
1.0,21,1.07199
0.0,43,1.073887
0.0,6,1.074215
0.0,3,1.074427
0.0,25,1.075555
0.0,91,1.079474
0.0,12,1.080155
0.0,6,1.080492
0.0,21,1.081451
0.0,4,1.08169
0.0,24,1.08278
0.0,41,1.084746
1.0,54,1.087108
0.0,37,1.088758
0.0,41,1.090561
0.0,10,1.091054
0.0,4,1.091293
0.0,16,1.092043
0.0,25,1.093175
0.0,28,1.094455
0.0,41,1.096245
0.0,32,1.097679
1.0,22,1.098684
0.0,23,1.099722
0.0,15,1.100442
0.0,21,1.101399
1.0,23,1.102441
0.0,6,1.102766
1.0,13,1.103394
0.0,89,1.107203
0.0,23,1.108263
1.0,16,1.109028
0.0,48,1.111159
0.0,8,1.111582
1.0,33,1.113047
0.0,42,1.114906
0.0,21,1.115866
0.0,21,1.116832
0.0,19,1.117713
0.0,28,1.11897
0.0,21,1.119933
0.0,10,1.120435
0.0,6,1.120757
0.0,7,1.121124
0.0,20,1.122046
0.0,40,1.123821
0.0,82,1.127523
0.0,32,1.129265
0.0,16,1.130248
1.0,13,1.131033
1.0,97,1.135848
1.0,12,1.136699
0.0,26,1.138072
0.0,32,1.139788
0.0,22,1.141017
0.0,6,1.141447
1.0,18,1.142338
1.0,44,1.144581
0.0,20,1.145716
0.0,37,1.147641
0.0,38,1.149644
0.0,19,1.150755
0.0,21,1.151915
0.0,12,1.152534
0.0,54,1.154915
0.0,44,1.156908
1.0,15,1.157645
0.0,10,1.158152
1.0,69,1.161243
0.0,51,1.163578
0.0,13,1.164215
1.0,20,1.165155
0.0,40,1.16697
1.0,12,1.167575
0.0,28,1.168861
0.0,13,1.169512
0.0,33,1.171016
0.0,15,1.171753
1.0,7,1.172125
0.0,24,1.173239
0.0,48,1.175422
0.0,9,1.175883
1.0,27,1.17713
0.0,28,1.178427
1.0,65,1.181304
1.0,22,1.18234
0.0,7,1.182723
1.0,15,1.183461
0.0,39,1.185231
1.0,16,1.186006
1.0,16,1.186907
0.0,17,1.187732
1.0,19,1.188637
1.0,36,1.190281
0.0,5,1.190583
0.0,11,1.191131
1.0,22,1.192191
0.0,26,1.193408
1.0,56,1.195912
0.0,47,1.198033
0.0,12,1.198636
0.0,30,1.200016
0.0,26,1.201236
0.0,7,1.201627
0.0,21,1.202617
0.0,20,1.203571
0.0,28,1.204858
0.0,23,1.205937
0.0,41,1.207796
1.0,9,1.208259
1.0,25,1.209428
1.0,30,1.210797
0.0,44,1.212776
0.0,39,1.214782
1.0,15,1.215565
0.0,3,1.215762
0.0,16,1.216513
0.0,84,1.220456
0.0,23,1.221606
