#{"t_start": 1522157047.9810212, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.058086
0.0,2,0.05835
0.0,3,0.058663
0.0,1,0.058826
0.0,3,0.059125
0.0,5,0.059565
0.0,12,0.060448
0.0,4,0.060812
0.0,4,0.061172
0.0,14,0.061994
0.0,9,0.062461
0.0,7,0.062828
0.0,1,0.062939
0.0,2,0.063093
1.0,10,0.063601
0.0,19,0.064491
0.0,21,0.065459
0.0,11,0.065997
0.0,64,0.068807
1.0,44,0.070757
0.0,3,0.070954
1.0,16,0.071715
1.0,52,0.074
1.0,23,0.075046
0.0,33,0.076527
0.0,25,0.077667
0.0,5,0.077951
0.0,10,0.078458
0.0,7,0.078828
1.0,18,0.079673
0.0,23,0.080725
1.0,53,0.083064
1.0,10,0.083574
1.0,48,0.085691
0.0,7,0.086059
1.0,87,0.089845
0.0,6,0.090171
1.0,40,0.091961
0.0,35,0.093532
1.0,58,0.096066
0.0,28,0.09733
1.0,13,0.097958
0.0,5,0.098238
0.0,3,0.098448
0.0,2,0.098604
1.0,40,0.100378
1.0,33,0.101867
0.0,7,0.102237
1.0,9,0.102699
1.0,22,0.103714
0.0,1,0.103827
1.0,15,0.104542
0.0,45,0.106533
1.0,18,0.107376
1.0,38,0.109073
0.0,15,0.109791
0.0,18,0.110639
0.0,12,0.111219
0.0,29,0.112544
0.0,18,0.113385
1.0,16,0.114139
1.0,12,0.114729
0.0,4,0.114971
0.0,1,0.115081
1.0,47,0.117175
1.0,43,0.119088
0.0,64,0.121895
0.0,30,0.123241
1.0,39,0.124981
0.0,61,0.127666
1.0,9,0.128122
0.0,3,0.128319
0.0,34,0.129847
0.0,2,0.130005
0.0,7,0.130384
1.0,55,0.132814
0.0,10,0.133307
0.0,20,0.134225
0.0,1,0.134336
1.0,15,0.135053
1.0,34,0.136587
0.0,75,0.139865
0.0,36,0.141492
1.0,42,0.143345
0.0,3,0.14355
1.0,33,0.145029
1.0,79,0.148476
0.0,1,0.148587
1.0,22,0.149594
1.0,23,0.150651
1.0,26,0.151839
0.0,13,0.152475
1.0,20,0.153399
0.0,5,0.153684
0.0,6,0.154008
1.0,9,0.15447
1.0,25,0.155611
1.0,51,0.157852
1.0,11,0.158459
0.0,21,0.159438
0.0,7,0.159803
0.0,57,0.162315
1.0,21,0.163296
1.0,16,0.164053
0.0,38,0.165752
0.0,7,0.166118
1.0,27,0.167344
1.0,8,0.167763
1.0,9,0.168219
0.0,8,0.168638
1.0,21,0.169619
0.0,20,0.170547
0.0,26,0.171741
1.0,15,0.172457
0.0,1,0.172569
1.0,44,0.174529
0.0,2,0.174683
0.0,10,0.175176
0.0,12,0.175766
0.0,3,0.175966
1.0,33,0.177451
1.0,17,0.178241
1.0,9,0.178703
1.0,19,0.1796
1.0,25,0.180737
0.0,2,0.180891
1.0,53,0.183232
1.0,45,0.185239
1.0,19,0.186128
1.0,25,0.187267
0.0,3,0.187478
1.0,12,0.188057
0.0,7,0.188433
1.0,46,0.19047
0.0,13,0.191095
0.0,7,0.191478
1.0,10,0.191976
0.0,19,0.192862
1.0,13,0.193502
0.0,1,0.193612
1.0,78,0.197031
0.0,8,0.197458
1.0,52,0.199742
0.0,15,0.200456
0.0,6,0.200783
0.0,19,0.201677
1.0,36,0.203282
1.0,17,0.204083
1.0,32,0.20553
0.0,1,0.205642
1.0,18,0.206483
1.0,48,0.208601
0.0,37,0.210244
1.0,16,0.211009
0.0,14,0.211687
1.0,8,0.212096
1.0,40,0.213881
1.0,20,0.214815
1.0,19,0.215705
1.0,45,0.217706
0.0,22,0.21872
1.0,7,0.219086
