#{"t_start": 1522150981.4396062, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.00997
0.0,1,0.010101
0.0,13,0.010531
0.0,3,0.010664
0.0,18,0.011154
0.0,26,0.011788
0.0,39,0.012727
0.0,40,0.013718
0.0,4,0.013881
0.0,11,0.01421
0.0,14,0.014582
0.0,9,0.014842
0.0,15,0.015253
0.0,10,0.015541
0.0,13,0.015902
0.0,9,0.016181
0.0,31,0.016928
0.0,14,0.017324
1.0,36,0.018209
0.0,19,0.018695
0.0,99,0.020946
0.0,23,0.021544
0.0,6,0.021741
0.0,62,0.023195
0.0,100,0.025535
0.0,3,0.025669
0.0,2,0.025774
0.0,1,0.025853
0.0,3,0.025987
0.0,23,0.026596
0.0,11,0.026916
0.0,4,0.027074
0.0,8,0.027321
0.0,100,0.029671
0.0,10,0.029958
0.0,10,0.030252
0.0,27,0.030923
0.0,7,0.031168
0.0,40,0.032146
0.0,11,0.03246
0.0,10,0.032752
0.0,41,0.033747
0.0,100,0.036076
0.0,37,0.037007
0.0,8,0.037286
0.0,67,0.038887
0.0,100,0.041237
0.0,31,0.041985
0.0,16,0.042429
0.0,3,0.04256
0.0,2,0.042665
0.0,13,0.043019
0.0,4,0.043179
0.0,3,0.043308
0.0,15,0.043707
0.0,7,0.043929
0.0,25,0.044551
0.0,51,0.045776
0.0,26,0.046438
0.0,33,0.047257
0.0,5,0.047432
0.0,1,0.047512
0.0,6,0.047719
0.0,9,0.047982
0.0,2,0.048101
0.0,13,0.048462
0.0,6,0.048656
0.0,11,0.048963
0.0,16,0.049396
0.0,10,0.049699
0.0,28,0.050404
0.0,78,0.05223
0.0,12,0.052563
0.0,12,0.052913
0.0,9,0.053193
1.0,13,0.05356
1.0,7,0.053785
0.0,10,0.054085
0.0,13,0.054446
1.0,15,0.054847
0.0,6,0.055039
0.0,10,0.055346
0.0,25,0.055975
0.0,49,0.057131
0.0,5,0.057306
0.0,30,0.058054
0.0,9,0.058336
0.0,23,0.058914
0.0,3,0.059041
0.0,2,0.059157
0.0,7,0.059387
0.0,6,0.059587
0.0,4,0.059745
0.0,7,0.059968
0.0,7,0.060205
0.0,33,0.061014
0.0,4,0.061181
0.0,5,0.061356
0.0,29,0.062094
0.0,1,0.062177
0.0,21,0.062718
0.0,10,0.063004
0.0,7,0.063236
0.0,8,0.063476
0.0,43,0.064497
0.0,15,0.064892
0.0,11,0.065215
0.0,12,0.065555
0.0,23,0.066143
0.0,95,0.068316
0.0,21,0.068848
0.0,14,0.069261
0.0,30,0.070015
0.0,12,0.070366
0.0,10,0.070657
0.0,3,0.070791
0.0,5,0.07097
0.0,23,0.071569
0.0,5,0.071748
0.0,43,0.072792
0.0,4,0.072955
0.0,33,0.073776
0.0,6,0.073979
0.0,27,0.074656
0.0,9,0.074917
0.0,14,0.075307
0.0,6,0.075512
0.0,2,0.075624
0.0,5,0.075798
0.0,1,0.075881
0.0,19,0.07639
1.0,38,0.077326
0.0,11,0.077644
0.0,13,0.078014
0.0,40,0.078992
0.0,15,0.079408
0.0,18,0.07988
0.0,54,0.081195
0.0,11,0.081503
1.0,33,0.082302
0.0,21,0.082826
0.0,3,0.082957
0.0,31,0.083738
0.0,38,0.084641
0.0,46,0.085758
0.0,13,0.086122
0.0,4,0.086275
0.0,4,0.086425
0.0,15,0.086814
0.0,11,0.087136
0.0,1,0.08722
0.0,7,0.087448
0.0,12,0.087792
0.0,17,0.088252
0.0,13,0.088611
0.0,11,0.088927
0.0,35,0.089777
0.0,17,0.090235
0.0,11,0.090548
0.0,6,0.090749
0.0,17,0.091219
0.0,8,0.091467
0.0,19,0.091969
0.0,13,0.092346
0.0,1,0.092432
0.0,31,0.09321
0.0,29,0.093912
0.0,16,0.09435
0.0,20,0.094868
0.0,19,0.095364
0.0,39,0.096321
0.0,20,0.096834
0.0,42,0.097855
0.0,5,0.098035
0.0,3,0.098175
0.0,62,0.099653
0.0,15,0.100044
0.0,3,0.10019
0.0,29,0.100925
0.0,4,0.101087
0.0,12,0.101432
0.0,14,0.101814
0.0,10,0.102108
0.0,16,0.10254
0.0,11,0.102856
0.0,28,0.103556
0.0,19,0.104046
1.0,37,0.104951
0.0,3,0.105095
0.0,32,0.105884
0.0,15,0.106318
0.0,11,0.106635
0.0,5,0.106809
0.0,1,0.106893
0.0,5,0.107076
0.0,12,0.107405
0.0,16,0.107822
0.0,25,0.108445
1.0,7,0.108666
0.0,6,0.108862
0.0,12,0.109205
0.0,8,0.109446
0.0,51,0.110657
0.0,41,0.111717
0.0,8,0.111971
0.0,31,0.112763
0.0,66,0.114313
0.0,10,0.114597
0.0,7,0.114817
0.0,42,0.115875
0.0,3,0.116004
0.0,14,0.116457
0.0,11,0.116779
0.0,13,0.117148
0.0,3,0.117277
0.0,8,0.117516
0.0,30,0.11826
0.0,27,0.118935
0.0,19,0.119458
0.0,43,0.120512
0.0,6,0.120719
0.0,2,0.120825
0.0,14,0.121228
0.0,3,0.121357
0.0,2,0.121461
0.0,2,0.121565
0.0,7,0.121791
0.0,4,0.121946
0.0,20,0.122475
0.0,12,0.122808
0.0,30,0.12355
0.0,29,0.124282
0.0,10,0.124567
0.0,24,0.125179
0.0,34,0.12602
0.0,24,0.126645
0.0,12,0.126979
0.0,11,0.127302
0.0,1,0.127388
0.0,1,0.127468
0.0,49,0.128637
0.0,27,0.12933
0.0,21,0.129889
0.0,1,0.129978
0.0,14,0.130385
0.0,11,0.130702
0.0,3,0.13083
0.0,5,0.13101
0.0,20,0.131534
0.0,27,0.132218
0.0,13,0.132574
0.0,32,0.133356
0.0,21,0.133896
0.0,18,0.13437
0.0,7,0.134591
0.0,30,0.135348
0.0,3,0.135476
0.0,28,0.13618
0.0,39,0.137129
0.0,5,0.137316
0.0,8,0.137568
0.0,11,0.137887
0.0,7,0.138114
0.0,18,0.138584
0.0,2,0.138688
0.0,24,0.1393
0.0,11,0.139613
0.0,13,0.139975
0.0,22,0.140539
0.0,7,0.140763
0.0,19,0.141279
0.0,3,0.141409
0.0,33,0.14222
0.0,1,0.142306
0.0,20,0.142835
1.0,15,0.14324
0.0,8,0.143478
0.0,3,0.143613
0.0,60,0.14502
0.0,13,0.14539
0.0,30,0.146137
0.0,10,0.146421
0.0,21,0.14694
0.0,46,0.148041
0.0,9,0.148324
0.0,15,0.148722
0.0,14,0.149121
0.0,29,0.149822
0.0,7,0.150039
0.0,36,0.150941
0.0,25,0.151638
0.0,53,0.1529
0.0,22,0.153471
0.0,47,0.154603
0.0,13,0.15496
0.0,55,0.15627
0.0,4,0.156424
0.0,6,0.156624
0.0,7,0.156848
1.0,13,0.157216
0.0,8,0.157464
0.0,13,0.157817
0.0,49,0.158987
0.0,17,0.15944
0.0,22,0.159984
0.0,13,0.160348
0.0,31,0.161132
0.0,14,0.161512
0.0,9,0.161786
0.0,4,0.161937
0.0,83,0.163873
0.0,4,0.164026
0.0,32,0.164809
0.0,1,0.164894
0.0,14,0.165277
0.0,33,0.16606
0.0,8,0.16632
0.0,27,0.166982
0.0,18,0.167468
0.0,13,0.16783
0.0,9,0.168113
0.0,3,0.168242
0.0,13,0.168599
0.0,18,0.169071
0.0,10,0.169364
0.0,11,0.169668
0.0,8,0.169918
0.0,1,0.170002
0.0,10,0.170305
0.0,9,0.170578
0.0,5,0.170758
0.0,1,0.170842
0.0,3,0.170978
0.0,10,0.171282
0.0,11,0.171594
0.0,23,0.172195
0.0,3,0.172331
0.0,3,0.172467
0.0,46,0.173596
0.0,5,0.173778
0.0,6,0.173979
0.0,6,0.174188
0.0,15,0.174582
0.0,42,0.17559
0.0,20,0.176115
0.0,18,0.176588
0.0,21,0.177131
0.0,14,0.177511
0.0,3,0.177647
0.0,28,0.178358
0.0,5,0.17854
0.0,20,0.179049
0.0,12,0.179391
0.0,11,0.179706
0.0,6,0.179902
0.0,29,0.180618
0.0,6,0.180829
0.0,5,0.181009
0.0,23,0.181603
0.0,24,0.182218
0.0,89,0.184292
0.0,33,0.185104
0.0,11,0.185412
0.0,7,0.185635
0.0,9,0.185901
0.0,6,0.186118
0.0,16,0.186533
0.0,13,0.186896
0.0,15,0.187317
0.0,6,0.187521
0.0,26,0.188179
0.0,22,0.188737
0.0,9,0.189005
0.0,18,0.189492
0.0,5,0.189678
0.0,88,0.191751
0.0,5,0.191935
0.0,24,0.192605
0.0,11,0.192914
0.0,20,0.193441
0.0,26,0.194101
0.0,10,0.194396
0.0,33,0.195212
0.0,43,0.196228
0.0,33,0.197029
0.0,46,0.198117
0.0,3,0.198251
0.0,13,0.198611
0.0,14,0.198994
0.0,15,0.199396
0.0,25,0.200014
0.0,3,0.200161
0.0,22,0.200717
0.0,19,0.201244
0.0,14,0.201643
0.0,55,0.202932
0.0,50,0.204148
0.0,33,0.204946
0.0,9,0.205231
0.0,36,0.206107
0.0,15,0.206508
0.0,4,0.206664
0.0,19,0.207181
0.0,22,0.20774
0.0,8,0.207988
0.0,24,0.208598
0.0,28,0.209298
0.0,40,0.210271
0.0,12,0.210624
0.0,7,0.210849
0.0,2,0.211026
0.0,30,0.211793
0.0,1,0.211876
0.0,23,0.212468
0.0,6,0.212666
0.0,19,0.213169
0.0,6,0.213366
0.0,9,0.213636
0.0,13,0.213998
0.0,7,0.214225
0.0,25,0.214837
0.0,18,0.215325
0.0,21,0.215866
0.0,57,0.217237
0.0,16,0.217669
0.0,1,0.217753
0.0,100,0.220051
0.0,18,0.220544
0.0,8,0.220791
0.0,11,0.221132
0.0,16,0.221586
0.0,4,0.221735
0.0,10,0.222019
0.0,5,0.222206
0.0,9,0.222478
0.0,7,0.222696
0.0,7,0.222919
0.0,9,0.223203
0.0,15,0.223601
0.0,17,0.224043
0.0,8,0.224301
0.0,23,0.224869
0.0,14,0.225261
0.0,31,0.226022
0.0,5,0.226213
0.0,5,0.226387
0.0,66,0.227937
0.0,7,0.228175
0.0,5,0.228353
0.0,49,0.229542
0.0,94,0.23172
0.0,100,0.234027
0.0,11,0.234341
0.0,9,0.23461
0.0,32,0.235399
0.0,20,0.235911
0.0,5,0.236092
0.0,2,0.236197
0.0,3,0.236324
0.0,33,0.237144
0.0,5,0.237325
0.0,6,0.237531
0.0,10,0.237824
0.0,7,0.238044
0.0,10,0.238342
0.0,3,0.238471
0.0,15,0.238877
0.0,19,0.239378
0.0,82,0.241309
0.0,23,0.241894
0.0,35,0.242747
0.0,100,0.245048
0.0,9,0.245325
0.0,1,0.245405
0.0,8,0.24565
0.0,85,0.247644
0.0,29,0.248379
0.0,5,0.248559
0.0,12,0.248891
0.0,100,0.251193
1.0,19,0.251686
1.0,16,0.252118
0.0,14,0.252486
0.0,70,0.254141
0.0,17,0.254596
0.0,20,0.255112
0.0,1,0.255197
0.0,37,0.256114
0.0,14,0.256496
