#{"t_start": 1522156924.5785222, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,12,0.058045
0.0,2,0.05824
0.0,4,0.058481
0.0,14,0.059178
0.0,2,0.059333
0.0,1,0.059441
0.0,16,0.060211
0.0,18,0.061074
0.0,12,0.061664
0.0,18,0.062523
0.0,22,0.063551
0.0,23,0.064641
0.0,13,0.065288
0.0,31,0.066741
0.0,22,0.067773
0.0,4,0.068017
0.0,12,0.068604
0.0,21,0.069598
0.0,2,0.069765
0.0,30,0.071144
0.0,27,0.072405
0.0,5,0.072702
0.0,23,0.073775
0.0,7,0.07415
0.0,43,0.076129
0.0,40,0.077951
1.0,65,0.080865
0.0,11,0.081412
0.0,8,0.081841
0.0,3,0.082042
0.0,89,0.086012
1.0,77,0.089432
0.0,2,0.089589
1.0,11,0.090143
0.0,2,0.090298
0.0,19,0.091197
0.0,20,0.092142
0.0,44,0.094119
0.0,14,0.094806
0.0,1,0.094917
0.0,22,0.095955
1.0,40,0.097779
0.0,31,0.099198
0.0,28,0.100492
0.0,33,0.102005
0.0,6,0.102332
0.0,10,0.102844
0.0,6,0.103174
0.0,15,0.103903
0.0,28,0.105198
0.0,5,0.105483
0.0,3,0.105681
0.0,1,0.105803
0.0,20,0.106753
0.0,22,0.107786
0.0,25,0.108943
0.0,12,0.109533
1.0,19,0.110426
0.0,10,0.110939
0.0,38,0.112667
0.0,14,0.113354
0.0,28,0.11465
1.0,37,0.116345
0.0,16,0.117116
1.0,17,0.117934
0.0,35,0.119528
0.0,61,0.122279
0.0,3,0.122481
1.0,32,0.123945
0.0,11,0.124493
0.0,15,0.125219
0.0,7,0.12559
0.0,37,0.127299
0.0,6,0.127633
0.0,43,0.129574
1.0,20,0.130525
0.0,40,0.132348
0.0,9,0.132819
0.0,19,0.133716
0.0,22,0.134753
1.0,10,0.135258
0.0,6,0.135584
0.0,22,0.136611
0.0,29,0.137959
0.0,20,0.138901
0.0,4,0.139145
0.0,12,0.139739
0.0,6,0.140071
0.0,13,0.140711
0.0,12,0.141305
0.0,2,0.14146
0.0,63,0.144274
0.0,8,0.144689
0.0,20,0.145635
1.0,18,0.146497
0.0,7,0.146876
1.0,37,0.148549
0.0,24,0.149661
1.0,32,0.151125
0.0,18,0.151978
0.0,48,0.154133
1.0,9,0.154593
0.0,16,0.155362
0.0,22,0.1564
1.0,18,0.157258
0.0,52,0.159583
0.0,44,0.161663
0.0,70,0.164801
0.0,57,0.167348
0.0,36,0.168985
0.0,3,0.169182
0.0,40,0.170995
0.0,19,0.171885
0.0,21,0.172867
0.0,1,0.172978
0.0,12,0.17356
0.0,16,0.174324
0.0,13,0.174962
0.0,1,0.175073
0.0,19,0.175981
0.0,15,0.176702
0.0,9,0.177162
0.0,10,0.177666
0.0,2,0.177829
0.0,16,0.178592
0.0,7,0.178973
0.0,15,0.17969
0.0,40,0.181517
0.0,2,0.18167
0.0,13,0.182312
0.0,9,0.18278
0.0,1,0.182889
0.0,8,0.183299
0.0,3,0.183494
0.0,31,0.184924
0.0,15,0.185644
0.0,37,0.18734
0.0,1,0.187449
0.0,8,0.187873
0.0,19,0.188771
0.0,41,0.190605
0.0,10,0.191128
0.0,4,0.191368
0.0,25,0.192519
0.0,21,0.193503
