#{"t_start": 1522150162.3105354, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,10,0.010679
0.0,4,0.010859
0.0,4,0.011029
0.0,23,0.011638
0.0,11,0.011961
0.0,10,0.012275
0.0,3,0.012409
0.0,5,0.012586
0.0,20,0.013115
0.0,3,0.013246
0.0,27,0.013931
0.0,80,0.015847
0.0,14,0.016236
0.0,14,0.016629
0.0,6,0.016829
0.0,20,0.017363
0.0,17,0.017826
0.0,91,0.019995
0.0,13,0.020383
0.0,27,0.021068
0.0,36,0.021966
0.0,100,0.024347
0.0,9,0.024624
0.0,5,0.024806
0.0,48,0.026009
0.0,12,0.026403
0.0,38,0.027352
0.0,9,0.027628
0.0,53,0.028903
0.0,22,0.029504
0.0,27,0.030187
0.0,10,0.03051
0.0,9,0.030786
0.0,23,0.031395
0.0,14,0.031792
0.0,10,0.032094
0.0,45,0.033196
0.0,14,0.033614
1.0,37,0.034543
0.0,12,0.034889
0.0,7,0.03511
1.0,18,0.0356
0.0,23,0.036192
1.0,15,0.036615
1.0,15,0.037027
1.0,86,0.039102
0.0,16,0.039553
0.0,47,0.040714
0.0,11,0.041026
0.0,43,0.042081
0.0,10,0.042384
1.0,17,0.042833
0.0,44,0.043914
0.0,19,0.044417
0.0,21,0.044965
0.0,18,0.045457
0.0,44,0.046532
1.0,9,0.04681
1.0,12,0.047152
0.0,19,0.047674
0.0,38,0.04862
0.0,17,0.049084
0.0,38,0.050032
0.0,13,0.05041
0.0,8,0.050656
0.0,30,0.051425
1.0,33,0.052257
0.0,46,0.053417
0.0,12,0.053757
0.0,9,0.054023
0.0,41,0.055031
0.0,15,0.055455
0.0,14,0.055843
0.0,8,0.056099
0.0,5,0.056282
0.0,19,0.056774
0.0,37,0.057684
0.0,8,0.057936
0.0,11,0.058246
0.0,100,0.060634
0.0,5,0.060815
0.0,30,0.061578
0.0,10,0.061882
0.0,11,0.062194
0.0,37,0.063132
0.0,5,0.063325
0.0,18,0.063801
0.0,37,0.064726
0.0,6,0.064932
0.0,16,0.065374
0.0,16,0.065804
0.0,9,0.066079
0.0,8,0.066334
0.0,55,0.067673
0.0,3,0.067804
0.0,6,0.068002
0.0,4,0.068164
0.0,12,0.068518
0.0,6,0.068724
0.0,39,0.069702
0.0,13,0.070068
0.0,11,0.070399
0.0,25,0.071039
1.0,10,0.071338
0.0,12,0.071681
0.0,13,0.072038
0.0,62,0.073543
0.0,11,0.073875
0.0,18,0.074363
0.0,20,0.074895
0.0,10,0.075194
0.0,11,0.075528
0.0,16,0.075964
0.0,14,0.076368
0.0,32,0.077162
0.0,25,0.077814
1.0,6,0.078015
1.0,18,0.078506
1.0,9,0.07888
0.0,14,0.079307
0.0,8,0.079562
0.0,8,0.079807
0.0,25,0.080449
0.0,8,0.080694
0.0,24,0.081339
0.0,8,0.081606
0.0,11,0.081926
0.0,56,0.083298
0.0,6,0.083505
0.0,25,0.084139
0.0,23,0.084785
0.0,12,0.085124
0.0,9,0.085414
0.0,8,0.085661
1.0,12,0.086003
0.0,8,0.086254
0.0,16,0.086689
0.0,12,0.087034
0.0,9,0.087318
0.0,6,0.087524
0.0,3,0.087654
0.0,10,0.087949
0.0,26,0.08863
0.0,13,0.088995
0.0,9,0.089276
0.0,13,0.089638
1.0,49,0.090834
0.0,39,0.091803
0.0,20,0.092342
0.0,4,0.092506
0.0,22,0.093081
0.0,48,0.094244
1.0,19,0.094752
0.0,12,0.095095
0.0,3,0.095225
0.0,18,0.095714
0.0,14,0.096104
0.0,3,0.096242
0.0,21,0.096814
0.0,24,0.097436
0.0,12,0.097783
0.0,100,0.100141
0.0,63,0.10165
0.0,5,0.101835
0.0,5,0.102017
0.0,17,0.102477
0.0,27,0.103168
0.0,12,0.103518
0.0,21,0.104069
0.0,53,0.105379
0.0,41,0.10639
1.0,37,0.107314
0.0,18,0.107788
0.0,3,0.107924
0.0,5,0.108105
0.0,11,0.108445
0.0,24,0.109069
0.0,8,0.109331
0.0,18,0.109811
0.0,26,0.1105
0.0,4,0.110724
0.0,7,0.110957
0.0,10,0.111252
0.0,75,0.113056
0.0,7,0.113296
1.0,21,0.113839
0.0,9,0.114114
