#{"t_start": 1522156635.616859, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.023112
0.0,7,0.023349
0.0,23,0.023909
0.0,24,0.024456
0.0,3,0.024576
0.0,8,0.024811
0.0,6,0.024989
0.0,28,0.025589
0.0,18,0.026065
0.0,3,0.026186
0.0,24,0.026756
0.0,71,0.028263
0.0,38,0.029192
0.0,11,0.029476
0.0,38,0.030376
0.0,34,0.031136
0.0,100,0.03327
1.0,6,0.03346
0.0,5,0.033636
0.0,4,0.033778
0.0,9,0.034024
0.0,54,0.035214
0.0,10,0.035471
0.0,43,0.036427
0.0,7,0.036647
0.0,54,0.037789
0.0,6,0.037989
0.0,28,0.038599
0.0,23,0.03918
0.0,4,0.039324
0.0,6,0.03951
0.0,25,0.040077
0.0,100,0.04211
0.0,27,0.042724
0.0,35,0.043477
0.0,4,0.043615
0.0,12,0.043982
0.0,59,0.04523
0.0,29,0.045877
0.0,19,0.046307
0.0,3,0.046431
0.0,22,0.046979
0.0,11,0.047258
0.0,20,0.04774
0.0,32,0.048454
0.0,21,0.048949
0.0,29,0.049608
0.0,50,0.050757
0.0,34,0.05152
0.0,8,0.051749
1.0,17,0.052147
0.0,10,0.052397
0.0,6,0.052575
0.0,10,0.052875
0.0,6,0.053076
0.0,25,0.053664
0.0,8,0.053893
0.0,4,0.054042
1.0,8,0.054251
0.0,9,0.054491
1.0,10,0.05476
0.0,77,0.056323
1.0,21,0.056807
0.0,17,0.057212
0.0,13,0.057526
0.0,7,0.057737
0.0,17,0.058147
0.0,3,0.058266
0.0,16,0.058639
0.0,53,0.059776
0.0,3,0.059902
1.0,20,0.060344
0.0,40,0.061178
0.0,7,0.061385
0.0,10,0.061655
1.0,44,0.062575
0.0,28,0.063202
0.0,6,0.063377
0.0,11,0.063674
0.0,46,0.064656
0.0,27,0.065249
0.0,45,0.066207
0.0,10,0.066465
0.0,4,0.066607
1.0,31,0.067269
0.0,26,0.067864
0.0,26,0.068443
0.0,31,0.069129
0.0,3,0.069254
0.0,14,0.069587
0.0,22,0.070097
0.0,17,0.070504
0.0,27,0.071109
0.0,18,0.071537
0.0,56,0.072749
0.0,14,0.073088
0.0,18,0.073505
0.0,17,0.073969
0.0,30,0.07465
0.0,32,0.075368
1.0,14,0.075717
0.0,7,0.075919
0.0,37,0.076742
0.0,100,0.078826
