#{"t_start": 1522149238.275011, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.007817
0.0,13,0.00818
0.0,2,0.008299
0.0,7,0.008536
0.0,5,0.008716
0.0,19,0.009189
0.0,15,0.009598
0.0,4,0.009751
0.0,11,0.010045
0.0,15,0.01043
0.0,16,0.010841
0.0,18,0.011301
0.0,11,0.01162
0.0,22,0.012169
0.0,9,0.012435
0.0,11,0.012754
0.0,25,0.013355
0.0,37,0.01421
0.0,61,0.015611
1.0,41,0.016577
0.0,26,0.017207
0.0,74,0.018881
0.0,100,0.021057
1.0,57,0.02237
0.0,45,0.023415
0.0,67,0.024914
0.0,37,0.025779
0.0,21,0.026287
0.0,14,0.026665
0.0,32,0.027404
0.0,27,0.028051
0.0,39,0.028978
0.0,48,0.030108
0.0,7,0.030326
0.0,6,0.030552
0.0,14,0.030921
0.0,23,0.031492
0.0,26,0.032127
1.0,25,0.032753
0.0,7,0.032974
0.0,25,0.033587
0.0,42,0.03457
0.0,11,0.034868
0.0,49,0.03597
0.0,18,0.036421
0.0,6,0.036628
1.0,13,0.036973
0.0,36,0.037812
0.0,10,0.038097
0.0,9,0.038372
0.0,11,0.038686
0.0,8,0.038929
0.0,52,0.040119
0.0,17,0.040558
0.0,17,0.040996
0.0,27,0.041667
0.0,25,0.042268
0.0,15,0.04268
0.0,6,0.042872
0.0,23,0.043428
0.0,33,0.044218
0.0,100,0.046428
0.0,56,0.04771
0.0,10,0.047988
0.0,8,0.048231
0.0,14,0.048626
0.0,11,0.048933
0.0,16,0.049347
1.0,13,0.049711
0.0,8,0.049956
0.0,5,0.050125
0.0,31,0.050867
0.0,5,0.051048
0.0,38,0.05194
0.0,41,0.052886
0.0,38,0.053782
0.0,55,0.055039
1.0,36,0.0559
0.0,7,0.056115
0.0,8,0.056353
0.0,10,0.056647
0.0,14,0.057036
0.0,3,0.057162
0.0,19,0.057682
0.0,10,0.057974
0.0,39,0.058901
0.0,26,0.059565
0.0,17,0.060005
0.0,16,0.060403
0.0,8,0.060658
0.0,15,0.061045
1.0,49,0.062154
0.0,3,0.062287
0.0,100,0.064497
1.0,57,0.06578
0.0,7,0.066009
0.0,62,0.067411
0.0,4,0.067572
0.0,5,0.067741
0.0,17,0.068167
1.0,13,0.068523
0.0,42,0.069481
0.0,82,0.071307
0.0,23,0.071872
0.0,71,0.073447
1.0,21,0.073966
0.0,50,0.075108
1.0,71,0.076702
0.0,13,0.077049
0.0,15,0.077428
0.0,4,0.077589
0.0,54,0.07882
1.0,13,0.079163
0.0,45,0.080235
0.0,5,0.080421
0.0,31,0.081151
0.0,16,0.081579
1.0,8,0.081813
0.0,41,0.082769
0.0,31,0.083502
0.0,16,0.083926
0.0,23,0.084491
0.0,50,0.085613
0.0,10,0.085895
0.0,15,0.086276
0.0,4,0.08643
0.0,13,0.086785
1.0,20,0.087288
1.0,27,0.087937
1.0,11,0.08824
0.0,8,0.088482
1.0,69,0.090042
0.0,5,0.090212
0.0,22,0.090775
0.0,18,0.091221
0.0,65,0.092721
1.0,8,0.092966
0.0,15,0.093359
0.0,3,0.093497
0.0,57,0.094778
0.0,24,0.095355
0.0,73,0.09701
0.0,15,0.097404
0.0,23,0.097973
0.0,7,0.098197
0.0,43,0.099211
1.0,62,0.100633
0.0,30,0.101336
0.0,83,0.103192
0.0,22,0.103744
0.0,16,0.104162
0.0,6,0.104349
1.0,40,0.105294
0.0,6,0.105495
0.0,100,0.107713
0.0,25,0.108389
0.0,4,0.108555
0.0,15,0.108944
0.0,12,0.109272
0.0,66,0.110785
0.0,100,0.113029
0.0,53,0.114239
0.0,28,0.114906
0.0,23,0.115484
0.0,15,0.115868
0.0,32,0.116634
1.0,16,0.117043
0.0,3,0.117175
1.0,38,0.118066
1.0,17,0.118508
0.0,27,0.119154
0.0,17,0.119597
0.0,31,0.120342
0.0,11,0.120663
0.0,22,0.121217
0.0,33,0.122001
0.0,83,0.123864
0.0,44,0.124892
0.0,19,0.125383
0.0,20,0.125882
0.0,39,0.126794
0.0,12,0.127129
0.0,22,0.127695
0.0,32,0.128442
0.0,22,0.128999
1.0,19,0.129476
0.0,84,0.13133
0.0,43,0.132304
0.0,8,0.13256
0.0,7,0.132776
0.0,53,0.133978
0.0,2,0.134083
1.0,34,0.134902
0.0,22,0.135446
1.0,17,0.135876
1.0,29,0.136573
1.0,84,0.138426
0.0,39,0.139339
0.0,55,0.140626
0.0,18,0.141086
1.0,13,0.141429
0.0,100,0.143668
0.0,14,0.144033
0.0,8,0.144275
1.0,6,0.144474
0.0,53,0.145658
0.0,11,0.145957
0.0,18,0.146407
0.0,4,0.146569
0.0,9,0.146824
1.0,46,0.147891
0.0,45,0.148945
1.0,7,0.149159
1.0,18,0.149618
0.0,12,0.149952
0.0,48,0.15106
0.0,10,0.151353
0.0,12,0.151698
1.0,10,0.151974
0.0,38,0.152871
0.0,8,0.153112
