#{"t_start": 1522157877.9305882, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,23,0.014981
0.0,7,0.015231
0.0,4,0.015388
0.0,6,0.015584
0.0,15,0.015964
0.0,21,0.016479
0.0,19,0.016939
0.0,21,0.017509
0.0,82,0.019447
0.0,21,0.019956
0.0,13,0.020314
0.0,14,0.020688
0.0,24,0.021287
0.0,4,0.021437
0.0,35,0.022261
0.0,28,0.022932
0.0,46,0.023989
0.0,91,0.026019
0.0,5,0.026209
0.0,19,0.026697
0.0,46,0.027752
0.0,9,0.028011
0.0,19,0.028497
0.0,47,0.029571
0.0,47,0.030649
0.0,9,0.030905
0.0,100,0.033104
0.0,13,0.033452
0.0,3,0.033578
0.0,15,0.03397
0.0,12,0.034301
0.0,33,0.035069
0.0,14,0.035443
0.0,26,0.036068
1.0,19,0.036541
0.0,21,0.037047
0.0,16,0.037461
0.0,100,0.039717
0.0,13,0.040052
0.0,17,0.040501
0.0,11,0.040805
0.0,33,0.041594
0.0,20,0.04209
0.0,13,0.042426
1.0,77,0.04415
0.0,20,0.044641
0.0,53,0.045882
0.0,32,0.046714
0.0,9,0.046976
0.0,19,0.047446
0.0,7,0.047658
0.0,40,0.048574
0.0,31,0.049319
0.0,21,0.049829
1.0,11,0.050135
0.0,48,0.051245
0.0,20,0.051734
0.0,23,0.052316
0.0,51,0.053482
0.0,7,0.053697
0.0,27,0.054343
0.0,30,0.055051
0.0,47,0.056144
0.0,18,0.056588
0.0,24,0.057186
0.0,44,0.058207
0.0,26,0.058828
0.0,28,0.059508
0.0,22,0.060045
1.0,14,0.060413
0.0,21,0.060925
0.0,26,0.061563
0.0,3,0.061692
0.0,51,0.062859
1.0,21,0.063378
0.0,17,0.063799
0.0,17,0.064247
0.0,17,0.064691
0.0,49,0.065812
1.0,26,0.066452
1.0,9,0.066712
0.0,100,0.069017
0.0,11,0.069334
0.0,31,0.070062
0.0,50,0.071192
0.0,13,0.071534
0.0,23,0.0721
0.0,10,0.072376
0.0,31,0.0731
0.0,11,0.073398
0.0,27,0.074048
0.0,6,0.074247
0.0,26,0.074873
0.0,69,0.076434
0.0,16,0.076834
0.0,25,0.077435
0.0,11,0.077733
0.0,22,0.078277
0.0,19,0.078744
0.0,7,0.078952
0.0,5,0.079132
0.0,14,0.079494
0.0,13,0.079826
0.0,20,0.080329
1.0,22,0.080869
0.0,25,0.081541
0.0,11,0.081841
0.0,25,0.082449
0.0,12,0.08277
0.0,31,0.083513
0.0,9,0.083767
0.0,73,0.085493
0.0,8,0.085723
1.0,18,0.086184
0.0,5,0.086354
0.0,4,0.086497
0.0,24,0.087071
1.0,8,0.087313
0.0,4,0.087454
0.0,10,0.087731
0.0,15,0.088116
1.0,16,0.088513
0.0,5,0.088673
0.0,7,0.088878
0.0,15,0.089274
0.0,14,0.089643
0.0,3,0.089761
0.0,12,0.090076
0.0,10,0.090356
0.0,26,0.090978
0.0,32,0.091735
0.0,12,0.092051
0.0,12,0.092368
0.0,6,0.092552
0.0,8,0.092777
0.0,30,0.093531
0.0,28,0.094228
0.0,12,0.094569
0.0,19,0.095036
0.0,9,0.095294
0.0,4,0.095436
0.0,18,0.095884
0.0,4,0.096027
0.0,7,0.09624
0.0,41,0.097178
0.0,20,0.097708
0.0,2,0.097811
0.0,20,0.098326
0.0,25,0.09892
0.0,2,0.099028
0.0,5,0.099201
0.0,37,0.100056
0.0,16,0.100472
0.0,43,0.101464
0.0,25,0.102046
0.0,44,0.103054
0.0,10,0.103334
0.0,21,0.103851
0.0,9,0.104121
0.0,3,0.104251
0.0,6,0.104437
0.0,35,0.105286
0.0,17,0.105736
0.0,11,0.10603
1.0,23,0.106645
0.0,22,0.107198
0.0,40,0.108127
0.0,6,0.108318
0.0,14,0.108671
0.0,8,0.108903
0.0,61,0.110273
0.0,3,0.110403
0.0,10,0.110683
0.0,9,0.11094
0.0,25,0.111547
0.0,12,0.111867
0.0,12,0.112199
0.0,11,0.112506
0.0,62,0.113909
0.0,33,0.114664
1.0,30,0.115437
0.0,15,0.115821
0.0,13,0.116177
0.0,7,0.11639
0.0,5,0.116556
0.0,9,0.116814
0.0,27,0.117461
0.0,4,0.117609
0.0,17,0.118033
0.0,35,0.11886
0.0,5,0.119025
0.0,28,0.119683
0.0,14,0.120048
1.0,16,0.120464
0.0,22,0.120995
0.0,14,0.121362
0.0,19,0.121831
0.0,36,0.122687
0.0,15,0.123062
0.0,15,0.123493
0.0,19,0.123964
1.0,22,0.124554
0.0,5,0.124724
0.0,9,0.124977
0.0,100,0.127247
0.0,64,0.128702
0.0,5,0.128874
0.0,16,0.129277
0.0,2,0.12938
0.0,29,0.130063
0.0,5,0.130243
0.0,17,0.130677
0.0,21,0.1312
0.0,55,0.132498
0.0,6,0.132695
0.0,30,0.133414
0.0,14,0.133778
0.0,3,0.133897
1.0,13,0.134252
0.0,48,0.135348
0.0,43,0.136326
0.0,10,0.136604
0.0,28,0.137272
0.0,76,0.138949
0.0,8,0.139217
0.0,6,0.139429
0.0,60,0.140796
0.0,5,0.14097
0.0,6,0.141165
0.0,3,0.141289
0.0,14,0.141646
0.0,18,0.142117
0.0,25,0.142738
0.0,5,0.1429
0.0,17,0.143349
0.0,34,0.144137
0.0,14,0.144502
0.0,22,0.14502
0.0,3,0.145148
0.0,41,0.146068
0.0,7,0.146288
0.0,18,0.146729
0.0,16,0.147141
0.0,17,0.147561
1.0,7,0.147765
0.0,5,0.147931
0.0,39,0.148837
0.0,18,0.149297
0.0,12,0.14961
0.0,8,0.149837
0.0,62,0.151232
0.0,28,0.151891
1.0,12,0.152212
0.0,29,0.152903
0.0,20,0.153402
0.0,26,0.154013
0.0,17,0.154446
0.0,4,0.154594
0.0,31,0.155339
0.0,30,0.156057
0.0,16,0.156469
0.0,18,0.15693
0.0,35,0.157746
0.0,26,0.15837
0.0,5,0.158541
0.0,58,0.159859
0.0,2,0.159961
0.0,15,0.160353
0.0,13,0.16069
1.0,12,0.16101
0.0,13,0.161356
0.0,33,0.162149
1.0,24,0.162729
0.0,8,0.162966
1.0,31,0.163708
0.0,22,0.164249
0.0,12,0.164571
0.0,17,0.164998
0.0,19,0.165478
0.0,12,0.165806
0.0,64,0.167304
0.0,6,0.167495
0.0,8,0.16773
0.0,24,0.168306
0.0,32,0.16907
1.0,8,0.169311
0.0,62,0.17071
0.0,12,0.171037
0.0,58,0.172337
0.0,32,0.173094
0.0,16,0.173494
0.0,14,0.173855
0.0,38,0.174729
0.0,43,0.175744
0.0,3,0.175873
0.0,11,0.176175
0.0,20,0.176665
0.0,28,0.177358
0.0,9,0.177606
0.0,30,0.178333
0.0,20,0.178821
0.0,4,0.178968
0.0,2,0.179071
0.0,7,0.179294
0.0,13,0.179637
0.0,5,0.179808
0.0,14,0.180182
0.0,15,0.180558
0.0,38,0.181444
0.0,26,0.182061
0.0,2,0.182174
0.0,26,0.182795
0.0,39,0.183693
0.0,7,0.1839
0.0,12,0.184231
0.0,6,0.184422
0.0,11,0.184715
0.0,20,0.185218
0.0,22,0.185741
0.0,14,0.186121
0.0,12,0.186442
0.0,26,0.187061
0.0,18,0.187515
0.0,12,0.187835
0.0,10,0.18811
0.0,12,0.188429
0.0,10,0.188709
0.0,4,0.188862
0.0,6,0.189049
0.0,4,0.189221
0.0,31,0.189981
0.0,7,0.190203
0.0,8,0.190438
0.0,33,0.191219
0.0,11,0.191513
0.0,6,0.191704
1.0,32,0.192455
0.0,7,0.192667
0.0,20,0.193202
0.0,35,0.194028
0.0,35,0.194859
0.0,7,0.195069
0.0,70,0.196644
0.0,7,0.196867
0.0,34,0.197654
1.0,16,0.198049
0.0,3,0.198175
0.0,24,0.198748
0.0,20,0.199241
1.0,7,0.199453
0.0,3,0.199579
0.0,31,0.200325
0.0,36,0.201164
1.0,21,0.201669
0.0,14,0.20203
0.0,19,0.202545
0.0,8,0.202782
0.0,11,0.203076
1.0,9,0.203331
1.0,25,0.203915
0.0,45,0.204944
0.0,15,0.205329
0.0,16,0.205736
0.0,33,0.206517
0.0,58,0.207818
0.0,22,0.208362
0.0,15,0.208743
0.0,25,0.209351
0.0,3,0.209476
0.0,40,0.210433
0.0,3,0.210564
0.0,6,0.210759
0.0,23,0.211373
0.0,77,0.213094
0.0,28,0.213758
1.0,8,0.213984
0.0,6,0.214177
0.0,31,0.214891
1.0,20,0.215455
0.0,21,0.21596
0.0,39,0.216872
0.0,23,0.217438
0.0,17,0.217866
0.0,24,0.218451
0.0,12,0.218768
0.0,19,0.219246
0.0,10,0.219525
0.0,80,0.221317
0.0,21,0.221818
1.0,9,0.22207
0.0,16,0.222524
0.0,19,0.223
0.0,22,0.22353
0.0,34,0.224322
0.0,51,0.225491
0.0,3,0.225613
0.0,12,0.225929
0.0,9,0.226186
0.0,22,0.22672
0.0,7,0.226931
0.0,17,0.227374
0.0,16,0.227784
0.0,2,0.227886
0.0,8,0.228126
0.0,17,0.228558
0.0,8,0.228785
0.0,26,0.229425
0.0,4,0.229573
0.0,14,0.229926
0.0,17,0.230353
0.0,23,0.230897
0.0,7,0.231144
0.0,8,0.231402
0.0,81,0.233191
0.0,16,0.233597
0.0,23,0.234166
0.0,8,0.234416
0.0,7,0.234637
0.0,73,0.236323
1.0,12,0.236643
0.0,22,0.237179
0.0,47,0.238259
0.0,16,0.238652
0.0,6,0.238834
0.0,8,0.239071
0.0,23,0.239633
0.0,33,0.240445
0.0,12,0.240765
0.0,24,0.241356
0.0,11,0.241649
0.0,51,0.24282
0.0,47,0.2439
0.0,83,0.245814
0.0,5,0.245983
