#{"t_start": 1522150694.122588, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.010665
0.0,5,0.010865
0.0,5,0.011063
0.0,9,0.011356
0.0,16,0.011829
0.0,2,0.011955
0.0,45,0.013155
0.0,43,0.014268
0.0,100,0.016769
0.0,39,0.017792
0.0,23,0.018447
0.0,35,0.01936
0.0,24,0.020008
0.0,22,0.020612
0.0,6,0.020822
1.0,23,0.021479
1.0,15,0.021905
0.0,18,0.022426
0.0,15,0.022849
1.0,38,0.023844
0.0,62,0.025439
0.0,5,0.025631
0.0,9,0.025918
0.0,3,0.026059
0.0,12,0.026432
1.0,11,0.026764
0.0,58,0.028262
0.0,89,0.030508
1.0,30,0.031301
0.0,33,0.032164
1.0,27,0.032877
1.0,43,0.034024
1.0,17,0.034515
1.0,49,0.035766
0.0,33,0.036604
1.0,46,0.037704
0.0,14,0.038075
1.0,9,0.038344
0.0,31,0.039102
0.0,7,0.039356
0.0,44,0.040423
0.0,20,0.04094
1.0,52,0.042184
0.0,5,0.042397
0.0,22,0.042963
0.0,16,0.043397
1.0,14,0.043777
0.0,34,0.044633
0.0,26,0.045301
0.0,27,0.045991
0.0,55,0.04729
0.0,14,0.047671
0.0,100,0.050005
1.0,24,0.050629
0.0,63,0.052142
0.0,20,0.05267
0.0,41,0.053666
0.0,31,0.054474
1.0,11,0.054801
0.0,30,0.055569
0.0,21,0.056106
1.0,27,0.056793
0.0,25,0.057457
0.0,5,0.057631
0.0,57,0.058999
0.0,10,0.059299
0.0,4,0.059455
0.0,60,0.060949
1.0,25,0.061613
0.0,24,0.062239
1.0,21,0.062815
0.0,46,0.063939
0.0,13,0.064333
0.0,6,0.064533
0.0,31,0.065291
0.0,17,0.06573
0.0,18,0.066201
0.0,11,0.066548
0.0,18,0.067014
1.0,62,0.068503
1.0,33,0.069366
1.0,39,0.070343
0.0,18,0.070807
0.0,6,0.071008
0.0,14,0.07142
1.0,19,0.071899
1.0,14,0.072312
0.0,21,0.072855
1.0,37,0.073785
0.0,19,0.074285
0.0,19,0.074771
1.0,10,0.075055
0.0,35,0.075952
0.0,27,0.07666
0.0,84,0.078677
1.0,82,0.080652
0.0,42,0.081702
0.0,20,0.082232
1.0,48,0.083411
0.0,3,0.083555
0.0,16,0.083997
0.0,35,0.08491
0.0,17,0.08541
0.0,41,0.086427
0.0,47,0.08759
0.0,11,0.087908
0.0,48,0.089061
0.0,51,0.090298
1.0,16,0.090752
1.0,13,0.091109
0.0,34,0.091956
0.0,25,0.092619
0.0,11,0.09293
0.0,64,0.094503
0.0,18,0.094977
0.0,13,0.095372
0.0,9,0.095642
0.0,12,0.095973
0.0,39,0.096954
0.0,9,0.097233
0.0,22,0.097835
0.0,32,0.098647
0.0,7,0.098877
0.0,23,0.099499
1.0,88,0.101593
0.0,20,0.102109
0.0,100,0.104575
0.0,6,0.104777
0.0,9,0.105067
0.0,16,0.105541
0.0,2,0.105654
0.0,48,0.106841
0.0,4,0.106996
0.0,11,0.107373
0.0,11,0.107687
1.0,83,0.10973
1.0,54,0.111028
0.0,55,0.112504
0.0,5,0.112689
0.0,9,0.112964
1.0,10,0.11328
1.0,17,0.113744
1.0,6,0.113937
1.0,15,0.114384
0.0,2,0.114488
0.0,24,0.115093
0.0,57,0.11648
0.0,16,0.116903
0.0,6,0.117097
0.0,17,0.117624
0.0,27,0.118335
1.0,22,0.118889
0.0,6,0.119088
1.0,31,0.119871
0.0,23,0.120512
1.0,35,0.1214
1.0,17,0.121852
1.0,12,0.1222
1.0,39,0.123179
1.0,84,0.125275
1.0,21,0.125816
1.0,6,0.126022
0.0,11,0.126376
1.0,43,0.127429
0.0,14,0.127816
0.0,13,0.128178
0.0,29,0.128912
0.0,29,0.129707
0.0,6,0.129914
0.0,27,0.130625
1.0,7,0.13084
0.0,15,0.131247
0.0,14,0.131643
1.0,22,0.132209
0.0,33,0.13307
0.0,64,0.134633
0.0,39,0.135609
0.0,18,0.136078
0.0,19,0.136622
1.0,41,0.137639
1.0,24,0.138253
1.0,52,0.139531
0.0,2,0.139635
1.0,40,0.140641
0.0,14,0.141018
0.0,16,0.141494
0.0,22,0.142053
0.0,25,0.142705
0.0,20,0.143273
1.0,39,0.144232
0.0,12,0.144596
0.0,15,0.144998
1.0,24,0.145629
0.0,5,0.145806
0.0,38,0.146743
0.0,12,0.147092
0.0,6,0.14734
0.0,12,0.147675
1.0,17,0.148113
1.0,11,0.148461
1.0,27,0.149143
0.0,19,0.149658
0.0,71,0.151356
1.0,12,0.151691
0.0,33,0.152499
0.0,23,0.153066
1.0,38,0.154046
1.0,13,0.15441
0.0,43,0.155465
0.0,24,0.156062
0.0,22,0.156646
0.0,72,0.158322
0.0,20,0.158836
0.0,29,0.15959
0.0,13,0.159941
0.0,9,0.160208
0.0,3,0.160349
0.0,14,0.160723
1.0,46,0.161835
1.0,59,0.163261
1.0,24,0.163858
0.0,16,0.164298
1.0,11,0.164602
0.0,7,0.16482
0.0,16,0.165275
0.0,6,0.165489
0.0,26,0.166129
1.0,13,0.166487
0.0,36,0.16737
0.0,2,0.167475
1.0,13,0.167837
0.0,35,0.16873
1.0,24,0.169344
0.0,7,0.169567
0.0,31,0.170333
1.0,23,0.170915
1.0,23,0.171528
1.0,34,0.172356
1.0,14,0.172724
1.0,10,0.173018
0.0,2,0.173128
1.0,13,0.173498
1.0,39,0.174524
0.0,15,0.174922
1.0,63,0.176411
0.0,11,0.176715
0.0,14,0.177084
0.0,13,0.177473
1.0,21,0.178013
0.0,83,0.179926
1.0,37,0.180836
1.0,49,0.182004
1.0,46,0.183091
1.0,57,0.184464
0.0,20,0.184988
1.0,87,0.187027
1.0,37,0.187929
0.0,7,0.188149
0.0,7,0.188385
0.0,2,0.188497
1.0,7,0.188715
1.0,17,0.189162
1.0,8,0.189433
1.0,31,0.190178
1.0,14,0.190567
1.0,9,0.190831
1.0,14,0.191198
1.0,7,0.191427
1.0,19,0.191915
1.0,21,0.192477
1.0,8,0.192726
0.0,11,0.193033
1.0,58,0.194433
0.0,91,0.196577
1.0,20,0.197092
0.0,5,0.197282
0.0,18,0.197751
1.0,37,0.198672
0.0,9,0.198941
1.0,22,0.199501
0.0,7,0.199723
0.0,19,0.200206
1.0,20,0.200719
0.0,25,0.201367
0.0,25,0.201991
0.0,51,0.203191
0.0,31,0.203948
1.0,14,0.204362
1.0,9,0.204621
0.0,87,0.206646
0.0,43,0.20768
0.0,30,0.20843
1.0,27,0.2091
0.0,4,0.209258
0.0,9,0.209526
0.0,17,0.209977
0.0,6,0.21017
0.0,12,0.210534
0.0,21,0.211069
1.0,16,0.211567
0.0,21,0.212115
0.0,14,0.212516
0.0,43,0.213578
0.0,4,0.213738
0.0,4,0.213892
0.0,8,0.214133
0.0,57,0.215516
0.0,51,0.216764
0.0,54,0.21803
0.0,61,0.219493
0.0,16,0.219922
0.0,4,0.220082
0.0,18,0.220553
0.0,7,0.220776
0.0,12,0.221107
1.0,27,0.221784
1.0,29,0.222529
0.0,7,0.222745
1.0,51,0.223958
0.0,5,0.224134
0.0,73,0.225876
0.0,27,0.226551
1.0,19,0.227044
0.0,21,0.227594
0.0,60,0.229054
0.0,34,0.229889
1.0,45,0.230972
1.0,7,0.23119
1.0,24,0.231831
0.0,11,0.232141
1.0,21,0.232693
0.0,8,0.232931
0.0,4,0.233084
