#{"t_start": 1522156829.407706, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,40,0.06021
0.0,35,0.061859
0.0,8,0.062276
0.0,14,0.062959
0.0,30,0.06433
0.0,25,0.065497
0.0,13,0.066136
0.0,16,0.066914
0.0,6,0.067243
0.0,6,0.067578
0.0,6,0.067906
0.0,21,0.068888
0.0,7,0.069262
0.0,25,0.070412
0.0,3,0.070623
0.0,13,0.071255
0.0,52,0.073585
0.0,10,0.074083
0.0,14,0.074758
0.0,13,0.075386
0.0,22,0.076407
0.0,11,0.076964
0.0,5,0.07725
0.0,15,0.077982
0.0,9,0.078441
0.0,10,0.078945
0.0,2,0.079103
0.0,23,0.080168
0.0,19,0.081063
0.0,23,0.082126
0.0,14,0.082809
0.0,24,0.08392
0.0,6,0.084246
0.0,13,0.084879
0.0,29,0.086205
0.0,6,0.086546
0.0,4,0.086787
0.0,16,0.087553
1.0,21,0.088535
0.0,26,0.089726
0.0,7,0.090098
0.0,13,0.09073
0.0,24,0.091847
0.0,14,0.092525
0.0,8,0.092937
0.0,25,0.094088
0.0,17,0.094894
0.0,7,0.095267
0.0,5,0.095556
0.0,6,0.095886
0.0,5,0.096167
0.0,7,0.096547
0.0,17,0.097345
0.0,31,0.098767
0.0,27,0.100002
0.0,9,0.100459
0.0,36,0.102088
0.0,24,0.103201
0.0,6,0.103536
0.0,10,0.104038
0.0,5,0.104319
0.0,5,0.104608
0.0,12,0.105188
0.0,12,0.105785
1.0,10,0.106285
1.0,14,0.107049
0.0,43,0.109078
0.0,64,0.111926
0.0,25,0.11308
0.0,6,0.11341
0.0,15,0.11413
0.0,7,0.114499
0.0,12,0.115094
0.0,7,0.11547
0.0,9,0.115935
1.0,33,0.117433
1.0,9,0.117897
0.0,9,0.118354
0.0,13,0.118999
0.0,12,0.119592
0.0,29,0.120908
0.0,6,0.121237
0.0,13,0.121876
0.0,3,0.122073
0.0,4,0.122314
0.0,10,0.122821
0.0,27,0.124058
1.0,25,0.125208
0.0,6,0.125542
0.0,7,0.125917
0.0,12,0.126501
0.0,5,0.126798
0.0,31,0.128187
0.0,3,0.128384
1.0,9,0.128846
0.0,5,0.129127
0.0,9,0.129586
0.0,21,0.130566
0.0,35,0.132133
0.0,26,0.133324
0.0,31,0.134746
0.0,19,0.135638
0.0,14,0.13631
0.0,2,0.136462
0.0,6,0.136805
0.0,2,0.136962
0.0,7,0.137331
0.0,7,0.137711
0.0,12,0.138293
0.0,23,0.139359
0.0,5,0.139651
1.0,19,0.140547
1.0,14,0.141213
0.0,5,0.141493
0.0,16,0.14226
0.0,12,0.142858
0.0,8,0.143271
0.0,18,0.144128
0.0,24,0.145237
0.0,10,0.145744
0.0,7,0.146112
0.0,14,0.146793
0.0,19,0.147685
0.0,21,0.148668
0.0,7,0.149038
0.0,27,0.150278
0.0,18,0.151124
0.0,7,0.151505
0.0,24,0.152618
0.0,10,0.153122
0.0,22,0.154149
0.0,14,0.154833
0.0,11,0.155379
0.0,7,0.155761
0.0,3,0.155961
0.0,8,0.156375
0.0,2,0.156543
0.0,3,0.156744
0.0,7,0.157114
0.0,11,0.157666
0.0,4,0.157907
0.0,45,0.159932
0.0,16,0.160759
0.0,45,0.162776
0.0,3,0.162974
0.0,11,0.163519
0.0,5,0.163805
0.0,33,0.165299
0.0,5,0.165593
0.0,17,0.166396
0.0,7,0.16678
0.0,5,0.167084
0.0,19,0.167985
0.0,22,0.169017
0.0,5,0.169303
0.0,9,0.16977
0.0,7,0.170138
0.0,12,0.170735
1.0,22,0.171762
0.0,26,0.172965
0.0,7,0.173339
0.0,8,0.173762
0.0,6,0.174088
0.0,8,0.1745
0.0,8,0.174924
0.0,9,0.175379
0.0,5,0.175673
0.0,7,0.176046
0.0,13,0.176694
0.0,15,0.177409
0.0,11,0.177961
0.0,6,0.178287
0.0,18,0.179137
0.0,21,0.18012
0.0,20,0.181059
0.0,6,0.181386
1.0,14,0.182066
0.0,4,0.182305
0.0,6,0.182644
1.0,30,0.184016
0.0,19,0.184909
1.0,39,0.18667
1.0,24,0.187773
0.0,13,0.188407
0.0,35,0.189995
0.0,12,0.190589
0.0,9,0.191066
0.0,5,0.191352
0.0,17,0.192161
0.0,12,0.192752
1.0,8,0.193163
0.0,7,0.193536
1.0,16,0.194287
0.0,17,0.195093
0.0,7,0.195461
0.0,7,0.195839
0.0,9,0.196291
1.0,25,0.197441
0.0,10,0.197948
1.0,30,0.199308
0.0,11,0.199855
1.0,7,0.200227
0.0,7,0.200607
0.0,22,0.201623
0.0,8,0.202036
0.0,98,0.206331
0.0,14,0.207024
0.0,24,0.208131
0.0,29,0.209449
0.0,21,0.210429
1.0,23,0.211493
0.0,23,0.212567
0.0,11,0.213109
0.0,16,0.213872
0.0,24,0.214979
0.0,4,0.215222
0.0,11,0.215776
1.0,31,0.217194
1.0,39,0.218935
0.0,7,0.219304
0.0,16,0.220067
0.0,2,0.220223
0.0,18,0.22107
0.0,21,0.222043
0.0,5,0.222325
0.0,5,0.222621
0.0,16,0.223377
1.0,9,0.22384
0.0,7,0.224207
0.0,23,0.22527
0.0,6,0.225607
0.0,14,0.226276
