#{"t_start": 1522149146.9312027, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.006766
0.0,5,0.006966
0.0,6,0.007183
0.0,24,0.007821
0.0,19,0.008335
0.0,5,0.008521
0.0,13,0.008896
0.0,3,0.009028
0.0,24,0.00965
0.0,13,0.010007
0.0,15,0.01042
0.0,10,0.010725
0.0,8,0.010978
0.0,4,0.011132
0.0,18,0.011617
0.0,9,0.0119
0.0,23,0.012492
0.0,34,0.013338
0.0,22,0.013928
0.0,43,0.014993
0.0,27,0.015722
0.0,12,0.016063
0.0,19,0.016568
0.0,12,0.016923
0.0,7,0.017148
0.0,26,0.017826
0.0,13,0.018194
0.0,13,0.018565
0.0,7,0.018803
0.0,24,0.019415
0.0,39,0.020382
0.0,5,0.020566
0.0,3,0.02071
0.0,33,0.021528
0.0,10,0.02183
0.0,13,0.022189
0.0,6,0.022392
0.0,12,0.022739
0.0,20,0.02327
0.0,37,0.024188
0.0,18,0.024686
0.0,22,0.02525
0.0,26,0.025932
0.0,21,0.026483
0.0,2,0.02659
0.0,7,0.026823
0.0,23,0.027426
0.0,8,0.027687
0.0,33,0.028509
1.0,13,0.028877
0.0,2,0.028983
0.0,7,0.02921
0.0,25,0.02986
0.0,16,0.030284
0.0,8,0.030533
0.0,11,0.030853
0.0,2,0.030961
0.0,12,0.031304
0.0,17,0.031788
0.0,21,0.032348
0.0,14,0.032737
0.0,22,0.033302
0.0,22,0.033884
0.0,10,0.034175
0.0,8,0.034415
0.0,5,0.034593
0.0,19,0.035113
0.0,26,0.035772
1.0,9,0.036048
0.0,7,0.03627
0.0,18,0.036759
0.0,11,0.037085
0.0,8,0.037339
0.0,40,0.038344
0.0,37,0.039269
0.0,7,0.039489
0.0,11,0.039816
0.0,28,0.040514
0.0,15,0.040935
0.0,13,0.04129
0.0,9,0.041567
0.0,4,0.041732
0.0,12,0.042073
0.0,7,0.042294
0.0,9,0.042565
0.0,37,0.043498
0.0,5,0.043684
0.0,8,0.043928
1.0,30,0.044701
0.0,28,0.045419
0.0,4,0.045578
0.0,27,0.046265
0.0,9,0.046536
0.0,3,0.046676
0.0,4,0.046828
0.0,28,0.047533
0.0,13,0.047904
0.0,3,0.04804
0.0,51,0.049289
0.0,19,0.049797
0.0,9,0.05007
0.0,28,0.050781
0.0,2,0.050888
0.0,2,0.050993
0.0,7,0.051214
0.0,13,0.051568
0.0,12,0.051908
0.0,19,0.052407
0.0,11,0.05273
0.0,9,0.053008
0.0,4,0.053159
0.0,3,0.053288
0.0,14,0.053684
0.0,29,0.054399
0.0,2,0.054503
0.0,22,0.055113
0.0,3,0.055249
0.0,8,0.055499
0.0,21,0.056058
0.0,6,0.056264
0.0,4,0.056416
0.0,7,0.056654
0.0,28,0.057345
0.0,10,0.057642
0.0,18,0.058119
0.0,34,0.05897
0.0,14,0.059355
0.0,5,0.059534
0.0,4,0.059701
0.0,14,0.060083
0.0,13,0.060448
0.0,17,0.060902
0.0,27,0.061576
0.0,36,0.062476
0.0,32,0.063264
0.0,10,0.063561
0.0,18,0.064049
0.0,45,0.065154
0.0,8,0.065409
0.0,7,0.065638
0.0,5,0.065817
0.0,45,0.066927
0.0,15,0.067339
0.0,26,0.068001
0.0,2,0.06811
0.0,3,0.068239
0.0,21,0.068803
0.0,23,0.069403
0.0,9,0.069686
0.0,6,0.069888
0.0,16,0.070321
0.0,11,0.070644
0.0,5,0.070827
1.0,22,0.071392
0.0,17,0.071851
0.0,14,0.072236
1.0,13,0.072605
0.0,21,0.073159
0.0,17,0.073618
1.0,37,0.074535
0.0,16,0.074982
0.0,29,0.075718
0.0,13,0.076085
0.0,19,0.076583
0.0,12,0.076936
0.0,12,0.077274
0.0,5,0.077456
0.0,23,0.078064
0.0,31,0.078845
0.0,6,0.079047
0.0,10,0.079342
0.0,7,0.079569
0.0,6,0.079781
0.0,12,0.080116
0.0,38,0.081056
0.0,24,0.081684
0.0,6,0.081885
0.0,6,0.082087
0.0,26,0.082751
1.0,20,0.083273
1.0,35,0.084145
0.0,16,0.084573
0.0,14,0.084973
0.0,10,0.085262
1.0,9,0.085533
0.0,11,0.085862
0.0,10,0.086163
0.0,40,0.087145
0.0,20,0.087686
0.0,29,0.088417
0.0,16,0.08887
0.0,8,0.089124
0.0,11,0.089444
0.0,16,0.089891
0.0,6,0.090091
0.0,13,0.090454
0.0,6,0.090685
0.0,6,0.090889
0.0,14,0.091271
0.0,58,0.092689
0.0,3,0.092821
0.0,16,0.093256
0.0,10,0.093549
0.0,16,0.093996
0.0,20,0.094521
0.0,34,0.095375
0.0,8,0.095627
0.0,5,0.09581
0.0,23,0.096392
1.0,23,0.096996
0.0,37,0.097911
0.0,4,0.098066
1.0,12,0.098396
0.0,16,0.098828
0.0,7,0.099054
0.0,17,0.099504
0.0,13,0.099868
0.0,6,0.100066
0.0,16,0.100499
0.0,11,0.100835
0.0,24,0.101444
0.0,4,0.101603
0.0,3,0.101735
0.0,4,0.101895
0.0,37,0.102814
0.0,30,0.103559
0.0,28,0.104286
0.0,58,0.105692
0.0,25,0.106328
1.0,13,0.106772
0.0,10,0.107064
0.0,5,0.10724
0.0,16,0.107682
0.0,18,0.108161
0.0,23,0.108765
0.0,14,0.109164
0.0,11,0.109481
0.0,36,0.110385
0.0,11,0.110716
0.0,33,0.11154
0.0,4,0.111702
0.0,16,0.112129
0.0,21,0.112693
0.0,5,0.112882
0.0,27,0.113567
0.0,15,0.113988
0.0,6,0.114191
0.0,9,0.114464
0.0,40,0.11545
0.0,4,0.115618
0.0,35,0.116484
0.0,3,0.116622
0.0,8,0.116878
0.0,4,0.11703
0.0,43,0.118096
1.0,9,0.118375
0.0,12,0.118726
0.0,5,0.118903
0.0,2,0.119006
0.0,31,0.119799
1.0,38,0.120753
0.0,16,0.121195
0.0,25,0.12185
0.0,7,0.12208
0.0,33,0.122908
0.0,2,0.123014
0.0,4,0.123166
1.0,24,0.123796
1.0,16,0.12422
0.0,5,0.124393
0.0,43,0.12546
0.0,25,0.126107
0.0,5,0.126293
0.0,5,0.126468
0.0,27,0.127151
0.0,5,0.127324
0.0,15,0.127748
0.0,8,0.12799
0.0,53,0.129281
0.0,4,0.129441
0.0,2,0.12955
0.0,9,0.129837
0.0,20,0.130361
0.0,18,0.130855
0.0,6,0.131059
0.0,5,0.131239
0.0,8,0.131487
0.0,5,0.131679
0.0,7,0.131908
0.0,34,0.132776
0.0,39,0.133754
0.0,11,0.134085
0.0,13,0.134465
0.0,9,0.134752
0.0,18,0.135232
0.0,48,0.136395
0.0,7,0.136631
0.0,40,0.137611
0.0,11,0.137924
1.0,24,0.138538
0.0,6,0.138744
0.0,10,0.139035
0.0,4,0.139193
0.0,14,0.13957
0.0,2,0.139688
0.0,7,0.139919
0.0,25,0.140556
1.0,19,0.141064
0.0,11,0.141391
0.0,8,0.141649
0.0,36,0.14254
0.0,23,0.143137
0.0,11,0.143463
0.0,9,0.14375
0.0,4,0.143904
0.0,22,0.144467
0.0,16,0.144916
1.0,9,0.145185
0.0,19,0.1457
0.0,6,0.145908
0.0,3,0.146043
0.0,10,0.146342
0.0,6,0.146547
0.0,7,0.146777
0.0,6,0.146984
0.0,11,0.147301
0.0,2,0.147408
0.0,13,0.147783
0.0,5,0.147964
0.0,14,0.148351
0.0,12,0.14871
0.0,5,0.148886
0.0,5,0.149058
0.0,8,0.14931
0.0,7,0.149531
0.0,9,0.149806
0.0,3,0.149935
0.0,10,0.150234
0.0,16,0.150669
0.0,4,0.150821
0.0,10,0.151123
0.0,14,0.151522
0.0,12,0.151878
0.0,12,0.15222
0.0,18,0.152716
0.0,13,0.153074
0.0,4,0.153229
0.0,9,0.153496
0.0,11,0.153829
0.0,11,0.154148
0.0,47,0.155288
0.0,22,0.155869
0.0,24,0.156488
0.0,17,0.15695
0.0,8,0.157196
0.0,30,0.157965
0.0,15,0.158372
0.0,15,0.158791
1.0,17,0.159248
0.0,4,0.159398
0.0,8,0.159649
0.0,36,0.160538
0.0,5,0.160729
0.0,2,0.160837
0.0,10,0.16113
0.0,39,0.162098
0.0,33,0.162946
0.0,5,0.163128
0.0,2,0.163234
0.0,8,0.163476
0.0,11,0.163803
0.0,6,0.164002
0.0,11,0.164311
0.0,8,0.164555
