#{"t_start": 1522148789.2369795, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006542
0.0,3,0.006693
0.0,11,0.007031
0.0,4,0.007187
0.0,8,0.007439
0.0,10,0.007747
0.0,2,0.007855
0.0,3,0.007982
0.0,5,0.008163
0.0,2,0.008268
0.0,4,0.008424
0.0,15,0.008845
0.0,26,0.009508
0.0,9,0.00979
0.0,22,0.010367
0.0,8,0.010624
0.0,9,0.010901
0.0,24,0.01152
0.0,2,0.01164
0.0,17,0.012107
0.0,12,0.012453
0.0,21,0.013025
0.0,3,0.013163
0.0,13,0.013538
0.0,9,0.013817
0.0,38,0.01476
0.0,10,0.015061
0.0,9,0.01533
0.0,12,0.015682
0.0,13,0.016053
0.0,8,0.016303
0.0,21,0.016871
0.0,11,0.017193
0.0,3,0.017325
0.0,45,0.018441
0.0,10,0.018758
1.0,17,0.019228
0.0,47,0.020399
0.0,10,0.02071
0.0,37,0.021662
0.0,14,0.022058
0.0,15,0.02247
0.0,12,0.022823
1.0,24,0.023455
0.0,2,0.023573
0.0,15,0.023986
0.0,8,0.024235
0.0,6,0.024438
0.0,4,0.024614
0.0,2,0.024734
0.0,4,0.024885
0.0,4,0.025033
0.0,3,0.025159
0.0,15,0.025583
0.0,5,0.025769
0.0,10,0.026069
0.0,4,0.026219
0.0,12,0.026574
0.0,13,0.026952
0.0,5,0.027136
0.0,8,0.02738
0.0,15,0.0278
0.0,6,0.028003
0.0,10,0.0283
0.0,7,0.028519
0.0,8,0.028773
0.0,16,0.02921
0.0,2,0.029319
0.0,7,0.029561
0.0,5,0.029737
0.0,5,0.029916
0.0,3,0.030043
0.0,3,0.030176
0.0,6,0.030377
0.0,3,0.030509
0.0,28,0.03123
0.0,23,0.03184
0.0,3,0.031969
0.0,3,0.032096
0.0,8,0.032351
0.0,2,0.032459
0.0,17,0.032931
0.0,4,0.033094
0.0,4,0.033251
0.0,2,0.033355
1.0,15,0.033769
0.0,2,0.033879
0.0,4,0.034036
0.0,11,0.034362
1.0,17,0.034838
0.0,12,0.035184
0.0,10,0.03548
0.0,28,0.036201
1.0,9,0.036467
0.0,29,0.037212
0.0,3,0.037342
1.0,8,0.037606
0.0,4,0.037757
0.0,5,0.037938
0.0,6,0.038136
0.0,2,0.038239
1.0,14,0.038639
0.0,13,0.039006
0.0,8,0.039263
1.0,18,0.039752
0.0,12,0.040093
0.0,4,0.04025
0.0,6,0.040453
0.0,16,0.040906
0.0,19,0.041414
0.0,12,0.041769
0.0,12,0.042114
0.0,11,0.042434
0.0,26,0.043111
0.0,6,0.043318
0.0,13,0.043693
1.0,20,0.04422
0.0,8,0.044463
0.0,20,0.044997
0.0,16,0.045423
0.0,15,0.04585
0.0,10,0.046154
0.0,8,0.046404
0.0,16,0.046857
0.0,2,0.046968
0.0,17,0.047437
0.0,2,0.047555
0.0,10,0.047865
0.0,4,0.048016
0.0,3,0.048148
0.0,9,0.048416
0.0,6,0.048625
0.0,8,0.048875
0.0,11,0.049199
0.0,5,0.049376
0.0,7,0.049615
0.0,2,0.049724
0.0,5,0.049897
0.0,46,0.05103
0.0,9,0.051303
0.0,2,0.051415
0.0,13,0.051793
0.0,35,0.052678
0.0,10,0.052976
0.0,5,0.053156
0.0,16,0.053602
0.0,4,0.053754
0.0,3,0.053885
0.0,8,0.054137
0.0,67,0.05578
0.0,5,0.055963
0.0,8,0.056216
0.0,7,0.056447
0.0,17,0.056918
0.0,13,0.05729
0.0,6,0.057489
0.0,8,0.057754
0.0,11,0.058077
0.0,31,0.058877
1.0,7,0.059101
1.0,15,0.05951
1.0,21,0.06007
0.0,18,0.060568
0.0,31,0.061357
0.0,3,0.061484
0.0,14,0.061886
0.0,3,0.062016
0.0,5,0.062196
0.0,5,0.062377
0.0,4,0.062539
0.0,3,0.062669
0.0,8,0.062913
0.0,3,0.063038
0.0,28,0.063754
0.0,33,0.0646
0.0,55,0.065957
0.0,8,0.066201
0.0,6,0.066398
0.0,2,0.0665
0.0,30,0.067265
0.0,6,0.067464
0.0,28,0.068189
0.0,5,0.068365
0.0,4,0.06852
0.0,14,0.068919
0.0,12,0.069255
0.0,10,0.069551
0.0,22,0.07013
0.0,12,0.070472
0.0,3,0.070608
0.0,2,0.070711
1.0,40,0.071717
0.0,9,0.072002
0.0,5,0.072175
0.0,2,0.072277
0.0,11,0.072603
0.0,6,0.072801
0.0,9,0.073066
0.0,30,0.073834
0.0,3,0.073968
0.0,3,0.074096
1.0,27,0.074785
0.0,17,0.075252
1.0,13,0.075627
0.0,5,0.075809
0.0,17,0.076269
0.0,2,0.076379
0.0,5,0.076571
0.0,6,0.076771
0.0,23,0.077378
0.0,8,0.077641
0.0,18,0.078127
0.0,11,0.078453
0.0,4,0.078615
0.0,10,0.078907
1.0,18,0.079386
0.0,5,0.079578
0.0,6,0.079784
0.0,7,0.080011
0.0,2,0.080115
0.0,12,0.080457
0.0,11,0.080791
0.0,12,0.081141
0.0,10,0.081441
0.0,14,0.081847
0.0,14,0.082246
0.0,6,0.082453
0.0,21,0.083033
0.0,2,0.083138
0.0,13,0.083498
0.0,12,0.083852
0.0,14,0.084315
0.0,9,0.08463
0.0,14,0.085046
0.0,9,0.08532
0.0,19,0.085836
0.0,5,0.086013
0.0,5,0.086193
0.0,27,0.086892
0.0,7,0.087126
0.0,11,0.087441
0.0,27,0.088147
0.0,4,0.088303
0.0,29,0.089061
0.0,8,0.089315
0.0,9,0.0896
0.0,20,0.090163
0.0,14,0.090583
0.0,9,0.090854
0.0,6,0.091058
0.0,10,0.09135
0.0,4,0.091501
0.0,22,0.092088
0.0,35,0.093011
0.0,8,0.093257
0.0,5,0.09343
0.0,8,0.093684
0.0,19,0.094208
0.0,15,0.094627
0.0,3,0.094761
0.0,13,0.095133
0.0,9,0.095409
0.0,2,0.095517
0.0,14,0.09593
0.0,9,0.096208
0.0,3,0.096345
0.0,2,0.096449
0.0,5,0.096632
0.0,2,0.096742
0.0,21,0.097292
1.0,17,0.097767
0.0,2,0.097873
0.0,5,0.098047
0.0,9,0.098324
0.0,3,0.098455
0.0,7,0.098695
0.0,17,0.09915
0.0,4,0.0993
1.0,17,0.099767
0.0,14,0.100155
1.0,8,0.100412
0.0,8,0.100674
0.0,4,0.100836
0.0,13,0.101215
0.0,4,0.101367
0.0,7,0.101606
0.0,12,0.10195
0.0,11,0.102269
0.0,3,0.102397
0.0,13,0.102777
0.0,17,0.103238
0.0,4,0.103388
0.0,7,0.103619
0.0,16,0.104058
0.0,5,0.104233
0.0,4,0.104383
0.0,3,0.104516
0.0,23,0.10513
1.0,8,0.105381
0.0,25,0.106027
0.0,14,0.106416
0.0,17,0.106957
0.0,7,0.107187
0.0,5,0.107363
0.0,14,0.107774
0.0,11,0.108092
0.0,2,0.108196
0.0,13,0.108581
0.0,4,0.108735
0.0,7,0.108955
0.0,6,0.109162
0.0,16,0.109605
0.0,3,0.109733
0.0,23,0.110333
0.0,5,0.110513
0.0,11,0.110836
0.0,5,0.111009
0.0,6,0.111212
0.0,3,0.111344
0.0,4,0.111496
0.0,7,0.111725
0.0,12,0.11207
