#{"t_start": 1522149903.3406274, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.031273
0.0,3,0.031583
0.0,6,0.032084
0.0,14,0.033088
0.0,36,0.035492
0.0,7,0.036067
0.0,50,0.038288
0.0,11,0.038824
0.0,4,0.03907
0.0,13,0.039684
0.0,8,0.040102
0.0,3,0.040299
0.0,7,0.040661
0.0,7,0.041036
0.0,10,0.041524
0.0,5,0.041801
0.0,30,0.043146
0.0,6,0.043469
0.0,37,0.045098
0.0,14,0.045757
0.0,4,0.04601
0.0,7,0.046378
0.0,2,0.04653
0.0,9,0.046988
0.0,12,0.047563
0.0,19,0.048439
0.0,6,0.048765
0.0,3,0.04897
0.0,12,0.049546
0.0,5,0.049825
0.0,5,0.050116
0.0,7,0.050483
0.0,26,0.051653
0.0,14,0.052326
0.0,7,0.052692
0.0,12,0.053279
0.0,5,0.053559
0.0,9,0.054016
0.0,5,0.0543
0.0,3,0.054493
0.0,10,0.054993
0.0,15,0.055693
0.0,9,0.056156
0.0,4,0.056395
0.0,14,0.057064
0.0,19,0.057936
0.0,17,0.058719
0.0,10,0.059222
0.0,13,0.059839
0.0,18,0.06068
0.0,23,0.061725
0.0,16,0.062481
0.0,18,0.063319
0.0,4,0.063557
0.0,8,0.063974
0.0,8,0.064377
0.0,16,0.065127
0.0,8,0.065533
0.0,11,0.066079
0.0,30,0.067418
0.0,25,0.068547
0.0,18,0.069384
0.0,12,0.069966
0.0,11,0.070496
0.0,15,0.071205
0.0,38,0.072883
0.0,7,0.073256
0.0,12,0.073831
0.0,20,0.074746
0.0,33,0.076235
0.0,10,0.076724
0.0,11,0.077267
0.0,6,0.07759
0.0,5,0.077874
0.0,12,0.07846
0.0,5,0.078742
0.0,5,0.079031
0.0,32,0.080463
0.0,28,0.081729
0.0,14,0.082401
0.0,19,0.083282
0.0,13,0.083903
0.0,8,0.084314
0.0,25,0.085446
0.0,14,0.086119
0.0,26,0.087298
0.0,7,0.087661
0.0,11,0.088205
0.0,6,0.088531
0.0,11,0.089076
0.0,5,0.089355
0.0,27,0.09057
0.0,7,0.090943
0.0,10,0.09143
0.0,4,0.091666
0.0,10,0.092168
0.0,4,0.092407
0.0,3,0.092602
0.0,4,0.09284
0.0,6,0.093172
0.0,17,0.093966
0.0,2,0.094122
0.0,5,0.094399
1.0,24,0.095479
0.0,24,0.09657
0.0,5,0.096852
0.0,91,0.100783
0.0,13,0.101412
0.0,11,0.101956
0.0,7,0.102323
0.0,7,0.102683
0.0,25,0.103812
0.0,2,0.103974
0.0,9,0.10442
1.0,44,0.106406
1.0,36,0.108008
0.0,13,0.10862
0.0,7,0.108997
0.0,4,0.109235
0.0,3,0.109432
0.0,12,0.110014
0.0,9,0.110466
0.0,22,0.111509
0.0,11,0.112053
0.0,16,0.1128
0.0,8,0.113214
0.0,6,0.113541
0.0,11,0.114086
0.0,7,0.11445
0.0,8,0.114859
0.0,2,0.115021
0.0,7,0.115386
1.0,17,0.116182
0.0,5,0.116464
0.0,16,0.117219
0.0,19,0.118096
0.0,14,0.11875
0.0,11,0.119286
0.0,5,0.119567
0.0,38,0.121249
0.0,8,0.121656
0.0,12,0.122244
0.0,9,0.122697
0.0,4,0.122943
0.0,28,0.124202
0.0,5,0.124488
0.0,24,0.125573
0.0,6,0.125897
0.0,4,0.126149
0.0,4,0.126393
0.0,11,0.126921
0.0,10,0.127421
0.0,10,0.127911
0.0,24,0.129006
0.0,40,0.130762
0.0,8,0.131253
0.0,3,0.131451
0.0,17,0.132252
0.0,3,0.132447
0.0,8,0.132856
0.0,14,0.133525
0.0,13,0.134153
1.0,6,0.134474
0.0,20,0.135397
0.0,3,0.135594
0.0,18,0.136437
0.0,24,0.137526
0.0,14,0.138193
0.0,31,0.139569
0.0,23,0.140619
0.0,10,0.141122
0.0,8,0.141526
0.0,13,0.142151
0.0,10,0.142645
0.0,6,0.142977
0.0,12,0.143549
0.0,5,0.143826
0.0,12,0.144409
0.0,15,0.145119
0.0,7,0.145486
0.0,13,0.146121
0.0,10,0.14661
0.0,14,0.147281
0.0,3,0.147476
0.0,2,0.147627
0.0,3,0.147822
0.0,16,0.148569
0.0,10,0.149067
0.0,8,0.149474
0.0,14,0.150145
0.0,16,0.150885
0.0,26,0.152061
0.0,7,0.152426
0.0,17,0.153223
0.0,4,0.153462
0.0,8,0.153867
0.0,10,0.154363
0.0,18,0.155196
0.0,8,0.155602
0.0,3,0.155798
0.0,12,0.15639
0.0,17,0.157187
0.0,14,0.15785
1.0,16,0.158609
0.0,7,0.158986
0.0,10,0.159477
0.0,5,0.159758
0.0,8,0.160173
0.0,21,0.161136
0.0,16,0.161882
0.0,4,0.162132
0.0,7,0.162498
0.0,36,0.164088
0.0,17,0.164875
0.0,47,0.166946
0.0,8,0.167351
0.0,5,0.167629
0.0,8,0.168047
0.0,12,0.168629
0.0,2,0.168781
0.0,8,0.169201
0.0,35,0.170753
0.0,18,0.171592
0.0,6,0.171917
0.0,6,0.172248
0.0,8,0.172651
0.0,10,0.173159
0.0,18,0.174003
0.0,3,0.174199
1.0,12,0.174769
0.0,8,0.175186
0.0,15,0.175887
0.0,4,0.176143
0.0,19,0.177027
0.0,16,0.17777
0.0,24,0.178859
0.0,10,0.179366
0.0,4,0.179606
0.0,33,0.181071
0.0,9,0.181519
0.0,18,0.182355
0.0,10,0.182845
0.0,20,0.183767
0.0,16,0.184517
0.0,34,0.186047
0.0,7,0.186433
0.0,6,0.186754
0.0,59,0.189327
0.0,33,0.190789
0.0,18,0.191623
0.0,10,0.192122
0.0,10,0.192613
0.0,7,0.192988
0.0,2,0.193144
0.0,14,0.193797
0.0,7,0.194169
0.0,9,0.194619
0.0,12,0.195214
0.0,18,0.196053
0.0,3,0.196252
0.0,3,0.196448
0.0,7,0.196814
0.0,5,0.197105
0.0,6,0.197426
0.0,2,0.197579
0.0,9,0.19804
0.0,17,0.198823
0.0,4,0.19907
0.0,3,0.199266
0.0,12,0.199836
0.0,15,0.200552
0.0,18,0.201396
0.0,2,0.20155
0.0,30,0.202892
0.0,12,0.203475
0.0,5,0.203757
0.0,7,0.204136
1.0,7,0.204504
0.0,5,0.204785
0.0,37,0.20644
0.0,3,0.206637
0.0,7,0.207017
0.0,7,0.207387
0.0,13,0.208023
0.0,3,0.208221
0.0,6,0.20854
0.0,11,0.209082
0.0,7,0.209445
0.0,6,0.209769
0.0,2,0.209921
0.0,5,0.210214
0.0,6,0.210536
0.0,4,0.210774
0.0,22,0.211777
0.0,8,0.212192
0.0,46,0.214202
0.0,18,0.215041
0.0,41,0.216835
0.0,24,0.21792
0.0,8,0.218339
0.0,5,0.218619
0.0,10,0.219118
0.0,6,0.219437
0.0,5,0.219715
0.0,7,0.220091
0.0,40,0.221843
0.0,6,0.222176
0.0,7,0.222538
0.0,4,0.222774
