#{"t_start": 1522158028.088541, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.013697
0.0,9,0.013963
0.0,5,0.014129
0.0,7,0.014328
0.0,87,0.016133
0.0,28,0.01677
0.0,9,0.017011
0.0,4,0.017149
0.0,3,0.017273
0.0,75,0.01887
0.0,37,0.019665
0.0,42,0.020561
0.0,3,0.020685
0.0,4,0.020829
0.0,9,0.021072
0.0,8,0.021295
0.0,44,0.022282
0.0,47,0.023324
0.0,8,0.023559
0.0,24,0.02409
0.0,32,0.024828
0.0,9,0.025069
0.0,13,0.025386
0.0,25,0.025954
1.0,15,0.026317
0.0,10,0.026584
1.0,30,0.02724
0.0,30,0.027928
1.0,35,0.028687
0.0,18,0.029111
0.0,15,0.029474
0.0,9,0.029731
0.0,5,0.029916
0.0,3,0.030046
0.0,9,0.030283
1.0,33,0.031038
0.0,8,0.031266
0.0,24,0.031815
1.0,8,0.032041
0.0,35,0.032811
0.0,24,0.033352
0.0,38,0.034204
0.0,45,0.035176
0.0,23,0.035736
1.0,67,0.03715
0.0,18,0.03758
0.0,8,0.0378
0.0,16,0.038169
1.0,14,0.038515
0.0,21,0.038996
0.0,17,0.039401
0.0,10,0.039727
1.0,8,0.039954
0.0,9,0.040196
0.0,21,0.040684
0.0,6,0.04087
0.0,12,0.041167
0.0,17,0.041578
0.0,28,0.0422
0.0,9,0.042438
1.0,15,0.042836
0.0,31,0.043504
0.0,14,0.043853
1.0,14,0.044188
1.0,68,0.045614
0.0,9,0.045874
1.0,15,0.046236
0.0,54,0.047359
0.0,13,0.04769
1.0,23,0.048218
0.0,25,0.048914
0.0,2,0.049046
1.0,26,0.049704
1.0,34,0.050443
1.0,16,0.050836
1.0,26,0.051415
0.0,11,0.051729
1.0,24,0.052259
0.0,12,0.052569
0.0,25,0.053123
1.0,14,0.053471
0.0,26,0.054065
1.0,22,0.054587
0.0,10,0.05487
0.0,23,0.055395
0.0,12,0.055707
0.0,7,0.055906
1.0,69,0.05733
1.0,22,0.057875
0.0,13,0.058207
0.0,10,0.058463
0.0,6,0.058656
0.0,13,0.058971
1.0,45,0.059929
0.0,22,0.06043
0.0,66,0.061857
1.0,28,0.062468
0.0,18,0.062901
0.0,18,0.063319
1.0,26,0.063935
0.0,7,0.064142
1.0,30,0.064804
1.0,18,0.065223
1.0,42,0.066132
1.0,54,0.0673
0.0,5,0.067468
0.0,22,0.068008
0.0,9,0.068257
0.0,2,0.06836
0.0,13,0.068696
0.0,3,0.068816
0.0,4,0.068953
1.0,17,0.069357
0.0,11,0.069676
1.0,50,0.070743
1.0,9,0.070984
0.0,13,0.071304
0.0,7,0.071502
0.0,12,0.071817
1.0,10,0.072089
0.0,7,0.072286
1.0,8,0.072561
0.0,2,0.072677
1.0,17,0.073077
0.0,28,0.073711
0.0,39,0.074559
0.0,8,0.07478
0.0,32,0.075476
