#{"t_start": 1522148882.9084692, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.010002
0.0,3,0.010185
0.0,1,0.010287
0.0,3,0.010413
0.0,5,0.010577
0.0,5,0.010791
0.0,3,0.010928
0.0,20,0.01143
0.0,10,0.011718
0.0,7,0.011932
0.0,11,0.012227
1.0,10,0.012501
0.0,13,0.012888
0.0,7,0.013159
0.0,28,0.013867
0.0,2,0.013993
0.0,66,0.015452
0.0,11,0.01576
0.0,70,0.017278
0.0,7,0.017482
0.0,10,0.017762
0.0,23,0.018307
0.0,5,0.018476
0.0,8,0.018723
0.0,1,0.018804
0.0,11,0.0191
0.0,10,0.019374
0.0,9,0.019617
0.0,15,0.020003
0.0,17,0.020417
0.0,11,0.02071
0.0,6,0.020904
0.0,6,0.021095
0.0,17,0.021518
0.0,4,0.021668
0.0,1,0.021744
0.0,5,0.021916
0.0,9,0.022157
1.0,14,0.022501
0.0,11,0.022795
0.0,11,0.023079
0.0,7,0.023287
0.0,7,0.023507
0.0,4,0.023664
0.0,4,0.023812
1.0,13,0.024148
0.0,9,0.0244
0.0,4,0.024542
0.0,12,0.024859
1.0,8,0.02509
0.0,7,0.025294
0.0,14,0.025658
0.0,7,0.025865
0.0,10,0.026132
0.0,19,0.026589
0.0,1,0.026675
1.0,6,0.026861
0.0,9,0.027102
0.0,48,0.028174
0.0,8,0.028411
1.0,7,0.028615
0.0,1,0.028702
0.0,14,0.029066
1.0,25,0.029657
0.0,24,0.030219
0.0,19,0.030691
0.0,20,0.031171
0.0,23,0.031729
0.0,5,0.031893
0.0,44,0.032897
0.0,23,0.033449
0.0,8,0.033683
0.0,16,0.034088
0.0,13,0.034431
0.0,13,0.034781
0.0,8,0.035006
0.0,1,0.03508
0.0,1,0.035159
0.0,35,0.035974
0.0,5,0.036138
0.0,12,0.036463
0.0,16,0.036875
0.0,2,0.036974
0.0,22,0.037496
0.0,14,0.037871
0.0,6,0.038056
0.0,4,0.038201
0.0,4,0.038347
0.0,4,0.038488
0.0,30,0.039197
0.0,8,0.039432
0.0,15,0.039824
0.0,16,0.040223
0.0,5,0.040394
0.0,7,0.040605
0.0,10,0.040883
0.0,9,0.041139
0.0,17,0.041553
0.0,5,0.04173
0.0,4,0.041874
0.0,9,0.042129
0.0,6,0.042319
0.0,1,0.042394
0.0,30,0.043134
0.0,10,0.043401
0.0,25,0.043997
0.0,16,0.044391
0.0,13,0.044734
0.0,9,0.044981
0.0,11,0.045267
0.0,12,0.04557
0.0,6,0.045808
0.0,14,0.046196
0.0,4,0.046339
0.0,3,0.046466
0.0,20,0.047015
0.0,3,0.047136
0.0,7,0.047337
0.0,6,0.047523
0.0,15,0.047909
0.0,10,0.048188
0.0,28,0.048845
0.0,16,0.04925
0.0,20,0.049747
0.0,13,0.050087
0.0,11,0.050383
0.0,50,0.051505
0.0,21,0.052062
0.0,6,0.05225
1.0,17,0.052691
1.0,14,0.053072
0.0,17,0.053489
1.0,7,0.053706
0.0,10,0.053974
0.0,10,0.054236
0.0,5,0.054403
1.0,29,0.055084
0.0,6,0.05527
1.0,49,0.056369
0.0,12,0.056705
0.0,8,0.056931
0.0,17,0.057351
0.0,10,0.057614
0.0,12,0.057971
1.0,25,0.058571
1.0,8,0.058805
0.0,7,0.059008
0.0,12,0.059325
0.0,10,0.059597
0.0,1,0.059685
0.0,14,0.060036
0.0,10,0.060302
0.0,50,0.061404
0.0,36,0.062225
0.0,4,0.062372
0.0,22,0.062904
0.0,4,0.063047
0.0,1,0.063125
0.0,24,0.063695
0.0,5,0.063865
0.0,5,0.064038
0.0,11,0.064338
0.0,8,0.064573
0.0,5,0.064754
0.0,3,0.064881
0.0,17,0.065294
1.0,16,0.065688
0.0,26,0.066283
0.0,24,0.066854
0.0,12,0.06717
0.0,9,0.067418
0.0,37,0.068289
0.0,5,0.068458
0.0,9,0.068717
0.0,6,0.068907
0.0,15,0.06928
0.0,8,0.069515
0.0,9,0.069775
0.0,6,0.069968
0.0,1,0.070047
0.0,36,0.070864
0.0,7,0.071069
0.0,27,0.071694
0.0,7,0.0719
1.0,38,0.072757
0.0,13,0.073088
0.0,10,0.073359
0.0,63,0.074744
0.0,23,0.075296
0.0,23,0.075858
0.0,10,0.076126
0.0,6,0.076319
0.0,29,0.07699
0.0,26,0.077602
0.0,46,0.078626
0.0,3,0.078757
0.0,4,0.078908
0.0,4,0.079055
0.0,8,0.079282
0.0,1,0.079356
0.0,11,0.079661
0.0,14,0.080012
0.0,9,0.080266
0.0,5,0.080429
0.0,13,0.080768
0.0,1,0.080844
1.0,7,0.081059
0.0,14,0.081419
0.0,14,0.081785
0.0,17,0.082212
0.0,24,0.082787
0.0,9,0.083048
0.0,2,0.083153
0.0,7,0.083359
0.0,4,0.083499
0.0,13,0.083838
0.0,4,0.083984
0.0,13,0.084312
0.0,7,0.084514
0.0,21,0.085039
0.0,1,0.085115
0.0,12,0.08543
0.0,1,0.085505
0.0,25,0.086094
0.0,3,0.086216
0.0,11,0.086504
0.0,19,0.08702
0.0,4,0.087169
0.0,6,0.087355
1.0,10,0.087626
0.0,4,0.087781
0.0,6,0.088006
0.0,1,0.088082
0.0,10,0.088357
0.0,1,0.088437
0.0,38,0.089368
0.0,12,0.089699
0.0,9,0.089955
0.0,16,0.090362
0.0,1,0.090441
0.0,4,0.090585
0.0,10,0.090861
0.0,25,0.091453
1.0,12,0.091784
0.0,9,0.09207
0.0,6,0.092254
0.0,3,0.092389
0.0,12,0.092738
0.0,5,0.092911
0.0,1,0.093006
0.0,12,0.093315
0.0,13,0.09368
0.0,22,0.094242
0.0,6,0.094431
0.0,7,0.094652
0.0,14,0.095016
0.0,8,0.095246
0.0,20,0.095747
0.0,13,0.096083
0.0,15,0.096459
0.0,9,0.096717
0.0,7,0.096927
0.0,46,0.098003
0.0,11,0.098291
0.0,5,0.098452
0.0,4,0.098598
0.0,17,0.099022
0.0,6,0.099214
0.0,1,0.099293
0.0,9,0.099547
0.0,18,0.100003
0.0,5,0.100173
0.0,9,0.100438
0.0,60,0.101757
0.0,24,0.102311
0.0,68,0.103815
0.0,8,0.104047
0.0,7,0.104259
0.0,14,0.104615
0.0,26,0.105233
0.0,4,0.105384
0.0,12,0.10571
0.0,2,0.105815
0.0,5,0.105985
0.0,13,0.106319
0.0,6,0.106508
0.0,69,0.108037
0.0,22,0.108552
0.0,16,0.108959
0.0,7,0.109169
0.0,20,0.109657
0.0,3,0.109779
0.0,36,0.110585
0.0,21,0.111194
0.0,1,0.111274
0.0,25,0.111909
0.0,9,0.112186
0.0,17,0.112602
0.0,5,0.112785
0.0,15,0.113163
0.0,4,0.113302
0.0,1,0.113375
0.0,15,0.113758
0.0,11,0.114049
0.0,4,0.114194
0.0,9,0.11445
1.0,15,0.11483
0.0,25,0.115402
0.0,1,0.115476
1.0,16,0.115876
1.0,32,0.116609
1.0,21,0.117103
0.0,35,0.117883
0.0,1,0.117963
0.0,5,0.118126
0.0,4,0.118265
0.0,6,0.118452
0.0,10,0.118734
0.0,11,0.119028
0.0,5,0.119189
0.0,7,0.119395
0.0,2,0.119498
1.0,22,0.120024
0.0,68,0.12154
0.0,24,0.122124
1.0,17,0.12254
1.0,16,0.122936
0.0,20,0.123411
1.0,16,0.12382
0.0,41,0.124735
0.0,21,0.125244
0.0,9,0.12549
0.0,38,0.126369
0.0,9,0.126617
0.0,26,0.127256
0.0,5,0.127422
0.0,6,0.127603
0.0,11,0.127937
0.0,2,0.128049
0.0,9,0.128305
0.0,19,0.128773
0.0,14,0.129126
0.0,6,0.129313
1.0,10,0.129577
1.0,25,0.130165
0.0,4,0.130309
0.0,4,0.130455
0.0,7,0.130667
0.0,29,0.131333
0.0,10,0.131609
0.0,7,0.131833
0.0,1,0.131909
0.0,45,0.132906
0.0,22,0.133419
0.0,5,0.133584
0.0,17,0.134017
1.0,10,0.134283
0.0,21,0.134792
0.0,9,0.135044
0.0,37,0.135881
0.0,14,0.136235
1.0,15,0.136612
0.0,13,0.136942
0.0,9,0.137192
1.0,13,0.137519
0.0,20,0.138
0.0,4,0.138141
0.0,3,0.138265
1.0,33,0.139005
0.0,21,0.139508
0.0,12,0.139828
0.0,17,0.140246
0.0,12,0.140561
0.0,2,0.140666
1.0,23,0.141205
0.0,3,0.141322
1.0,28,0.141971
0.0,7,0.142172
0.0,37,0.143064
1.0,14,0.143411
1.0,20,0.143896
1.0,27,0.144515
0.0,16,0.144924
0.0,24,0.145483
0.0,21,0.145993
0.0,12,0.146314
0.0,19,0.14677
0.0,13,0.14711
0.0,5,0.147279
0.0,7,0.147481
0.0,5,0.147641
0.0,9,0.147934
0.0,4,0.148096
0.0,2,0.148196
0.0,8,0.148419
0.0,1,0.148493
1.0,20,0.149027
0.0,16,0.149425
0.0,3,0.149545
1.0,15,0.149934
0.0,5,0.150102
0.0,23,0.150652
0.0,10,0.150925
0.0,15,0.151303
0.0,20,0.151822
0.0,2,0.151961
1.0,30,0.152728
1.0,16,0.153147
0.0,4,0.153286
0.0,4,0.153426
0.0,3,0.15355
0.0,17,0.153976
0.0,44,0.154966
0.0,8,0.155197
0.0,5,0.155359
0.0,12,0.155672
0.0,17,0.156078
0.0,17,0.156495
0.0,9,0.156764
0.0,5,0.156933
0.0,17,0.157348
0.0,7,0.157551
0.0,1,0.157625
0.0,11,0.157921
0.0,11,0.158213
0.0,15,0.158577
0.0,12,0.158899
0.0,5,0.159075
1.0,17,0.159495
0.0,14,0.159862
0.0,15,0.160227
1.0,21,0.160733
1.0,11,0.161027
0.0,2,0.161124
1.0,24,0.161696
0.0,4,0.161844
0.0,3,0.161968
0.0,28,0.162624
0.0,3,0.162753
0.0,5,0.16292
0.0,9,0.163172
0.0,7,0.163383
0.0,34,0.16417
0.0,20,0.16466
1.0,16,0.165062
0.0,27,0.165693
0.0,16,0.166095
0.0,20,0.166569
0.0,13,0.166908
0.0,28,0.167551
0.0,11,0.167846
0.0,10,0.168122
0.0,19,0.168588
0.0,19,0.169098
1.0,24,0.169676
0.0,26,0.170277
0.0,1,0.170353
0.0,9,0.170597
0.0,3,0.170725
0.0,11,0.171021
0.0,20,0.171504
0.0,3,0.171623
0.0,6,0.171848
0.0,5,0.172038
0.0,23,0.172582
0.0,4,0.172742
0.0,13,0.17308
0.0,9,0.173331
1.0,10,0.173603
0.0,10,0.173884
1.0,14,0.174243
0.0,10,0.174516
0.0,7,0.174729
0.0,11,0.17502
0.0,9,0.17526
0.0,19,0.175726
0.0,38,0.176568
0.0,3,0.176698
0.0,22,0.177205
0.0,27,0.177838
0.0,5,0.177998
0.0,1,0.178077
0.0,4,0.178219
0.0,12,0.178532
0.0,10,0.178817
0.0,5,0.178986
0.0,7,0.179197
0.0,19,0.179654
0.0,1,0.179735
0.0,8,0.179965
0.0,2,0.180068
0.0,1,0.180148
0.0,34,0.180921
0.0,3,0.181043
0.0,16,0.181451
0.0,1,0.181531
0.0,6,0.181728
1.0,10,0.182009
0.0,13,0.182343
0.0,11,0.182629
0.0,11,0.18292
0.0,57,0.184216
0.0,10,0.184482
0.0,8,0.184722
0.0,22,0.185234
0.0,8,0.185461
0.0,31,0.18619
0.0,6,0.186374
0.0,3,0.186499
0.0,19,0.187007
1.0,41,0.187962
0.0,1,0.188049
0.0,13,0.188382
0.0,2,0.188486
0.0,68,0.190008
0.0,8,0.190248
0.0,7,0.19045
0.0,16,0.190878
0.0,16,0.191286
0.0,5,0.191456
0.0,10,0.191743
0.0,4,0.19189
0.0,13,0.192235
0.0,10,0.192509
0.0,1,0.192584
0.0,7,0.192813
0.0,12,0.193166
0.0,26,0.193803
1.0,25,0.194407
0.0,1,0.194485
0.0,59,0.195791
0.0,1,0.195868
0.0,14,0.196225
0.0,7,0.196433
0.0,5,0.196602
0.0,10,0.196878
0.0,18,0.197321
0.0,2,0.197424
1.0,44,0.19842
0.0,5,0.198584
1.0,13,0.198969
0.0,6,0.199156
0.0,13,0.199488
0.0,3,0.199616
0.0,1,0.199699
0.0,3,0.199822
0.0,8,0.200052
0.0,17,0.200462
0.0,13,0.200794
0.0,16,0.201187
0.0,45,0.202187
0.0,17,0.202603
0.0,6,0.202803
0.0,12,0.20312
1.0,9,0.203363
0.0,27,0.20399
0.0,13,0.204326
0.0,6,0.204514
0.0,10,0.204789
0.0,5,0.204958
1.0,8,0.205184
0.0,3,0.205311
0.0,5,0.205476
0.0,26,0.20609
0.0,7,0.206295
0.0,9,0.206548
0.0,13,0.206901
0.0,14,0.207253
0.0,3,0.207371
1.0,18,0.207815
0.0,18,0.208249
0.0,40,0.209151
0.0,14,0.20951
0.0,23,0.210066
0.0,59,0.211436
1.0,15,0.211993
0.0,9,0.212255
0.0,6,0.212445
0.0,26,0.213071
0.0,9,0.213326
0.0,25,0.213955
0.0,5,0.214121
0.0,7,0.214324
0.0,20,0.214831
0.0,31,0.215616
0.0,6,0.215836
0.0,7,0.216068
0.0,4,0.216208
0.0,27,0.216905
0.0,5,0.217108
0.0,3,0.217227
0.0,10,0.217491
0.0,1,0.217565
0.0,21,0.218156
1.0,35,0.218972
0.0,11,0.219277
0.0,10,0.219555
0.0,18,0.220048
0.0,9,0.220306
0.0,9,0.220568
0.0,3,0.220719
0.0,12,0.221059
0.0,46,0.222175
0.0,10,0.222437
0.0,35,0.223281
0.0,28,0.223978
0.0,3,0.224103
0.0,6,0.224294
0.0,16,0.224706
0.0,3,0.224827
0.0,20,0.225307
0.0,6,0.225498
0.0,7,0.22574
0.0,4,0.2259
0.0,40,0.226857
0.0,12,0.227191
0.0,24,0.227767
0.0,30,0.228464
0.0,47,0.229558
0.0,32,0.230351
0.0,6,0.230542
0.0,9,0.230806
0.0,18,0.23124
0.0,30,0.23197
0.0,3,0.232105
0.0,1,0.232182
0.0,30,0.232917
0.0,13,0.23326
0.0,6,0.233447
0.0,9,0.233726
0.0,14,0.23411
0.0,5,0.234278
0.0,12,0.234586
0.0,30,0.235318
0.0,14,0.235704
0.0,7,0.23593
0.0,1,0.236023
0.0,6,0.23623
0.0,14,0.236606
0.0,15,0.237035
0.0,10,0.237313
0.0,40,0.238269
0.0,8,0.238504
0.0,22,0.239083
0.0,1,0.239163
1.0,10,0.239433
0.0,17,0.239888
0.0,25,0.240532
0.0,3,0.240683
0.0,1,0.240769
1.0,18,0.24125
0.0,14,0.241607
0.0,1,0.241707
0.0,16,0.24214
0.0,2,0.242243
0.0,13,0.24258
0.0,39,0.243503
0.0,33,0.244347
0.0,25,0.244998
0.0,3,0.24512
0.0,6,0.245303
0.0,4,0.245452
0.0,6,0.24565
0.0,3,0.245774
0.0,9,0.246024
0.0,4,0.24617
0.0,4,0.246315
0.0,3,0.246441
0.0,52,0.247649
1.0,25,0.248341
0.0,8,0.248563
0.0,3,0.248709
0.0,3,0.248842
0.0,23,0.249402
0.0,1,0.24948
0.0,1,0.249556
0.0,28,0.250273
0.0,6,0.250468
0.0,6,0.250674
0.0,21,0.251238
0.0,17,0.25171
1.0,11,0.252063
0.0,18,0.252498
0.0,16,0.252967
0.0,7,0.253195
1.0,21,0.253735
0.0,27,0.254387
0.0,11,0.254691
0.0,6,0.254882
0.0,8,0.255119
0.0,10,0.25539
0.0,33,0.256205
0.0,17,0.256618
0.0,5,0.256818
0.0,10,0.257125
0.0,4,0.257275
1.0,16,0.257722
0.0,3,0.257851
0.0,8,0.258101
0.0,8,0.258334
0.0,3,0.258453
1.0,26,0.259126
0.0,42,0.260119
0.0,5,0.260282
0.0,4,0.260433
0.0,17,0.260874
0.0,10,0.261145
0.0,20,0.261628
0.0,3,0.261778
0.0,9,0.262047
0.0,10,0.262311
0.0,9,0.262562
0.0,20,0.263096
0.0,39,0.263982
0.0,6,0.264177
0.0,20,0.264672
0.0,46,0.265735
0.0,8,0.26596
0.0,19,0.266415
0.0,9,0.266683
0.0,34,0.267449
1.0,17,0.267874
1.0,36,0.268723
1.0,32,0.269481
0.0,5,0.269657
0.0,9,0.269905
0.0,46,0.270942
0.0,2,0.271048
0.0,9,0.271296
0.0,24,0.271895
0.0,15,0.272291
0.0,22,0.27283
0.0,7,0.273038
0.0,7,0.273247
0.0,28,0.273901
0.0,17,0.274331
0.0,21,0.274841
0.0,15,0.275219
0.0,2,0.27532
0.0,2,0.275419
0.0,1,0.275498
0.0,34,0.276294
0.0,7,0.276501
0.0,10,0.276787
0.0,13,0.277136
0.0,7,0.277351
0.0,2,0.277456
0.0,17,0.277894
0.0,15,0.278277
0.0,6,0.278468
0.0,4,0.278611
0.0,18,0.279067
0.0,6,0.279254
0.0,37,0.280103
0.0,7,0.280318
0.0,14,0.280684
0.0,18,0.281128
0.0,16,0.281524
0.0,1,0.281603
0.0,7,0.281817
0.0,15,0.282203
0.0,21,0.282714
0.0,3,0.282841
0.0,19,0.2833
0.0,19,0.28376
1.0,29,0.284424
0.0,6,0.284612
0.0,1,0.284716
0.0,5,0.28489
