#{"t_start": 1522149506.09703, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.007802
0.0,1,0.007902
0.0,2,0.008021
0.0,2,0.008138
0.0,10,0.008433
0.0,6,0.008651
0.0,5,0.008829
0.0,4,0.008985
0.0,27,0.009666
0.0,24,0.010238
0.0,22,0.010797
0.0,21,0.011316
0.0,5,0.011499
0.0,3,0.011634
0.0,11,0.01194
0.0,3,0.012074
0.0,44,0.0131
0.0,27,0.013763
1.0,36,0.014615
1.0,8,0.014853
0.0,27,0.015518
0.0,4,0.015675
0.0,24,0.016259
0.0,20,0.016781
0.0,19,0.017272
0.0,14,0.017672
0.0,10,0.017969
0.0,10,0.018258
0.0,15,0.018664
0.0,9,0.018933
0.0,10,0.019222
0.0,7,0.019451
0.0,7,0.019674
0.0,1,0.019754
0.0,7,0.019969
0.0,1,0.020052
0.0,1,0.020133
0.0,14,0.020519
0.0,10,0.020809
0.0,7,0.021024
0.0,25,0.02165
0.0,13,0.021999
0.0,8,0.022242
0.0,21,0.022789
0.0,1,0.022872
0.0,26,0.023525
0.0,17,0.023964
0.0,35,0.024793
0.0,1,0.024876
0.0,27,0.025561
0.0,12,0.025893
0.0,11,0.026201
0.0,1,0.026286
0.0,5,0.026478
0.0,11,0.02678
0.0,19,0.027256
0.0,7,0.027482
0.0,20,0.028007
0.0,11,0.028317
0.0,4,0.028479
0.0,26,0.029117
0.0,1,0.029202
0.0,4,0.029353
0.0,39,0.030285
0.0,43,0.031283
0.0,30,0.032023
0.0,16,0.032444
0.0,1,0.032532
0.0,7,0.03275
0.0,17,0.033209
0.0,6,0.033402
0.0,4,0.033565
0.0,5,0.033737
0.0,7,0.033954
0.0,1,0.034033
0.0,6,0.034225
0.0,3,0.034356
0.0,22,0.034919
0.0,4,0.03507
0.0,14,0.035448
0.0,15,0.035842
0.0,9,0.036111
0.0,4,0.036261
0.0,13,0.036631
0.0,7,0.036848
0.0,2,0.036958
0.0,10,0.037244
0.0,16,0.037682
0.0,35,0.038512
0.0,14,0.038874
0.0,8,0.039107
0.0,22,0.039657
0.0,19,0.040139
1.0,18,0.040614
0.0,11,0.040912
0.0,37,0.041785
0.0,10,0.042072
0.0,4,0.042219
0.0,12,0.042558
0.0,13,0.042933
0.0,35,0.043784
1.0,19,0.044263
1.0,14,0.044672
0.0,35,0.04551
0.0,5,0.045696
0.0,37,0.046579
0.0,5,0.046758
0.0,1,0.046842
0.0,44,0.047875
0.0,19,0.048358
0.0,36,0.049205
0.0,16,0.04963
1.0,9,0.049886
0.0,9,0.050154
0.0,15,0.050549
0.0,5,0.05072
0.0,70,0.052297
0.0,5,0.052491
0.0,4,0.05265
0.0,15,0.053043
0.0,36,0.05391
0.0,7,0.054125
0.0,18,0.054595
1.0,10,0.054874
0.0,15,0.055264
0.0,9,0.055572
0.0,10,0.055866
0.0,4,0.056026
0.0,15,0.056423
0.0,2,0.056571
0.0,6,0.056764
0.0,7,0.056984
0.0,13,0.057338
0.0,6,0.057545
0.0,3,0.057673
0.0,11,0.057992
0.0,9,0.058249
0.0,11,0.058566
0.0,20,0.059074
0.0,4,0.059231
0.0,3,0.059358
0.0,2,0.059472
0.0,36,0.060315
0.0,27,0.060982
0.0,13,0.06133
1.0,9,0.061599
0.0,5,0.061769
1.0,57,0.063071
0.0,5,0.063248
0.0,1,0.063335
0.0,14,0.063727
1.0,7,0.063946
0.0,70,0.065532
0.0,21,0.066048
0.0,29,0.066757
0.0,9,0.067029
0.0,10,0.067354
0.0,24,0.067999
0.0,5,0.068181
0.0,5,0.068357
0.0,3,0.068514
0.0,6,0.06872
0.0,13,0.06907
0.0,8,0.069307
0.0,20,0.069832
0.0,15,0.070223
0.0,9,0.070507
0.0,35,0.071323
0.0,16,0.071753
0.0,22,0.072299
0.0,14,0.072681
0.0,4,0.072832
0.0,1,0.07291
0.0,23,0.073489
0.0,21,0.074021
0.0,4,0.07417
0.0,3,0.074297
0.0,6,0.074511
1.0,19,0.074989
0.0,25,0.075609
0.0,14,0.075979
0.0,6,0.076178
0.0,5,0.076348
0.0,4,0.076513
0.0,4,0.076671
0.0,12,0.076993
0.0,21,0.07753
0.0,6,0.077726
0.0,63,0.07913
0.0,5,0.079309
0.0,13,0.079671
0.0,14,0.080038
0.0,19,0.080535
0.0,6,0.080727
1.0,35,0.081553
0.0,5,0.081733
0.0,3,0.081866
0.0,26,0.082496
0.0,6,0.082691
0.0,36,0.083545
0.0,36,0.084381
0.0,4,0.084548
0.0,14,0.084928
0.0,3,0.085056
0.0,8,0.085298
0.0,30,0.086032
0.0,5,0.086204
0.0,29,0.086902
0.0,14,0.087276
0.0,7,0.087505
0.0,15,0.087884
0.0,8,0.088121
0.0,4,0.088269
0.0,9,0.088543
0.0,1,0.088624
0.0,14,0.088997
0.0,12,0.089327
0.0,23,0.089909
0.0,10,0.090191
1.0,19,0.090686
0.0,7,0.090909
0.0,4,0.091058
0.0,8,0.091291
0.0,5,0.091477
0.0,9,0.091734
0.0,5,0.091905
0.0,9,0.09217
0.0,16,0.09261
0.0,10,0.092899
0.0,8,0.093139
0.0,1,0.093219
0.0,16,0.093652
0.0,18,0.094116
0.0,5,0.094286
0.0,14,0.094666
0.0,5,0.094847
0.0,5,0.095026
0.0,19,0.095524
0.0,16,0.095938
0.0,3,0.09607
0.0,2,0.09618
0.0,6,0.096378
0.0,7,0.096638
0.0,3,0.096766
0.0,13,0.097112
0.0,2,0.097216
0.0,19,0.097716
1.0,26,0.098336
0.0,3,0.098473
0.0,17,0.0989
0.0,55,0.100161
0.0,1,0.100244
0.0,10,0.100542
0.0,35,0.101378
0.0,3,0.101522
0.0,21,0.102064
0.0,5,0.102235
0.0,36,0.103091
0.0,4,0.103249
0.0,10,0.103557
0.0,5,0.103736
0.0,10,0.104025
0.0,6,0.104218
0.0,9,0.104484
0.0,21,0.104998
0.0,30,0.105714
0.0,7,0.105929
0.0,1,0.106013
0.0,1,0.106093
0.0,12,0.106422
1.0,14,0.106807
0.0,34,0.10763
0.0,10,0.107991
0.0,15,0.108389
0.0,4,0.108551
0.0,11,0.108866
1.0,9,0.10913
0.0,2,0.109244
0.0,1,0.109329
0.0,17,0.109786
0.0,8,0.110036
0.0,3,0.110164
0.0,7,0.110376
0.0,1,0.110462
0.0,20,0.110979
0.0,3,0.111107
0.0,4,0.111254
0.0,20,0.111764
0.0,28,0.112431
0.0,4,0.112598
0.0,22,0.113144
0.0,13,0.113511
0.0,18,0.113974
0.0,5,0.114152
0.0,10,0.114454
0.0,14,0.114829
0.0,13,0.115181
0.0,20,0.115698
0.0,6,0.115894
0.0,4,0.116048
1.0,24,0.116646
0.0,8,0.11689
0.0,6,0.117088
0.0,13,0.117457
0.0,7,0.117673
0.0,15,0.118075
0.0,12,0.118401
0.0,4,0.118563
0.0,8,0.118799
0.0,37,0.119696
0.0,33,0.12049
0.0,5,0.120664
0.0,8,0.120897
0.0,5,0.121078
0.0,11,0.12139
0.0,22,0.121935
0.0,12,0.122276
0.0,41,0.12324
0.0,6,0.123452
0.0,5,0.123635
1.0,11,0.123938
0.0,15,0.124328
0.0,26,0.12499
0.0,29,0.125708
1.0,17,0.126135
0.0,18,0.126603
0.0,9,0.126865
0.0,28,0.127563
0.0,28,0.128234
0.0,6,0.128428
0.0,9,0.128702
0.0,12,0.129037
0.0,58,0.130368
0.0,23,0.130954
0.0,1,0.13104
0.0,1,0.131125
0.0,25,0.131735
0.0,21,0.132264
0.0,17,0.132726
0.0,5,0.132905
0.0,15,0.133297
0.0,35,0.134138
0.0,6,0.134341
0.0,16,0.134766
0.0,6,0.134967
0.0,1,0.135051
0.0,11,0.135353
0.0,20,0.135878
0.0,3,0.136007
0.0,12,0.136341
0.0,38,0.137244
0.0,30,0.137982
0.0,3,0.138112
0.0,21,0.138665
0.0,22,0.139213
0.0,10,0.139512
0.0,11,0.139824
0.0,29,0.140546
0.0,2,0.140653
0.0,12,0.140981
0.0,14,0.14136
0.0,4,0.141522
0.0,9,0.141778
0.0,3,0.141905
0.0,15,0.142288
0.0,11,0.142599
0.0,28,0.143289
0.0,4,0.143464
0.0,29,0.144185
0.0,5,0.144365
0.0,17,0.144806
0.0,5,0.144984
0.0,14,0.145362
0.0,3,0.1455
0.0,4,0.145651
0.0,29,0.14635
0.0,7,0.146578
0.0,30,0.1473
0.0,19,0.147795
0.0,6,0.147988
0.0,26,0.148628
0.0,13,0.148987
0.0,13,0.149339
0.0,9,0.149604
0.0,7,0.149827
0.0,8,0.150068
0.0,12,0.150401
0.0,4,0.150559
0.0,1,0.150645
0.0,18,0.151105
0.0,5,0.151288
0.0,15,0.151699
0.0,15,0.152091
0.0,8,0.152336
0.0,1,0.152415
0.0,8,0.152674
0.0,12,0.153
0.0,30,0.15373
0.0,2,0.153837
1.0,21,0.154356
0.0,13,0.154728
0.0,6,0.154928
0.0,42,0.155892
0.0,8,0.156146
0.0,12,0.156478
0.0,11,0.156795
0.0,34,0.157604
0.0,10,0.157892
0.0,7,0.158105
1.0,32,0.158874
0.0,12,0.1592
1.0,25,0.159826
0.0,27,0.160486
0.0,36,0.161341
0.0,14,0.161728
0.0,3,0.161862
1.0,10,0.162149
0.0,5,0.162317
0.0,13,0.162678
0.0,11,0.162985
0.0,16,0.163401
0.0,17,0.163847
1.0,20,0.164345
0.0,18,0.164824
0.0,10,0.165106
0.0,9,0.16537
0.0,23,0.165952
0.0,7,0.166178
1.0,29,0.166885
0.0,10,0.16718
0.0,16,0.167612
0.0,3,0.167748
0.0,15,0.168146
1.0,25,0.168754
0.0,27,0.169416
0.0,11,0.169724
0.0,15,0.170105
0.0,13,0.170459
0.0,21,0.170967
0.0,13,0.174794
0.0,13,0.175148
0.0,4,0.175297
0.0,9,0.175579
0.0,1,0.175661
0.0,16,0.176095
0.0,23,0.176676
0.0,12,0.17702
0.0,5,0.177193
0.0,1,0.177277
0.0,4,0.17743
0.0,4,0.177593
0.0,7,0.177817
0.0,4,0.177973
0.0,7,0.178198
0.0,14,0.17859
0.0,35,0.179413
0.0,1,0.179508
0.0,33,0.180289
0.0,11,0.180609
0.0,14,0.180986
0.0,9,0.181258
0.0,22,0.181813
0.0,15,0.18222
0.0,9,0.182503
0.0,4,0.182655
0.0,6,0.182847
0.0,8,0.183104
0.0,11,0.18341
0.0,15,0.183821
0.0,35,0.184661
0.0,10,0.184946
0.0,15,0.185341
0.0,6,0.185555
0.0,4,0.185706
0.0,6,0.185899
0.0,45,0.186946
0.0,3,0.187082
0.0,5,0.187263
0.0,5,0.187447
0.0,11,0.187754
0.0,7,0.187975
0.0,19,0.188473
0.0,11,0.188783
0.0,9,0.189047
0.0,13,0.189388
0.0,5,0.18958
0.0,10,0.189877
0.0,3,0.190009
0.0,13,0.190368
1.0,16,0.190844
0.0,3,0.190978
0.0,1,0.191058
0.0,3,0.191184
0.0,11,0.191539
0.0,11,0.191849
0.0,5,0.192038
0.0,19,0.192528
1.0,14,0.192904
0.0,3,0.193029
0.0,6,0.193219
0.0,58,0.194555
0.0,20,0.195069
0.0,17,0.195511
0.0,12,0.195842
0.0,9,0.196102
0.0,22,0.196664
0.0,2,0.196775
0.0,22,0.197321
0.0,17,0.19777
0.0,12,0.19811
0.0,19,0.19861
0.0,8,0.198845
0.0,2,0.198949
0.0,7,0.199168
0.0,4,0.199322
1.0,10,0.19962
0.0,1,0.199706
0.0,6,0.199912
0.0,3,0.200046
0.0,7,0.200269
0.0,13,0.200637
0.0,44,0.201665
0.0,7,0.20188
0.0,2,0.201989
1.0,8,0.20223
0.0,23,0.202799
0.0,11,0.203111
0.0,1,0.203198
0.0,11,0.203527
0.0,20,0.204045
0.0,4,0.204201
0.0,16,0.204629
0.0,9,0.204884
0.0,9,0.205149
0.0,19,0.205647
0.0,14,0.206028
0.0,3,0.206162
0.0,15,0.206559
0.0,7,0.206782
0.0,3,0.206923
0.0,4,0.207079
0.0,14,0.207485
0.0,5,0.207658
0.0,8,0.207968
0.0,11,0.208274
0.0,32,0.209058
0.0,1,0.209141
0.0,1,0.20922
0.0,14,0.209618
0.0,3,0.209747
0.0,5,0.209917
0.0,3,0.21005
0.0,14,0.21042
0.0,3,0.210555
1.0,19,0.211028
0.0,22,0.211568
0.0,27,0.212218
0.0,10,0.212529
0.0,7,0.212745
0.0,10,0.213021
0.0,5,0.2132
0.0,32,0.213957
0.0,27,0.214624
