#{"t_start": 1522150530.9837222, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.010119
0.0,9,0.010451
0.0,3,0.010591
0.0,1,0.010675
0.0,8,0.010929
0.0,12,0.011283
0.0,51,0.012543
0.0,5,0.012722
0.0,12,0.013057
0.0,49,0.014276
0.0,9,0.014554
0.0,10,0.014848
0.0,25,0.015527
0.0,3,0.015664
0.0,9,0.015939
0.0,10,0.016281
0.0,4,0.016436
0.0,18,0.016915
0.0,42,0.017976
0.0,19,0.01848
0.0,1,0.018567
0.0,17,0.019026
0.0,10,0.019351
0.0,8,0.019595
0.0,5,0.01977
0.0,8,0.020018
0.0,14,0.020421
0.0,28,0.021132
0.0,22,0.021697
0.0,9,0.021961
0.0,4,0.022138
0.0,10,0.02244
0.0,3,0.022569
0.0,1,0.02265
0.0,5,0.022831
0.0,17,0.023304
0.0,5,0.023492
0.0,23,0.024091
0.0,69,0.025814
0.0,20,0.026348
0.0,20,0.026886
0.0,11,0.027216
0.0,10,0.027516
0.0,17,0.027971
0.0,13,0.028375
0.0,13,0.028744
0.0,7,0.028969
0.0,38,0.029911
0.0,12,0.030266
0.0,19,0.030758
0.0,26,0.031447
0.0,67,0.033047
1.0,46,0.03423
0.0,14,0.034618
0.0,5,0.034801
0.0,4,0.034954
0.0,1,0.035033
0.0,5,0.035218
0.0,13,0.03558
0.0,27,0.036272
0.0,23,0.036884
0.0,26,0.037584
0.0,11,0.037896
0.0,7,0.038132
0.0,5,0.038308
0.0,1,0.038391
0.0,8,0.038634
0.0,10,0.038928
0.0,23,0.039526
0.0,22,0.040115
0.0,19,0.040631
0.0,1,0.040715
0.0,9,0.040989
0.0,5,0.041186
0.0,6,0.041385
0.0,3,0.041513
0.0,15,0.04192
0.0,10,0.04222
0.0,34,0.043046
0.0,29,0.043811
0.0,5,0.043989
0.0,15,0.044398
0.0,2,0.044537
0.0,16,0.04497
0.0,12,0.045322
0.0,29,0.046049
0.0,2,0.046179
0.0,12,0.04652
0.0,10,0.046814
1.0,18,0.047305
0.0,8,0.047559
0.0,11,0.047876
0.0,4,0.048033
0.0,32,0.04883
0.0,22,0.049437
0.0,6,0.049643
0.0,1,0.049727
0.0,20,0.050251
0.0,25,0.050874
0.0,4,0.051031
0.0,24,0.051654
0.0,33,0.052515
0.0,10,0.052809
0.0,37,0.053711
1.0,13,0.054074
0.0,8,0.054322
1.0,17,0.054782
0.0,10,0.055075
