#{"t_start": 1522157478.2031834, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.057384
0.0,1,0.057575
0.0,1,0.057738
0.0,11,0.058564
0.0,11,0.059392
0.0,16,0.060536
0.0,2,0.060767
0.0,5,0.061207
0.0,12,0.062096
0.0,13,0.063062
0.0,4,0.063306
0.0,1,0.063416
0.0,8,0.063828
0.0,17,0.064631
0.0,2,0.064787
0.0,23,0.065844
0.0,13,0.066479
0.0,21,0.067457
0.0,3,0.067657
0.0,25,0.068802
0.0,6,0.069143
0.0,12,0.06972
0.0,3,0.06993
0.0,4,0.070172
0.0,5,0.070454
0.0,17,0.071259
0.0,16,0.072028
0.0,12,0.072612
0.0,34,0.074165
0.0,16,0.074945
0.0,3,0.075143
0.0,4,0.075381
0.0,7,0.075753
0.0,1,0.075871
0.0,3,0.076069
0.0,8,0.076479
0.0,8,0.0769
0.0,24,0.078008
0.0,3,0.078206
0.0,20,0.079134
0.0,27,0.080363
0.0,39,0.082119
0.0,30,0.083483
0.0,14,0.084164
0.0,8,0.084579
0.0,11,0.085126
0.0,7,0.085495
0.0,11,0.086045
0.0,3,0.086245
0.0,26,0.08743
0.0,15,0.088152
0.0,2,0.088306
0.0,3,0.088505
0.0,5,0.088789
1.0,14,0.089463
0.0,1,0.089574
0.0,26,0.090769
0.0,10,0.091275
0.0,48,0.093421
0.0,10,0.09393
0.0,4,0.09417
0.0,3,0.094368
0.0,13,0.095004
0.0,16,0.095757
0.0,5,0.096051
0.0,2,0.096204
0.0,4,0.096442
0.0,1,0.096552
0.0,5,0.096833
0.0,20,0.097754
0.0,12,0.098349
0.0,6,0.098674
0.0,11,0.099221
0.0,6,0.099552
0.0,4,0.09979
0.0,8,0.100212
0.0,16,0.100975
0.0,39,0.10272
0.0,22,0.103745
0.0,11,0.104295
0.0,4,0.104535
0.0,1,0.104646
0.0,46,0.106704
1.0,27,0.10795
0.0,2,0.108105
0.0,6,0.10843
0.0,3,0.108626
0.0,35,0.11021
0.0,1,0.110321
0.0,2,0.110479
0.0,71,0.113613
0.0,54,0.116019
0.0,4,0.11626
0.0,16,0.117023
1.0,25,0.118172
0.0,4,0.118416
0.0,3,0.118614
0.0,5,0.118906
0.0,10,0.119405
0.0,26,0.120594
0.0,36,0.122226
0.0,1,0.122339
0.0,4,0.122578
0.0,3,0.122776
1.0,19,0.123673
1.0,20,0.124611
0.0,14,0.125292
0.0,1,0.125406
1.0,22,0.126419
0.0,21,0.127395
0.0,2,0.127549
0.0,29,0.12887
0.0,13,0.129498
0.0,3,0.129696
0.0,3,0.129908
0.0,11,0.130447
0.0,3,0.130642
0.0,10,0.131152
0.0,10,0.131646
0.0,9,0.132113
0.0,2,0.132267
0.0,24,0.133379
0.0,4,0.133619
0.0,24,0.134726
0.0,18,0.13558
0.0,25,0.136737
0.0,38,0.138453
1.0,11,0.139008
0.0,18,0.139845
0.0,30,0.141217
0.0,24,0.142321
1.0,21,0.143305
0.0,18,0.144154
0.0,28,0.145428
0.0,2,0.145586
0.0,20,0.146519
0.0,11,0.147072
0.0,7,0.147447
0.0,3,0.147644
0.0,28,0.148928
1.0,41,0.150761
0.0,3,0.150972
0.0,2,0.151126
0.0,18,0.151976
0.0,7,0.152348
0.0,12,0.152945
0.0,11,0.153489
0.0,20,0.15442
0.0,17,0.155228
0.0,3,0.155429
0.0,12,0.156021
0.0,8,0.156435
0.0,5,0.156717
0.0,26,0.157913
1.0,10,0.158475
1.0,17,0.159283
0.0,6,0.159606
0.0,4,0.159847
0.0,3,0.160053
0.0,3,0.160253
0.0,11,0.160794
0.0,10,0.161301
1.0,13,0.161937
0.0,16,0.162691
0.0,14,0.163376
0.0,5,0.16366
0.0,26,0.164849
0.0,38,0.166561
0.0,8,0.16699
0.0,3,0.167187
0.0,15,0.167913
0.0,22,0.168936
0.0,20,0.169865
0.0,17,0.170668
0.0,4,0.17092
0.0,11,0.171466
0.0,5,0.171751
0.0,6,0.172086
0.0,11,0.172625
1.0,30,0.174007
0.0,4,0.174249
0.0,4,0.174487
1.0,17,0.175291
0.0,3,0.17549
0.0,2,0.175642
0.0,11,0.176193
0.0,4,0.176434
0.0,7,0.176799
0.0,1,0.176918
1.0,33,0.178404
0.0,49,0.180584
0.0,3,0.180781
0.0,19,0.181675
0.0,8,0.182101
0.0,1,0.182213
0.0,22,0.18324
0.0,22,0.184261
0.0,10,0.184759
0.0,11,0.18531
0.0,4,0.185553
0.0,1,0.185661
0.0,1,0.185772
0.0,11,0.186329
0.0,10,0.186825
0.0,6,0.18716
