#{"t_start": 1522149508.5497987, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006045
0.0,1,0.00614
0.0,1,0.006224
0.0,20,0.006805
0.0,3,0.00696
0.0,2,0.007072
0.0,16,0.007529
0.0,4,0.007683
0.0,11,0.008026
0.0,22,0.008603
0.0,15,0.009031
0.0,6,0.009239
0.0,20,0.0098
0.0,16,0.010246
0.0,23,0.010869
1.0,15,0.011281
0.0,12,0.011629
0.0,3,0.011776
0.0,16,0.012219
0.0,21,0.012811
0.0,10,0.013123
0.0,7,0.013346
0.0,58,0.01478
0.0,15,0.015202
0.0,52,0.016531
0.0,17,0.017009
0.0,20,0.017545
0.0,22,0.018175
0.0,22,0.01878
0.0,13,0.01917
0.0,1,0.019248
0.0,8,0.019504
0.0,9,0.019796
1.0,13,0.020169
0.0,36,0.021105
0.0,10,0.021405
0.0,24,0.022081
0.0,3,0.022216
0.0,10,0.022524
0.0,23,0.02319
0.0,1,0.023286
0.0,17,0.02379
0.0,8,0.024037
0.0,9,0.024316
0.0,10,0.024617
0.0,11,0.024954
0.0,7,0.025177
0.0,13,0.025553
0.0,12,0.025905
0.0,13,0.026278
0.0,17,0.026755
0.0,3,0.026892
0.0,14,0.027291
1.0,14,0.027676
0.0,6,0.02789
0.0,6,0.02809
0.0,3,0.028223
0.0,5,0.028404
0.0,18,0.028905
0.0,4,0.02906
0.0,3,0.029188
0.0,3,0.029321
0.0,9,0.0296
0.0,18,0.030105
0.0,11,0.030432
0.0,3,0.03056
0.0,6,0.030769
0.0,9,0.031046
0.0,15,0.031467
0.0,11,0.031796
0.0,19,0.03231
0.0,9,0.03258
0.0,26,0.03327
0.0,4,0.033427
0.0,3,0.033554
0.0,3,0.03368
0.0,23,0.034295
0.0,16,0.034745
0.0,2,0.034851
1.0,17,0.035313
0.0,14,0.035705
0.0,2,0.035819
0.0,5,0.036
0.0,21,0.036548
1.0,21,0.03712
0.0,5,0.037297
0.0,27,0.038003
0.0,20,0.03853
0.0,7,0.038764
0.0,45,0.039902
0.0,2,0.040015
0.0,20,0.040541
0.0,16,0.040994
1.0,20,0.041537
0.0,25,0.042206
0.0,2,0.042317
0.0,5,0.042493
0.0,17,0.042972
0.0,14,0.043368
0.0,2,0.043472
0.0,31,0.044269
0.0,5,0.044458
1.0,22,0.045069
1.0,6,0.045269
0.0,3,0.045396
0.0,5,0.045577
0.0,1,0.045656
0.0,5,0.045843
0.0,21,0.046408
0.0,2,0.04652
0.0,20,0.047077
0.0,9,0.047351
0.0,8,0.047596
0.0,4,0.047765
0.0,1,0.047849
0.0,9,0.048129
0.0,7,0.04836
0.0,39,0.049356
0.0,16,0.049808
0.0,8,0.050061
0.0,10,0.050358
0.0,4,0.050518
0.0,7,0.050763
0.0,4,0.050916
0.0,2,0.05102
0.0,2,0.051123
0.0,13,0.051491
0.0,1,0.051573
0.0,1,0.05165
0.0,22,0.052238
0.0,12,0.052578
0.0,16,0.053033
0.0,1,0.053113
0.0,1,0.05319
0.0,21,0.053765
0.0,2,0.053871
0.0,5,0.054052
0.0,36,0.054981
0.0,17,0.055449
0.0,2,0.055559
0.0,7,0.0558
0.0,2,0.055907
0.0,9,0.056185
0.0,13,0.056566
0.0,24,0.057206
0.0,5,0.057383
0.0,24,0.058047
0.0,10,0.058391
0.0,24,0.059136
0.0,9,0.059412
0.0,9,0.05968
0.0,17,0.060216
0.0,7,0.060452
0.0,11,0.060784
0.0,25,0.061435
0.0,20,0.061997
0.0,4,0.062157
0.0,17,0.062622
0.0,15,0.063048
0.0,17,0.063512
1.0,24,0.064146
0.0,14,0.064533
0.0,17,0.064999
0.0,20,0.06554
0.0,25,0.066207
0.0,14,0.066601
0.0,4,0.06677
0.0,10,0.067072
0.0,2,0.067181
0.0,17,0.067652
0.0,5,0.067851
0.0,9,0.068128
0.0,15,0.068541
0.0,13,0.068929
0.0,4,0.069088
0.0,38,0.07005
1.0,8,0.07031
0.0,36,0.071219
0.0,4,0.071381
0.0,7,0.071616
0.0,53,0.072986
0.0,7,0.073218
0.0,2,0.073322
0.0,7,0.073551
0.0,22,0.074157
0.0,21,0.074708
0.0,28,0.07544
0.0,8,0.075687
0.0,3,0.075833
0.0,19,0.076353
0.0,18,0.076855
0.0,6,0.077067
0.0,3,0.077201
0.0,31,0.077999
0.0,11,0.078325
1.0,12,0.078671
0.0,8,0.078942
0.0,9,0.079219
0.0,5,0.079401
0.0,12,0.07975
0.0,5,0.079932
0.0,4,0.080086
0.0,4,0.080241
0.0,1,0.080323
0.0,5,0.080508
0.0,28,0.081243
0.0,8,0.08149
0.0,34,0.082355
0.0,15,0.082781
0.0,15,0.083187
0.0,8,0.08344
0.0,37,0.084386
0.0,13,0.084777
0.0,24,0.085408
1.0,12,0.085771
0.0,3,0.085902
0.0,10,0.086205
0.0,14,0.086604
0.0,1,0.086689
0.0,15,0.087124
0.0,5,0.087303
0.0,9,0.087581
0.0,1,0.087664
0.0,8,0.087922
0.0,13,0.0883
0.0,26,0.088994
0.0,9,0.08927
0.0,1,0.08935
0.0,5,0.089527
1.0,23,0.090142
0.0,1,0.090221
0.0,18,0.090705
0.0,3,0.090849
0.0,25,0.091493
0.0,7,0.091743
0.0,2,0.091851
0.0,7,0.092074
0.0,14,0.092466
0.0,12,0.092824
0.0,16,0.093282
0.0,3,0.093416
0.0,10,0.093724
0.0,4,0.093879
1.0,21,0.094434
0.0,4,0.094593
0.0,16,0.095042
0.0,100,0.0975
0.0,2,0.097621
0.0,26,0.098312
0.0,1,0.098395
0.0,18,0.098895
0.0,12,0.099246
1.0,23,0.099858
0.0,6,0.10007
0.0,15,0.100486
0.0,8,0.100754
0.0,9,0.101037
0.0,4,0.101195
0.0,9,0.101466
0.0,23,0.102079
0.0,22,0.102672
0.0,13,0.103055
0.0,31,0.103849
0.0,2,0.103956
0.0,5,0.104139
0.0,29,0.104898
0.0,6,0.105107
0.0,22,0.105687
0.0,7,0.105921
0.0,11,0.106315
0.0,28,0.107061
0.0,21,0.107624
0.0,1,0.107709
0.0,1,0.1078
0.0,6,0.107999
1.0,28,0.108725
0.0,28,0.109449
0.0,11,0.109783
0.0,7,0.11001
0.0,17,0.110483
0.0,22,0.111088
0.0,1,0.111173
0.0,19,0.111683
0.0,16,0.112152
0.0,12,0.112503
0.0,8,0.112772
0.0,2,0.112884
1.0,13,0.113254
0.0,9,0.11353
0.0,10,0.113842
0.0,19,0.114347
0.0,18,0.114847
0.0,31,0.115648
0.0,13,0.116022
0.0,16,0.116493
0.0,12,0.116854
0.0,7,0.117086
1.0,12,0.117427
0.0,26,0.118147
1.0,49,0.119382
0.0,7,0.119612
0.0,13,0.12
1.0,18,0.120495
0.0,21,0.12106
0.0,14,0.121457
