#{"t_start": 1522149221.0679767, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.009282
0.0,6,0.009528
0.0,1,0.009627
0.0,4,0.009792
0.0,7,0.010027
0.0,11,0.010346
0.0,8,0.01061
0.0,27,0.011308
0.0,6,0.011515
0.0,1,0.011612
0.0,25,0.012275
0.0,17,0.012764
0.0,5,0.012944
0.0,39,0.01393
0.0,8,0.014184
0.0,27,0.014899
0.0,21,0.015461
0.0,5,0.01565
0.0,8,0.015908
0.0,4,0.016062
0.0,25,0.016715
0.0,24,0.017353
0.0,51,0.018651
0.0,22,0.019269
0.0,17,0.019746
0.0,6,0.019953
0.0,40,0.020972
0.0,14,0.021369
0.0,19,0.021893
0.0,7,0.022123
0.0,23,0.022748
0.0,6,0.022953
0.0,26,0.023644
0.0,6,0.023852
0.0,14,0.024248
0.0,8,0.024529
0.0,7,0.024775
0.0,4,0.024928
0.0,1,0.025006
0.0,14,0.02541
0.0,12,0.025764
0.0,6,0.025968
0.0,5,0.026144
0.0,6,0.026342
0.0,17,0.02682
0.0,12,0.027171
0.0,21,0.027741
0.0,13,0.028117
0.0,5,0.028294
0.0,3,0.028421
1.0,19,0.028941
0.0,4,0.029107
0.0,7,0.029331
0.0,15,0.029752
0.0,10,0.030046
0.0,20,0.030582
0.0,2,0.030693
0.0,25,0.031353
0.0,3,0.031492
0.0,26,0.032186
0.0,13,0.032562
0.0,27,0.033282
0.0,7,0.033516
0.0,12,0.033879
0.0,1,0.033964
0.0,8,0.034222
0.0,11,0.034552
0.0,6,0.034757
0.0,8,0.035004
0.0,7,0.035226
1.0,20,0.035767
1.0,8,0.036025
0.0,5,0.036202
0.0,2,0.036316
0.0,18,0.036824
0.0,21,0.037377
0.0,7,0.03762
0.0,3,0.037752
0.0,2,0.037861
0.0,5,0.038053
0.0,7,0.038282
0.0,5,0.038459
0.0,17,0.038946
0.0,1,0.039027
0.0,1,0.039105
0.0,5,0.039289
0.0,6,0.039489
0.0,1,0.039579
0.0,20,0.040122
0.0,13,0.040489
0.0,2,0.040607
0.0,14,0.041002
0.0,7,0.04124
0.0,33,0.042096
0.0,14,0.042498
0.0,19,0.043031
0.0,21,0.043603
0.0,4,0.043758
0.0,9,0.044037
1.0,35,0.044954
0.0,31,0.045757
0.0,10,0.046052
0.0,19,0.046571
0.0,9,0.046862
0.0,13,0.04724
0.0,4,0.0474
0.0,4,0.047565
0.0,20,0.048104
0.0,25,0.048763
0.0,3,0.048893
0.0,4,0.049044
0.0,27,0.049764
0.0,2,0.049877
0.0,5,0.050062
0.0,8,0.050316
0.0,3,0.05045
0.0,3,0.050597
0.0,2,0.050709
1.0,31,0.051507
0.0,11,0.051835
0.0,22,0.052429
0.0,3,0.052574
0.0,4,0.052737
0.0,11,0.053053
0.0,6,0.053252
0.0,8,0.053499
0.0,8,0.053754
0.0,5,0.053941
0.0,13,0.054316
0.0,15,0.054754
0.0,7,0.054985
1.0,11,0.055315
0.0,21,0.055891
1.0,9,0.05617
1.0,21,0.056737
0.0,3,0.056868
0.0,24,0.057495
0.0,4,0.057658
0.0,7,0.057899
0.0,5,0.058086
0.0,5,0.058263
0.0,1,0.05834
0.0,23,0.058976
0.0,1,0.059062
0.0,3,0.059192
0.0,6,0.059391
0.0,3,0.059524
0.0,7,0.059763
0.0,5,0.059938
0.0,3,0.06007
0.0,5,0.060246
0.0,6,0.060455
0.0,8,0.060721
0.0,2,0.060828
0.0,8,0.061076
0.0,8,0.061321
0.0,12,0.06167
0.0,9,0.06194
0.0,9,0.062216
0.0,7,0.062439
0.0,23,0.063064
0.0,16,0.063514
0.0,5,0.06371
0.0,10,0.064006
0.0,34,0.064884
0.0,3,0.065017
0.0,12,0.065366
0.0,6,0.065585
0.0,7,0.065825
0.0,10,0.066126
0.0,6,0.066327
0.0,13,0.0667
1.0,17,0.067168
0.0,3,0.0673
0.0,5,0.067483
0.0,1,0.067575
1.0,15,0.067997
1.0,44,0.06912
0.0,5,0.069299
0.0,17,0.069777
0.0,12,0.070123
0.0,27,0.070838
0.0,4,0.071001
0.0,6,0.071202
0.0,9,0.071477
0.0,20,0.072029
0.0,4,0.072183
0.0,16,0.072636
0.0,8,0.072893
0.0,7,0.073123
0.0,5,0.073301
0.0,4,0.073458
0.0,7,0.073699
0.0,20,0.074244
0.0,20,0.074795
1.0,19,0.075322
0.0,11,0.075662
0.0,15,0.076083
0.0,15,0.076511
1.0,16,0.076971
0.0,8,0.077234
0.0,2,0.077346
0.0,5,0.077538
0.0,23,0.07815
0.0,2,0.078257
0.0,6,0.078458
0.0,12,0.078823
0.0,10,0.079127
0.0,7,0.079358
0.0,4,0.079516
0.0,13,0.079902
1.0,24,0.080545
0.0,3,0.080682
0.0,4,0.080843
0.0,6,0.081044
0.0,4,0.081202
1.0,7,0.081433
0.0,2,0.081549
0.0,4,0.081706
0.0,18,0.082198
0.0,16,0.082654
0.0,10,0.082955
0.0,10,0.083259
1.0,9,0.083554
0.0,6,0.083756
0.0,7,0.083987
0.0,10,0.084288
0.0,11,0.084623
0.0,2,0.08473
0.0,20,0.085269
0.0,27,0.085978
1.0,16,0.086427
0.0,11,0.086764
0.0,8,0.087018
0.0,3,0.087155
0.0,3,0.087286
1.0,17,0.087759
0.0,2,0.087865
0.0,5,0.088047
0.0,5,0.088224
0.0,23,0.088843
0.0,14,0.089231
0.0,16,0.089682
0.0,24,0.090316
0.0,5,0.090492
0.0,14,0.090895
0.0,7,0.091125
0.0,1,0.091214
0.0,4,0.091369
1.0,8,0.091637
0.0,6,0.091839
0.0,7,0.092066
0.0,3,0.092201
0.0,2,0.092306
0.0,4,0.092459
0.0,7,0.092701
0.0,15,0.093135
1.0,21,0.093706
0.0,1,0.093787
0.0,28,0.094517
1.0,9,0.094802
0.0,9,0.095071
0.0,11,0.095393
1.0,13,0.095773
0.0,2,0.095884
0.0,11,0.096213
0.0,6,0.096419
0.0,7,0.096664
0.0,7,0.096897
0.0,8,0.097145
0.0,6,0.097363
0.0,13,0.097737
0.0,31,0.098543
0.0,10,0.098856
0.0,11,0.099186
0.0,4,0.099344
0.0,8,0.099611
0.0,2,0.099723
0.0,5,0.099901
0.0,6,0.100106
0.0,5,0.100284
0.0,35,0.10118
0.0,18,0.101688
0.0,10,0.101989
0.0,13,0.102363
0.0,17,0.102848
0.0,4,0.103008
0.0,17,0.103477
0.0,4,0.10364
0.0,26,0.104323
0.0,3,0.104454
0.0,32,0.105299
0.0,1,0.10538
0.0,12,0.105742
0.0,14,0.106137
0.0,10,0.106432
0.0,24,0.107076
0.0,5,0.107262
0.0,2,0.107372
0.0,13,0.107755
0.0,9,0.108028
0.0,7,0.108251
0.0,5,0.108437
0.0,18,0.108944
0.0,9,0.109227
0.0,10,0.109595
0.0,3,0.109737
0.0,10,0.110047
0.0,9,0.110335
0.0,7,0.110573
0.0,1,0.110662
0.0,3,0.110793
0.0,4,0.110946
0.0,8,0.111201
0.0,3,0.111331
0.0,33,0.112191
0.0,1,0.112271
0.0,17,0.11276
0.0,9,0.113034
1.0,8,0.113288
0.0,17,0.113769
0.0,22,0.114356
0.0,6,0.114573
0.0,13,0.114941
0.0,13,0.115311
0.0,13,0.115687
0.0,5,0.115873
0.0,34,0.116755
1.0,33,0.117598
0.0,8,0.117853
0.0,6,0.118062
0.0,20,0.118615
0.0,12,0.118964
0.0,13,0.119334
1.0,17,0.119812
0.0,17,0.12028
0.0,3,0.120414
0.0,22,0.121004
1.0,9,0.121276
0.0,14,0.121683
0.0,4,0.121837
0.0,5,0.122011
0.0,6,0.122215
0.0,20,0.122766
0.0,3,0.122901
0.0,3,0.123036
0.0,9,0.123313
0.0,7,0.12355
0.0,21,0.124118
0.0,13,0.124491
0.0,15,0.124913
0.0,3,0.125042
0.0,26,0.125723
0.0,1,0.125806
0.0,13,0.126176
0.0,17,0.126658
0.0,21,0.127215
0.0,4,0.127369
0.0,1,0.127445
0.0,8,0.127708
0.0,14,0.128112
0.0,4,0.128266
0.0,4,0.128427
0.0,9,0.128719
0.0,2,0.12883
0.0,1,0.128913
0.0,20,0.129466
0.0,14,0.129877
0.0,7,0.130111
0.0,18,0.13061
0.0,4,0.130771
0.0,19,0.13129
1.0,55,0.132678
0.0,2,0.13279
0.0,24,0.133422
0.0,12,0.133779
0.0,21,0.13435
0.0,10,0.134709
0.0,6,0.134912
0.0,2,0.135015
0.0,10,0.135317
0.0,35,0.136207
0.0,9,0.136488
0.0,22,0.137074
0.0,1,0.137152
0.0,19,0.137668
0.0,1,0.137747
1.0,15,0.138179
0.0,1,0.138263
0.0,9,0.138552
0.0,55,0.139923
1.0,38,0.140885
0.0,5,0.141066
0.0,24,0.141718
0.0,47,0.142915
0.0,4,0.143078
0.0,4,0.14323
0.0,27,0.143947
0.0,4,0.144103
0.0,11,0.144428
0.0,3,0.144571
0.0,6,0.144775
0.0,4,0.144927
0.0,3,0.145054
0.0,5,0.145239
0.0,1,0.145317
0.0,11,0.145667
1.0,27,0.146375
0.0,11,0.146715
0.0,7,0.146942
0.0,1,0.147021
0.0,5,0.147198
0.0,4,0.14735
0.0,7,0.14759
0.0,2,0.147702
0.0,3,0.147833
0.0,11,0.148158
0.0,2,0.148263
0.0,8,0.148509
0.0,6,0.148719
0.0,12,0.149071
0.0,3,0.149201
0.0,10,0.149505
0.0,4,0.149675
0.0,4,0.149831
0.0,10,0.150126
0.0,8,0.150378
0.0,14,0.150795
0.0,12,0.151146
0.0,3,0.151276
0.0,2,0.151379
0.0,4,0.151538
0.0,5,0.151725
0.0,10,0.15202
0.0,1,0.152102
0.0,3,0.152234
0.0,5,0.15241
0.0,5,0.152598
0.0,1,0.152677
1.0,10,0.152982
0.0,6,0.153194
0.0,1,0.153274
0.0,10,0.153581
0.0,3,0.153711
0.0,4,0.153863
0.0,21,0.154431
0.0,6,0.154644
0.0,6,0.154852
0.0,1,0.15493
0.0,12,0.155279
0.0,4,0.15543
0.0,6,0.155647
0.0,4,0.155801
0.0,5,0.155983
0.0,4,0.156146
0.0,1,0.156224
0.0,5,0.156409
0.0,8,0.156682
0.0,7,0.156912
0.0,2,0.157017
1.0,15,0.15744
0.0,4,0.157609
0.0,6,0.157811
0.0,8,0.158067
0.0,9,0.158349
0.0,12,0.15871
0.0,18,0.159206
0.0,14,0.159617
0.0,10,0.159914
0.0,2,0.160025
0.0,7,0.160259
0.0,14,0.160662
0.0,6,0.160866
0.0,12,0.161222
0.0,2,0.161332
0.0,4,0.161491
0.0,1,0.161583
0.0,15,0.162009
0.0,4,0.162164
0.0,12,0.162506
0.0,9,0.1628
1.0,39,0.163798
0.0,10,0.164106
0.0,9,0.164378
0.0,11,0.164715
0.0,7,0.164939
0.0,6,0.165143
0.0,5,0.165325
0.0,8,0.165592
0.0,8,0.165846
0.0,21,0.166409
0.0,8,0.166675
0.0,10,0.16698
0.0,19,0.167494
0.0,19,0.168015
0.0,3,0.168146
1.0,14,0.168546
0.0,1,0.168632
1.0,15,0.169066
0.0,12,0.169411
0.0,12,0.169763
1.0,19,0.170282
0.0,15,0.170722
0.0,8,0.170973
0.0,20,0.171513
0.0,3,0.171657
0.0,11,0.171979
0.0,17,0.17245
0.0,25,0.173118
0.0,6,0.173327
0.0,1,0.173412
0.0,23,0.174043
0.0,28,0.174785
0.0,13,0.175158
0.0,16,0.175605
0.0,4,0.175765
0.0,6,0.175973
0.0,3,0.176108
0.0,23,0.176733
0.0,12,0.177092
0.0,3,0.177233
0.0,6,0.177443
1.0,21,0.178018
0.0,10,0.178315
1.0,45,0.179451
0.0,13,0.179837
0.0,17,0.180313
0.0,10,0.180633
0.0,10,0.18093
0.0,12,0.181285
0.0,3,0.18142
0.0,16,0.181878
0.0,25,0.18253
0.0,6,0.182748
0.0,47,0.183953
0.0,2,0.184061
0.0,29,0.18483
0.0,14,0.185227
0.0,12,0.185591
0.0,10,0.185895
0.0,3,0.186025
0.0,6,0.186224
0.0,1,0.186306
0.0,17,0.186783
0.0,26,0.187466
0.0,21,0.188035
0.0,11,0.188363
0.0,2,0.188468
1.0,21,0.18904
0.0,19,0.189552
0.0,6,0.189754
1.0,19,0.190278
0.0,6,0.190478
1.0,33,0.191325
1.0,19,0.191841
0.0,14,0.192228
1.0,21,0.192802
0.0,1,0.192887
0.0,17,0.193351
0.0,31,0.194157
0.0,2,0.194264
0.0,5,0.194439
0.0,21,0.19502
0.0,10,0.195331
0.0,3,0.195469
0.0,19,0.195997
0.0,9,0.196268
0.0,4,0.196427
0.0,1,0.196506
0.0,6,0.196723
0.0,3,0.196853
0.0,7,0.197077
0.0,4,0.197227
0.0,15,0.197657
0.0,5,0.197843
1.0,29,0.198585
0.0,15,0.19901
0.0,5,0.199195
0.0,10,0.199498
1.0,13,0.199869
0.0,9,0.20014
0.0,3,0.200267
0.0,36,0.201189
0.0,16,0.201644
0.0,39,0.202642
0.0,2,0.202749
0.0,6,0.202949
0.0,24,0.203595
0.0,21,0.204154
0.0,10,0.204458
0.0,1,0.20455
0.0,39,0.205561
0.0,9,0.205841
0.0,8,0.206101
0.0,5,0.206283
0.0,12,0.206637
0.0,1,0.206721
0.0,15,0.207154
0.0,3,0.207283
0.0,5,0.207462
0.0,2,0.207576
0.0,33,0.208419
0.0,6,0.208636
0.0,3,0.208766
0.0,14,0.209159
0.0,4,0.209312
0.0,4,0.20954
1.0,28,0.210287
0.0,3,0.210418
0.0,41,0.211474
0.0,6,0.21169
0.0,7,0.211923
0.0,9,0.212205
0.0,21,0.21278
0.0,20,0.213312
0.0,3,0.213445
0.0,10,0.213762
0.0,2,0.213872
0.0,5,0.214047
0.0,4,0.214204
0.0,21,0.214787
0.0,28,0.215528
0.0,17,0.216007
1.0,22,0.216603
0.0,16,0.217049
0.0,8,0.217295
0.0,4,0.21745
0.0,8,0.217708
0.0,8,0.217956
0.0,14,0.218352
0.0,17,0.218823
0.0,7,0.219046
0.0,23,0.219663
0.0,9,0.219945
0.0,9,0.220215
0.0,2,0.220319
0.0,4,0.220469
0.0,5,0.220651
0.0,4,0.220809
0.0,31,0.221621
0.0,5,0.2218
0.0,10,0.222109
0.0,10,0.222409
1.0,13,0.222815
0.0,20,0.223357
0.0,10,0.223669
0.0,27,0.224375
0.0,16,0.224844
0.0,18,0.225379
0.0,9,0.225676
0.0,19,0.226187
0.0,27,0.226986
0.0,5,0.227171
0.0,18,0.22767
0.0,3,0.227802
0.0,4,0.227952
0.0,19,0.22846
0.0,5,0.228652
0.0,6,0.228863
0.0,2,0.228973
0.0,25,0.229642
0.0,3,0.229773
0.0,12,0.23011
0.0,5,0.230293
1.0,20,0.230847
0.0,3,0.230985
0.0,8,0.231237
0.0,22,0.231836
0.0,2,0.231942
0.0,2,0.232051
0.0,13,0.232426
0.0,20,0.23297
0.0,7,0.2332
1.0,12,0.233558
0.0,3,0.233694
0.0,10,0.233995
0.0,5,0.234179
0.0,8,0.234431
0.0,9,0.234714
0.0,6,0.234915
0.0,1,0.234996
0.0,37,0.23596
0.0,19,0.236478
0.0,14,0.236889
0.0,1,0.236974
0.0,16,0.237425
0.0,19,0.237953
0.0,13,0.238319
0.0,14,0.238722
0.0,8,0.23897
1.0,25,0.239632
0.0,1,0.239716
0.0,11,0.240039
0.0,2,0.240148
0.0,1,0.240231
0.0,18,0.240744
0.0,30,0.241519
0.0,2,0.241638
0.0,20,0.242184
0.0,5,0.242368
0.0,11,0.242712
0.0,7,0.242948
0.0,41,0.243998
0.0,10,0.244307
1.0,13,0.244689
0.0,1,0.244768
0.0,5,0.244945
0.0,16,0.245377
0.0,8,0.245646
0.0,13,0.246012
0.0,6,0.246217
0.0,6,0.246416
0.0,43,0.247511
0.0,11,0.247845
0.0,13,0.248211
0.0,4,0.248362
1.0,18,0.248868
0.0,3,0.248998
0.0,13,0.249361
0.0,21,0.249932
0.0,10,0.250234
0.0,5,0.250408
0.0,1,0.250491
0.0,22,0.251075
0.0,26,0.251777
0.0,14,0.252175
0.0,7,0.252398
0.0,4,0.252569
0.0,11,0.252898
0.0,2,0.253003
0.0,8,0.253255
0.0,33,0.254112
0.0,5,0.254291
0.0,16,0.254744
0.0,37,0.2557
0.0,7,0.255927
0.0,8,0.256182
1.0,20,0.256748
0.0,5,0.256926
0.0,40,0.257944
0.0,17,0.25841
0.0,5,0.258613
0.0,12,0.258976
0.0,11,0.259306
0.0,4,0.259458
0.0,12,0.259815
0.0,9,0.260085
0.0,15,0.260513
0.0,6,0.260732
0.0,2,0.260843
0.0,14,0.261237
0.0,11,0.261573
0.0,5,0.261751
0.0,1,0.261828
0.0,15,0.26226
0.0,6,0.262461
0.0,16,0.262908
0.0,15,0.263322
0.0,27,0.264032
0.0,4,0.264194
0.0,17,0.264668
0.0,13,0.265044
0.0,24,0.265676
0.0,23,0.266279
0.0,14,0.26669
1.0,14,0.267083
0.0,19,0.267607
0.0,12,0.267951
0.0,27,0.268665
0.0,2,0.268771
0.0,8,0.269025
0.0,14,0.269426
0.0,18,0.269931
0.0,6,0.270136
0.0,4,0.270288
0.0,9,0.270568
0.0,2,0.270674
1.0,9,0.270953
0.0,7,0.271185
0.0,3,0.271315
0.0,23,0.271935
0.0,3,0.27207
0.0,5,0.272253
0.0,11,0.272599
0.0,28,0.273336
0.0,16,0.273787
0.0,23,0.274392
0.0,4,0.27456
0.0,8,0.27481
0.0,1,0.274888
0.0,10,0.275188
0.0,2,0.275298
0.0,12,0.275656
0.0,16,0.276098
0.0,11,0.276449
0.0,6,0.276667
0.0,5,0.276854
0.0,3,0.276988
0.0,6,0.277189
0.0,14,0.277593
0.0,11,0.277914
0.0,2,0.278018
0.0,18,0.278501
0.0,5,0.278687
0.0,22,0.279269
0.0,3,0.279404
0.0,6,0.279628
1.0,12,0.279978
0.0,5,0.280155
0.0,1,0.280232
0.0,20,0.280783
0.0,39,0.28182
0.0,2,0.281933
1.0,11,0.28226
0.0,1,0.282339
1.0,13,0.282722
0.0,8,0.282979
0.0,7,0.283211
0.0,4,0.283381
0.0,4,0.283558
0.0,4,0.283718
0.0,13,0.284091
0.0,26,0.284789
0.0,11,0.285118
0.0,4,0.285277
0.0,16,0.285735
0.0,33,0.286577
0.0,4,0.286739
0.0,6,0.286943
0.0,19,0.287461
0.0,3,0.287602
0.0,12,0.287957
0.0,13,0.288336
0.0,4,0.288494
0.0,1,0.288581
0.0,6,0.288785
0.0,1,0.288867
0.0,3,0.288998
0.0,3,0.289126
0.0,6,0.289332
0.0,4,0.289485
0.0,13,0.289869
0.0,21,0.290443
0.0,1,0.290522
0.0,12,0.290879
0.0,30,0.291676
0.0,5,0.29186
0.0,8,0.292108
0.0,38,0.293081
1.0,21,0.293656
0.0,1,0.293741
0.0,5,0.29393
0.0,28,0.294667
0.0,9,0.294953
0.0,7,0.295196
0.0,8,0.295447
0.0,12,0.295807
0.0,3,0.29594
0.0,1,0.296019
