#{"t_start": 1522157243.5185952, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.015112
0.0,100,0.017243
0.0,100,0.019371
1.0,27,0.020016
1.0,51,0.021132
1.0,40,0.022012
0.0,22,0.022539
1.0,55,0.023754
1.0,16,0.024168
0.0,30,0.024842
1.0,94,0.026856
0.0,100,0.029011
1.0,42,0.029936
1.0,8,0.030171
1.0,31,0.030845
1.0,58,0.032101
1.0,27,0.032723
1.0,25,0.033298
0.0,16,0.033687
1.0,59,0.034964
1.0,49,0.036035
1.0,17,0.036437
0.0,89,0.038337
0.0,52,0.039474
1.0,26,0.04008
0.0,51,0.041173
0.0,11,0.041462
1.0,13,0.041795
0.0,16,0.042202
1.0,40,0.043104
1.0,56,0.044312
1.0,75,0.045896
1.0,19,0.046345
1.0,30,0.047023
1.0,35,0.04779
1.0,24,0.04835
0.0,15,0.04871
1.0,16,0.049112
1.0,27,0.049726
1.0,47,0.050742
1.0,41,0.051643
1.0,24,0.052209
1.0,51,0.053329
0.0,55,0.054511
1.0,43,0.055449
1.0,54,0.056643
1.0,15,0.05703
1.0,37,0.057866
1.0,49,0.058932
1.0,51,0.060043
0.0,25,0.06063
1.0,12,0.060947
0.0,100,0.063064
1.0,26,0.063663
1.0,34,0.064432
1.0,11,0.064715
1.0,22,0.065227
1.0,18,0.065653
1.0,44,0.066629
1.0,33,0.067371
1.0,26,0.067968
1.0,30,0.068625
1.0,47,0.069639
1.0,32,0.070357
1.0,24,0.070928
0.0,13,0.071248
0.0,6,0.071425
0.0,60,0.072732
1.0,25,0.073316
1.0,41,0.074196
1.0,29,0.074851
1.0,10,0.075135
1.0,9,0.075374
1.0,24,0.075943
1.0,7,0.076151
1.0,29,0.076817
1.0,30,0.077492
0.0,23,0.078038
1.0,15,0.078397
0.0,9,0.078641
0.0,23,0.079196
1.0,53,0.080336
1.0,30,0.081019
1.0,19,0.081468
0.0,13,0.081808
1.0,26,0.082433
1.0,25,0.083038
1.0,11,0.083316
1.0,11,0.083602
1.0,28,0.08424
1.0,16,0.084629
1.0,79,0.086335
1.0,19,0.086777
1.0,57,0.088011
0.0,22,0.088536
0.0,9,0.088793
0.0,28,0.08944
1.0,89,0.091366
1.0,28,0.09204
1.0,15,0.092419
1.0,43,0.093364
1.0,23,0.093896
1.0,17,0.094293
1.0,23,0.094811
1.0,16,0.095201
1.0,34,0.095966
1.0,13,0.096297
1.0,27,0.096915
1.0,47,0.097931
1.0,67,0.099381
1.0,25,0.099984
1.0,12,0.100292
1.0,6,0.100471
1.0,15,0.100852
1.0,12,0.10117
0.0,100,0.10327
0.0,50,0.104354
1.0,32,0.105054
1.0,9,0.105297
1.0,10,0.105564
0.0,19,0.10603
0.0,100,0.108155
1.0,23,0.108699
1.0,34,0.109457
0.0,10,0.109717
1.0,20,0.110189
1.0,14,0.110548
1.0,60,0.111855
0.0,3,0.111997
1.0,66,0.113426
0.0,14,0.113863
1.0,11,0.114207
1.0,39,0.115086
1.0,29,0.115743
1.0,7,0.11596
1.0,12,0.116277
0.0,4,0.116414
1.0,10,0.116672
1.0,27,0.117312
0.0,12,0.117628
1.0,24,0.118209
1.0,17,0.118618
1.0,13,0.118946
0.0,27,0.119555
1.0,32,0.120306
0.0,15,0.120667
1.0,8,0.120899
1.0,40,0.121783
1.0,42,0.122698
1.0,56,0.123903
1.0,13,0.124238
1.0,9,0.124489
1.0,45,0.125476
0.0,9,0.125732
1.0,18,0.126175
1.0,44,0.127155
1.0,28,0.12779
1.0,14,0.128137
1.0,19,0.128582
1.0,34,0.129339
1.0,11,0.129631
0.0,96,0.131669
0.0,100,0.133771
0.0,14,0.134125
0.0,30,0.134801
0.0,46,0.135795
0.0,25,0.136387
1.0,57,0.137614
0.0,96,0.139641
1.0,21,0.140153
1.0,49,0.141252
1.0,26,0.14184
1.0,35,0.142622
1.0,14,0.142977
1.0,28,0.143614
1.0,46,0.144678
1.0,30,0.145365
1.0,10,0.145631
1.0,28,0.146262
0.0,6,0.146444
1.0,39,0.147308
1.0,25,0.147882
1.0,15,0.148263
1.0,8,0.148479
1.0,18,0.148925
1.0,15,0.149279
1.0,14,0.149619
0.0,10,0.149896
1.0,22,0.150404
1.0,43,0.151324
1.0,13,0.151639
1.0,16,0.152023
1.0,14,0.152368
1.0,25,0.152952
1.0,36,0.153761
1.0,19,0.154226
1.0,8,0.154447
1.0,20,0.154907
1.0,44,0.15588
1.0,8,0.156109
1.0,47,0.15712
1.0,36,0.157932
0.0,4,0.158088
1.0,24,0.158656
1.0,61,0.159975
1.0,40,0.160844
1.0,22,0.161377
1.0,26,0.161971
1.0,51,0.163071
1.0,28,0.163707
1.0,6,0.163892
1.0,11,0.164206
0.0,2,0.164323
1.0,19,0.164776
1.0,9,0.16505
1.0,36,0.165893
1.0,49,0.166942
1.0,20,0.167404
1.0,61,0.168707
1.0,59,0.170011
0.0,23,0.170553
1.0,94,0.172545
0.0,2,0.17265
1.0,61,0.173981
1.0,11,0.174276
1.0,31,0.174973
1.0,20,0.175435
1.0,27,0.176059
1.0,9,0.176297
1.0,15,0.176669
1.0,38,0.177524
1.0,75,0.179132
1.0,62,0.180453
1.0,24,0.181024
1.0,50,0.182135
1.0,60,0.183417
1.0,22,0.183933
1.0,43,0.184897
1.0,25,0.185464
0.0,3,0.185596
1.0,7,0.18581
0.0,6,0.186012
0.0,13,0.186341
0.0,10,0.186606
1.0,20,0.187079
1.0,26,0.187648
0.0,4,0.18779
1.0,14,0.188138
0.0,20,0.18862
1.0,25,0.189207
1.0,18,0.189635
1.0,16,0.190039
1.0,25,0.190618
1.0,14,0.190984
1.0,15,0.19137
0.0,6,0.191558
1.0,11,0.191842
0.0,23,0.192376
1.0,47,0.193406
1.0,28,0.194047
1.0,26,0.194631
1.0,16,0.195029
1.0,25,0.19559
1.0,8,0.195816
1.0,14,0.196176
1.0,18,0.196603
1.0,13,0.196944
1.0,14,0.1973
1.0,10,0.197556
1.0,12,0.19786
1.0,7,0.198078
1.0,88,0.199966
1.0,41,0.200873
1.0,49,0.201959
1.0,15,0.202333
0.0,3,0.202458
1.0,30,0.203137
1.0,23,0.203659
1.0,24,0.204219
1.0,11,0.204504
0.0,7,0.204706
1.0,14,0.205065
1.0,22,0.205581
1.0,85,0.207367
1.0,23,0.207911
1.0,53,0.209074
1.0,54,0.210252
1.0,14,0.210609
1.0,26,0.211199
1.0,22,0.211719
1.0,38,0.212549
1.0,31,0.213256
1.0,24,0.213791
0.0,24,0.21445
1.0,20,0.214973
1.0,39,0.215862
1.0,24,0.216421
1.0,19,0.216871
1.0,8,0.217098
1.0,14,0.217446
1.0,27,0.218056
1.0,14,0.218393
1.0,49,0.219465
1.0,16,0.219856
1.0,51,0.220969
0.0,3,0.221096
1.0,26,0.221691
1.0,27,0.222317
0.0,77,0.223969
0.0,100,0.226108
0.0,23,0.226645
1.0,16,0.227054
1.0,13,0.227386
1.0,62,0.228729
1.0,61,0.230088
1.0,27,0.230705
1.0,10,0.230992
0.0,2,0.231093
1.0,14,0.23144
1.0,41,0.23238
1.0,22,0.232898
1.0,15,0.233272
1.0,51,0.234391
1.0,16,0.23477
0.0,43,0.235716
1.0,16,0.236116
1.0,28,0.236745
1.0,24,0.23731
0.0,10,0.237582
1.0,55,0.238766
1.0,15,0.239142
0.0,39,0.240013
0.0,20,0.240488
1.0,24,0.241045
0.0,59,0.242293
1.0,16,0.242666
1.0,59,0.243915
0.0,25,0.244477
1.0,25,0.245055
0.0,38,0.24587
1.0,20,0.246354
1.0,20,0.246817
1.0,21,0.247302
1.0,23,0.247837
1.0,15,0.248211
1.0,63,0.249588
1.0,24,0.250158
0.0,6,0.250343
1.0,51,0.251468
0.0,38,0.252304
1.0,19,0.252755
0.0,32,0.253481
0.0,32,0.254192
0.0,11,0.254493
1.0,17,0.254905
1.0,17,0.255317
1.0,9,0.255553
0.0,4,0.255697
0.0,17,0.256101
1.0,41,0.257001
0.0,13,0.257335
1.0,18,0.257774
0.0,26,0.258382
1.0,43,0.259331
1.0,94,0.261299
1.0,16,0.261702
1.0,13,0.262031
1.0,15,0.262386
0.0,12,0.2627
1.0,44,0.263654
