#{"t_start": 1522150655.0172293, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.037479
0.0,4,0.037862
0.0,9,0.038572
0.0,12,0.039493
0.0,16,0.040657
0.0,4,0.041022
0.0,42,0.043905
0.0,33,0.045928
0.0,11,0.046488
0.0,34,0.048039
0.0,13,0.048687
0.0,43,0.050641
0.0,100,0.055104
0.0,3,0.055321
0.0,4,0.055564
0.0,14,0.056249
0.0,2,0.056404
0.0,9,0.05686
0.0,20,0.057811
0.0,43,0.05976
0.0,10,0.060276
0.0,22,0.061308
0.0,39,0.063078
0.0,37,0.064774
0.0,63,0.067611
0.0,9,0.068078
0.0,37,0.069769
0.0,5,0.070058
0.0,32,0.071535
0.0,7,0.071911
1.0,11,0.072469
0.0,28,0.073759
0.0,21,0.074746
0.0,15,0.075487
0.0,9,0.07595
0.0,41,0.07782
0.0,2,0.07798
0.0,3,0.078191
0.0,8,0.07861
0.0,2,0.078764
0.0,76,0.082149
0.0,8,0.082577
0.0,71,0.085747
0.0,10,0.086265
0.0,7,0.086639
0.0,11,0.087194
0.0,30,0.088581
0.0,28,0.089875
0.0,39,0.091648
0.0,32,0.09312
0.0,10,0.093633
0.0,40,0.095462
0.0,2,0.095622
0.0,6,0.095954
0.0,16,0.096731
0.0,9,0.097204
0.0,9,0.097664
0.0,4,0.097905
0.0,8,0.098337
0.0,22,0.09938
0.0,22,0.100415
0.0,9,0.100875
0.0,36,0.102519
0.0,14,0.103211
0.0,20,0.104147
0.0,23,0.105238
0.0,48,0.107406
0.0,2,0.107565
0.0,11,0.108113
0.0,11,0.108674
0.0,4,0.108923
0.0,35,0.110526
0.0,31,0.111945
0.0,5,0.112249
0.0,14,0.112932
0.0,20,0.113884
0.0,44,0.115887
0.0,25,0.117059
0.0,23,0.118145
0.0,30,0.119548
0.0,10,0.120057
0.0,21,0.121044
0.0,6,0.121385
0.0,15,0.122103
0.0,6,0.122442
0.0,34,0.12399
0.0,8,0.124422
0.0,28,0.125725
0.0,7,0.126104
0.0,32,0.127584
0.0,35,0.129197
0.0,29,0.130538
0.0,21,0.131533
0.0,8,0.131954
0.0,45,0.133999
0.0,7,0.134388
0.0,39,0.136173
0.0,24,0.137293
0.0,4,0.1376
0.0,38,0.139349
0.0,13,0.139989
0.0,20,0.140948
0.0,24,0.142073
0.0,9,0.14255
0.0,7,0.142926
0.0,14,0.14362
0.0,53,0.146028
0.0,14,0.146723
0.0,10,0.147245
0.0,8,0.147662
0.0,4,0.147909
0.0,12,0.148507
0.0,4,0.148753
0.0,6,0.149081
0.0,12,0.149688
0.0,11,0.150254
0.0,2,0.150413
0.0,26,0.151628
0.0,19,0.152539
0.0,24,0.153662
0.0,24,0.154782
0.0,33,0.156318
0.0,3,0.156518
0.0,12,0.157114
0.0,36,0.158782
0.0,24,0.159912
0.0,12,0.160518
0.0,14,0.16121
0.0,30,0.162598
1.0,30,0.163991
0.0,5,0.164289
0.0,14,0.164972
0.0,34,0.166552
0.0,3,0.166756
0.0,14,0.167447
0.0,4,0.16769
0.0,12,0.168295
0.0,16,0.169058
0.0,23,0.170129
0.0,22,0.171173
1.0,33,0.172688
0.0,9,0.173156
0.0,13,0.173806
0.0,64,0.176685
0.0,39,0.178467
0.0,12,0.179061
0.0,9,0.179535
0.0,47,0.181675
0.0,27,0.182937
0.0,11,0.183505
0.0,11,0.184056
0.0,4,0.184311
0.0,17,0.185125
0.0,10,0.18565
0.0,9,0.186114
0.0,98,0.190475
0.0,7,0.190855
0.0,14,0.191542
0.0,28,0.19284
0.0,7,0.193228
0.0,58,0.19585
0.0,35,0.197467
0.0,27,0.198727
0.0,7,0.199103
0.0,28,0.200413
0.0,4,0.20066
0.0,2,0.200815
1.0,38,0.202556
0.0,6,0.202892
0.0,6,0.203235
0.0,32,0.204707
0.0,36,0.206368
1.0,23,0.207455
0.0,12,0.208054
0.0,63,0.210901
0.0,10,0.21142
0.0,2,0.211577
0.0,6,0.211909
