#{"t_start": 1522150051.277458, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.047976
0.0,22,0.049029
0.0,14,0.049703
0.0,11,0.050258
0.0,15,0.050982
0.0,10,0.051483
0.0,16,0.05225
0.0,62,0.055012
0.0,68,0.058019
0.0,61,0.060721
0.0,75,0.064043
0.0,48,0.066191
0.0,82,0.069808
0.0,24,0.070922
0.0,55,0.073368
0.0,43,0.075301
0.0,93,0.079391
0.0,36,0.081028
0.0,27,0.082268
0.0,60,0.084935
0.0,65,0.087821
0.0,86,0.091602
0.0,28,0.092892
1.0,77,0.096281
0.0,7,0.096656
0.0,34,0.098214
0.0,44,0.100185
0.0,11,0.100732
0.0,34,0.10228
1.0,26,0.103475
1.0,13,0.104116
0.0,8,0.104531
0.0,32,0.105985
1.0,63,0.108787
0.0,4,0.109034
0.0,88,0.112893
0.0,18,0.113739
0.0,11,0.114287
0.0,3,0.114491
0.0,25,0.115639
0.0,40,0.117454
0.0,8,0.117878
0.0,53,0.120232
1.0,14,0.120915
0.0,13,0.121545
0.0,15,0.122269
0.0,23,0.123339
0.0,19,0.124242
0.0,18,0.125094
0.0,9,0.125553
0.0,30,0.126926
0.0,22,0.12795
1.0,21,0.128933
0.0,10,0.129438
0.0,13,0.130071
0.0,21,0.13105
0.0,31,0.132446
0.0,21,0.13342
0.0,18,0.134276
0.0,12,0.134876
0.0,15,0.135592
0.0,25,0.136741
1.0,9,0.13721
0.0,23,0.138273
0.0,10,0.138782
0.0,17,0.139582
0.0,9,0.140047
0.0,20,0.140989
0.0,6,0.141318
0.0,3,0.141515
0.0,11,0.142068
1.0,9,0.142522
0.0,48,0.144657
0.0,17,0.145472
0.0,16,0.14624
0.0,34,0.147796
0.0,5,0.148177
1.0,22,0.149244
0.0,52,0.151552
1.0,21,0.152532
1.0,9,0.152996
0.0,30,0.154355
1.0,34,0.155911
0.0,5,0.156198
0.0,100,0.160579
0.0,9,0.16105
0.0,12,0.161634
1.0,13,0.16227
1.0,45,0.164282
1.0,9,0.164744
0.0,5,0.165039
0.0,42,0.16693
0.0,39,0.168669
0.0,7,0.169051
1.0,10,0.169549
0.0,18,0.1704
0.0,17,0.171206
1.0,29,0.172523
0.0,14,0.173204
1.0,8,0.173621
0.0,36,0.175249
0.0,26,0.17644
0.0,13,0.177089
1.0,23,0.178153
1.0,10,0.178653
1.0,26,0.179853
0.0,44,0.181818
1.0,43,0.183765
1.0,24,0.184875
0.0,9,0.185335
0.0,7,0.185706
1.0,8,0.186134
0.0,5,0.186423
0.0,10,0.186935
0.0,33,0.188427
0.0,21,0.18941
1.0,33,0.190919
1.0,8,0.191336
0.0,13,0.19197
0.0,32,0.193428
0.0,52,0.195735
1.0,21,0.196716
0.0,4,0.19697
0.0,10,0.197471
0.0,21,0.198452
0.0,7,0.198835
0.0,15,0.199549
1.0,19,0.200449
1.0,8,0.20087
0.0,8,0.201282
0.0,3,0.201483
1.0,17,0.202296
0.0,40,0.204094
0.0,16,0.20487
0.0,8,0.205288
1.0,14,0.20597
0.0,2,0.206127
0.0,6,0.206457
0.0,4,0.206699
1.0,18,0.207558
0.0,5,0.207857
