#{"t_start": 1522149431.5484805, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,33,0.046123
0.0,5,0.046427
0.0,5,0.046711
0.0,4,0.046966
0.0,21,0.047947
0.0,7,0.048316
0.0,9,0.048781
0.0,30,0.050155
0.0,11,0.050694
0.0,66,0.053626
0.0,13,0.054265
0.0,18,0.055118
0.0,28,0.056403
1.0,15,0.057131
0.0,7,0.057501
0.0,6,0.057834
0.0,9,0.058292
0.0,11,0.058843
0.0,3,0.059042
0.0,10,0.05954
0.0,48,0.06168
0.0,28,0.062974
0.0,13,0.063609
0.0,3,0.063812
0.0,5,0.064095
0.0,24,0.065204
0.0,27,0.066474
0.0,5,0.066771
0.0,4,0.067014
0.0,24,0.068124
0.0,61,0.070827
0.0,7,0.071199
0.0,11,0.071749
0.0,17,0.072546
0.0,8,0.072966
0.0,14,0.073642
0.0,10,0.074151
0.0,6,0.074479
0.0,16,0.075243
0.0,16,0.076016
0.0,45,0.078048
0.0,4,0.078289
0.0,10,0.078794
0.0,14,0.079468
0.0,7,0.079849
0.0,9,0.080306
0.0,23,0.081377
0.0,42,0.083267
0.0,7,0.083638
0.0,4,0.083886
0.0,8,0.084299
0.0,17,0.085109
0.0,35,0.086694
0.0,5,0.086985
0.0,10,0.087484
0.0,6,0.087821
0.0,7,0.088189
0.0,9,0.088646
0.0,23,0.089713
0.0,17,0.09054
0.0,5,0.090834
0.0,5,0.091121
0.0,9,0.091579
0.0,4,0.091826
0.0,16,0.092583
0.0,11,0.093132
0.0,19,0.09403
0.0,29,0.095357
0.0,21,0.096343
0.0,2,0.096498
0.0,31,0.097915
0.0,6,0.098246
0.0,5,0.098527
0.0,4,0.09878
0.0,7,0.099152
0.0,23,0.100221
0.0,5,0.100508
0.0,29,0.101839
0.0,22,0.102864
0.0,10,0.103362
0.0,25,0.104512
0.0,10,0.105022
0.0,4,0.105263
0.0,6,0.10559
0.0,22,0.106623
0.0,23,0.107689
0.0,18,0.108541
0.0,17,0.10935
0.0,30,0.110722
0.0,14,0.111404
0.0,26,0.112618
0.0,7,0.113001
0.0,8,0.113412
0.0,10,0.113917
0.0,9,0.114377
0.0,5,0.114659
0.0,6,0.114996
0.0,67,0.117975
0.0,4,0.11822
0.0,10,0.118721
0.0,53,0.121088
0.0,5,0.121371
0.0,4,0.121611
0.0,19,0.122502
0.0,5,0.122796
0.0,16,0.123549
0.0,12,0.124146
0.0,30,0.125507
0.0,33,0.127026
0.0,14,0.127694
0.0,95,0.131893
0.0,14,0.132565
0.0,57,0.135098
0.0,13,0.135731
0.0,46,0.137806
0.0,7,0.138179
0.0,11,0.138725
0.0,2,0.138887
0.0,3,0.139082
0.0,9,0.139537
0.0,8,0.139959
0.0,4,0.1402
0.0,6,0.140523
0.0,9,0.140986
0.0,31,0.142407
0.0,23,0.143475
0.0,14,0.144159
0.0,3,0.144361
0.0,15,0.145081
0.0,92,0.14925
0.0,6,0.149582
0.0,7,0.149958
0.0,10,0.150457
0.0,4,0.150713
0.0,3,0.15092
0.0,45,0.152945
0.0,10,0.153446
0.0,4,0.153686
0.0,6,0.154021
0.0,7,0.154388
0.0,9,0.154852
0.0,18,0.155693
0.0,4,0.155945
0.0,5,0.156231
0.0,2,0.156383
0.0,18,0.157236
0.0,14,0.157915
0.0,5,0.158201
0.0,27,0.159433
0.0,6,0.159798
0.0,22,0.160822
1.0,12,0.161406
0.0,34,0.162951
0.0,8,0.163366
0.0,6,0.163692
0.0,26,0.164899
0.0,3,0.165095
1.0,8,0.165506
0.0,48,0.167669
0.0,4,0.16792
1.0,25,0.169077
0.0,16,0.169847
0.0,9,0.170302
0.0,12,0.170898
0.0,12,0.171486
0.0,16,0.172253
0.0,13,0.17289
0.0,24,0.174002
0.0,28,0.17529
0.0,6,0.175617
0.0,9,0.176087
1.0,48,0.178248
0.0,19,0.179144
0.0,25,0.180306
0.0,8,0.180722
0.0,10,0.181229
0.0,18,0.18208
0.0,33,0.183584
0.0,8,0.18401
0.0,30,0.185382
0.0,19,0.186292
0.0,16,0.187067
0.0,32,0.188525
0.0,20,0.189473
0.0,8,0.189897
0.0,2,0.190052
0.0,10,0.190554
0.0,71,0.193717
0.0,28,0.195015
0.0,53,0.197407
0.0,20,0.19835
0.0,8,0.198776
0.0,17,0.199577
0.0,15,0.200307
0.0,12,0.200904
0.0,30,0.202274
0.0,7,0.202646
0.0,10,0.203156
0.0,5,0.203442
0.0,19,0.204339
0.0,16,0.205109
0.0,25,0.206273
0.0,20,0.207215
0.0,6,0.207545
0.0,14,0.208229
0.0,8,0.208641
0.0,21,0.209626
0.0,8,0.210053
0.0,21,0.211033
0.0,39,0.212795
0.0,7,0.213169
0.0,2,0.213325
0.0,9,0.213791
0.0,4,0.214032
0.0,20,0.214991
1.0,13,0.215678
0.0,35,0.217373
0.0,6,0.217725
0.0,37,0.219547
0.0,14,0.220284
0.0,9,0.220792
0.0,4,0.221054
0.0,4,0.22131
0.0,10,0.221853
0.0,31,0.223314
0.0,3,0.223535
0.0,16,0.224361
0.0,10,0.22489
0.0,8,0.225306
0.0,11,0.225865
0.0,15,0.226585
0.0,9,0.227057
0.0,9,0.227517
0.0,27,0.228772
0.0,6,0.229103
0.0,8,0.229519
0.0,20,0.230464
0.0,14,0.23115
0.0,19,0.232046
0.0,14,0.23272
0.0,12,0.233313
0.0,13,0.233954
0.0,9,0.234411
0.0,4,0.234651
0.0,13,0.235288
0.0,10,0.235825
0.0,31,0.237245
0.0,13,0.237886
0.0,7,0.238258
0.0,12,0.238852
0.0,20,0.239795
0.0,21,0.240784
0.0,6,0.241115
0.0,3,0.241311
0.0,4,0.241551
0.0,21,0.242533
0.0,11,0.243086
0.0,25,0.24424
0.0,65,0.247147
0.0,6,0.247537
0.0,15,0.248262
0.0,4,0.248503
0.0,7,0.248886
0.0,4,0.249127
0.0,18,0.249982
0.0,24,0.251097
0.0,7,0.251468
0.0,5,0.251759
0.0,9,0.252218
0.0,20,0.253155
0.0,22,0.254186
0.0,16,0.254974
0.0,2,0.255132
0.0,8,0.255546
0.0,4,0.255805
0.0,11,0.256349
0.0,26,0.257545
0.0,16,0.258313
0.0,13,0.258949
0.0,8,0.259359
0.0,13,0.259994
0.0,6,0.260324
0.0,6,0.260651
0.0,12,0.261246
0.0,11,0.261799
0.0,19,0.262682
0.0,13,0.263318
0.0,4,0.263561
0.0,12,0.264151
0.0,5,0.264433
0.0,13,0.265069
0.0,4,0.26531
0.0,27,0.266548
0.0,8,0.266972
0.0,10,0.267472
0.0,4,0.267714
0.0,17,0.268522
0.0,44,0.270503
0.0,8,0.270928
0.0,12,0.271516
0.0,11,0.272064
0.0,2,0.27222
0.0,12,0.272814
0.0,18,0.273658
0.0,34,0.27521
0.0,33,0.276716
0.0,9,0.277182
0.0,6,0.277509
0.0,9,0.27798
0.0,26,0.279173
0.0,27,0.280415
0.0,8,0.280836
0.0,42,0.282717
0.0,29,0.284054
0.0,11,0.2846
0.0,5,0.284894
0.0,4,0.285137
1.0,13,0.285777
1.0,8,0.286191
0.0,14,0.286867
0.0,70,0.28997
1.0,10,0.290474
0.0,8,0.290896
0.0,8,0.29131
0.0,5,0.291594
