#{"t_start": 1522157906.614482, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.013544
0.0,4,0.013713
0.0,3,0.013846
0.0,13,0.014181
0.0,10,0.014467
0.0,14,0.014837
0.0,11,0.015132
0.0,6,0.015339
0.0,19,0.015804
0.0,9,0.016057
0.0,47,0.017107
0.0,25,0.017703
0.0,21,0.018211
0.0,5,0.018376
0.0,15,0.018747
0.0,41,0.019675
0.0,22,0.020203
0.0,30,0.020899
0.0,17,0.021326
0.0,8,0.021559
0.0,2,0.021657
1.0,13,0.021998
0.0,3,0.022116
0.0,7,0.022335
0.0,2,0.022434
0.0,7,0.022639
0.0,28,0.02329
0.0,24,0.023856
0.0,30,0.024554
0.0,10,0.024827
1.0,21,0.025338
0.0,46,0.026382
0.0,5,0.026555
0.0,4,0.026701
0.0,29,0.027391
0.0,14,0.027752
0.0,4,0.027901
0.0,38,0.028773
0.0,13,0.029115
0.0,18,0.029567
0.0,6,0.029748
0.0,18,0.030185
0.0,5,0.030362
0.0,24,0.030927
0.0,13,0.031269
0.0,17,0.031684
0.0,35,0.032488
0.0,9,0.032736
0.0,2,0.032838
0.0,11,0.033126
0.0,21,0.033645
0.0,3,0.033765
0.0,11,0.034054
0.0,24,0.034631
0.0,13,0.034961
0.0,14,0.03533
0.0,4,0.035476
0.0,11,0.035761
0.0,2,0.035857
0.0,9,0.036107
0.0,5,0.036278
1.0,32,0.036999
0.0,66,0.038454
0.0,5,0.038616
0.0,14,0.038973
0.0,64,0.040378
0.0,12,0.040701
0.0,6,0.040887
0.0,29,0.041565
0.0,10,0.041834
0.0,14,0.042179
0.0,5,0.042349
1.0,17,0.042758
0.0,16,0.043161
0.0,12,0.043484
0.0,10,0.043754
0.0,5,0.043919
0.0,10,0.044183
0.0,9,0.044442
0.0,10,0.044714
1.0,19,0.04517
0.0,30,0.04587
0.0,9,0.046123
0.0,10,0.04641
0.0,77,0.048081
0.0,31,0.048803
0.0,6,0.048988
0.0,10,0.049266
0.0,17,0.049685
0.0,6,0.04987
0.0,11,0.05016
0.0,22,0.050695
0.0,7,0.050908
0.0,30,0.051599
0.0,8,0.051823
1.0,19,0.052295
0.0,2,0.052397
0.0,2,0.052499
0.0,20,0.052979
0.0,15,0.053368
0.0,8,0.053597
0.0,68,0.055097
0.0,9,0.055362
0.0,6,0.05555
1.0,29,0.056218
0.0,7,0.05642
0.0,13,0.056745
1.0,9,0.05699
0.0,3,0.057112
0.0,8,0.05735
1.0,6,0.057534
0.0,28,0.058184
0.0,11,0.05849
0.0,7,0.058693
0.0,5,0.058853
0.0,45,0.059857
1.0,8,0.060081
0.0,15,0.060478
0.0,11,0.060776
0.0,3,0.060894
0.0,13,0.061246
0.0,11,0.061543
0.0,2,0.061641
0.0,4,0.06178
0.0,10,0.062054
0.0,12,0.062375
0.0,10,0.062651
1.0,17,0.063069
0.0,35,0.063878
0.0,9,0.064123
0.0,17,0.064552
0.0,3,0.064673
0.0,20,0.065153
0.0,29,0.065832
0.0,9,0.066084
0.0,3,0.066218
0.0,29,0.066878
0.0,22,0.067411
0.0,21,0.06791
0.0,20,0.0684
0.0,12,0.068712
0.0,4,0.068851
0.0,3,0.068973
0.0,17,0.069415
0.0,21,0.069921
0.0,12,0.070245
0.0,19,0.070696
0.0,26,0.071305
0.0,29,0.071973
0.0,8,0.072216
0.0,8,0.07244
0.0,10,0.072706
0.0,4,0.072852
0.0,19,0.073316
0.0,23,0.073863
0.0,21,0.074391
0.0,17,0.074817
0.0,11,0.075113
1.0,21,0.075633
0.0,11,0.075926
1.0,25,0.076534
1.0,7,0.076737
0.0,14,0.077094
0.0,9,0.077353
0.0,21,0.077858
0.0,10,0.078128
0.0,11,0.07843
0.0,12,0.078736
0.0,5,0.078897
0.0,18,0.079354
0.0,8,0.079577
0.0,9,0.079821
0.0,6,0.080007
0.0,8,0.080249
0.0,6,0.080445
0.0,14,0.080804
0.0,4,0.080943
0.0,7,0.081144
0.0,8,0.081383
0.0,9,0.081628
0.0,21,0.082119
0.0,2,0.082225
0.0,10,0.082496
0.0,10,0.082762
1.0,9,0.083011
0.0,2,0.083112
0.0,5,0.083289
0.0,14,0.083637
0.0,30,0.084338
0.0,21,0.084844
0.0,5,0.085006
0.0,13,0.085356
0.0,2,0.085459
0.0,47,0.086504
0.0,7,0.086714
1.0,12,0.08703
0.0,16,0.087443
0.0,6,0.087627
0.0,26,0.088228
0.0,16,0.088653
0.0,3,0.088792
0.0,29,0.089562
0.0,30,0.090272
0.0,5,0.090442
1.0,11,0.090733
0.0,3,0.090851
0.0,10,0.091119
0.0,3,0.091247
0.0,6,0.091429
0.0,21,0.091938
0.0,13,0.092273
0.0,5,0.09244
0.0,12,0.092746
0.0,34,0.093529
0.0,15,0.0939
0.0,7,0.094103
0.0,8,0.09434
0.0,23,0.094879
0.0,15,0.095259
0.0,16,0.095657
0.0,27,0.096296
0.0,31,0.09701
0.0,10,0.097297
0.0,9,0.097541
0.0,7,0.097746
0.0,26,0.098369
0.0,15,0.098739
1.0,16,0.099135
0.0,13,0.099483
0.0,15,0.099885
0.0,13,0.100253
0.0,5,0.100425
0.0,40,0.101356
0.0,17,0.101777
0.0,28,0.102465
0.0,42,0.103413
0.0,12,0.10372
1.0,10,0.103981
0.0,13,0.104318
0.0,9,0.104566
0.0,29,0.105246
0.0,12,0.105568
0.0,8,0.105803
1.0,16,0.106209
0.0,6,0.106408
0.0,9,0.106651
0.0,10,0.106918
0.0,11,0.107213
0.0,14,0.107568
0.0,2,0.10767
0.0,3,0.107795
0.0,50,0.108925
0.0,13,0.109263
0.0,4,0.10941
0.0,4,0.10955
0.0,42,0.110486
0.0,11,0.110781
0.0,20,0.111275
0.0,44,0.112275
0.0,2,0.112379
0.0,4,0.112531
0.0,35,0.113346
0.0,5,0.113516
0.0,3,0.113704
1.0,26,0.114325
0.0,41,0.115253
0.0,15,0.11563
0.0,2,0.115734
0.0,4,0.115881
0.0,45,0.116884
0.0,18,0.11735
0.0,47,0.118404
0.0,53,0.119566
0.0,3,0.119692
0.0,23,0.120255
0.0,9,0.120499
0.0,53,0.1217
0.0,37,0.122538
1.0,46,0.123576
0.0,17,0.123982
0.0,3,0.124105
0.0,14,0.124469
0.0,17,0.124894
0.0,10,0.125165
0.0,10,0.12545
1.0,12,0.125757
0.0,6,0.125935
1.0,21,0.126438
0.0,4,0.126581
0.0,19,0.127045
1.0,34,0.127825
0.0,12,0.12814
0.0,10,0.128418
0.0,3,0.128536
0.0,18,0.128977
0.0,5,0.129136
0.0,6,0.129349
0.0,30,0.130061
0.0,31,0.130788
0.0,4,0.130934
0.0,32,0.131685
0.0,10,0.131952
0.0,8,0.132195
0.0,3,0.132321
0.0,20,0.132798
0.0,16,0.133199
0.0,4,0.133342
0.0,4,0.133485
0.0,8,0.133713
0.0,3,0.13383
0.0,76,0.13552
0.0,63,0.136934
0.0,4,0.137076
0.0,16,0.137486
0.0,57,0.138754
0.0,13,0.139085
0.0,8,0.139333
0.0,4,0.139474
0.0,3,0.139592
0.0,31,0.140321
0.0,27,0.140949
0.0,24,0.141524
0.0,2,0.141626
0.0,20,0.14211
0.0,4,0.14226
0.0,13,0.142601
0.0,9,0.142851
0.0,4,0.142997
0.0,10,0.143279
0.0,14,0.143636
0.0,9,0.143884
0.0,7,0.144091
0.0,11,0.144389
0.0,14,0.144749
0.0,17,0.145168
0.0,21,0.145713
0.0,7,0.145921
0.0,10,0.14621
1.0,24,0.146774
1.0,17,0.147201
0.0,21,0.147692
0.0,11,0.147975
0.0,21,0.148486
0.0,4,0.148633
0.0,17,0.14906
0.0,32,0.149795
0.0,34,0.150579
0.0,11,0.150871
0.0,23,0.151431
0.0,8,0.151655
0.0,11,0.151956
0.0,8,0.152199
0.0,11,0.152496
0.0,23,0.153041
0.0,47,0.154107
0.0,12,0.15443
0.0,14,0.154777
0.0,6,0.154962
0.0,11,0.15526
0.0,15,0.155623
0.0,56,0.156928
0.0,24,0.157518
0.0,7,0.157724
0.0,16,0.158123
0.0,34,0.158916
1.0,7,0.159128
0.0,7,0.159351
0.0,6,0.159536
0.0,20,0.160021
0.0,17,0.160463
0.0,14,0.160821
0.0,12,0.161129
1.0,40,0.162045
0.0,6,0.162248
0.0,3,0.162376
0.0,33,0.163146
0.0,36,0.16398
0.0,18,0.164426
0.0,12,0.164739
0.0,4,0.16488
0.0,13,0.165228
0.0,4,0.165371
0.0,2,0.165472
0.0,7,0.165683
0.0,2,0.165781
0.0,16,0.166195
0.0,6,0.166384
0.0,18,0.166825
0.0,12,0.167162
0.0,12,0.167517
0.0,22,0.168049
0.0,6,0.168243
0.0,3,0.168369
0.0,15,0.168749
0.0,4,0.16889
0.0,27,0.169531
0.0,6,0.169721
0.0,5,0.169883
0.0,30,0.170581
0.0,6,0.170764
0.0,19,0.171242
0.0,6,0.171437
0.0,13,0.171767
0.0,12,0.172076
0.0,8,0.172312
0.0,13,0.172652
0.0,3,0.172782
0.0,3,0.172904
0.0,7,0.173115
0.0,21,0.173636
0.0,2,0.173737
0.0,11,0.17403
0.0,7,0.174256
0.0,9,0.174508
0.0,24,0.175074
0.0,6,0.17528
0.0,12,0.175598
0.0,32,0.176347
0.0,6,0.176533
0.0,8,0.176772
0.0,6,0.176965
0.0,18,0.177426
0.0,14,0.177778
0.0,6,0.177969
0.0,21,0.178478
0.0,24,0.179054
0.0,3,0.179175
0.0,26,0.179797
0.0,19,0.180271
0.0,37,0.181116
0.0,2,0.181224
0.0,9,0.181477
0.0,16,0.181877
0.0,12,0.182205
0.0,17,0.182633
0.0,12,0.182939
0.0,35,0.183739
0.0,6,0.18393
0.0,24,0.184516
1.0,14,0.184869
0.0,3,0.184987
0.0,25,0.185588
0.0,13,0.185925
0.0,10,0.186211
0.0,24,0.186794
0.0,13,0.187137
0.0,6,0.187337
0.0,5,0.187503
0.0,5,0.187662
0.0,7,0.187865
0.0,10,0.188149
0.0,7,0.188375
0.0,18,0.188817
0.0,4,0.188958
0.0,22,0.189498
0.0,43,0.190475
0.0,22,0.191003
0.0,44,0.192019
1.0,14,0.192392
0.0,4,0.192533
1.0,14,0.192887
0.0,5,0.193056
0.0,14,0.193429
1.0,12,0.193758
0.0,6,0.193947
0.0,45,0.194967
0.0,3,0.195093
0.0,3,0.195226
0.0,25,0.195817
0.0,14,0.196163
0.0,3,0.196297
0.0,4,0.196446
0.0,8,0.196679
0.0,7,0.196881
1.0,16,0.197291
0.0,30,0.198009
1.0,9,0.198272
0.0,11,0.198568
0.0,15,0.198953
0.0,24,0.199542
0.0,5,0.199714
0.0,5,0.199884
0.0,22,0.20042
0.0,19,0.200896
0.0,6,0.201081
0.0,33,0.201841
0.0,3,0.201967
0.0,20,0.202461
0.0,7,0.202665
0.0,5,0.202826
0.0,3,0.202951
0.0,6,0.203136
0.0,3,0.203264
0.0,2,0.203378
1.0,55,0.204622
1.0,19,0.205081
0.0,26,0.205695
0.0,27,0.206345
0.0,48,0.207423
1.0,12,0.207738
1.0,7,0.20795
0.0,4,0.208091
0.0,9,0.208363
0.0,17,0.208791
1.0,21,0.209316
0.0,8,0.209561
0.0,4,0.209705
0.0,31,0.210425
0.0,6,0.210616
0.0,8,0.210852
0.0,14,0.211222
0.0,31,0.211944
0.0,7,0.212158
0.0,6,0.212352
0.0,4,0.212499
0.0,5,0.212667
0.0,17,0.213089
1.0,54,0.214319
0.0,8,0.214617
0.0,5,0.214792
0.0,25,0.215395
0.0,32,0.216136
0.0,4,0.216291
0.0,7,0.216502
0.0,2,0.2166
0.0,16,0.217008
0.0,6,0.217214
0.0,12,0.217565
0.0,2,0.217663
0.0,3,0.217781
0.0,9,0.218032
0.0,11,0.218339
0.0,18,0.218784
0.0,7,0.218988
0.0,7,0.219205
0.0,35,0.220001
0.0,6,0.220184
0.0,6,0.220386
0.0,25,0.22098
0.0,7,0.221206
0.0,21,0.221717
0.0,12,0.222031
0.0,14,0.222392
0.0,28,0.223046
0.0,3,0.223171
0.0,3,0.223302
0.0,18,0.22375
0.0,6,0.223933
0.0,6,0.224121
0.0,11,0.224424
0.0,12,0.224741
0.0,24,0.225318
1.0,17,0.225734
0.0,11,0.226022
0.0,6,0.226213
0.0,17,0.226662
0.0,4,0.2268
1.0,10,0.227065
0.0,29,0.227736
0.0,9,0.228003
0.0,23,0.228555
0.0,3,0.228677
0.0,10,0.228949
0.0,21,0.22946
0.0,10,0.229733
0.0,13,0.230067
0.0,22,0.230589
0.0,21,0.231092
0.0,4,0.231239
0.0,5,0.231399
0.0,46,0.23246
0.0,2,0.232559
0.0,9,0.232803
