#{"t_start": 1522158111.2997015, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.016166
0.0,62,0.017607
0.0,30,0.018319
0.0,27,0.01897
0.0,100,0.021183
0.0,11,0.021482
1.0,13,0.021845
1.0,34,0.022655
0.0,73,0.024295
0.0,100,0.026511
1.0,50,0.02765
0.0,100,0.029826
1.0,26,0.030439
1.0,82,0.032252
1.0,35,0.033086
0.0,9,0.033349
1.0,16,0.033764
0.0,19,0.034232
1.0,37,0.035106
1.0,27,0.035756
0.0,5,0.035932
1.0,18,0.036368
1.0,75,0.038031
1.0,60,0.039383
0.0,30,0.040093
1.0,7,0.040305
0.0,7,0.040524
1.0,12,0.040848
1.0,15,0.041236
0.0,100,0.043433
1.0,11,0.043743
1.0,62,0.045124
0.0,58,0.046427
1.0,28,0.047101
1.0,25,0.047709
1.0,21,0.048206
0.0,2,0.048309
1.0,7,0.048519
0.0,10,0.048811
0.0,19,0.049289
0.0,8,0.049532
1.0,21,0.050051
0.0,6,0.050249
1.0,7,0.050471
1.0,28,0.05115
1.0,62,0.052568
0.0,36,0.053408
1.0,17,0.053852
1.0,27,0.054495
1.0,29,0.055203
1.0,14,0.055575
1.0,12,0.055906
0.0,52,0.057086
1.0,47,0.058157
1.0,38,0.05905
1.0,21,0.059571
1.0,48,0.06065
1.0,23,0.061197
0.0,22,0.061761
0.0,9,0.062024
0.0,21,0.062541
1.0,47,0.063623
1.0,77,0.065343
1.0,26,0.065975
1.0,18,0.066426
1.0,26,0.067051
1.0,9,0.067311
1.0,24,0.067882
1.0,53,0.069097
1.0,13,0.06945
0.0,7,0.069683
1.0,28,0.070342
1.0,18,0.07081
1.0,19,0.071278
1.0,15,0.071666
1.0,26,0.072288
1.0,19,0.072763
1.0,10,0.073037
1.0,24,0.073624
1.0,30,0.074329
1.0,59,0.075687
1.0,27,0.07632
1.0,46,0.077384
0.0,39,0.078297
0.0,45,0.079337
1.0,32,0.08009
0.0,35,0.080927
0.0,20,0.081421
0.0,21,0.08195
0.0,25,0.082564
1.0,60,0.083924
1.0,9,0.08419
0.0,6,0.084391
0.0,6,0.084594
1.0,10,0.084876
1.0,22,0.085408
0.0,5,0.085592
0.0,27,0.086246
0.0,18,0.086709
0.0,55,0.087942
1.0,39,0.088861
1.0,14,0.089224
1.0,58,0.090537
1.0,16,0.090953
1.0,32,0.091708
0.0,18,0.092158
1.0,67,0.093666
1.0,26,0.094286
1.0,25,0.094887
1.0,19,0.095359
1.0,9,0.095626
1.0,16,0.096031
1.0,24,0.096617
1.0,28,0.097274
1.0,42,0.098231
1.0,12,0.098554
1.0,6,0.098767
1.0,12,0.099095
1.0,33,0.099872
0.0,100,0.102076
0.0,10,0.102372
0.0,47,0.103462
1.0,16,0.103881
0.0,34,0.104684
1.0,39,0.105584
1.0,51,0.106746
1.0,36,0.107584
0.0,11,0.107888
1.0,25,0.108479
0.0,10,0.108776
1.0,41,0.109732
1.0,84,0.11161
1.0,16,0.112019
0.0,5,0.112187
1.0,54,0.113411
1.0,45,0.114452
1.0,53,0.115762
1.0,14,0.116122
1.0,11,0.116421
0.0,2,0.116523
1.0,18,0.116995
1.0,83,0.118857
0.0,63,0.120282
0.0,27,0.120942
1.0,44,0.121956
1.0,6,0.122147
0.0,3,0.122276
1.0,32,0.123045
1.0,78,0.124835
1.0,27,0.125472
1.0,21,0.125997
1.0,41,0.126959
0.0,3,0.127092
1.0,12,0.127426
0.0,9,0.127697
0.0,2,0.127809
1.0,12,0.128139
1.0,51,0.129311
1.0,9,0.129571
1.0,19,0.130037
1.0,70,0.131616
0.0,33,0.13238
1.0,62,0.133776
0.0,10,0.134048
1.0,47,0.135121
1.0,31,0.135872
0.0,17,0.13631
1.0,8,0.136544
1.0,26,0.137185
1.0,12,0.137501
0.0,11,0.13781
1.0,13,0.138148
1.0,18,0.138615
1.0,17,0.13904
1.0,29,0.139743
1.0,24,0.140315
0.0,13,0.140674
0.0,8,0.14092
1.0,28,0.141611
1.0,30,0.14231
1.0,25,0.14291
0.0,51,0.144059
1.0,11,0.144355
0.0,11,0.144675
1.0,19,0.145134
1.0,53,0.146341
1.0,9,0.146615
1.0,46,0.147684
0.0,38,0.148538
1.0,21,0.149055
0.0,6,0.149248
1.0,21,0.149771
1.0,14,0.150135
1.0,95,0.152206
0.0,24,0.152811
1.0,11,0.153112
1.0,27,0.153774
1.0,16,0.15419
1.0,29,0.154904
1.0,70,0.156455
0.0,20,0.156955
1.0,25,0.157552
1.0,8,0.157799
1.0,21,0.158317
0.0,6,0.158521
0.0,29,0.159229
0.0,3,0.159356
1.0,24,0.159949
1.0,9,0.160199
0.0,18,0.16067
1.0,62,0.162035
1.0,31,0.162778
1.0,18,0.163226
1.0,6,0.16342
1.0,48,0.164504
0.0,4,0.16467
1.0,15,0.165046
0.0,19,0.165521
0.0,2,0.165642
0.0,20,0.166134
1.0,11,0.16644
1.0,9,0.166704
0.0,16,0.167106
1.0,20,0.167596
0.0,3,0.16773
1.0,61,0.169096
0.0,42,0.170071
1.0,86,0.171987
1.0,15,0.172364
0.0,42,0.173311
1.0,31,0.17406
0.0,7,0.174271
1.0,27,0.174926
0.0,13,0.175273
1.0,18,0.175747
1.0,27,0.176386
1.0,20,0.176882
0.0,31,0.177625
1.0,28,0.178279
1.0,44,0.179292
1.0,72,0.180927
0.0,16,0.181346
1.0,22,0.181895
1.0,46,0.182936
1.0,12,0.18325
0.0,26,0.18389
1.0,64,0.185342
1.0,33,0.186132
0.0,12,0.186454
1.0,24,0.187052
0.0,21,0.187573
0.0,13,0.187913
1.0,9,0.188166
1.0,28,0.188829
1.0,9,0.189083
1.0,57,0.190368
0.0,9,0.19065
0.0,19,0.191121
1.0,7,0.191331
1.0,19,0.191811
1.0,10,0.192085
1.0,17,0.192514
0.0,31,0.19326
1.0,35,0.194085
1.0,47,0.195141
1.0,22,0.195683
0.0,24,0.196271
1.0,33,0.197062
0.0,21,0.197578
1.0,90,0.199589
1.0,10,0.199883
0.0,10,0.200162
1.0,19,0.200645
1.0,26,0.201269
1.0,19,0.201755
1.0,15,0.202141
0.0,28,0.202807
0.0,10,0.203088
1.0,16,0.203482
1.0,43,0.204474
1.0,64,0.205959
1.0,42,0.206948
1.0,30,0.207673
0.0,69,0.209263
0.0,14,0.209643
1.0,54,0.210859
1.0,19,0.211327
1.0,17,0.211759
1.0,46,0.212824
1.0,11,0.213126
1.0,10,0.213397
0.0,23,0.213973
1.0,16,0.214379
1.0,17,0.214808
1.0,95,0.216995
1.0,17,0.217443
1.0,54,0.218667
1.0,32,0.219415
0.0,25,0.220042
1.0,16,0.220444
1.0,37,0.221287
1.0,30,0.222013
0.0,68,0.223537
0.0,51,0.224708
0.0,6,0.224912
1.0,32,0.225662
0.0,19,0.226137
1.0,26,0.226769
0.0,8,0.227005
1.0,25,0.227603
0.0,10,0.227887
1.0,19,0.22835
1.0,47,0.229439
1.0,24,0.230025
1.0,18,0.230463
1.0,32,0.231225
0.0,58,0.23254
1.0,20,0.233031
1.0,45,0.234062
0.0,13,0.234415
1.0,6,0.234618
0.0,31,0.235354
1.0,13,0.23572
1.0,71,0.237315
0.0,26,0.237956
0.0,20,0.238448
0.0,18,0.238903
1.0,20,0.239398
0.0,39,0.240317
0.0,36,0.241175
1.0,10,0.241458
1.0,18,0.241929
1.0,25,0.242527
0.0,23,0.243093
0.0,13,0.243448
0.0,12,0.243781
