#{"t_start": 1522149505.8940763, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,34,0.029236
0.0,19,0.030637
0.0,53,0.033778
0.0,100,0.038228
0.0,5,0.038518
0.0,7,0.038904
0.0,20,0.039853
0.0,14,0.040536
0.0,23,0.041629
0.0,26,0.042852
0.0,14,0.043536
1.0,14,0.044225
0.0,18,0.045099
0.0,9,0.045561
0.0,12,0.046162
0.0,7,0.046539
0.0,25,0.047708
0.0,11,0.048255
0.0,13,0.048901
0.0,12,0.049494
0.0,6,0.049849
0.0,4,0.050093
0.0,2,0.050249
0.0,2,0.050406
0.0,2,0.050561
0.0,23,0.051651
0.0,3,0.051855
0.0,48,0.054037
0.0,17,0.05486
0.0,59,0.057503
0.0,70,0.060655
0.0,100,0.065097
0.0,29,0.066434
0.0,9,0.06691
0.0,10,0.067417
0.0,4,0.067674
0.0,27,0.068926
0.0,36,0.070567
0.0,19,0.071468
0.0,25,0.072656
0.0,27,0.073915
0.0,2,0.074075
0.0,21,0.07507
0.0,19,0.075979
0.0,18,0.076848
0.0,43,0.078803
0.0,61,0.081532
0.0,35,0.083153
0.0,18,0.08402
0.0,100,0.088455
0.0,20,0.089413
0.0,2,0.089571
0.0,50,0.091828
0.0,19,0.092741
0.0,15,0.093462
0.0,10,0.093975
0.0,12,0.094568
0.0,10,0.095082
0.0,15,0.095812
0.0,7,0.096187
0.0,8,0.096618
0.0,8,0.097037
0.0,7,0.097414
0.0,13,0.098063
0.0,28,0.099372
0.0,12,0.099977
0.0,7,0.100354
0.0,56,0.102892
0.0,56,0.105415
0.0,36,0.107065
0.0,8,0.107487
0.0,9,0.10796
0.0,42,0.109874
0.0,43,0.111828
0.0,60,0.114515
0.0,5,0.114817
0.0,34,0.116369
0.0,10,0.116885
0.0,51,0.119184
0.0,43,0.12114
0.0,40,0.122963
0.0,6,0.123296
0.0,11,0.123856
1.0,40,0.125677
0.0,100,0.13012
0.0,4,0.130425
0.0,72,0.133659
0.0,3,0.133861
0.0,2,0.134016
0.0,5,0.134306
0.0,9,0.134778
1.0,30,0.136161
0.0,28,0.137452
0.0,100,0.141886
0.0,2,0.142044
0.0,4,0.142286
0.0,9,0.142764
0.0,10,0.143267
0.0,6,0.143606
0.0,12,0.144202
0.0,9,0.144673
0.0,7,0.145053
0.0,10,0.145558
0.0,2,0.145721
0.0,4,0.145965
0.0,12,0.146552
0.0,5,0.146845
0.0,23,0.147923
0.0,47,0.150049
1.0,18,0.150908
0.0,19,0.151817
0.0,4,0.152063
0.0,13,0.152713
1.0,13,0.153349
1.0,23,0.154425
1.0,23,0.155503
0.0,7,0.155889
0.0,3,0.15609
0.0,9,0.156554
0.0,41,0.158412
0.0,11,0.158969
0.0,22,0.160002
0.0,3,0.160205
0.0,6,0.160533
0.0,21,0.16152
0.0,17,0.162341
0.0,20,0.163295
0.0,9,0.163772
0.0,38,0.165497
0.0,7,0.165882
0.0,8,0.166298
0.0,29,0.167648
0.0,17,0.168458
0.0,6,0.168801
0.0,19,0.169707
0.0,18,0.170554
0.0,21,0.171537
0.0,9,0.172005
0.0,19,0.172919
0.0,43,0.174865
0.0,14,0.17554
0.0,7,0.175925
0.0,21,0.17692
0.0,26,0.178123
0.0,2,0.178283
0.0,3,0.178482
0.0,10,0.178996
0.0,38,0.180727
0.0,10,0.181234
0.0,14,0.181929
0.0,18,0.182799
0.0,12,0.183388
0.0,4,0.183644
1.0,21,0.184637
0.0,22,0.185675
0.0,15,0.186399
0.0,29,0.187746
1.0,66,0.190698
0.0,3,0.190899
1.0,7,0.191273
0.0,6,0.191617
0.0,18,0.192471
0.0,29,0.193823
0.0,82,0.197465
0.0,13,0.198111
0.0,16,0.198884
0.0,22,0.199922
1.0,41,0.2018
0.0,16,0.202562
0.0,14,0.203253
0.0,36,0.204891
0.0,4,0.205138
0.0,6,0.205484
0.0,7,0.205874
0.0,37,0.20756
0.0,12,0.208161
0.0,2,0.208319
0.0,11,0.208875
0.0,11,0.209422
0.0,32,0.210893
0.0,9,0.211354
0.0,6,0.211695
0.0,8,0.212115
0.0,2,0.212271
0.0,14,0.212966
0.0,25,0.214133
0.0,23,0.215211
0.0,28,0.216505
0.0,7,0.216892
0.0,4,0.217138
0.0,26,0.218347
0.0,4,0.218604
0.0,18,0.219456
0.0,22,0.220496
0.0,13,0.221146
0.0,5,0.221434
0.0,7,0.221818
0.0,43,0.223785
0.0,33,0.225298
0.0,11,0.22586
0.0,2,0.226019
0.0,2,0.226176
0.0,6,0.226512
0.0,31,0.227951
0.0,19,0.228852
1.0,41,0.230722
1.0,10,0.231285
0.0,13,0.231929
0.0,2,0.232087
0.0,14,0.232782
0.0,7,0.233155
0.0,24,0.234272
0.0,11,0.234828
0.0,5,0.235119
0.0,7,0.235491
0.0,20,0.236441
0.0,28,0.237738
0.0,27,0.238995
0.0,16,0.239766
0.0,13,0.240403
0.0,4,0.240658
0.0,66,0.243612
0.0,17,0.244421
0.0,11,0.24498
0.0,5,0.245267
0.0,14,0.245954
0.0,2,0.246111
0.0,4,0.246354
0.0,11,0.246913
0.0,15,0.247646
0.0,24,0.248766
0.0,15,0.249484
0.0,42,0.251397
0.0,23,0.25247
0.0,4,0.252734
0.0,6,0.253063
0.0,2,0.253218
0.0,5,0.253501
0.0,56,0.256013
0.0,4,0.256257
0.0,34,0.257813
1.0,17,0.258629
0.0,21,0.259616
0.0,49,0.261836
0.0,72,0.265046
0.0,4,0.265293
0.0,15,0.266022
0.0,2,0.266179
0.0,22,0.267211
0.0,13,0.267857
0.0,26,0.269069
0.0,23,0.270148
0.0,2,0.270306
0.0,3,0.270504
0.0,18,0.271364
0.0,12,0.271971
0.0,9,0.272432
0.0,2,0.272601
0.0,3,0.272801
0.0,7,0.273172
0.0,15,0.273901
0.0,37,0.275593
0.0,73,0.278855
0.0,4,0.279101
0.0,10,0.279612
0.0,2,0.27977
0.0,5,0.280059
1.0,12,0.280657
0.0,7,0.281028
0.0,7,0.281401
1.0,54,0.283837
0.0,8,0.284254
0.0,11,0.284809
0.0,3,0.285014
0.0,10,0.285515
1.0,44,0.287501
0.0,16,0.288277
0.0,3,0.28848
0.0,14,0.289166
0.0,10,0.289681
0.0,2,0.289841
0.0,12,0.290434
0.0,7,0.29082
0.0,22,0.291851
1.0,20,0.292804
0.0,7,0.293177
0.0,42,0.29508
0.0,27,0.29633
1.0,31,0.297766
0.0,9,0.298228
0.0,25,0.299392
1.0,35,0.301
0.0,18,0.301855
1.0,15,0.302578
0.0,13,0.303226
0.0,18,0.304077
0.0,18,0.304938
0.0,6,0.305267
0.0,9,0.305737
0.0,12,0.306329
0.0,16,0.307107
0.0,29,0.308441
0.0,9,0.308916
0.0,7,0.309293
0.0,17,0.310117
0.0,6,0.310449
0.0,2,0.310616
0.0,3,0.310817
0.0,5,0.311108
0.0,3,0.31131
0.0,8,0.311743
0.0,8,0.312163
0.0,28,0.313457
1.0,6,0.313799
0.0,13,0.314432
0.0,5,0.314734
0.0,10,0.315239
0.0,10,0.315756
0.0,11,0.316299
0.0,3,0.316502
0.0,5,0.316801
0.0,16,0.317564
0.0,29,0.318911
0.0,13,0.319544
0.0,20,0.320482
0.0,19,0.321391
0.0,16,0.322169
0.0,7,0.322543
0.0,46,0.324631
1.0,20,0.325567
0.0,2,0.325736
0.0,20,0.326683
0.0,4,0.326931
0.0,17,0.327745
0.0,8,0.328167
0.0,8,0.328593
0.0,69,0.331666
0.0,14,0.332404
0.0,10,0.332927
0.0,16,0.333706
0.0,2,0.333863
0.0,8,0.334282
0.0,27,0.335531
0.0,9,0.336006
1.0,19,0.33691
0.0,12,0.337506
0.0,26,0.338721
1.0,23,0.339796
0.0,14,0.340472
1.0,35,0.342074
0.0,17,0.3429
0.0,25,0.344069
1.0,16,0.344854
1.0,28,0.346154
0.0,5,0.346441
0.0,3,0.346654
0.0,5,0.346944
0.0,17,0.348019
0.0,3,0.34824
0.0,19,0.349141
0.0,4,0.349393
0.0,6,0.349741
0.0,15,0.350468
0.0,35,0.352328
0.0,7,0.352761
0.0,19,0.353672
0.0,3,0.353883
0.0,27,0.355134
0.0,4,0.355392
0.0,19,0.356298
0.0,5,0.356605
0.0,9,0.357063
0.0,20,0.35802
0.0,8,0.358444
0.0,7,0.35883
0.0,12,0.359423
0.0,51,0.361743
0.0,11,0.36233
0.0,4,0.362574
0.0,40,0.364411
0.0,11,0.365
0.0,14,0.365698
0.0,2,0.365858
0.0,6,0.366188
0.0,11,0.366749
0.0,18,0.367615
0.0,12,0.368207
0.0,19,0.369115
0.0,12,0.369729
0.0,39,0.371497
0.0,28,0.372842
0.0,5,0.373147
0.0,26,0.374354
0.0,22,0.375399
0.0,6,0.375758
0.0,2,0.375918
0.0,5,0.376202
0.0,3,0.3764
0.0,25,0.377561
0.0,9,0.378046
0.0,15,0.37878
0.0,18,0.37965
0.0,38,0.381374
0.0,8,0.381832
0.0,31,0.38328
0.0,15,0.384015
0.0,7,0.384397
0.0,4,0.384655
0.0,5,0.384942
0.0,7,0.385319
0.0,27,0.386569
0.0,12,0.387171
0.0,14,0.387859
1.0,40,0.389684
1.0,35,0.391291
0.0,4,0.391535
0.0,6,0.391876
0.0,15,0.392613
0.0,11,0.393162
1.0,27,0.394403
0.0,7,0.394788
0.0,5,0.395076
0.0,23,0.396154
0.0,70,0.399294
0.0,23,0.400369
0.0,30,0.401763
0.0,15,0.40248
0.0,58,0.405098
0.0,14,0.405793
1.0,26,0.407004
1.0,20,0.407943
0.0,12,0.408534
0.0,3,0.408743
1.0,17,0.409546
0.0,17,0.410358
1.0,30,0.411746
0.0,36,0.413387
0.0,4,0.413648
0.0,15,0.41437
0.0,8,0.414796
0.0,15,0.415525
0.0,19,0.416428
0.0,7,0.416812
0.0,9,0.417274
0.0,3,0.417478
0.0,11,0.418034
0.0,10,0.418539
0.0,18,0.419396
0.0,18,0.420257
0.0,7,0.420643
0.0,28,0.421935
0.0,8,0.422355
0.0,8,0.422789
0.0,7,0.423165
0.0,10,0.423684
0.0,8,0.424101
0.0,2,0.424257
0.0,9,0.42473
1.0,32,0.4262
0.0,24,0.427321
0.0,11,0.427884
0.0,8,0.428301
0.0,6,0.428649
0.0,4,0.428897
0.0,10,0.429399
0.0,18,0.43026
0.0,56,0.432791
0.0,12,0.433481
0.0,3,0.433692
0.0,7,0.434066
0.0,3,0.434267
0.0,6,0.434606
0.0,36,0.436255
0.0,18,0.43712
0.0,11,0.437681
0.0,12,0.438268
0.0,6,0.438606
0.0,43,0.440551
0.0,13,0.44119
0.0,3,0.441391
0.0,37,0.443092
0.0,23,0.44417
0.0,45,0.446199
0.0,9,0.446676
0.0,6,0.447006
0.0,21,0.447994
0.0,2,0.448151
0.0,52,0.450499
0.0,29,0.451846
1.0,11,0.452392
0.0,46,0.454482
0.0,28,0.455791
0.0,4,0.456061
0.0,9,0.456518
0.0,2,0.456683
0.0,4,0.456928
0.0,20,0.457871
0.0,34,0.459419
0.0,24,0.460539
0.0,23,0.46163
0.0,25,0.462796
0.0,8,0.463214
1.0,7,0.463596
0.0,5,0.463886
0.0,14,0.464561
0.0,2,0.464725
0.0,7,0.465099
0.0,13,0.46574
0.0,4,0.465984
1.0,17,0.466799
0.0,2,0.466957
0.0,8,0.467373
1.0,30,0.468763
0.0,21,0.469754
0.0,11,0.470301
0.0,4,0.470546
0.0,29,0.47189
0.0,7,0.472265
0.0,47,0.474396
0.0,16,0.475172
0.0,7,0.475548
0.0,25,0.476718
0.0,17,0.477531
1.0,33,0.479045
0.0,3,0.479245
0.0,7,0.479629
0.0,11,0.480173
0.0,30,0.481545
0.0,27,0.48281
0.0,17,0.483632
0.0,24,0.484753
0.0,24,0.485874
0.0,11,0.486425
0.0,30,0.487808
0.0,23,0.488882
0.0,25,0.490044
0.0,4,0.49029
0.0,27,0.491538
0.0,10,0.492049
0.0,14,0.492746
0.0,35,0.494349
0.0,16,0.495128
1.0,27,0.496374
0.0,50,0.49864
1.0,27,0.499893
0.0,20,0.500836
0.0,24,0.501954
0.0,48,0.504131
0.0,7,0.504506
0.0,24,0.505636
0.0,12,0.506229
0.0,14,0.506917
0.0,25,0.508082
0.0,13,0.508726
0.0,10,0.509233
0.0,9,0.509703
0.0,17,0.510506
0.0,3,0.510717
0.0,15,0.511436
0.0,12,0.512042
0.0,40,0.513873
0.0,16,0.514653
0.0,11,0.515198
0.0,10,0.515712
0.0,3,0.515914
0.0,53,0.518294
0.0,2,0.518455
0.0,7,0.51884
0.0,22,0.519874
0.0,21,0.520869
0.0,3,0.521072
0.0,23,0.522143
0.0,9,0.52262
0.0,6,0.522951
0.0,8,0.523366
0.0,12,0.523967
1.0,16,0.524745
0.0,5,0.525037
1.0,20,0.525978
0.0,7,0.526353
0.0,26,0.52756
1.0,9,0.528026
0.0,23,0.529105
0.0,5,0.529396
0.0,20,0.53034
0.0,6,0.530681
0.0,27,0.531928
0.0,26,0.533146
0.0,5,0.533494
0.0,17,0.534308
0.0,15,0.535042
0.0,14,0.535731
0.0,4,0.535975
0.0,2,0.536131
0.0,14,0.536819
0.0,8,0.537236
0.0,3,0.537438
0.0,18,0.538301
0.0,8,0.53873
0.0,40,0.540545
0.0,6,0.540887
0.0,12,0.541479
0.0,29,0.542835
0.0,6,0.543168
0.0,21,0.544159
0.0,9,0.544636
0.0,8,0.545056
0.0,23,0.546135
0.0,3,0.546338
0.0,28,0.547642
0.0,18,0.548491
1.0,10,0.549008
0.0,16,0.549785
0.0,54,0.552201
0.0,35,0.55381
0.0,5,0.554097
0.0,6,0.554428
0.0,7,0.554814
0.0,4,0.555061
0.0,24,0.556183
0.0,4,0.556429
0.0,23,0.557506
1.0,22,0.55854
0.0,26,0.559761
0.0,4,0.560006
0.0,38,0.561745
0.0,14,0.562421
0.0,28,0.563731
0.0,23,0.564806
0.0,7,0.565183
0.0,2,0.56534
1.0,6,0.565684
0.0,8,0.5661
0.0,34,0.567664
0.0,14,0.568348
0.0,3,0.568549
0.0,8,0.568973
0.0,13,0.569616
0.0,13,0.57025
1.0,15,0.570983
0.0,21,0.571982
0.0,10,0.572487
0.0,16,0.573266
0.0,2,0.573426
0.0,3,0.573638
0.0,13,0.574269
0.0,2,0.574424
0.0,3,0.574634
0.0,17,0.575438
0.0,20,0.576381
1.0,11,0.576938
0.0,34,0.578493
0.0,4,0.578748
0.0,11,0.5793
0.0,8,0.579731
0.0,20,0.580679
0.0,10,0.581187
0.0,21,0.582179
0.0,16,0.582959
0.0,11,0.583504
0.0,37,0.585203
0.0,14,0.585893
0.0,6,0.586224
0.0,24,0.587338
0.0,5,0.587636
0.0,12,0.58823
0.0,3,0.588429
0.0,44,0.59043
0.0,12,0.591037
0.0,40,0.59288
0.0,6,0.593212
0.0,63,0.596041
0.0,5,0.596331
0.0,28,0.597636
0.0,14,0.598311
0.0,9,0.598783
0.0,10,0.599293
0.0,8,0.599723
0.0,16,0.600486
0.0,3,0.600699
0.0,51,0.603011
0.0,35,0.604614
0.0,5,0.604903
0.0,20,0.605852
0.0,23,0.606931
0.0,5,0.607221
1.0,25,0.608394
0.0,3,0.608608
1.0,15,0.609329
0.0,10,0.609845
0.0,50,0.612108
0.0,23,0.613195
0.0,33,0.614724
0.0,10,0.615233
0.0,6,0.615566
0.0,2,0.615731
0.0,35,0.617327
0.0,3,0.617528
0.0,25,0.618698
0.0,2,0.618858
1.0,9,0.619321
0.0,6,0.619663
0.0,11,0.620211
0.0,15,0.620943
0.0,28,0.622235
0.0,2,0.622394
0.0,29,0.623751
0.0,25,0.624921
0.0,6,0.625251
0.0,18,0.626108
0.0,9,0.62657
1.0,37,0.628255
0.0,20,0.6292
0.0,29,0.630535
0.0,19,0.631441
0.0,39,0.633223
0.0,8,0.633715
0.0,2,0.633875
0.0,7,0.63425
0.0,9,0.634724
0.0,13,0.635355
0.0,39,0.637136
0.0,8,0.637553
0.0,4,0.637805
0.0,48,0.639988
0.0,2,0.640146
0.0,8,0.640563
0.0,20,0.641504
0.0,2,0.64167
0.0,2,0.641827
0.0,5,0.642115
0.0,30,0.643504
0.0,28,0.644819
0.0,28,0.646111
0.0,10,0.646628
0.0,4,0.646872
1.0,29,0.648202
0.0,76,0.651597
0.0,2,0.651756
0.0,17,0.652564
0.0,19,0.653488
0.0,38,0.655225
