#{"t_start": 1522148831.4627953, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,65,0.008529
0.0,80,0.010326
0.0,100,0.01248
0.0,8,0.012719
0.0,2,0.012821
0.0,2,0.012921
0.0,28,0.013577
0.0,7,0.013794
0.0,13,0.014144
0.0,2,0.014246
0.0,5,0.014425
0.0,10,0.014696
0.0,3,0.014817
0.0,12,0.015123
0.0,4,0.015272
0.0,4,0.015421
0.0,26,0.016014
0.0,10,0.016282
0.0,26,0.016929
0.0,13,0.017266
0.0,16,0.017658
0.0,5,0.017828
0.0,23,0.018381
0.0,51,0.019514
0.0,16,0.019922
0.0,51,0.021045
0.0,3,0.021173
0.0,16,0.021575
0.0,22,0.022094
0.0,41,0.023019
0.0,28,0.023669
0.0,48,0.024727
0.0,6,0.024915
0.0,24,0.025497
0.0,20,0.025986
0.0,23,0.026528
0.0,11,0.026828
0.0,100,0.028938
0.0,61,0.030292
0.0,100,0.032442
0.0,100,0.034586
0.0,15,0.034959
0.0,29,0.035633
0.0,5,0.035804
0.0,18,0.036241
0.0,2,0.036349
0.0,8,0.03659
0.0,5,0.036761
0.0,9,0.037017
0.0,4,0.037166
0.0,3,0.037285
0.0,52,0.038451
0.0,7,0.038657
0.0,6,0.038841
0.0,11,0.039137
0.0,35,0.03994
0.0,41,0.040917
0.0,3,0.041043
0.0,70,0.042606
0.0,38,0.043476
0.0,62,0.044807
0.0,17,0.045221
0.0,62,0.046581
0.0,4,0.04673
0.0,10,0.047013
0.0,75,0.048637
0.0,50,0.049766
0.0,100,0.051905
0.0,18,0.052359
0.0,22,0.052885
0.0,74,0.054472
0.0,2,0.05458
0.0,34,0.05536
0.0,10,0.055641
0.0,100,0.057811
0.0,12,0.058132
0.0,2,0.058232
0.0,5,0.058406
0.0,10,0.058672
0.0,5,0.058832
0.0,3,0.058957
0.0,4,0.059099
0.0,4,0.059244
0.0,5,0.059417
0.0,2,0.05952
0.0,4,0.059663
0.0,25,0.06024
0.0,4,0.060408
0.0,2,0.060513
0.0,9,0.060792
0.0,37,0.061686
0.0,26,0.062285
0.0,14,0.062648
0.0,18,0.063092
0.0,13,0.06344
0.0,24,0.064018
0.0,100,0.066164
0.0,18,0.06662
0.0,17,0.067041
0.0,10,0.067305
0.0,11,0.067597
0.0,19,0.068053
0.0,4,0.068192
0.0,29,0.06885
0.0,7,0.069057
0.0,12,0.069377
0.0,21,0.069882
0.0,23,0.070429
0.0,18,0.070861
0.0,29,0.071526
1.0,8,0.071762
0.0,50,0.072899
0.0,5,0.073071
0.0,10,0.073342
0.0,2,0.073446
0.0,3,0.07357
0.0,12,0.073885
0.0,15,0.074264
0.0,3,0.074395
0.0,2,0.074494
0.0,4,0.074632
0.0,38,0.07552
0.0,92,0.077599
0.0,31,0.078332
0.0,63,0.079742
0.0,70,0.081368
0.0,47,0.082431
0.0,47,0.083491
0.0,13,0.083829
0.0,100,0.085986
0.0,9,0.086232
0.0,21,0.086731
0.0,3,0.086857
0.0,19,0.087314
0.0,13,0.08766
0.0,6,0.087841
0.0,2,0.087944
0.0,11,0.088238
1.0,37,0.089071
0.0,34,0.089858
0.0,24,0.090419
0.0,39,0.091288
0.0,11,0.091581
0.0,55,0.092798
0.0,42,0.093745
0.0,100,0.09587
0.0,2,0.095972
0.0,4,0.096113
0.0,28,0.096745
0.0,3,0.096868
0.0,27,0.097536
0.0,2,0.097659
0.0,11,0.097954
0.0,25,0.098557
0.0,29,0.099228
0.0,27,0.099921
0.0,4,0.100093
0.0,4,0.100236
0.0,42,0.101246
0.0,8,0.101494
0.0,9,0.101741
0.0,17,0.102164
0.0,7,0.102379
0.0,2,0.102486
0.0,8,0.102718
0.0,13,0.103053
0.0,30,0.103806
0.0,3,0.103932
0.0,18,0.104397
0.0,24,0.104977
0.0,10,0.105248
0.0,4,0.105425
0.0,3,0.105559
0.0,8,0.10581
0.0,15,0.1062
0.0,17,0.106616
0.0,19,0.107073
0.0,5,0.107301
0.0,10,0.107581
0.0,24,0.108144
0.0,6,0.108346
0.0,34,0.109135
0.0,33,0.109958
0.0,15,0.110349
0.0,18,0.110821
0.0,4,0.11097
0.0,17,0.111421
0.0,12,0.111764
0.0,18,0.112218
0.0,13,0.112582
0.0,14,0.11294
0.0,13,0.113274
0.0,23,0.113826
0.0,11,0.114114
0.0,16,0.11451
0.0,11,0.114798
0.0,5,0.114969
0.0,8,0.115195
1.0,13,0.115544
0.0,12,0.115857
0.0,11,0.116149
0.0,23,0.116717
0.0,30,0.117434
0.0,59,0.118739
0.0,9,0.118982
0.0,5,0.119141
0.0,16,0.11955
0.0,2,0.119656
0.0,19,0.120104
0.0,4,0.120242
0.0,8,0.12049
0.0,21,0.120993
0.0,7,0.121207
0.0,18,0.121662
0.0,17,0.122077
0.0,24,0.122655
0.0,12,0.122958
0.0,36,0.123769
0.0,36,0.124577
0.0,33,0.125323
0.0,22,0.125837
0.0,15,0.12622
0.0,14,0.126583
1.0,9,0.126827
0.0,6,0.12701
0.0,10,0.12728
0.0,8,0.127508
0.0,6,0.127695
0.0,7,0.127905
1.0,28,0.128551
0.0,6,0.128732
0.0,70,0.130301
0.0,22,0.130845
0.0,20,0.131325
0.0,14,0.131689
0.0,15,0.132074
0.0,34,0.132895
0.0,6,0.133086
0.0,12,0.133414
0.0,25,0.134004
0.0,14,0.13436
0.0,12,0.134666
1.0,23,0.135201
0.0,10,0.135485
0.0,7,0.135691
0.0,19,0.136152
0.0,21,0.136662
0.0,15,0.137043
1.0,18,0.137493
0.0,2,0.137598
0.0,46,0.138638
0.0,9,0.138891
0.0,30,0.139585
0.0,16,0.139981
0.0,3,0.140101
0.0,2,0.140199
0.0,18,0.140644
0.0,29,0.141314
0.0,4,0.141466
0.0,43,0.142435
0.0,30,0.143112
0.0,31,0.143842
0.0,3,0.143963
0.0,6,0.144152
0.0,13,0.144496
0.0,11,0.144789
0.0,8,0.14502
0.0,4,0.145166
0.0,40,0.146064
0.0,4,0.146212
0.0,26,0.146874
0.0,6,0.147058
0.0,14,0.147431
0.0,22,0.147981
0.0,6,0.14817
0.0,13,0.148511
0.0,31,0.149214
0.0,6,0.149405
0.0,23,0.149956
