#{"t_start": 1522149777.7709608, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.009165
0.0,1,0.009263
0.0,6,0.009481
0.0,6,0.009694
0.0,6,0.009906
0.0,7,0.010123
0.0,4,0.010276
0.0,5,0.010446
0.0,13,0.010813
0.0,4,0.010967
0.0,9,0.011224
0.0,12,0.011571
0.0,14,0.011951
0.0,20,0.01245
0.0,17,0.012906
0.0,9,0.013174
0.0,33,0.013965
1.0,12,0.014287
1.0,20,0.014814
0.0,26,0.015438
0.0,13,0.015796
0.0,13,0.016148
0.0,13,0.016492
0.0,8,0.016751
1.0,13,0.017101
0.0,7,0.017315
0.0,32,0.018065
1.0,44,0.0191
0.0,17,0.019565
0.0,1,0.019654
0.0,3,0.01979
0.0,21,0.020328
0.0,5,0.020515
1.0,56,0.021797
0.0,7,0.022019
0.0,2,0.022131
0.0,2,0.022246
0.0,8,0.022492
0.0,25,0.023107
0.0,7,0.02333
0.0,38,0.024232
1.0,7,0.024476
0.0,18,0.025011
0.0,26,0.025702
0.0,23,0.026281
0.0,7,0.026511
1.0,15,0.026915
0.0,16,0.027326
0.0,5,0.027497
0.0,14,0.027869
0.0,31,0.028623
0.0,16,0.029034
0.0,19,0.029525
1.0,26,0.030168
0.0,1,0.030248
0.0,5,0.03042
1.0,17,0.030868
0.0,16,0.031279
0.0,13,0.031637
0.0,2,0.031748
0.0,1,0.031829
0.0,13,0.032187
0.0,17,0.032638
1.0,8,0.032884
0.0,7,0.033102
0.0,5,0.033281
0.0,3,0.033409
0.0,14,0.033796
0.0,2,0.033909
0.0,11,0.034217
0.0,23,0.034812
1.0,12,0.035143
0.0,6,0.035342
0.0,1,0.035425
1.0,25,0.036054
0.0,5,0.036232
0.0,3,0.03636
0.0,11,0.036682
0.0,22,0.037223
1.0,31,0.037968
0.0,8,0.038214
0.0,11,0.038525
0.0,5,0.038705
0.0,5,0.038882
0.0,11,0.039196
1.0,11,0.039496
0.0,5,0.039689
0.0,26,0.040329
0.0,1,0.04041
0.0,26,0.04108
0.0,24,0.041688
0.0,32,0.042452
