#{"t_start": 1522149014.134213, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.007655
0.0,11,0.008056
0.0,2,0.00818
0.0,7,0.00842
0.0,5,0.008618
0.0,11,0.008953
0.0,28,0.009667
0.0,3,0.009817
0.0,6,0.010034
0.0,7,0.010271
0.0,6,0.010484
0.0,8,0.010742
0.0,7,0.010979
0.0,2,0.011093
0.0,4,0.011252
0.0,1,0.011343
0.0,5,0.011527
0.0,14,0.011932
0.0,26,0.0126
0.0,20,0.013162
1.0,17,0.013634
0.0,4,0.01381
0.0,13,0.014195
0.0,10,0.014501
0.0,28,0.015212
0.0,4,0.015373
0.0,37,0.016275
0.0,13,0.016634
0.0,11,0.016959
0.0,2,0.017072
0.0,4,0.017237
0.0,8,0.017496
0.0,11,0.017828
0.0,11,0.018158
0.0,3,0.018305
0.0,27,0.019005
0.0,4,0.019174
0.0,13,0.019532
1.0,16,0.019977
0.0,13,0.020338
0.0,20,0.020875
0.0,10,0.021183
0.0,15,0.021611
0.0,3,0.021752
0.0,5,0.021947
0.0,24,0.022559
0.0,10,0.022875
0.0,3,0.023015
0.0,2,0.023133
0.0,8,0.023382
0.0,3,0.023517
0.0,6,0.02372
0.0,14,0.024125
0.0,5,0.024309
0.0,16,0.02474
0.0,8,0.025006
0.0,14,0.025411
1.0,13,0.025787
0.0,4,0.025962
0.0,1,0.026051
0.0,25,0.026681
0.0,8,0.026954
0.0,18,0.027433
0.0,3,0.027578
0.0,5,0.027759
0.0,18,0.028245
0.0,3,0.028383
0.0,2,0.028506
0.0,8,0.028762
0.0,1,0.028862
0.0,6,0.029075
0.0,1,0.02916
0.0,9,0.029444
0.0,5,0.029631
0.0,7,0.029887
0.0,10,0.030185
0.0,5,0.030377
0.0,14,0.030771
1.0,16,0.031219
0.0,8,0.031475
0.0,4,0.031641
1.0,14,0.032035
0.0,15,0.032453
0.0,24,0.033087
0.0,4,0.033255
0.0,14,0.033647
0.0,7,0.033887
0.0,18,0.03437
0.0,1,0.034457
0.0,13,0.034846
0.0,11,0.035177
0.0,11,0.035508
0.0,2,0.035625
0.0,25,0.036285
0.0,13,0.036658
0.0,15,0.037087
0.0,9,0.037363
1.0,13,0.037723
0.0,1,0.037817
0.0,18,0.038301
0.0,5,0.038483
0.0,5,0.038671
0.0,5,0.03887
0.0,12,0.03922
0.0,2,0.039338
0.0,6,0.039542
0.0,20,0.040075
0.0,7,0.040312
0.0,3,0.040449
1.0,9,0.04072
0.0,33,0.041548
0.0,4,0.04171
0.0,26,0.042386
0.0,3,0.042531
0.0,18,0.043028
0.0,13,0.043388
0.0,4,0.043554
0.0,6,0.04376
0.0,6,0.043982
0.0,2,0.044096
0.0,15,0.044515
0.0,1,0.044601
0.0,1,0.044689
0.0,31,0.045465
0.0,21,0.046046
0.0,1,0.046135
0.0,12,0.046498
0.0,8,0.046752
0.0,12,0.047117
0.0,17,0.047582
0.0,4,0.04775
0.0,1,0.047846
1.0,12,0.048189
0.0,4,0.048347
0.0,8,0.048612
0.0,7,0.048861
0.0,2,0.048976
0.0,8,0.049225
0.0,14,0.049613
0.0,4,0.049771
0.0,13,0.050153
0.0,8,0.050404
0.0,5,0.050585
0.0,4,0.050751
0.0,2,0.050873
0.0,2,0.050992
0.0,4,0.051159
0.0,4,0.051318
0.0,1,0.051408
0.0,5,0.051593
0.0,18,0.052086
0.0,38,0.053048
0.0,1,0.053137
0.0,5,0.053327
0.0,8,0.053577
0.0,7,0.053817
0.0,9,0.054089
0.0,16,0.054522
0.0,4,0.054682
0.0,4,0.054853
0.0,4,0.055012
0.0,1,0.055103
0.0,3,0.055246
0.0,6,0.055449
0.0,9,0.055726
0.0,2,0.055858
0.0,8,0.056109
0.0,1,0.056195
0.0,11,0.056512
0.0,5,0.056694
0.0,10,0.056998
0.0,8,0.057246
0.0,7,0.057471
0.0,13,0.057851
0.0,11,0.058174
0.0,27,0.058868
1.0,20,0.059396
0.0,4,0.05956
0.0,6,0.059765
0.0,8,0.060027
0.0,2,0.060147
0.0,5,0.060328
0.0,5,0.060521
0.0,7,0.060747
0.0,16,0.061202
0.0,4,0.061363
0.0,4,0.061526
0.0,2,0.061644
0.0,7,0.061883
0.0,3,0.062019
1.0,16,0.062451
0.0,2,0.062564
0.0,13,0.062934
0.0,17,0.063386
0.0,10,0.063687
0.0,7,0.063935
0.0,9,0.064205
0.0,4,0.064369
1.0,10,0.064672
0.0,5,0.064866
1.0,11,0.065194
0.0,15,0.065604
0.0,3,0.065747
0.0,4,0.065925
0.0,3,0.066068
0.0,1,0.066155
0.0,4,0.066314
0.0,3,0.066454
0.0,5,0.066637
0.0,6,0.066856
0.0,3,0.066993
1.0,9,0.067277
1.0,15,0.06768
0.0,3,0.067828
0.0,2,0.067941
0.0,8,0.068197
0.0,1,0.068282
0.0,12,0.068628
0.0,5,0.068827
0.0,23,0.069431
0.0,6,0.069635
0.0,5,0.069839
0.0,10,0.070143
0.0,11,0.07046
0.0,6,0.070663
0.0,1,0.070749
0.0,16,0.071185
0.0,3,0.071322
0.0,2,0.071432
0.0,1,0.071522
0.0,73,0.073288
0.0,8,0.073542
0.0,14,0.073945
0.0,3,0.074089
0.0,10,0.074395
0.0,6,0.0746
0.0,8,0.074868
0.0,5,0.075057
0.0,6,0.075263
0.0,8,0.075508
0.0,5,0.075696
0.0,4,0.075868
1.0,17,0.076331
0.0,5,0.076524
0.0,5,0.076706
0.0,8,0.076971
0.0,2,0.077085
0.0,3,0.077219
0.0,6,0.077443
0.0,10,0.07775
0.0,11,0.078088
0.0,4,0.078249
0.0,6,0.078472
0.0,4,0.078631
0.0,9,0.07892
0.0,38,0.079861
0.0,13,0.080222
0.0,16,0.08065
0.0,4,0.080827
0.0,20,0.081336
0.0,2,0.081455
0.0,9,0.081731
0.0,43,0.082778
0.0,2,0.082909
0.0,9,0.083181
0.0,5,0.083369
0.0,4,0.083532
0.0,12,0.083895
0.0,13,0.084259
0.0,5,0.084441
0.0,2,0.084565
0.0,10,0.084874
0.0,19,0.085379
0.0,21,0.085945
0.0,17,0.086405
0.0,5,0.086586
0.0,55,0.087895
1.0,22,0.088453
0.0,28,0.089161
0.0,8,0.089417
1.0,30,0.090157
0.0,6,0.090372
0.0,16,0.090818
0.0,7,0.091057
0.0,6,0.091259
0.0,5,0.09144
0.0,3,0.091582
0.0,6,0.091787
0.0,11,0.092114
0.0,4,0.09227
0.0,7,0.092495
0.0,2,0.092613
0.0,31,0.093397
0.0,6,0.0936
1.0,22,0.094179
0.0,3,0.094317
1.0,10,0.094609
0.0,7,0.094842
1.0,16,0.095274
0.0,2,0.095391
1.0,49,0.096577
0.0,4,0.096743
0.0,15,0.097167
0.0,1,0.097256
0.0,1,0.097348
0.0,12,0.097699
0.0,13,0.098087
1.0,13,0.098449
0.0,15,0.098873
1.0,14,0.099264
0.0,49,0.100451
0.0,29,0.101209
1.0,8,0.101467
0.0,5,0.101646
0.0,8,0.101916
0.0,7,0.102154
0.0,6,0.102366
0.0,13,0.102738
0.0,3,0.102893
0.0,11,0.103216
0.0,1,0.103303
0.0,4,0.10347
0.0,2,0.103581
0.0,7,0.103831
0.0,5,0.104027
0.0,7,0.104262
0.0,6,0.104466
0.0,2,0.104578
0.0,3,0.104711
0.0,10,0.105018
0.0,16,0.105451
1.0,23,0.10606
0.0,15,0.106471
0.0,10,0.106777
0.0,5,0.106973
0.0,1,0.107064
0.0,4,0.107223
0.0,1,0.10731
0.0,3,0.107453
0.0,1,0.107544
0.0,14,0.108011
0.0,1,0.108101
1.0,26,0.108772
1.0,14,0.10918
0.0,1,0.109272
0.0,4,0.109439
0.0,1,0.109525
0.0,7,0.109751
0.0,14,0.110162
0.0,2,0.110277
0.0,10,0.110578
0.0,11,0.110904
1.0,31,0.111686
0.0,34,0.112548
0.0,3,0.112692
1.0,21,0.113256
0.0,3,0.113394
1.0,12,0.113728
0.0,3,0.113881
0.0,21,0.114428
0.0,6,0.11464
1.0,8,0.11491
0.0,5,0.11509
0.0,10,0.115379
0.0,8,0.115631
0.0,11,0.115956
0.0,11,0.116276
0.0,42,0.117291
0.0,4,0.117456
0.0,9,0.117734
1.0,11,0.11806
0.0,6,0.118272
0.0,5,0.118459
0.0,7,0.118685
0.0,5,0.118875
0.0,8,0.119129
0.0,39,0.120077
0.0,6,0.120291
0.0,4,0.12045
0.0,12,0.120784
0.0,13,0.121149
0.0,9,0.121417
0.0,7,0.121641
0.0,8,0.121901
0.0,3,0.122037
0.0,3,0.122179
0.0,2,0.122295
0.0,4,0.122452
0.0,11,0.122782
0.0,5,0.122974
0.0,7,0.123197
1.0,9,0.123476
0.0,1,0.123561
0.0,26,0.124237
0.0,14,0.124636
0.0,2,0.124749
1.0,7,0.124993
0.0,6,0.125196
0.0,28,0.12591
0.0,9,0.126181
0.0,6,0.126383
0.0,4,0.12654
0.0,16,0.126996
0.0,2,0.127115
0.0,19,0.127617
0.0,3,0.127753
0.0,8,0.128026
0.0,1,0.128114
0.0,31,0.128879
0.0,8,0.129136
0.0,2,0.129258
0.0,8,0.129508
0.0,8,0.129754
0.0,1,0.129852
0.0,3,0.129989
0.0,4,0.130151
0.0,23,0.130748
0.0,1,0.130848
0.0,2,0.130968
0.0,12,0.131303
0.0,1,0.131394
0.0,15,0.131803
0.0,9,0.132074
0.0,25,0.132703
0.0,14,0.133101
0.0,8,0.133348
0.0,8,0.133592
0.0,18,0.134094
0.0,7,0.134324
0.0,5,0.134516
0.0,22,0.135102
0.0,4,0.135272
0.0,4,0.13543
0.0,1,0.135521
0.0,6,0.135726
1.0,6,0.13595
0.0,17,0.136423
0.0,9,0.136704
0.0,10,0.137015
0.0,11,0.137329
0.0,6,0.137529
0.0,6,0.137737
0.0,10,0.138046
0.0,2,0.13816
0.0,5,0.138341
0.0,5,0.138523
0.0,1,0.138614
0.0,8,0.138877
0.0,6,0.139083
0.0,20,0.139596
1.0,9,0.139889
1.0,40,0.140867
0.0,6,0.141072
0.0,1,0.141158
0.0,29,0.141897
0.0,20,0.142416
0.0,7,0.142649
0.0,27,0.143337
0.0,42,0.144345
0.0,10,0.144654
0.0,2,0.144772
0.0,3,0.144917
