#{"t_start": 1522156537.090553, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.009855
0.0,5,0.010103
0.0,2,0.010233
0.0,7,0.010463
0.0,6,0.010643
0.0,5,0.010803
0.0,9,0.011056
0.0,11,0.011338
0.0,12,0.011653
0.0,14,0.012055
0.0,5,0.012239
0.0,3,0.012358
0.0,13,0.012688
0.0,21,0.013216
0.0,10,0.0135
0.0,1,0.013576
0.0,4,0.013714
0.0,1,0.013788
0.0,4,0.013933
0.0,5,0.014103
0.0,12,0.014401
0.0,6,0.014579
0.0,5,0.014742
0.0,1,0.014822
0.0,12,0.015167
0.0,20,0.015661
0.0,9,0.015909
0.0,5,0.016109
0.0,6,0.016315
0.0,3,0.016442
0.0,7,0.016642
0.0,15,0.01702
0.0,9,0.017268
0.0,10,0.017538
0.0,37,0.018378
0.0,18,0.018813
0.0,4,0.018965
0.0,55,0.020149
0.0,8,0.02037
0.0,12,0.020666
0.0,10,0.020919
0.0,48,0.021973
0.0,6,0.022166
0.0,10,0.022439
0.0,1,0.022514
0.0,8,0.022732
0.0,6,0.022909
0.0,3,0.023036
0.0,2,0.023133
0.0,6,0.023319
0.0,9,0.023566
0.0,5,0.023724
0.0,2,0.023825
0.0,19,0.024281
0.0,5,0.024441
1.0,20,0.024914
0.0,8,0.025145
0.0,3,0.025268
0.0,3,0.025388
0.0,3,0.025518
0.0,18,0.025959
0.0,2,0.026057
0.0,12,0.026363
0.0,14,0.026712
0.0,18,0.027154
0.0,17,0.027567
0.0,5,0.027732
0.0,5,0.027897
0.0,17,0.02831
0.0,7,0.028517
0.0,22,0.029027
0.0,22,0.029531
0.0,1,0.029605
0.0,1,0.029687
0.0,5,0.029855
0.0,1,0.029936
0.0,53,0.031078
0.0,4,0.031227
0.0,3,0.031355
0.0,21,0.031851
1.0,13,0.032187
0.0,12,0.032493
0.0,12,0.032802
0.0,54,0.033984
0.0,6,0.034169
0.0,23,0.034682
0.0,7,0.034878
0.0,28,0.035519
0.0,3,0.035641
0.0,25,0.036227
0.0,7,0.036426
0.0,14,0.036777
0.0,8,0.037013
0.0,1,0.037089
0.0,9,0.037344
0.0,17,0.037759
0.0,3,0.037878
0.0,1,0.037961
0.0,8,0.038188
0.0,1,0.038264
0.0,3,0.038383
0.0,6,0.038568
0.0,13,0.038897
0.0,6,0.03909
0.0,1,0.039172
0.0,7,0.039377
0.0,3,0.039496
0.0,3,0.03962
0.0,18,0.040053
0.0,23,0.040578
