#{"t_start": 1522157354.4998739, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,24,0.05915
0.0,8,0.059621
0.0,11,0.060178
0.0,15,0.060896
0.0,7,0.06128
0.0,39,0.063052
0.0,84,0.066765
0.0,4,0.067058
0.0,22,0.068078
0.0,8,0.068494
0.0,45,0.07051
0.0,26,0.071716
0.0,13,0.072361
0.0,25,0.073521
0.0,43,0.075459
0.0,14,0.076148
0.0,6,0.07648
0.0,8,0.076894
0.0,6,0.077246
0.0,13,0.077878
0.0,6,0.07822
0.0,14,0.078892
0.0,12,0.079494
0.0,6,0.079826
0.0,9,0.080298
0.0,11,0.08084
0.0,9,0.081314
0.0,25,0.082473
0.0,8,0.082893
0.0,16,0.083731
0.0,24,0.085089
0.0,7,0.085518
0.0,11,0.08606
0.0,29,0.087406
0.0,3,0.087651
0.0,18,0.088648
0.0,4,0.089058
0.0,25,0.090241
0.0,3,0.090445
0.0,41,0.092291
0.0,21,0.093243
0.0,10,0.093735
0.0,16,0.094484
0.0,9,0.094932
0.0,42,0.096777
1.0,24,0.097889
0.0,19,0.098794
0.0,42,0.100675
0.0,28,0.101969
0.0,15,0.10267
0.0,11,0.103208
0.0,10,0.103696
0.0,7,0.104072
0.0,17,0.10485
0.0,4,0.105099
0.0,8,0.105505
0.0,5,0.105785
0.0,4,0.106035
0.0,6,0.106356
0.0,11,0.106888
0.0,25,0.108052
0.0,28,0.109339
0.0,10,0.109844
0.0,19,0.110755
0.0,5,0.111054
0.0,12,0.111643
0.0,18,0.112489
0.0,13,0.113107
0.0,4,0.113346
0.0,70,0.116355
0.0,14,0.117032
0.0,22,0.118055
0.0,63,0.120856
0.0,35,0.122442
0.0,15,0.123151
0.0,13,0.123764
0.0,16,0.124514
0.0,51,0.126797
0.0,31,0.128224
0.0,30,0.129594
0.0,56,0.132095
0.0,15,0.132793
0.0,54,0.135185
0.0,41,0.136974
0.0,14,0.137648
0.0,8,0.138075
0.0,25,0.139241
0.0,20,0.140188
0.0,3,0.140389
0.0,19,0.141295
0.0,27,0.142526
0.0,33,0.143994
0.0,19,0.144855
0.0,77,0.148205
0.0,6,0.148536
0.0,8,0.148948
0.0,7,0.149337
0.0,5,0.149622
0.0,11,0.150176
0.0,22,0.151206
0.0,18,0.152063
0.0,69,0.155041
0.0,6,0.155367
0.0,28,0.156613
1.0,18,0.15747
0.0,12,0.158067
0.0,36,0.159773
0.0,31,0.161206
1.0,6,0.161538
0.0,4,0.161781
0.0,6,0.162121
0.0,9,0.16258
0.0,9,0.163049
0.0,2,0.163206
0.0,40,0.164992
0.0,5,0.165276
0.0,3,0.165469
0.0,2,0.165624
0.0,23,0.166662
0.0,7,0.167044
0.0,5,0.167325
1.0,7,0.167686
0.0,4,0.167921
0.0,12,0.168498
0.0,10,0.169012
0.0,15,0.169728
0.0,39,0.171508
0.0,13,0.172154
0.0,20,0.173095
0.0,7,0.173457
0.0,21,0.174419
0.0,13,0.175061
0.0,10,0.175569
0.0,9,0.176041
0.0,10,0.176543
0.0,24,0.177666
0.0,30,0.179048
0.0,7,0.179423
0.0,6,0.17975
0.0,22,0.180782
0.0,4,0.181044
0.0,31,0.182457
0.0,5,0.182745
0.0,6,0.183089
0.0,27,0.184332
0.0,22,0.185369
1.0,54,0.187791
0.0,10,0.188302
0.0,15,0.189034
0.0,26,0.190246
0.0,10,0.190746
0.0,9,0.191223
0.0,68,0.194242
0.0,21,0.195235
0.0,11,0.195778
0.0,40,0.197591
0.0,5,0.197881
0.0,6,0.198221
0.0,20,0.199163
0.0,7,0.199537
0.0,6,0.19987
0.0,32,0.201342
0.0,39,0.203109
0.0,16,0.20387
0.0,7,0.204251
0.0,25,0.205418
0.0,9,0.205882
0.0,5,0.20618
0.0,7,0.206555
0.0,14,0.207247
0.0,7,0.20762
0.0,9,0.208088
0.0,27,0.209332
0.0,60,0.212025
0.0,27,0.213276
0.0,48,0.21542
0.0,18,0.216278
0.0,10,0.21678
0.0,11,0.217346
0.0,18,0.218214
0.0,37,0.219883
0.0,7,0.220265
0.0,8,0.220682
0.0,46,0.222748
0.0,64,0.225602
0.0,17,0.226418
0.0,35,0.228024
0.0,5,0.228312
0.0,8,0.228725
0.0,31,0.230155
0.0,4,0.230399
0.0,35,0.231993
0.0,4,0.232238
0.0,15,0.232969
0.0,58,0.235547
0.0,21,0.236527
0.0,24,0.237648
0.0,17,0.23846
