#{"t_start": 1522150425.7252946, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,63,0.014287
0.0,7,0.014522
0.0,44,0.015509
0.0,42,0.016453
0.0,27,0.017089
0.0,90,0.019049
0.0,87,0.020943
0.0,100,0.023133
0.0,32,0.023863
0.0,53,0.025023
0.0,42,0.025985
0.0,62,0.027339
0.0,100,0.029479
0.0,10,0.029766
0.0,13,0.030106
0.0,22,0.03063
0.0,57,0.031914
0.0,100,0.034034
0.0,15,0.034405
0.0,75,0.036065
0.0,30,0.036777
0.0,4,0.036955
0.0,31,0.037687
0.0,33,0.038455
1.0,16,0.03886
0.0,47,0.0399
0.0,2,0.040006
0.0,14,0.040361
0.0,12,0.040672
0.0,6,0.040861
0.0,5,0.041024
0.0,3,0.041144
0.0,11,0.041442
0.0,8,0.041671
0.0,8,0.041929
0.0,24,0.042523
0.0,24,0.0431
0.0,6,0.043281
0.0,12,0.043589
0.0,11,0.043889
0.0,29,0.044545
0.0,40,0.045429
0.0,100,0.04762
0.0,21,0.04812
0.0,19,0.048596
0.0,70,0.050176
0.0,4,0.050319
0.0,14,0.050684
0.0,11,0.050986
0.0,78,0.052691
0.0,11,0.052986
0.0,24,0.053544
0.0,3,0.053664
0.0,20,0.054206
0.0,11,0.054494
1.0,26,0.055107
0.0,91,0.057061
0.0,28,0.057705
0.0,29,0.058419
0.0,5,0.058587
0.0,11,0.058887
0.0,75,0.060491
0.0,24,0.061057
0.0,6,0.061238
0.0,50,0.062317
0.0,34,0.063082
0.0,14,0.063436
0.0,37,0.064318
0.0,24,0.064906
0.0,15,0.065283
0.0,9,0.065529
0.0,50,0.066685
0.0,11,0.067015
0.0,7,0.067247
0.0,26,0.067841
0.0,17,0.068251
0.0,27,0.06886
0.0,13,0.069236
0.0,60,0.070604
0.0,8,0.070834
0.0,88,0.072739
0.0,7,0.07299
0.0,2,0.0731
0.0,4,0.073268
0.0,35,0.074052
0.0,5,0.074221
0.0,19,0.074676
0.0,18,0.075122
0.0,11,0.075418
0.0,15,0.075793
0.0,21,0.076301
0.0,11,0.076602
0.0,10,0.076882
1.0,18,0.077314
0.0,29,0.077967
0.0,45,0.078964
0.0,6,0.079157
0.0,18,0.079586
0.0,31,0.080313
0.0,2,0.080413
0.0,34,0.081174
0.0,31,0.08189
1.0,16,0.082283
0.0,4,0.082421
0.0,17,0.082844
0.0,5,0.083006
0.0,3,0.083124
0.0,25,0.083716
0.0,93,0.085702
0.0,25,0.086302
0.0,14,0.086659
0.0,12,0.086974
0.0,8,0.087205
0.0,40,0.088098
0.0,15,0.088483
0.0,21,0.088999
0.0,19,0.089464
0.0,23,0.090028
0.0,10,0.090325
0.0,24,0.090899
0.0,7,0.091108
0.0,38,0.091959
0.0,58,0.093217
0.0,22,0.093733
0.0,40,0.094633
0.0,68,0.096118
0.0,8,0.096349
0.0,19,0.096805
0.0,20,0.097342
0.0,4,0.097484
0.0,7,0.097684
0.0,29,0.098374
0.0,29,0.099114
0.0,7,0.099322
0.0,12,0.099627
0.0,5,0.099795
0.0,42,0.100741
0.0,13,0.101078
0.0,35,0.10187
0.0,19,0.102329
0.0,13,0.102652
0.0,29,0.10332
