#{"t_start": 1522150382.9358027, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.00939
0.0,10,0.009811
0.0,3,0.009981
0.0,8,0.0103
0.0,33,0.01142
0.0,56,0.013261
0.0,38,0.014526
0.0,61,0.016488
0.0,45,0.01792
0.0,55,0.019659
0.0,23,0.02041
0.0,28,0.021337
0.0,25,0.022166
1.0,29,0.023124
0.0,8,0.023438
0.0,20,0.024133
0.0,42,0.025471
1.0,64,0.027401
0.0,20,0.028082
0.0,44,0.029432
0.0,10,0.029798
0.0,38,0.030969
0.0,8,0.031267
0.0,42,0.032567
0.0,6,0.032808
0.0,20,0.033453
1.0,27,0.03431
0.0,16,0.034843
0.0,4,0.035033
1.0,8,0.035336
0.0,13,0.035801
0.0,12,0.036217
0.0,20,0.036848
0.0,49,0.038365
0.0,11,0.038776
0.0,16,0.0393
0.0,4,0.039486
0.0,25,0.040263
0.0,22,0.040951
0.0,10,0.041306
0.0,7,0.041586
0.0,19,0.042196
0.0,9,0.04252
0.0,52,0.044094
0.0,17,0.044657
0.0,64,0.046512
0.0,22,0.04723
0.0,2,0.047356
0.0,22,0.04805
0.0,33,0.049033
0.0,11,0.049398
0.0,3,0.049549
0.0,4,0.049732
0.0,10,0.050067
0.0,47,0.05146
0.0,15,0.052113
0.0,40,0.053327
0.0,9,0.05365
0.0,9,0.053967
0.0,10,0.05431
0.0,10,0.054665
0.0,3,0.054821
0.0,6,0.055061
0.0,3,0.055215
0.0,26,0.056004
0.0,24,0.056731
0.0,47,0.058082
0.0,3,0.058236
0.0,83,0.0606
0.0,22,0.061272
0.0,20,0.061888
1.0,15,0.062358
0.0,5,0.062568
0.0,12,0.062974
0.0,24,0.063717
0.0,13,0.064145
0.0,6,0.064373
0.0,12,0.064784
0.0,37,0.06588
0.0,21,0.066523
0.0,16,0.06704
0.0,7,0.067301
0.0,11,0.067691
0.0,11,0.068059
0.0,42,0.069279
0.0,5,0.069481
0.0,17,0.070029
0.0,2,0.070153
0.0,18,0.07072
0.0,42,0.07194
0.0,2,0.072064
0.0,20,0.072692
0.0,33,0.073664
1.0,51,0.075129
1.0,48,0.076498
0.0,5,0.076723
0.0,2,0.076842
1.0,37,0.077903
0.0,36,0.07894
0.0,10,0.07928
0.0,50,0.080714
0.0,10,0.081063
0.0,15,0.081549
0.0,7,0.081817
1.0,18,0.082369
0.0,6,0.082604
0.0,10,0.082939
0.0,13,0.083369
0.0,10,0.08372
0.0,23,0.084418
0.0,5,0.084638
0.0,6,0.084868
0.0,20,0.08547
0.0,22,0.086147
0.0,7,0.086403
0.0,4,0.086586
0.0,10,0.086939
0.0,35,0.087977
0.0,23,0.088692
0.0,24,0.08941
0.0,33,0.090415
0.0,5,0.09065
0.0,8,0.090962
0.0,2,0.091081
0.0,5,0.091287
0.0,8,0.091584
0.0,24,0.092309
0.0,26,0.093083
0.0,12,0.093482
0.0,4,0.093663
0.0,43,0.094918
0.0,53,0.096424
0.0,17,0.096972
0.0,29,0.097846
