#{"t_start": 1522156950.028499, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,32,0.058697
0.0,11,0.059275
0.0,94,0.063454
0.0,100,0.06789
0.0,13,0.068532
0.0,38,0.070256
0.0,15,0.070984
0.0,45,0.073016
0.0,28,0.074307
0.0,100,0.078731
0.0,64,0.081592
0.0,49,0.083793
0.0,6,0.084122
0.0,36,0.085763
0.0,45,0.087793
0.0,85,0.091564
0.0,56,0.094068
0.0,17,0.094887
0.0,47,0.096997
0.0,34,0.098563
0.0,6,0.098893
0.0,100,0.103322
0.0,22,0.104342
0.0,19,0.10524
0.0,15,0.105966
1.0,46,0.108043
0.0,6,0.108383
0.0,17,0.109185
0.0,44,0.111157
0.0,4,0.111415
0.0,14,0.112092
0.0,2,0.112248
0.0,11,0.112806
0.0,100,0.117215
0.0,35,0.118825
0.0,8,0.119241
0.0,9,0.119711
0.0,11,0.120258
0.0,27,0.121506
0.0,8,0.121918
0.0,58,0.124542
0.0,12,0.125148
0.0,38,0.12687
0.0,5,0.127155
0.0,18,0.128012
0.0,4,0.128254
0.0,7,0.128639
0.0,39,0.130412
0.0,3,0.130612
0.0,6,0.130941
0.0,16,0.131708
0.0,33,0.133258
0.0,16,0.134025
1.0,19,0.134916
0.0,3,0.135117
0.0,43,0.137062
0.0,22,0.138095
0.0,22,0.139123
0.0,15,0.139855
1.0,11,0.14041
0.0,100,0.144818
0.0,9,0.145277
0.0,32,0.146741
0.0,38,0.148469
0.0,12,0.149057
0.0,29,0.1504
0.0,47,0.152524
0.0,9,0.152986
0.0,17,0.153801
0.0,65,0.156703
0.0,73,0.159962
1.0,35,0.161621
0.0,43,0.163566
0.0,14,0.164247
0.0,8,0.164675
1.0,8,0.165091
0.0,16,0.165863
0.0,11,0.16642
0.0,15,0.167145
0.0,100,0.17157
1.0,17,0.172378
0.0,14,0.173051
1.0,7,0.173429
0.0,15,0.174146
0.0,21,0.175128
1.0,35,0.176737
0.0,16,0.177514
0.0,17,0.178316
0.0,10,0.178826
1.0,25,0.179983
0.0,27,0.181229
0.0,13,0.181875
0.0,10,0.182388
0.0,32,0.183846
0.0,16,0.184618
0.0,92,0.188685
0.0,23,0.189756
0.0,16,0.190531
0.0,13,0.191162
0.0,3,0.191372
1.0,13,0.192005
0.0,38,0.193733
0.0,21,0.194724
0.0,23,0.195805
0.0,18,0.196658
0.0,31,0.198091
0.0,14,0.198778
0.0,30,0.200149
0.0,9,0.200631
0.0,46,0.202708
0.0,9,0.203164
0.0,2,0.203319
0.0,5,0.203612
0.0,35,0.205208
0.0,15,0.205937
0.0,7,0.206309
0.0,42,0.208214
0.0,10,0.208868
0.0,16,0.209666
0.0,11,0.210217
0.0,93,0.214391
0.0,9,0.214852
0.0,3,0.21505
0.0,42,0.216959
0.0,10,0.217482
0.0,14,0.218164
0.0,13,0.218807
0.0,5,0.2191
0.0,7,0.219485
0.0,20,0.220436
0.0,47,0.222568
0.0,32,0.22404
0.0,18,0.224909
0.0,18,0.225769
0.0,19,0.226671
0.0,19,0.22758
0.0,6,0.227912
0.0,33,0.229434
0.0,13,0.230065
0.0,24,0.231185
0.0,17,0.232026
0.0,20,0.232977
0.0,53,0.235373
0.0,9,0.235837
1.0,32,0.237308
0.0,7,0.237702
0.0,100,0.242155
0.0,41,0.244021
0.0,18,0.244884
0.0,12,0.245496
0.0,29,0.246832
0.0,6,0.247166
0.0,7,0.247554
0.0,26,0.248758
0.0,5,0.249044
0.0,22,0.250071
0.0,10,0.250586
0.0,10,0.251088
0.0,25,0.25224
0.0,28,0.253548
0.0,54,0.255975
0.0,27,0.25723
0.0,17,0.258054
1.0,12,0.258657
0.0,14,0.259331
0.0,15,0.260058
0.0,19,0.261026
0.0,48,0.263201
0.0,7,0.263589
0.0,59,0.266239
0.0,27,0.267513
1.0,9,0.267973
0.0,100,0.272421
1.0,14,0.273102
0.0,42,0.27501
1.0,61,0.277754
0.0,11,0.278299
0.0,22,0.279336
0.0,20,0.280281
0.0,14,0.280967
0.0,35,0.282564
0.0,7,0.28294
0.0,76,0.28639
0.0,3,0.286591
0.0,22,0.287634
0.0,7,0.28801
0.0,16,0.288785
0.0,11,0.28933
0.0,23,0.290425
0.0,43,0.292373
0.0,5,0.292663
0.0,20,0.293611
0.0,24,0.294729
0.0,9,0.295191
0.0,46,0.297264
0.0,20,0.298223
0.0,73,0.30148
0.0,59,0.30411
0.0,12,0.304709
0.0,35,0.3063
0.0,17,0.307115
0.0,69,0.310214
0.0,22,0.311252
0.0,66,0.314198
0.0,2,0.314362
0.0,15,0.315089
0.0,16,0.315868
0.0,27,0.317122
0.0,28,0.318441
0.0,6,0.318774
0.0,40,0.320607
0.0,6,0.320938
0.0,13,0.321587
0.0,18,0.322451
0.0,67,0.325451
0.0,5,0.325744
0.0,43,0.327696
0.0,45,0.329727
0.0,22,0.330769
0.0,63,0.333608
0.0,64,0.336488
0.0,31,0.337921
0.0,39,0.339702
1.0,35,0.341297
1.0,31,0.342724
0.0,6,0.343056
0.0,25,0.344215
0.0,4,0.344474
0.0,4,0.34472
1.0,24,0.34584
0.0,16,0.346623
0.0,7,0.347003
0.0,9,0.34748
0.0,85,0.351278
0.0,11,0.351844
0.0,22,0.352878
0.0,8,0.353296
1.0,8,0.353725
0.0,12,0.354315
0.0,11,0.354871
0.0,18,0.355731
1.0,47,0.357866
0.0,17,0.358712
0.0,7,0.359087
0.0,34,0.360654
0.0,22,0.361767
0.0,24,0.362889
0.0,8,0.363305
1.0,6,0.363647
0.0,22,0.364684
0.0,65,0.367613
0.0,37,0.369292
0.0,34,0.370851
0.0,11,0.371406
0.0,3,0.371609
0.0,23,0.372684
0.0,24,0.37381
0.0,7,0.374182
0.0,23,0.375259
0.0,9,0.375735
0.0,5,0.376026
0.0,16,0.376802
0.0,34,0.378368
0.0,30,0.379747
0.0,31,0.38117
0.0,36,0.382822
0.0,10,0.383334
1.0,47,0.385465
0.0,19,0.386368
0.0,16,0.387135
0.0,3,0.387336
0.0,88,0.39127
0.0,15,0.392004
1.0,61,0.394757
0.0,76,0.398162
0.0,3,0.398373
1.0,18,0.399226
0.0,9,0.399694
0.0,4,0.39994
0.0,4,0.400185
0.0,30,0.401592
0.0,18,0.402455
0.0,11,0.403
1.0,78,0.4065
0.0,22,0.407547
0.0,8,0.407968
1.0,46,0.410044
0.0,12,0.410651
0.0,13,0.411291
0.0,17,0.412109
0.0,10,0.412625
0.0,9,0.413087
0.0,22,0.41412
0.0,7,0.414508
0.0,52,0.416851
0.0,37,0.418565
0.0,31,0.419995
1.0,8,0.420426
0.0,29,0.42176
0.0,20,0.422709
1.0,17,0.423535
0.0,6,0.423868
0.0,44,0.425864
0.0,40,0.42769
1.0,46,0.42977
0.0,9,0.430232
0.0,40,0.432053
0.0,19,0.432957
0.0,13,0.433607
0.0,30,0.434982
0.0,17,0.435804
0.0,14,0.436498
0.0,50,0.438764
0.0,5,0.439056
1.0,19,0.439957
0.0,64,0.442831
1.0,20,0.443779
0.0,51,0.446068
0.0,6,0.446409
0.0,30,0.447801
0.0,3,0.448004
1.0,8,0.44843
0.0,27,0.449682
0.0,35,0.451282
1.0,13,0.451929
0.0,62,0.454715
0.0,4,0.454963
0.0,9,0.455434
0.0,62,0.458217
0.0,12,0.458818
0.0,8,0.459238
0.0,7,0.459624
0.0,33,0.461136
0.0,17,0.462014
0.0,19,0.462929
0.0,11,0.463485
0.0,25,0.464653
0.0,32,0.466124
0.0,8,0.466553
0.0,41,0.468421
0.0,31,0.469863
0.0,10,0.47038
0.0,22,0.471417
0.0,18,0.472274
0.0,26,0.473495
0.0,47,0.47563
0.0,9,0.476089
0.0,31,0.477537
0.0,9,0.478001
0.0,14,0.478685
0.0,3,0.478889
0.0,81,0.482498
1.0,30,0.483877
0.0,15,0.484612
0.0,19,0.485522
0.0,12,0.486118
0.0,8,0.486548
0.0,15,0.487266
1.0,50,0.489536
0.0,66,0.492503
0.0,33,0.494012
0.0,3,0.494213
0.0,18,0.495078
0.0,3,0.495281
0.0,9,0.495753
1.0,49,0.49797
0.0,8,0.498395
0.0,93,0.502534
0.0,100,0.506985
0.0,33,0.508518
0.0,28,0.509821
0.0,23,0.510899
0.0,10,0.511415
0.0,44,0.513403
1.0,13,0.514042
0.0,10,0.514553
0.0,56,0.517079
1.0,28,0.518389
0.0,22,0.519428
1.0,22,0.520464
0.0,14,0.521143
1.0,67,0.524139
0.0,41,0.526007
0.0,29,0.527349
0.0,9,0.52783
0.0,32,0.529293
0.0,57,0.531864
0.0,72,0.535085
0.0,58,0.537713
0.0,29,0.539055
0.0,16,0.539833
0.0,13,0.540478
0.0,8,0.540894
0.0,7,0.541269
0.0,30,0.542659
0.0,9,0.543121
0.0,17,0.543942
0.0,4,0.544186
0.0,45,0.546228
0.0,9,0.546702
0.0,14,0.547398
0.0,2,0.547558
0.0,37,0.549236
0.0,11,0.549798
0.0,25,0.550969
0.0,10,0.551486
0.0,77,0.554934
0.0,8,0.555363
0.0,20,0.556304
1.0,64,0.559182
0.0,10,0.5597
0.0,99,0.564084
0.0,51,0.566455
0.0,25,0.567628
0.0,20,0.568571
0.0,4,0.568816
0.0,50,0.571078
0.0,13,0.57173
0.0,54,0.574167
0.0,16,0.574945
0.0,43,0.57688
0.0,8,0.577295
0.0,11,0.577853
0.0,60,0.580551
0.0,5,0.580837
0.0,3,0.581035
0.0,12,0.581643
0.0,20,0.58259
0.0,27,0.583847
0.0,69,0.586934
0.0,26,0.588147
0.0,3,0.588347
0.0,34,0.589914
0.0,9,0.59039
0.0,26,0.591603
0.0,66,0.594562
0.0,29,0.595901
0.0,12,0.596503
0.0,39,0.598271
0.0,22,0.599307
0.0,10,0.599818
1.0,52,0.602151
1.0,89,0.606116
0.0,12,0.606718
0.0,19,0.60763
1.0,22,0.60866
0.0,4,0.608904
0.0,11,0.609466
0.0,49,0.61167
0.0,18,0.61254
1.0,13,0.613178
0.0,15,0.613905
0.0,4,0.614151
0.0,97,0.618477
0.0,46,0.620557
1.0,15,0.621282
0.0,11,0.621839
0.0,33,0.623366
0.0,5,0.623653
0.0,21,0.624647
0.0,21,0.625639
0.0,24,0.626761
0.0,10,0.627267
0.0,22,0.628305
0.0,33,0.629822
0.0,15,0.630561
0.0,57,0.633119
0.0,27,0.634383
0.0,10,0.634889
0.0,28,0.636178
1.0,8,0.636605
0.0,54,0.639032
0.0,29,0.640382
0.0,7,0.640755
0.0,25,0.641923
0.0,32,0.6434
0.0,32,0.644866
0.0,21,0.645862
0.0,14,0.646548
0.0,66,0.649512
0.0,10,0.650015
0.0,4,0.65026
0.0,9,0.650729
0.0,23,0.651806
0.0,77,0.655242
0.0,40,0.657061
1.0,23,0.658149
0.0,4,0.658403
0.0,9,0.658878
0.0,7,0.659254
0.0,31,0.660686
0.0,19,0.661599
0.0,23,0.662676
0.0,5,0.662963
1.0,18,0.663826
0.0,3,0.66403
1.0,49,0.666236
0.0,5,0.666593
0.0,27,0.667857
0.0,13,0.668509
