#{"t_start": 1522150230.823837, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,44,0.010728
0.0,81,0.012523
0.0,100,0.014724
0.0,71,0.016265
0.0,100,0.018515
0.0,75,0.020165
0.0,20,0.020669
0.0,58,0.021933
0.0,20,0.022473
0.0,98,0.024696
0.0,100,0.026904
0.0,50,0.028054
0.0,11,0.028364
0.0,77,0.030091
0.0,68,0.031593
0.0,30,0.032284
0.0,45,0.033297
0.0,16,0.033723
0.0,37,0.034557
0.0,23,0.035108
0.0,100,0.037258
0.0,10,0.037606
0.0,19,0.038081
0.0,9,0.038359
0.0,23,0.038965
0.0,42,0.039925
0.0,19,0.040414
0.0,3,0.040542
0.0,11,0.040855
0.0,74,0.042537
0.0,2,0.042639
0.0,100,0.044867
1.0,63,0.046262
0.0,81,0.048079
0.0,19,0.048553
0.0,9,0.048808
1.0,17,0.049228
0.0,33,0.04997
0.0,17,0.050403
1.0,13,0.050734
1.0,14,0.051079
0.0,5,0.051239
0.0,28,0.051898
0.0,91,0.05386
0.0,47,0.054894
0.0,13,0.055219
0.0,10,0.055505
0.0,18,0.055958
1.0,10,0.056233
0.0,2,0.056345
0.0,8,0.056579
0.0,5,0.056741
1.0,28,0.057403
0.0,2,0.057506
0.0,18,0.057957
0.0,5,0.058125
0.0,29,0.058813
0.0,58,0.060097
0.0,32,0.06084
1.0,6,0.061038
0.0,17,0.061466
1.0,24,0.06203
0.0,33,0.062823
0.0,12,0.063132
0.0,3,0.063257
0.0,4,0.063418
0.0,13,0.063761
0.0,21,0.064264
0.0,5,0.064445
0.0,18,0.064879
0.0,9,0.065123
0.0,21,0.065635
1.0,9,0.065883
0.0,6,0.066068
0.0,24,0.066646
0.0,5,0.06682
0.0,45,0.067879
0.0,17,0.068318
0.0,3,0.068446
0.0,7,0.068661
0.0,34,0.069432
0.0,51,0.070626
0.0,34,0.071414
0.0,3,0.071542
0.0,27,0.07233
0.0,4,0.072516
1.0,57,0.073779
0.0,21,0.074287
0.0,56,0.075512
0.0,17,0.075938
0.0,3,0.076063
0.0,24,0.076687
1.0,19,0.077154
0.0,11,0.077478
0.0,22,0.078013
1.0,22,0.078561
1.0,7,0.078772
0.0,15,0.079147
0.0,20,0.079638
0.0,12,0.079944
1.0,18,0.080391
0.0,68,0.081885
0.0,48,0.082964
0.0,30,0.083676
1.0,15,0.084054
0.0,5,0.084221
0.0,21,0.08479
0.0,12,0.085117
0.0,45,0.086181
0.0,2,0.086298
1.0,42,0.08725
0.0,25,0.087859
0.0,9,0.088116
0.0,5,0.088294
0.0,34,0.089079
0.0,45,0.090089
0.0,6,0.090287
0.0,60,0.091622
0.0,22,0.092151
0.0,41,0.093081
0.0,6,0.093285
0.0,10,0.093568
0.0,17,0.093987
0.0,10,0.094256
0.0,12,0.094576
0.0,8,0.094808
0.0,8,0.095042
0.0,4,0.095188
0.0,7,0.095414
0.0,10,0.095686
0.0,2,0.09579
0.0,17,0.096222
0.0,16,0.09662
0.0,14,0.096971
0.0,14,0.097345
0.0,15,0.097713
0.0,9,0.097965
0.0,14,0.098334
0.0,81,0.100118
0.0,26,0.100761
0.0,4,0.100912
0.0,19,0.101382
0.0,2,0.101486
0.0,30,0.102175
0.0,31,0.102895
0.0,79,0.104603
0.0,24,0.105167
0.0,20,0.105664
0.0,34,0.106473
0.0,11,0.106767
0.0,23,0.107324
0.0,12,0.107631
0.0,28,0.108283
0.0,54,0.109479
0.0,35,0.110256
0.0,8,0.110594
0.0,7,0.110803
0.0,13,0.111146
0.0,21,0.111668
0.0,43,0.112637
1.0,18,0.113071
0.0,9,0.113342
0.0,50,0.114445
0.0,30,0.11512
0.0,78,0.116818
0.0,12,0.11713
0.0,66,0.118557
0.0,12,0.118864
0.0,68,0.12036
0.0,69,0.121844
0.0,10,0.122113
1.0,10,0.122431
0.0,10,0.122738
0.0,5,0.122905
0.0,8,0.123137
0.0,21,0.123634
0.0,7,0.12385
0.0,30,0.124534
0.0,48,0.125652
0.0,16,0.126065
0.0,11,0.126378
0.0,25,0.126998
0.0,57,0.128308
0.0,15,0.128684
0.0,8,0.128907
0.0,2,0.129004
0.0,58,0.13029
0.0,34,0.131049
0.0,35,0.131854
0.0,17,0.132256
0.0,22,0.132778
0.0,15,0.133162
0.0,4,0.133315
0.0,26,0.133913
0.0,29,0.134596
1.0,27,0.13522
0.0,40,0.136118
1.0,11,0.136431
0.0,42,0.13741
0.0,25,0.138025
0.0,14,0.138383
0.0,11,0.138684
0.0,2,0.138786
0.0,9,0.139041
0.0,26,0.139643
0.0,13,0.139978
0.0,5,0.140141
0.0,27,0.140797
0.0,37,0.141633
0.0,26,0.142245
0.0,4,0.142395
0.0,16,0.14279
0.0,16,0.143183
0.0,40,0.144073
0.0,100,0.146224
0.0,15,0.146612
0.0,40,0.147523
0.0,28,0.14817
0.0,15,0.148555
0.0,9,0.148806
0.0,33,0.149575
0.0,29,0.150229
0.0,7,0.15044
0.0,12,0.150759
0.0,58,0.152046
0.0,4,0.152199
0.0,18,0.152645
0.0,45,0.153659
0.0,60,0.154985
1.0,11,0.155289
0.0,6,0.155481
0.0,7,0.155684
1.0,11,0.155969
0.0,38,0.156833
0.0,8,0.157061
0.0,5,0.157229
0.0,21,0.157746
0.0,7,0.157952
0.0,46,0.158985
0.0,12,0.159301
0.0,3,0.159427
0.0,6,0.159617
0.0,4,0.15977
0.0,4,0.15992
0.0,36,0.160736
0.0,9,0.16099
0.0,25,0.161581
0.0,37,0.162412
0.0,3,0.162532
0.0,74,0.164331
1.0,30,0.165096
0.0,3,0.165217
0.0,3,0.165354
0.0,26,0.165965
0.0,23,0.16652
0.0,12,0.166838
0.0,54,0.168019
0.0,13,0.168356
0.0,72,0.1699
0.0,52,0.17105
0.0,16,0.171454
0.0,30,0.172146
0.0,34,0.172939
0.0,8,0.173175
0.0,10,0.173465
0.0,36,0.174259
0.0,35,0.175056
0.0,30,0.175753
0.0,10,0.176027
0.0,28,0.176688
0.0,6,0.176876
0.0,6,0.177058
0.0,15,0.177434
0.0,13,0.177766
0.0,13,0.178097
0.0,49,0.17917
0.0,27,0.179803
0.0,69,0.181303
1.0,18,0.18175
0.0,17,0.18218
0.0,21,0.182696
0.0,8,0.182935
0.0,30,0.183651
0.0,24,0.184207
0.0,13,0.184554
0.0,25,0.185142
0.0,13,0.185481
0.0,26,0.186073
0.0,9,0.186327
0.0,23,0.186856
0.0,15,0.187233
0.0,14,0.187595
1.0,13,0.187934
1.0,18,0.188373
0.0,37,0.189204
0.0,49,0.190306
0.0,66,0.191751
0.0,12,0.192071
0.0,4,0.192214
0.0,25,0.192818
0.0,21,0.193322
0.0,9,0.193574
0.0,14,0.193924
0.0,5,0.194093
0.0,33,0.194837
0.0,9,0.195089
0.0,18,0.195535
0.0,13,0.195889
0.0,7,0.196095
0.0,29,0.196763
0.0,20,0.197243
0.0,5,0.19742
0.0,24,0.198003
0.0,5,0.198165
0.0,15,0.198554
0.0,28,0.1992
0.0,13,0.199531
0.0,4,0.199672
0.0,18,0.200111
0.0,8,0.200373
0.0,13,0.200729
1.0,13,0.201054
0.0,22,0.201585
0.0,15,0.201956
0.0,51,0.203077
1.0,25,0.203666
0.0,49,0.204764
0.0,93,0.206774
0.0,20,0.207258
0.0,30,0.207949
0.0,26,0.208554
0.0,6,0.208747
0.0,5,0.208913
0.0,10,0.209177
0.0,66,0.210616
0.0,16,0.211077
0.0,12,0.21142
0.0,10,0.211705
0.0,34,0.212495
0.0,14,0.212841
0.0,33,0.213592
0.0,2,0.213691
0.0,4,0.213832
0.0,18,0.214261
0.0,13,0.214597
0.0,5,0.214765
0.0,17,0.215186
0.0,34,0.215976
0.0,26,0.216596
0.0,24,0.217151
0.0,6,0.217347
0.0,50,0.21847
0.0,13,0.218796
0.0,9,0.219047
0.0,72,0.22063
0.0,44,0.221657
0.0,14,0.22201
0.0,19,0.222464
0.0,11,0.22275
0.0,37,0.223578
0.0,14,0.22393
0.0,14,0.224291
0.0,3,0.224423
0.0,34,0.225185
0.0,29,0.225866
0.0,15,0.226233
0.0,7,0.226449
0.0,22,0.226987
0.0,6,0.227178
0.0,5,0.227374
0.0,26,0.228035
1.0,13,0.228385
0.0,18,0.228818
0.0,12,0.229126
0.0,22,0.229659
0.0,10,0.229931
0.0,24,0.230494
0.0,6,0.230675
0.0,14,0.231037
0.0,17,0.231463
0.0,51,0.232627
0.0,29,0.233282
0.0,26,0.233876
0.0,18,0.234312
0.0,71,0.235853
1.0,10,0.236125
0.0,23,0.236666
0.0,46,0.23768
0.0,14,0.238024
0.0,25,0.238661
0.0,4,0.238801
0.0,7,0.239012
0.0,38,0.239863
1.0,41,0.240765
0.0,45,0.241778
0.0,30,0.242475
0.0,20,0.24295
0.0,61,0.244323
0.0,5,0.244486
0.0,38,0.245318
0.0,22,0.245832
0.0,6,0.24602
0.0,37,0.24688
0.0,43,0.247851
0.0,16,0.248238
1.0,47,0.249258
