#{"t_start": 1522157456.9457204, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.018828
0.0,5,0.019054
0.0,4,0.019222
0.0,1,0.019333
0.0,1,0.01941
0.0,14,0.019771
0.0,34,0.020575
0.0,8,0.020809
0.0,3,0.020938
0.0,12,0.021288
0.0,13,0.021627
0.0,32,0.022391
0.0,20,0.022889
0.0,3,0.023028
0.0,20,0.023521
0.0,6,0.023715
0.0,30,0.024444
0.0,25,0.025054
0.0,25,0.025655
0.0,14,0.026036
0.0,100,0.028296
1.0,6,0.028493
0.0,10,0.028779
0.0,24,0.02938
0.0,11,0.029699
0.0,22,0.03026
0.0,9,0.030516
0.0,4,0.030664
0.0,6,0.030863
1.0,17,0.03131
0.0,5,0.031479
0.0,6,0.031672
0.0,13,0.03204
0.0,6,0.032231
0.0,73,0.033877
0.0,20,0.034392
0.0,2,0.0345
0.0,7,0.034709
0.0,5,0.034875
0.0,7,0.0351
0.0,45,0.036145
0.0,43,0.03714
0.0,10,0.037447
0.0,8,0.037685
0.0,17,0.038119
0.0,5,0.038286
0.0,9,0.038546
0.0,39,0.039469
0.0,6,0.039665
0.0,34,0.040464
0.0,3,0.04059
0.0,12,0.040912
0.0,5,0.04109
0.0,3,0.041223
0.0,10,0.041507
0.0,6,0.041694
0.0,24,0.042278
1.0,35,0.043113
0.0,33,0.043879
0.0,2,0.043997
0.0,1,0.04408
0.0,9,0.044348
0.0,22,0.044885
0.0,29,0.04558
0.0,9,0.04583
0.0,31,0.046565
0.0,10,0.046844
0.0,11,0.047157
0.0,4,0.047304
0.0,5,0.047472
0.0,1,0.047551
0.0,10,0.047827
0.0,53,0.049078
0.0,19,0.049582
0.0,6,0.049775
0.0,5,0.049944
0.0,8,0.050192
0.0,11,0.050498
0.0,4,0.050643
0.0,10,0.050916
0.0,63,0.052359
0.0,18,0.052814
0.0,8,0.053056
0.0,5,0.053223
0.0,19,0.053692
0.0,1,0.053768
0.0,5,0.053935
0.0,9,0.054195
0.0,6,0.054392
0.0,8,0.054626
0.0,31,0.055366
0.0,3,0.055492
0.0,85,0.057391
0.0,4,0.057542
0.0,23,0.058109
0.0,9,0.058372
0.0,17,0.058798
0.0,5,0.058985
0.0,17,0.059413
0.0,50,0.060545
0.0,3,0.060678
0.0,1,0.060756
0.0,8,0.061001
0.0,5,0.061175
0.0,2,0.061277
0.0,16,0.061694
0.0,21,0.062232
0.0,6,0.062435
0.0,5,0.062603
0.0,15,0.063003
0.0,10,0.063286
0.0,2,0.063392
0.0,2,0.063498
0.0,40,0.064489
0.0,7,0.064709
0.0,5,0.064876
0.0,3,0.065009
0.0,5,0.065187
0.0,6,0.065385
0.0,12,0.065703
0.0,12,0.066036
0.0,19,0.066509
0.0,9,0.066763
0.0,23,0.067339
1.0,17,0.067778
0.0,2,0.06788
0.0,14,0.068294
0.0,8,0.06854
0.0,11,0.068849
1.0,22,0.069402
0.0,3,0.069532
0.0,12,0.069862
0.0,37,0.070727
0.0,4,0.070874
0.0,2,0.070986
0.0,10,0.071275
0.0,22,0.071822
0.0,20,0.072323
0.0,5,0.072491
0.0,26,0.073129
0.0,4,0.073284
0.0,7,0.073499
0.0,2,0.073605
0.0,3,0.073728
0.0,19,0.074214
1.0,17,0.074637
0.0,15,0.075029
0.0,3,0.075153
1.0,13,0.075491
0.0,9,0.075753
0.0,6,0.075943
0.0,35,0.076762
0.0,15,0.077165
0.0,17,0.077597
0.0,1,0.077674
0.0,1,0.077754
0.0,13,0.078106
0.0,9,0.078371
0.0,7,0.078585
0.0,20,0.079087
0.0,4,0.079232
0.0,9,0.079494
0.0,5,0.07966
0.0,10,0.079931
0.0,31,0.080666
0.0,12,0.080997
0.0,3,0.081126
0.0,17,0.081546
0.0,6,0.08174
0.0,11,0.082061
0.0,4,0.082217
0.0,1,0.082293
0.0,6,0.082486
0.0,1,0.082563
0.0,38,0.083448
0.0,1,0.083531
0.0,1,0.083608
0.0,27,0.084256
0.0,23,0.084819
0.0,9,0.085092
1.0,30,0.085823
0.0,6,0.08602
0.0,9,0.086297
0.0,6,0.086504
0.0,5,0.086676
0.0,12,0.087029
0.0,11,0.087354
0.0,6,0.087544
1.0,29,0.088234
0.0,34,0.089036
0.0,6,0.089234
0.0,2,0.08934
0.0,24,0.089919
0.0,17,0.090356
0.0,26,0.090988
0.0,3,0.091118
0.0,1,0.091198
0.0,14,0.091562
0.0,7,0.09177
1.0,27,0.092432
0.0,13,0.092777
0.0,6,0.092974
0.0,19,0.093451
0.0,4,0.093595
0.0,39,0.094503
0.0,1,0.094583
0.0,3,0.094711
1.0,20,0.095229
0.0,1,0.095306
0.0,42,0.096265
0.0,3,0.096393
0.0,11,0.096688
0.0,1,0.096764
0.0,12,0.097107
0.0,10,0.09739
