#{"t_start": 1522156759.0667312, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.020617
0.0,6,0.020889
0.0,7,0.021114
0.0,24,0.021732
0.0,7,0.021944
0.0,5,0.02211
0.0,8,0.022335
0.0,8,0.022578
0.0,25,0.023148
0.0,14,0.023531
0.0,3,0.023658
0.0,27,0.024266
0.0,3,0.024413
0.0,6,0.024611
0.0,6,0.024803
0.0,8,0.025028
0.0,6,0.025213
0.0,34,0.02601
0.0,21,0.026562
0.0,7,0.026801
0.0,5,0.026962
0.0,4,0.0271
0.0,1,0.027174
0.0,10,0.027462
0.0,8,0.027719
0.0,3,0.027842
0.0,5,0.028004
0.0,11,0.028296
0.0,13,0.028628
0.0,9,0.028865
0.0,4,0.029001
0.0,9,0.029244
0.0,6,0.029456
0.0,6,0.029651
0.0,24,0.030222
0.0,8,0.030476
0.0,8,0.030722
0.0,15,0.031085
0.0,5,0.031242
0.0,1,0.031314
0.0,5,0.031483
0.0,9,0.03173
0.0,4,0.031867
0.0,4,0.032004
0.0,31,0.032718
0.0,22,0.03324
0.0,11,0.033556
0.0,11,0.033868
0.0,24,0.034423
0.0,17,0.034841
0.0,13,0.035169
0.0,3,0.035287
0.0,5,0.035475
0.0,2,0.035577
0.0,9,0.035848
0.0,6,0.036032
0.0,21,0.036569
0.0,9,0.036838
0.0,39,0.037703
0.0,26,0.03828
0.0,5,0.038448
0.0,1,0.038522
0.0,1,0.038596
0.0,3,0.038713
0.0,20,0.039178
0.0,1,0.039256
0.0,9,0.039509
0.0,8,0.039729
0.0,5,0.039886
0.0,6,0.040061
0.0,25,0.040623
0.0,13,0.040944
0.0,3,0.04106
0.0,33,0.041801
0.0,1,0.041881
0.0,9,0.04213
0.0,2,0.042227
0.0,2,0.042323
0.0,9,0.042573
0.0,9,0.042826
0.0,5,0.042992
0.0,18,0.043429
0.0,9,0.043675
0.0,5,0.043839
0.0,3,0.043962
0.0,18,0.044399
0.0,5,0.04456
0.0,4,0.044697
0.0,7,0.044895
1.0,19,0.045343
0.0,3,0.04547
0.0,19,0.045911
0.0,24,0.046478
0.0,12,0.046785
0.0,20,0.047242
0.0,9,0.04749
0.0,7,0.047698
0.0,28,0.048328
0.0,13,0.048664
0.0,9,0.048904
0.0,5,0.049065
0.0,4,0.049204
0.0,14,0.04956
0.0,15,0.04993
0.0,7,0.050137
0.0,8,0.050357
0.0,9,0.050626
0.0,1,0.050724
0.0,9,0.050969
0.0,21,0.051508
0.0,16,0.051936
0.0,5,0.052099
0.0,25,0.05268
1.0,9,0.052926
0.0,34,0.053732
0.0,8,0.053953
0.0,4,0.054091
0.0,9,0.054337
0.0,16,0.054786
0.0,18,0.05522
0.0,4,0.055369
0.0,7,0.055583
0.0,2,0.055681
0.0,11,0.055958
0.0,11,0.056231
0.0,9,0.056483
0.0,9,0.056721
0.0,1,0.056798
0.0,8,0.057024
0.0,20,0.057503
0.0,1,0.057583
0.0,47,0.05861
0.0,19,0.05906
0.0,4,0.059206
0.0,19,0.059678
0.0,23,0.060199
0.0,6,0.060399
0.0,7,0.0606
0.0,4,0.060736
0.0,7,0.060934
0.0,26,0.061524
0.0,10,0.061783
0.0,14,0.062129
1.0,11,0.062429
0.0,4,0.062567
0.0,3,0.062685
0.0,2,0.06278
0.0,11,0.063059
0.0,9,0.063303
0.0,8,0.063563
0.0,4,0.063723
0.0,5,0.063884
0.0,7,0.064084
1.0,16,0.06448
0.0,8,0.064699
0.0,9,0.064942
0.0,3,0.065065
1.0,11,0.065355
1.0,12,0.065708
0.0,4,0.065846
0.0,6,0.066038
0.0,5,0.066197
0.0,8,0.066426
0.0,6,0.066607
0.0,5,0.066765
0.0,9,0.067002
0.0,1,0.067075
0.0,9,0.067326
0.0,13,0.067666
0.0,11,0.067953
0.0,24,0.068514
0.0,9,0.068755
0.0,7,0.068952
0.0,5,0.069114
0.0,5,0.069279
0.0,6,0.069475
0.0,1,0.06955
0.0,2,0.069668
0.0,4,0.069822
0.0,2,0.069917
0.0,3,0.070035
0.0,7,0.070233
0.0,4,0.070369
0.0,17,0.070783
0.0,4,0.070921
0.0,1,0.070999
0.0,6,0.07118
0.0,8,0.071419
0.0,1,0.071499
1.0,14,0.071839
0.0,9,0.072082
0.0,18,0.072533
0.0,3,0.072651
0.0,5,0.072818
0.0,3,0.072945
0.0,1,0.073023
0.0,4,0.073164
1.0,6,0.073355
0.0,4,0.073505
0.0,9,0.073749
1.0,14,0.07409
0.0,20,0.074598
0.0,16,0.075012
0.0,13,0.075343
0.0,6,0.075579
0.0,4,0.075757
0.0,12,0.076069
0.0,6,0.076261
0.0,1,0.076339
0.0,7,0.076556
0.0,1,0.076632
0.0,8,0.076853
0.0,6,0.077036
0.0,3,0.077154
0.0,1,0.077227
0.0,2,0.07733
0.0,4,0.077485
0.0,8,0.077719
0.0,7,0.07792
0.0,7,0.078124
0.0,2,0.078221
0.0,6,0.078411
0.0,4,0.078552
0.0,5,0.078719
0.0,20,0.079189
0.0,3,0.079308
0.0,11,0.079609
0.0,7,0.079817
0.0,2,0.079912
0.0,2,0.080008
0.0,9,0.080246
0.0,3,0.080366
1.0,9,0.080625
0.0,12,0.080935
0.0,37,0.081766
0.0,2,0.081869
0.0,4,0.082018
0.0,3,0.082138
0.0,10,0.08242
0.0,1,0.0825
0.0,19,0.082945
0.0,22,0.083457
0.0,42,0.084365
0.0,22,0.084894
0.0,10,0.085168
0.0,3,0.085292
0.0,3,0.08542
0.0,7,0.085622
0.0,7,0.085832
0.0,2,0.085942
0.0,4,0.086082
0.0,2,0.086178
0.0,4,0.086322
0.0,5,0.086496
1.0,14,0.086838
0.0,12,0.087145
0.0,7,0.087344
0.0,34,0.088097
0.0,16,0.088501
0.0,17,0.088923
0.0,3,0.089047
0.0,1,0.089124
0.0,16,0.089527
0.0,9,0.089768
0.0,10,0.090034
0.0,9,0.09028
0.0,1,0.090354
0.0,6,0.090541
0.0,3,0.09066
0.0,14,0.091025
0.0,17,0.091457
0.0,1,0.091535
0.0,7,0.091743
0.0,25,0.092318
0.0,2,0.092431
0.0,6,0.092615
0.0,17,0.093031
0.0,6,0.093218
0.0,5,0.093378
0.0,29,0.094049
0.0,8,0.094274
0.0,6,0.094468
0.0,12,0.094771
0.0,8,0.094998
0.0,4,0.095137
0.0,24,0.095711
0.0,4,0.09586
0.0,1,0.095939
0.0,8,0.096163
0.0,3,0.096281
0.0,3,0.096408
0.0,3,0.096533
0.0,15,0.096903
0.0,2,0.097004
0.0,2,0.097102
0.0,23,0.097662
0.0,10,0.097929
0.0,36,0.098727
0.0,4,0.098868
1.0,10,0.099129
0.0,1,0.0992
0.0,6,0.09939
1.0,45,0.100364
0.0,10,0.100633
0.0,3,0.100751
0.0,7,0.100962
0.0,5,0.101129
0.0,1,0.101203
0.0,9,0.101481
0.0,12,0.10181
0.0,10,0.102071
0.0,9,0.102321
0.0,4,0.102474
0.0,13,0.10281
0.0,8,0.103039
0.0,3,0.103158
0.0,5,0.103323
0.0,23,0.10387
0.0,1,0.103951
1.0,16,0.104341
0.0,8,0.104577
0.0,5,0.104739
0.0,10,0.105008
0.0,2,0.105106
0.0,14,0.105468
0.0,7,0.10567
0.0,10,0.105938
0.0,11,0.10622
0.0,4,0.106358
0.0,3,0.106484
0.0,5,0.106644
0.0,5,0.106811
0.0,4,0.106951
0.0,4,0.107094
0.0,5,0.107265
