#{"t_start": 1522157657.125092, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.025984
0.0,1,0.026114
0.0,1,0.026211
0.0,1,0.026308
0.0,24,0.027009
0.0,8,0.027281
0.0,9,0.027572
0.0,6,0.027793
0.0,28,0.028567
0.0,6,0.028785
0.0,17,0.029286
0.0,2,0.029409
0.0,37,0.030409
0.0,36,0.031383
0.0,14,0.031817
0.0,100,0.034385
0.0,23,0.035049
1.0,13,0.035452
0.0,74,0.037341
0.0,9,0.037646
0.0,25,0.038332
0.0,19,0.038877
0.0,5,0.039083
1.0,28,0.03985
0.0,19,0.040411
0.0,1,0.040505
0.0,29,0.04131
1.0,29,0.042114
0.0,14,0.042532
1.0,21,0.04314
0.0,3,0.04328
0.0,11,0.043628
0.0,5,0.043819
0.0,45,0.045003
0.0,29,0.04581
0.0,1,0.045897
0.0,14,0.046318
1.0,14,0.046739
0.0,13,0.04715
1.0,22,0.047776
1.0,58,0.049285
0.0,14,0.049707
1.0,20,0.050282
0.0,9,0.050581
1.0,72,0.052477
1.0,34,0.053382
1.0,75,0.055316
0.0,5,0.055509
1.0,11,0.055851
0.0,23,0.056493
0.0,13,0.056885
0.0,11,0.057242
0.0,3,0.057383
0.0,2,0.057502
1.0,34,0.058422
0.0,13,0.05882
1.0,20,0.059402
0.0,15,0.059845
0.0,4,0.060027
0.0,10,0.060355
0.0,18,0.060872
1.0,13,0.061265
0.0,1,0.061352
0.0,9,0.061645
1.0,20,0.062212
0.0,19,0.06275
1.0,10,0.063082
1.0,27,0.063823
0.0,30,0.064657
0.0,7,0.064899
0.0,30,0.065731
0.0,5,0.065931
0.0,27,0.066659
1.0,24,0.067341
0.0,12,0.06771
0.0,1,0.067798
0.0,1,0.06789
0.0,2,0.068014
1.0,20,0.068577
0.0,8,0.068853
0.0,16,0.069329
1.0,8,0.0696
0.0,38,0.070604
0.0,26,0.071334
0.0,7,0.071579
0.0,12,0.071962
1.0,10,0.072277
1.0,16,0.072741
1.0,14,0.073165
0.0,52,0.074517
1.0,12,0.074878
0.0,25,0.075576
0.0,22,0.076211
1.0,13,0.076612
0.0,13,0.077026
0.0,3,0.077171
0.0,2,0.077291
0.0,11,0.077651
0.0,3,0.077791
1.0,8,0.078074
1.0,13,0.078468
0.0,1,0.078554
0.0,5,0.078742
1.0,25,0.079438
0.0,15,0.079883
0.0,13,0.080285
0.0,4,0.080459
0.0,4,0.080632
1.0,11,0.08098
0.0,12,0.081344
1.0,19,0.081886
1.0,19,0.082431
0.0,22,0.083066
0.0,6,0.083291
0.0,19,0.083822
0.0,12,0.084204
0.0,2,0.084326
1.0,42,0.085428
0.0,2,0.08555
1.0,15,0.085996
0.0,12,0.086366
0.0,12,0.086731
1.0,22,0.087352
1.0,18,0.087861
0.0,6,0.088089
1.0,18,0.088594
0.0,1,0.088685
1.0,22,0.089321
0.0,35,0.090283
0.0,8,0.090547
0.0,21,0.091142
0.0,4,0.091315
1.0,26,0.092049
0.0,14,0.092467
0.0,7,0.092707
0.0,2,0.092821
0.0,3,0.092971
1.0,11,0.093313
1.0,19,0.093854
0.0,1,0.093954
0.0,14,0.094377
0.0,1,0.094464
0.0,6,0.094683
0.0,10,0.095015
1.0,11,0.095361
1.0,22,0.095981
0.0,6,0.096206
0.0,3,0.096351
1.0,8,0.096617
0.0,21,0.097224
1.0,26,0.097941
0.0,26,0.098655
1.0,19,0.099213
0.0,11,0.099552
0.0,6,0.099766
0.0,16,0.100238
0.0,6,0.100472
0.0,1,0.100564
0.0,10,0.100877
0.0,15,0.101324
1.0,11,0.101658
1.0,57,0.103167
0.0,39,0.104201
0.0,14,0.104607
0.0,21,0.105206
0.0,3,0.105354
0.0,20,0.105927
0.0,14,0.106348
0.0,7,0.106596
0.0,18,0.107134
0.0,15,0.107589
0.0,9,0.107876
0.0,1,0.107973
0.0,2,0.10809
0.0,39,0.109133
1.0,13,0.109518
1.0,26,0.110256
0.0,4,0.110423
0.0,3,0.110563
1.0,16,0.111035
0.0,7,0.111281
1.0,20,0.11185
0.0,4,0.11203
0.0,7,0.112278
0.0,7,0.112528
0.0,2,0.112648
0.0,6,0.112869
0.0,13,0.113276
1.0,22,0.113898
1.0,23,0.114539
0.0,8,0.114805
0.0,7,0.115056
0.0,13,0.115448
1.0,13,0.115841
0.0,27,0.116587
0.0,10,0.116908
0.0,5,0.117115
0.0,13,0.117518
0.0,6,0.117733
1.0,21,0.118341
0.0,2,0.118458
1.0,33,0.119357
0.0,9,0.119653
1.0,19,0.12021
1.0,23,0.120851
0.0,3,0.121014
1.0,20,0.121589
1.0,7,0.121828
1.0,10,0.12215
0.0,3,0.122298
0.0,19,0.122841
0.0,4,0.123026
0.0,3,0.123174
1.0,19,0.123729
1.0,18,0.124254
0.0,11,0.124595
1.0,16,0.125082
0.0,29,0.125891
0.0,20,0.126531
0.0,14,0.126978
0.0,8,0.127254
1.0,12,0.127625
1.0,13,0.128025
0.0,23,0.128654
0.0,3,0.128798
1.0,50,0.130121
0.0,13,0.130516
1.0,20,0.131098
1.0,74,0.133023
0.0,1,0.133116
0.0,11,0.133465
0.0,5,0.133664
1.0,53,0.135048
1.0,9,0.135343
0.0,8,0.135614
0.0,26,0.136339
0.0,8,0.136617
1.0,19,0.137169
0.0,8,0.137438
0.0,17,0.137941
0.0,16,0.138399
0.0,8,0.138657
0.0,2,0.138776
1.0,32,0.139699
1.0,17,0.140225
0.0,5,0.140416
0.0,8,0.140689
0.0,15,0.141145
0.0,20,0.141711
1.0,12,0.142122
0.0,4,0.142286
0.0,5,0.142474
0.0,13,0.142861
1.0,20,0.143447
1.0,28,0.144231
0.0,2,0.144346
0.0,6,0.144567
0.0,1,0.144658
0.0,11,0.145019
0.0,12,0.145388
0.0,17,0.145888
0.0,8,0.146172
0.0,31,0.147013
0.0,5,0.147205
1.0,24,0.147885
0.0,5,0.148089
1.0,14,0.148514
1.0,8,0.148782
1.0,12,0.149172
0.0,6,0.149401
0.0,5,0.149595
0.0,13,0.150004
0.0,2,0.150127
0.0,4,0.150292
0.0,9,0.15059
0.0,6,0.150815
0.0,16,0.151295
0.0,11,0.151637
0.0,21,0.152244
0.0,27,0.152993
1.0,22,0.15363
0.0,4,0.1538
0.0,2,0.153926
0.0,17,0.154425
0.0,15,0.154873
1.0,18,0.155393
0.0,12,0.155763
0.0,53,0.157171
1.0,22,0.157792
1.0,11,0.158137
1.0,21,0.158712
0.0,28,0.159491
1.0,23,0.160151
0.0,6,0.160371
1.0,6,0.160587
1.0,16,0.161069
0.0,11,0.161414
1.0,25,0.162109
0.0,10,0.162426
1.0,17,0.162926
0.0,7,0.163173
0.0,3,0.163314
0.0,10,0.163632
0.0,7,0.16387
1.0,8,0.164143
0.0,18,0.164662
0.0,17,0.165161
1.0,28,0.165938
1.0,8,0.166201
1.0,12,0.166558
1.0,19,0.167106
1.0,11,0.167444
1.0,39,0.168494
1.0,18,0.169021
1.0,63,0.170645
0.0,6,0.170865
0.0,1,0.170969
1.0,15,0.171406
0.0,6,0.171624
1.0,37,0.172638
0.0,1,0.172732
1.0,24,0.173399
0.0,13,0.173799
0.0,2,0.173922
0.0,34,0.174826
1.0,29,0.175609
0.0,6,0.175835
0.0,3,0.175994
0.0,1,0.176084
0.0,9,0.176377
0.0,13,0.176766
0.0,18,0.1773
1.0,41,0.178397
1.0,14,0.178813
1.0,41,0.179924
0.0,13,0.18032
0.0,5,0.180509
0.0,20,0.181077
0.0,16,0.181542
0.0,19,0.182099
0.0,2,0.182221
0.0,5,0.182413
0.0,6,0.182628
0.0,8,0.182894
1.0,7,0.183152
1.0,16,0.183628
0.0,34,0.184557
0.0,5,0.184749
0.0,12,0.185121
0.0,3,0.185267
0.0,5,0.185462
0.0,6,0.185683
0.0,4,0.185853
1.0,28,0.186635
0.0,47,0.187885
0.0,6,0.188127
0.0,3,0.188274
0.0,1,0.188362
1.0,11,0.188704
1.0,37,0.189682
0.0,9,0.190001
0.0,37,0.191008
0.0,1,0.191102
0.0,6,0.19133
0.0,5,0.191525
0.0,2,0.19164
0.0,28,0.192414
0.0,15,0.192868
1.0,9,0.193168
0.0,4,0.193339
0.0,2,0.193457
0.0,41,0.19455
1.0,12,0.194911
0.0,13,0.195322
0.0,20,0.195878
0.0,17,0.196369
0.0,13,0.196763
0.0,2,0.196878
1.0,14,0.197299
0.0,15,0.197743
0.0,11,0.198104
1.0,12,0.198478
0.0,2,0.198596
1.0,47,0.19981
1.0,15,0.200272
0.0,7,0.20052
0.0,27,0.201279
1.0,13,0.201672
1.0,21,0.202267
1.0,14,0.202681
0.0,4,0.202845
0.0,5,0.203053
0.0,34,0.203982
0.0,2,0.2041
0.0,17,0.2046
0.0,10,0.204921
0.0,15,0.205365
0.0,22,0.205996
0.0,20,0.206547
0.0,5,0.206746
0.0,52,0.20813
0.0,3,0.208273
0.0,16,0.208731
0.0,1,0.208823
0.0,12,0.209274
0.0,19,0.209829
0.0,1,0.209935
1.0,11,0.210287
1.0,46,0.211519
1.0,14,0.211953
0.0,18,0.212462
1.0,36,0.213428
0.0,2,0.213548
0.0,13,0.21397
0.0,4,0.214151
0.0,2,0.214266
0.0,26,0.214986
0.0,11,0.215329
0.0,6,0.215549
0.0,7,0.215803
