#{"t_start": 1522149173.5714912, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.007028
0.0,5,0.007245
0.0,3,0.00738
0.0,11,0.007721
0.0,10,0.008045
0.0,3,0.008203
0.0,6,0.008404
0.0,9,0.008685
0.0,29,0.009443
0.0,11,0.009772
0.0,21,0.010343
0.0,6,0.01055
0.0,6,0.010751
0.0,8,0.010997
0.0,15,0.011447
0.0,3,0.011577
0.0,2,0.011681
0.0,8,0.011956
0.0,2,0.012086
0.0,27,0.012781
0.0,1,0.012865
0.0,25,0.01353
0.0,5,0.013715
0.0,6,0.013924
0.0,19,0.014466
0.0,15,0.014877
1.0,36,0.015813
0.0,2,0.015925
0.0,6,0.016136
0.0,9,0.016419
0.0,19,0.01693
0.0,30,0.017745
0.0,13,0.018134
0.0,14,0.018532
1.0,20,0.019078
0.0,8,0.019326
0.0,22,0.01995
0.0,2,0.020078
0.0,4,0.020246
0.0,2,0.02035
0.0,22,0.020924
0.0,34,0.021807
0.0,41,0.02286
0.0,26,0.023605
0.0,39,0.024612
0.0,6,0.024827
0.0,11,0.025156
0.0,12,0.025508
0.0,1,0.025587
0.0,6,0.025788
0.0,15,0.026211
0.0,13,0.026584
0.0,14,0.02698
0.0,5,0.027171
0.0,3,0.027302
0.0,1,0.027386
0.0,16,0.027834
0.0,14,0.028239
0.0,12,0.028591
0.0,6,0.028795
0.0,11,0.029161
0.0,4,0.029323
0.0,4,0.029483
0.0,2,0.029588
0.0,2,0.029692
0.0,8,0.02995
1.0,18,0.030448
0.0,7,0.030674
0.0,10,0.030967
0.0,36,0.031897
0.0,17,0.032377
0.0,11,0.032708
1.0,23,0.033336
0.0,5,0.033518
0.0,19,0.034032
0.0,5,0.034212
0.0,7,0.034435
0.0,2,0.034539
0.0,38,0.03551
0.0,15,0.035928
0.0,8,0.036186
0.0,1,0.03627
0.0,12,0.036623
0.0,21,0.037193
0.0,10,0.037499
0.0,6,0.037699
0.0,14,0.038113
0.0,1,0.038194
